,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,31800.0,30500.0,35100.0,29900.0,1171277.0,25332,-11632,-13700,0.0055,-1237585,1600.0,RISE
2020-06-01,30200.0,28350.0,30200.0,28300.0,249996.0,-11030,11030,0,0.0074,-1223885,1850.0,RISE
2020-05-29,28350.0,28550.0,28800.0,28000.0,78473.0,2735,-2735,0,0.0056,-1223885,250.0,FALL
2020-05-28,28600.0,28750.0,30100.0,27650.0,354978.0,14041,-14041,0,0.0061,-1223885,50.0,FALL
2020-05-27,28650.0,28300.0,28900.0,27850.0,203566.0,3312,-3305,-7,0.008,-1223885,450.0,RISE
2020-05-26,28200.0,27950.0,28550.0,27600.0,160691.0,2917,-2917,0,0.0085,-1223878,350.0,RISE
2020-05-25,27850.0,27950.0,28200.0,27500.0,106622.0,3762,-3762,0,0.009,-1223878,100.0,FALL
2020-05-22,27650.0,27900.0,28150.0,27450.0,74062.0,,,,,,,
2020-05-21,27850.0,28250.0,28500.0,27350.0,309748.0,-9869.0,9833.0,36.0,0.0119,-1223781.0,150.0,FALL
2020-05-20,28000.0,25700.0,32000.0,25700.0,1353560.0,36061.0,-35284.0,-777.0,0.0104,-1223817.0,3000.0,RISE
2020-05-19,25000.0,25050.0,25550.0,24800.0,47102.0,-1555.0,2570.0,-1015.0,0.0159,-1223040.0,150.0,RISE
2020-05-18,24850.0,25800.0,25850.0,24800.0,61557.0,-1327.0,1327.0,0.0,0.0155,-1222025.0,650.0,FALL
2020-05-15,25500.0,25300.0,26000.0,24700.0,69365.0,-2189.0,2189.0,0.0,0.0153,-1222025.0,250.0,RISE
2020-05-14,25250.0,25050.0,25400.0,24300.0,61528.0,-258.0,258.0,0.0,0.0149,-1222025.0,400.0,FALL
2020-05-13,25650.0,25250.0,25750.0,25150.0,32809.0,-4032.0,4032.0,0.0,0.0149,-1222025.0,150.0,FALL
2020-05-12,25800.0,26250.0,26300.0,25200.0,75560.0,-600.0,2779.0,-2179.0,0.0143,-1222025.0,100.0,FALL
