날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2015-12-22,6320.0,7620.0,7980.0,6290.0,5256077.0,1224036.0,-19000.0,-1205036.0,0.0,-1205036.0,1300.0,FALL
2015-12-23,6480.0,6320.0,6790.0,6240.0,1076043.0,-11524.0,-3000.0,14524.0,0.0,14524.0,160.0,RISE
2015-12-24,6550.0,6590.0,6750.0,6490.0,368564.0,-24459.0,0.0,24459.0,0.0,24459.0,70.0,RISE
2015-12-28,6550.0,6650.0,6650.0,6380.0,178282.0,-18572.0,209.0,18363.0,0.0,18363.0,0.0,EVEN
2015-12-29,6800.0,6550.0,6980.0,6410.0,224558.0,-20142.0,2641.0,17501.0,0.0,17501.0,250.0,RISE
2015-12-30,6840.0,6850.0,7000.0,6670.0,208424.0,-2998.0,3438.0,-440.0,0.0,-440.0,40.0,RISE
2016-01-04,6680.0,6810.0,6850.0,6550.0,231715.0,34079.0,-6288.0,-27791.0,0.0,-27791.0,160.0,FALL
2016-01-05,6680.0,6540.0,6980.0,6520.0,414479.0,39614.0,0.0,-39614.0,0.0,-39614.0,0.0,EVEN
2016-01-06,7030.0,6770.0,7370.0,6730.0,1171201.0,92690.0,2896.0,-95586.0,0.0,-95586.0,350.0,RISE
2016-01-07,7090.0,7050.0,7200.0,6750.0,554731.0,1876.0,3878.0,-5754.0,0.001,-5754.0,60.0,RISE
2016-01-08,7000.0,6840.0,7030.0,6810.0,382485.0,7444.0,-3053.0,-4391.0,0.0,-4391.0,90.0,FALL
2016-01-11,6760.0,7000.0,7010.0,6730.0,178671.0,16939.0,-3721.0,-13218.0,0.0,-13218.0,240.0,FALL
2016-01-12,6570.0,6770.0,6910.0,6530.0,252919.0,70731.0,0.0,-70731.0,0.0,-70731.0,190.0,FALL
2016-01-13,6640.0,6610.0,6710.0,6570.0,89164.0,15056.0,415.0,-15471.0,0.0,-15471.0,70.0,RISE
2016-01-14,6710.0,6510.0,6860.0,6420.0,232081.0,55827.0,4731.0,-60558.0,0.0,-60558.0,70.0,RISE
2016-01-15,6440.0,6760.0,6810.0,6430.0,219624.0,74744.0,-5146.0,-69598.0,0.0,-69598.0,270.0,FALL
2016-01-18,6510.0,6440.0,6530.0,6200.0,67438.0,-6362.0,4370.0,1992.0,0.0,1992.0,70.0,RISE
2016-01-19,6420.0,6510.0,6590.0,6380.0,122464.0,-1828.0,322.0,1506.0,0.0,1506.0,90.0,FALL
2016-01-20,7000.0,6420.0,7270.0,6420.0,1201217.0,-9530.0,2328.0,7202.0,0.001,7202.0,580.0,RISE
2016-01-21,7140.0,7020.0,7580.0,6850.0,836197.0,-61815.0,836.0,60979.0,0.001,60979.0,140.0,RISE
2016-01-22,7570.0,7250.0,7880.0,7200.0,1016332.0,59068.0,-3555.0,-55513.0,0.0,-55513.0,430.0,RISE
2016-01-25,7560.0,7560.0,7720.0,7310.0,301848.0,8847.0,-2029.0,-6818.0,0.0,-6818.0,10.0,FALL
2016-01-26,7450.0,7430.0,7680.0,7430.0,161404.0,-16534.0,913.0,15621.0,0.0,15621.0,110.0,FALL
2016-01-27,7700.0,7510.0,7950.0,7400.0,444085.0,6272.0,2535.0,-8807.0,0.0,-8807.0,250.0,RISE
2016-01-28,7900.0,7650.0,7970.0,7520.0,186229.0,2532.0,-1524.0,-1008.0,0.0,-1008.0,200.0,RISE
2016-01-29,7850.0,7850.0,8240.0,7820.0,460359.0,101873.0,-3496.0,-98377.0,0.0,-98377.0,50.0,FALL
2016-02-01,7700.0,7850.0,8140.0,7580.0,206385.0,-26550.0,4786.0,21764.0,0.0,21764.0,150.0,FALL
2016-02-02,7700.0,7700.0,7710.0,7500.0,163899.0,-11082.0,420.0,10662.0,0.0,10662.0,0.0,EVEN
2016-02-03,7650.0,7740.0,7900.0,7540.0,122608.0,-682.0,-4945.0,5627.0,0.0,5627.0,50.0,FALL
2016-02-04,7990.0,7660.0,8150.0,7490.0,275966.0,-75746.0,5550.0,70196.0,0.001,70196.0,340.0,RISE
2016-02-05,8260.0,7990.0,8650.0,7950.0,375623.0,928.0,704.0,-1632.0,0.001,-1632.0,270.0,RISE
2016-02-11,7950.0,7930.0,8160.0,7920.0,195049.0,-3589.0,-313.0,3902.0,0.001,3902.0,310.0,FALL
2016-02-12,7410.0,7810.0,7940.0,7040.0,232015.0,134.0,-2771.0,2637.0,0.0,2637.0,540.0,FALL
2016-02-15,7900.0,7540.0,7900.0,7480.0,95514.0,1833.0,-1769.0,-64.0,0.0,-64.0,490.0,RISE
2016-02-16,8150.0,7980.0,8290.0,7920.0,192502.0,-3716.0,4281.0,-565.0,0.001,-565.0,250.0,RISE
2016-02-17,8150.0,8150.0,8280.0,8000.0,90636.0,-511.0,-5406.0,5917.0,0.0,5917.0,0.0,EVEN
2016-02-18,8200.0,8150.0,8500.0,8150.0,170584.0,14384.0,1044.0,-15428.0,0.0,-15428.0,50.0,RISE
