날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2018-02-12,23500.0,18100.0,23500.0,18100.0,10295780.0,1495591.0,-197288.0,-1298303.0,0.006,-1298303.0,5400.0,UPPER_LIMIT
2018-02-13,30550.0,24500.0,30550.0,24350.0,9902922.0,85319.0,-35950.0,-49369.0,0.0019,-1347672.0,7050.0,UPPER_LIMIT
2018-02-14,25600.0,32600.0,33350.0,25250.0,8175204.0,9238.0,4000.0,-13238.0,0.0024,-1360910.0,4950.0,FALL
2018-02-19,26800.0,27000.0,29300.0,26000.0,3826265.0,5999.0,-4197.0,-1802.0,0.0019,-1362712.0,1200.0,RISE
2018-02-20,25050.0,27500.0,27550.0,24550.0,1909147.0,-870.0,870.0,0.0,0.002,-1362712.0,1750.0,FALL
2018-02-21,24850.0,24950.0,25550.0,24000.0,997482.0,2754.0,-1204.0,-1550.0,0.0019,-1364262.0,200.0,FALL
2018-02-22,23650.0,24400.0,24550.0,23050.0,807686.0,-899.0,899.0,0.0,0.002,-1364262.0,1200.0,FALL
2018-02-23,23150.0,23950.0,24200.0,22650.0,869027.0,119.0,-88.0,-31.0,0.002,-1364293.0,500.0,FALL
2018-02-26,22200.0,23400.0,23450.0,22050.0,631965.0,-21.0,50.0,-29.0,0.002,-1364322.0,950.0,FALL
2018-02-27,24700.0,23000.0,27600.0,22450.0,5948633.0,11287.0,-1643.0,-9644.0,0.0018,-1373966.0,2500.0,RISE
2018-02-28,22600.0,24250.0,24300.0,22500.0,916755.0,6917.0,-997.0,-5920.0,0.0017,-1379886.0,2100.0,FALL
2018-03-02,21500.0,21950.0,22100.0,20750.0,661267.0,2784.0,-2784.0,0.0,0.0014,-1379886.0,1100.0,FALL
2018-03-05,21700.0,21100.0,23200.0,21000.0,841949.0,-38477.0,39454.0,-977.0,0.0058,-1380863.0,200.0,RISE
2018-03-06,21750.0,21850.0,22550.0,21450.0,353367.0,15277.0,-24219.0,8942.0,0.0032,-1371921.0,50.0,RISE
2018-03-07,20100.0,21750.0,21750.0,20100.0,331975.0,15476.0,-15476.0,0.0,0.0014,-1371921.0,1650.0,FALL
2018-03-08,20500.0,20100.0,21900.0,20000.0,526988.0,5029.0,-4663.0,-366.0,0.0014,-1372287.0,400.0,RISE
2018-03-09,20300.0,20700.0,21250.0,20200.0,219570.0,0.0,0.0,0.0,0.0013,-1372287.0,200.0,FALL
2018-03-12,20800.0,20600.0,21000.0,20400.0,223008.0,26677.0,3323.0,-30000.0,0.002,-1402287.0,500.0,RISE
2018-03-13,20450.0,21000.0,21300.0,20350.0,663229.0,-82683.0,-10457.0,93140.0,0.0009,-1309147.0,350.0,FALL
2018-03-14,20900.0,21700.0,23850.0,20900.0,2382819.0,191667.0,-421.0,-191246.0,0.0008,-1500393.0,450.0,RISE
2018-03-15,21400.0,20950.0,21600.0,20350.0,528482.0,-947.0,947.0,0.0,0.0009,-1500393.0,500.0,RISE
2018-03-16,21450.0,21650.0,22000.0,21000.0,489577.0,20606.0,-706.0,-19900.0,0.0009,-1520293.0,50.0,RISE
2018-03-19,21950.0,21450.0,22200.0,21350.0,509019.0,9856.0,10144.0,-20000.0,0.0019,-1540293.0,500.0,RISE
2018-03-20,23200.0,21650.0,23300.0,21600.0,964751.0,27031.0,-931.0,-26100.0,0.002,-1566393.0,1250.0,RISE
2018-03-21,22300.0,24350.0,24550.0,22300.0,837187.0,3941.0,1059.0,-5000.0,0.0021,-1571393.0,900.0,FALL
2018-03-22,22450.0,22400.0,23500.0,22000.0,613147.0,7103.0,826.0,-7929.0,0.0022,-1579322.0,150.0,RISE
2018-03-23,20650.0,21450.0,21750.0,20500.0,381319.0,-3307.0,3307.0,0.0,0.0025,-1579322.0,1800.0,FALL
2018-03-26,20750.0,20450.0,21000.0,20050.0,243159.0,-174.0,174.0,0.0,0.0025,-1579322.0,100.0,RISE
2018-03-27,21150.0,21000.0,21550.0,20950.0,196944.0,7864.0,-293.0,-7571.0,0.0024,-1586893.0,400.0,RISE
2018-03-28,22150.0,21200.0,23200.0,21100.0,676775.0,8350.0,-8350.0,0.0,0.002,-1586893.0,1000.0,RISE
2018-03-29,22200.0,22200.0,23800.0,21750.0,716067.0,-8796.0,1544.0,7252.0,0.0021,-1579641.0,50.0,RISE
2018-03-30,22250.0,22800.0,23400.0,22200.0,359635.0,-12281.0,-2138.0,14419.0,0.0019,-1565222.0,50.0,RISE
2018-04-02,21800.0,22250.0,22700.0,21200.0,493094.0,11404.0,9730.0,-21134.0,0.0029,-1586356.0,450.0,FALL
2018-04-03,21600.0,21300.0,21800.0,21200.0,155811.0,5672.0,-5672.0,0.0,0.0023,-1586356.0,200.0,FALL
2018-04-04,21400.0,21850.0,22250.0,21200.0,168286.0,13106.0,-3106.0,-10000.0,0.002,-1596356.0,200.0,FALL
2018-04-05,21250.0,21600.0,22000.0,21200.0,218761.0,5777.0,-777.0,-5000.0,0.0019,-1601356.0,150.0,FALL
2018-04-06,20700.0,21150.0,21450.0,20650.0,184903.0,1738.0,-1698.0,-40.0,0.0017,-1601396.0,550.0,FALL
2018-04-09,21150.0,20450.0,21300.0,20400.0,209046.0,2475.0,7525.0,-10000.0,0.0025,-1611396.0,450.0,RISE
2018-04-10,20900.0,21150.0,21300.0,20400.0,158765.0,-4337.0,4337.0,0.0,0.0029,-1611396.0,250.0,FALL
2018-04-11,22000.0,22000.0,23750.0,21950.0,1609785.0,25669.0,-4419.0,-21250.0,0.0028,-1632646.0,1100.0,RISE
2018-04-12,21400.0,22250.0,22750.0,21200.0,395088.0,9531.0,-531.0,-9000.0,0.0027,-1641646.0,600.0,FALL
2018-04-13,21900.0,21600.0,22400.0,21200.0,260001.0,5175.0,-5175.0,0.0,0.0022,-1641646.0,500.0,RISE
2018-04-16,22600.0,21850.0,22750.0,21650.0,380670.0,-1274.0,1274.0,0.0,0.0023,-1641646.0,700.0,RISE
2018-04-17,22600.0,22700.0,22800.0,22150.0,236422.0,1533.0,-1533.0,0.0,0.0022,-1641646.0,0.0,EVEN
2018-04-18,21700.0,22800.0,22850.0,21700.0,207974.0,2241.0,-2241.0,0.0,0.0019,-1641646.0,900.0,FALL
2018-04-19,20600.0,21750.0,21750.0,20500.0,282288.0,-4384.0,3134.0,1250.0,0.0023,-1640396.0,1100.0,FALL
2018-04-20,20900.0,20850.0,21100.0,20550.0,117104.0,1823.0,-139.0,-1684.0,0.0023,-1642080.0,300.0,RISE
2018-04-23,20000.0,20800.0,20900.0,20000.0,172859.0,-829.0,829.0,0.0,0.0023,-1642080.0,900.0,FALL
2018-04-24,19100.0,19850.0,20250.0,19050.0,273930.0,10535.0,3704.0,-14239.0,0.0027,-1656319.0,900.0,FALL
2018-04-25,18750.0,19050.0,19300.0,18550.0,126209.0,-2372.0,2372.0,0.0,0.003,-1656319.0,350.0,FALL
2018-04-26,19100.0,18950.0,19450.0,18950.0,73626.0,2573.0,-2573.0,0.0,0.0027,-1656319.0,350.0,RISE
2018-04-27,19000.0,19400.0,19550.0,18900.0,49282.0,1149.0,-1149.0,0.0,0.0026,-1656319.0,100.0,FALL
2018-04-30,17650.0,18900.0,18900.0,17400.0,202867.0,2871.0,-2871.0,0.0,0.0023,-1656319.0,1350.0,FALL
2018-05-02,18000.0,17150.0,18150.0,16550.0,191777.0,-2074.0,2074.0,0.0,0.0025,-1656319.0,350.0,RISE
