날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-09,,,,,,5173.0,2668.0,-7841.0,0.017,-34267.0,100.0,FALL
2014-04-10,9330.0,9410.0,9480.0,9200.0,40151.0,13764.0,-4536.0,-9228.0,0.016,-43495.0,70.0,FALL
2014-04-11,9320.0,9200.0,9330.0,9140.0,21106.0,-1722.0,1722.0,0.0,0.016,-43495.0,10.0,FALL
2014-04-14,9360.0,9250.0,9370.0,9240.0,34117.0,-1510.0,2734.0,-1224.0,0.017,-44719.0,40.0,RISE
2014-04-15,9560.0,9360.0,9590.0,9350.0,34693.0,-2094.0,2094.0,0.0,0.017,-44719.0,200.0,RISE
2014-04-16,9600.0,9620.0,9630.0,9440.0,20781.0,-1731.0,1731.0,0.0,0.017,-44719.0,40.0,RISE
2014-04-17,9610.0,9620.0,9810.0,9500.0,49727.0,-798.0,798.0,0.0,0.017,-44719.0,10.0,RISE
2014-04-18,9640.0,9780.0,9780.0,9550.0,37407.0,-2300.0,670.0,1630.0,0.017,-43089.0,30.0,RISE
2014-04-21,9580.0,9650.0,9670.0,9460.0,22181.0,1065.0,-1065.0,0.0,0.017,-43089.0,60.0,FALL
2014-04-22,9560.0,9680.0,9680.0,9470.0,22984.0,1003.0,-1003.0,0.0,0.017,-43089.0,20.0,FALL
2014-04-23,9460.0,9650.0,9650.0,9450.0,29258.0,716.0,-716.0,0.0,0.017,-43089.0,100.0,FALL
2014-04-24,9400.0,9470.0,9590.0,9360.0,25133.0,100.0,-100.0,0.0,0.017,-43089.0,60.0,FALL
2014-04-25,9400.0,9450.0,9470.0,9330.0,14015.0,497.0,-497.0,0.0,0.017,-43089.0,0.0,EVEN
2014-04-28,9530.0,9400.0,9530.0,9320.0,18623.0,-1117.0,1117.0,0.0,0.017,-43089.0,130.0,RISE
2014-04-29,9330.0,9600.0,9600.0,9330.0,28199.0,1574.0,-1574.0,0.0,0.017,-43089.0,200.0,FALL
2014-04-30,9230.0,9280.0,9400.0,9180.0,31919.0,-617.0,618.0,-1.0,0.017,-43090.0,100.0,FALL
2014-05-02,9300.0,9290.0,9330.0,9110.0,24060.0,1749.0,-130.0,-1619.0,0.017,-44709.0,70.0,RISE
2014-05-07,9280.0,9300.0,9450.0,9180.0,14115.0,1235.0,-1235.0,0.0,0.017,-44709.0,20.0,FALL
2014-05-08,9230.0,9230.0,9390.0,9130.0,22045.0,1625.0,5.0,-1630.0,0.017,-46339.0,50.0,FALL
2014-05-09,9340.0,9280.0,9340.0,9130.0,6075.0,306.0,-306.0,0.0,0.017,-46339.0,110.0,RISE
2014-05-12,9140.0,9390.0,9390.0,9130.0,24576.0,279.0,-279.0,0.0,0.017,-46339.0,200.0,FALL
2014-05-13,9150.0,9140.0,9250.0,9000.0,11293.0,-373.0,1215.0,-842.0,0.017,-47181.0,10.0,RISE
2014-05-14,8990.0,9190.0,9190.0,8990.0,24635.0,-1074.0,1074.0,0.0,0.017,-47181.0,160.0,FALL
2014-05-15,9280.0,8990.0,9280.0,8850.0,27148.0,-1771.0,1771.0,0.0,0.017,-47181.0,290.0,RISE
2014-05-16,9190.0,9270.0,9290.0,9050.0,21554.0,2987.0,-2987.0,0.0,0.017,-47181.0,90.0,FALL
2014-05-19,8950.0,9200.0,9200.0,8790.0,31547.0,3713.0,-3713.0,0.0,0.016,-47181.0,240.0,FALL
2014-05-20,8780.0,8950.0,8950.0,8610.0,33984.0,248.0,-1248.0,1000.0,0.016,-46181.0,170.0,FALL
2014-05-21,8620.0,8610.0,8870.0,8610.0,23414.0,548.0,-120.0,-428.0,0.016,-46609.0,160.0,FALL
2014-05-22,8630.0,8610.0,8760.0,8570.0,13085.0,362.0,638.0,-1000.0,0.016,-47609.0,10.0,RISE
2014-05-23,8640.0,8630.0,8880.0,8600.0,13683.0,-1323.0,1323.0,0.0,0.016,-47609.0,10.0,RISE
2014-05-26,8640.0,8550.0,8750.0,8550.0,13867.0,3568.0,-568.0,-3000.0,0.016,-50609.0,0.0,EVEN
2014-05-27,8700.0,8600.0,8790.0,8550.0,12667.0,1147.0,-1147.0,0.0,0.016,-50609.0,60.0,RISE
2014-05-28,8840.0,8700.0,8890.0,8620.0,14928.0,2781.0,-781.0,-2000.0,0.016,-52609.0,140.0,RISE
2014-05-29,8920.0,8910.0,8960.0,8800.0,16272.0,403.0,-403.0,0.0,0.016,-52609.0,80.0,RISE
2014-05-30,8830.0,8970.0,8980.0,8740.0,15592.0,4513.0,-4513.0,0.0,0.015,-52609.0,90.0,FALL
2014-06-02,8670.0,8780.0,8820.0,8450.0,21945.0,2431.0,69.0,-2500.0,0.015,-55109.0,160.0,FALL
2014-06-03,8590.0,8550.0,8650.0,8500.0,4697.0,704.0,-704.0,0.0,0.015,-55109.0,80.0,FALL
2014-06-05,8480.0,8510.0,8600.0,8350.0,20458.0,1796.0,-1796.0,0.0,0.015,-55109.0,110.0,FALL
2014-06-09,8440.0,8480.0,8600.0,8290.0,14049.0,1740.0,-1740.0,0.0,0.015,-55109.0,40.0,FALL
2014-06-10,8440.0,8440.0,8500.0,8360.0,10606.0,-462.0,463.0,-1.0,0.015,-55110.0,0.0,EVEN
2014-06-11,8490.0,8440.0,8600.0,8390.0,13908.0,3754.0,-755.0,-2999.0,0.015,-58109.0,50.0,RISE
2014-06-12,8470.0,8490.0,8540.0,8380.0,5119.0,793.0,-793.0,0.0,0.015,-58109.0,20.0,FALL
2014-06-13,8430.0,8420.0,8490.0,8300.0,18854.0,-1256.0,-374.0,1630.0,0.015,-56479.0,40.0,FALL
2014-06-16,8440.0,8380.0,8450.0,8350.0,7214.0,821.0,-821.0,0.0,0.015,-56479.0,10.0,RISE
2014-06-17,8420.0,8460.0,8480.0,8320.0,14400.0,-764.0,764.0,0.0,0.015,-56479.0,20.0,FALL
2014-06-18,8450.0,8370.0,8490.0,8360.0,8912.0,-473.0,473.0,0.0,0.015,-56479.0,30.0,RISE
2014-06-19,8400.0,8490.0,8490.0,8330.0,5521.0,681.0,-681.0,0.0,0.015,-56479.0,50.0,FALL
2014-06-20,8260.0,8450.0,8450.0,8200.0,19222.0,-352.0,352.0,0.0,0.015,-56479.0,140.0,FALL
2014-06-23,7950.0,8260.0,8280.0,7950.0,25178.0,529.0,-529.0,0.0,0.015,-56479.0,310.0,FALL
2014-06-24,7900.0,7950.0,8130.0,7740.0,30028.0,-1852.0,1852.0,0.0,0.015,-56479.0,50.0,FALL
2014-06-25,7540.0,7810.0,7980.0,7540.0,34015.0,-1225.0,725.0,500.0,0.015,-55979.0,360.0,FALL
2014-06-26,7890.0,7570.0,7900.0,7570.0,16371.0,-5370.0,5370.0,0.0,0.016,-55979.0,350.0,RISE
2014-06-27,7980.0,7890.0,8000.0,7820.0,4436.0,-758.0,758.0,0.0,0.016,-55979.0,90.0,RISE
2014-06-30,7980.0,8010.0,8040.0,7890.0,4065.0,-381.0,381.0,0.0,0.016,-55979.0,0.0,EVEN
2014-07-01,8060.0,8010.0,8190.0,7950.0,14151.0,-788.0,194.0,594.0,0.016,-55385.0,80.0,RISE
2014-07-02,8100.0,8020.0,8110.0,7990.0,5690.0,308.0,-308.0,0.0,0.016,-55385.0,40.0,RISE
2014-07-03,8270.0,8130.0,8290.0,8050.0,16435.0,326.0,-326.0,0.0,0.016,-55385.0,170.0,RISE
2014-07-04,8220.0,8260.0,8290.0,8160.0,5077.0,-114.0,114.0,0.0,0.016,-55385.0,50.0,FALL
2014-07-07,8030.0,8250.0,8250.0,8000.0,11217.0,1375.0,-1375.0,0.0,0.016,-55385.0,190.0,FALL
2014-07-08,8010.0,8030.0,8110.0,7920.0,8606.0,-1826.0,1826.0,0.0,0.016,-55385.0,20.0,FALL
2014-07-09,8180.0,7800.0,8190.0,7800.0,28563.0,-1294.0,1294.0,0.0,0.016,-55385.0,170.0,RISE
2014-07-10,8180.0,8200.0,8280.0,8100.0,15336.0,-220.0,220.0,0.0,0.016,-55385.0,0.0,EVEN
2014-07-11,7990.0,8100.0,8180.0,7950.0,19582.0,421.0,-421.0,0.0,0.016,-55385.0,190.0,FALL
2014-07-14,7900.0,7990.0,8020.0,7900.0,22083.0,-19.0,19.0,0.0,0.016,-55385.0,90.0,FALL
2014-07-15,8030.0,7930.0,8040.0,7850.0,14918.0,-740.0,740.0,0.0,0.016,-55385.0,130.0,RISE
2014-07-16,7970.0,8030.0,8180.0,7900.0,17468.0,358.0,-358.0,0.0,0.016,-55385.0,60.0,FALL
2014-07-17,8070.0,8000.0,8130.0,7990.0,6552.0,-565.0,565.0,0.0,0.016,-55385.0,100.0,RISE
2014-07-18,8050.0,8030.0,8080.0,8000.0,2312.0,44.0,-44.0,0.0,0.016,-55385.0,20.0,FALL
2014-07-21,8230.0,8140.0,8330.0,8010.0,32534.0,-887.0,887.0,0.0,0.016,-55385.0,180.0,RISE
2014-07-22,8300.0,8330.0,8330.0,8200.0,14823.0,-1053.0,1053.0,0.0,0.016,-55385.0,70.0,RISE
2014-07-23,8430.0,8250.0,8430.0,8250.0,21751.0,-1104.0,1104.0,0.0,0.016,-55385.0,130.0,RISE
2014-07-24,8480.0,8390.0,8500.0,8390.0,12401.0,-38.0,38.0,0.0,0.016,-55385.0,50.0,RISE
2014-07-25,8290.0,8370.0,8470.0,8120.0,20382.0,-246.0,246.0,0.0,0.016,-55385.0,190.0,FALL
2014-07-28,8290.0,8290.0,8300.0,8120.0,15009.0,2711.0,-2711.0,0.0,0.016,-55385.0,0.0,EVEN
2014-07-29,8520.0,8310.0,8610.0,8150.0,30601.0,2682.0,-2682.0,0.0,0.015,-55385.0,230.0,RISE
2014-07-30,8530.0,8550.0,8550.0,8320.0,17030.0,928.0,-928.0,0.0,0.015,-55385.0,10.0,RISE
2014-07-31,8370.0,8590.0,8650.0,8190.0,20786.0,1868.0,-1868.0,0.0,0.015,-55385.0,160.0,FALL
2014-08-01,8300.0,8250.0,8360.0,8100.0,8594.0,261.0,-261.0,0.0,0.015,-55385.0,70.0,FALL
2014-08-04,8420.0,8390.0,8420.0,8310.0,4198.0,64.0,-64.0,0.0,0.015,-55385.0,120.0,RISE
2014-08-05,8490.0,8450.0,8570.0,8420.0,9745.0,1055.0,-1055.0,0.0,0.015,-55385.0,70.0,RISE
2014-08-06,8300.0,8540.0,8580.0,8260.0,12036.0,820.0,-820.0,0.0,0.015,-55385.0,190.0,FALL
2014-08-07,8180.0,8300.0,8360.0,8160.0,8850.0,611.0,-611.0,0.0,0.015,-55385.0,120.0,FALL
2014-08-08,8200.0,8200.0,8220.0,7930.0,24270.0,2576.0,-2576.0,0.0,0.015,-55385.0,20.0,RISE
2014-08-11,8080.0,8150.0,8200.0,8010.0,10745.0,216.0,-216.0,0.0,0.015,-55385.0,120.0,FALL
2014-08-12,8090.0,8030.0,8100.0,7970.0,7683.0,314.0,-314.0,0.0,0.015,-55385.0,10.0,RISE
2014-08-13,8110.0,8080.0,8200.0,8000.0,8205.0,1010.0,-1010.0,0.0,0.015,-55385.0,20.0,RISE
2014-08-14,8110.0,8110.0,8170.0,8010.0,7692.0,-389.0,389.0,0.0,0.015,-55385.0,0.0,EVEN
2014-08-18,7920.0,8110.0,8150.0,7900.0,16943.0,219.0,-219.0,0.0,0.015,-55385.0,190.0,FALL
2014-08-19,7870.0,7920.0,7950.0,7760.0,23674.0,1065.0,-1065.0,0.0,0.015,-55385.0,50.0,FALL
2014-08-20,7830.0,7800.0,7910.0,7770.0,19252.0,-73.0,73.0,0.0,0.015,-55385.0,40.0,FALL
2014-08-21,7840.0,7820.0,7850.0,7730.0,9345.0,-462.0,462.0,0.0,0.015,-55385.0,10.0,RISE
2014-08-22,7900.0,7840.0,7980.0,7830.0,13834.0,-1307.0,1307.0,0.0,0.015,-55385.0,60.0,RISE
2014-08-25,8030.0,7990.0,8030.0,7750.0,36812.0,2400.0,-2400.0,0.0,0.014,-55385.0,130.0,RISE
2014-08-26,8050.0,7940.0,8050.0,7940.0,5236.0,558.0,-558.0,0.0,0.014,-55385.0,20.0,RISE
2014-08-27,8100.0,8030.0,8210.0,8000.0,15151.0,194.0,-194.0,0.0,0.014,-55385.0,50.0,RISE
2014-08-28,8020.0,8160.0,8160.0,7910.0,9721.0,-722.0,722.0,0.0,0.014,-55385.0,80.0,FALL
2014-08-29,7930.0,7970.0,8060.0,7920.0,12353.0,156.0,-156.0,0.0,0.014,-55385.0,90.0,FALL
2014-09-01,7900.0,7950.0,7980.0,7780.0,26525.0,767.0,-767.0,0.0,0.014,-55385.0,30.0,FALL
2014-09-02,7760.0,7900.0,7900.0,7720.0,11912.0,980.0,-980.0,0.0,0.014,-55385.0,140.0,FALL
2014-09-03,7850.0,7730.0,7850.0,7720.0,17531.0,1795.0,-1795.0,0.0,0.014,-55385.0,90.0,RISE
2014-09-04,7880.0,7850.0,7910.0,7800.0,8719.0,1617.0,-1617.0,0.0,0.014,-55385.0,30.0,RISE
2014-09-05,7880.0,7870.0,7900.0,7800.0,10493.0,168.0,-168.0,0.0,0.014,-55385.0,0.0,EVEN
2014-09-11,7880.0,7880.0,7950.0,7820.0,11482.0,197.0,-197.0,0.0,0.014,-55385.0,0.0,EVEN
2014-09-12,8300.0,7960.0,8650.0,7960.0,111015.0,-10098.0,-1530.0,11628.0,0.014,-43757.0,420.0,RISE
2014-09-15,8360.0,8500.0,8680.0,8300.0,105392.0,9430.0,-6930.0,-2500.0,0.013,-46257.0,60.0,RISE
2014-09-16,8360.0,8130.0,8500.0,8130.0,24428.0,-2206.0,2206.0,0.0,0.013,-46257.0,0.0,EVEN
2014-09-17,8150.0,8430.0,8430.0,8100.0,47368.0,-508.0,508.0,0.0,0.013,-46257.0,210.0,FALL
