,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,257500.0,258000.0,259900.0,241800.0,209566.0,-4081,6635,-2554,0.0986,-904897,900.0,RISE
2020-06-01,256600.0,247200.0,268000.0,247100.0,519929.0,12201,-9627,-2574,0.0981,-902343,14900.0,RISE
2020-05-29,241700.0,228200.0,244900.0,222100.0,385109.0,-3668,9134,-5466,0.0988,-899769,14900.0,RISE
2020-05-28,226800.0,228000.0,230000.0,217500.0,281885.0,27590,-6397,-21193,0.0968,-894303,6500.0,RISE
2020-05-27,220300.0,205000.0,236100.0,203800.0,758886.0,29862,-7928,-21934,0.0973,-873110,18900.0,RISE
2020-05-26,201400.0,203800.0,205600.0,196800.0,238646.0,11797,-4909,-6888,0.0983,-851176,1800.0,FALL
2020-05-25,203200.0,197700.0,204900.0,196000.0,359719.0,-22722,21815,907,0.0988,-844288,6200.0,RISE
2020-05-22,194200.0,188900.0,205000.0,188200.0,646391.0,,,,,,,
2020-05-21,189100.0,186400.0,190700.0,183800.0,292323.0,-29164.0,38418.0,-9254.0,0.0968,-807545.0,2600.0,RISE
2020-05-20,186500.0,193000.0,197000.0,186500.0,469465.0,87707.0,-60342.0,-27365.0,0.0947,-798291.0,11000.0,FALL
2020-05-19,197500.0,181700.0,198900.0,172100.0,1324926.0,-56565.0,61752.0,-5187.0,0.099,-770926.0,19500.0,RISE
2020-05-18,178000.0,185600.0,187800.0,178000.0,281892.0,-7612.0,22785.0,-15173.0,0.0946,-765739.0,4400.0,FALL
2020-05-15,182400.0,177700.0,189900.0,176300.0,534877.0,-15002.0,13646.0,1356.0,0.0936,-750566.0,2500.0,RISE
2020-05-14,179900.0,185000.0,188500.0,175600.0,559395.0,28553.0,-1394.0,-27159.0,0.0925,-751922.0,2400.0,FALL
2020-05-13,182300.0,167400.0,196800.0,165300.0,1413611.0,-38907.0,6142.0,32765.0,0.0924,-724763.0,9600.0,RISE
2020-05-12,172700.0,169000.0,174300.0,157500.0,895595.0,38046.0,-14292.0,-23754.0,0.0928,-757528.0,4300.0,RISE
2020-05-11,168400.0,147000.0,181800.0,145600.0,2312248.0,97281.0,-48930.0,-48351.0,0.0911,-733774.0,23400.0,RISE
2020-05-08,145000.0,139100.0,149000.0,138100.0,1157836.0,3964.0,-2539.0,-1425.0,0.0946,-685423.0,7000.0,RISE
2020-05-07,138000.0,125800.0,140300.0,125300.0,1416130.0,-14788.0,35538.0,-20750.0,0.0948,-683998.0,12800.0,RISE
