,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,25600.0,25300.0,25700.0,25200.0,54878.0,-2363,2476,-113,0.0232,-3975316,250.0,RISE
2020-06-01,25350.0,24900.0,25400.0,24850.0,64748.0,-5081,9554,-4473,0.0231,-3975203,350.0,RISE
2020-05-29,25000.0,25350.0,25350.0,24850.0,117903.0,-2051,4104,-2053,0.0228,-3970730,350.0,FALL
2020-05-28,25350.0,26000.0,26000.0,25250.0,128698.0,19779,-5936,-13843,0.0226,-3968677,500.0,FALL
2020-05-27,25850.0,25800.0,26050.0,25550.0,86441.0,376,3745,-4121,0.0228,-3954834,150.0,RISE
2020-05-26,25700.0,25500.0,25950.0,25450.0,110771.0,3658,16424,-20082,0.0227,-3950713,150.0,RISE
2020-05-25,25550.0,26000.0,26050.0,25350.0,90694.0,-6301,6214,87,0.0221,-3930631,300.0,FALL
2020-05-22,25900.0,26550.0,26600.0,25900.0,66198.0,,,,,,,
2020-05-21,26550.0,26500.0,26700.0,26300.0,101372.0,4591.0,3662.0,-8253.0,0.0224,-3928757.0,100.0,RISE
2020-05-20,26450.0,26500.0,26550.0,26250.0,104312.0,30588.0,5350.0,-35938.0,0.0222,-3920504.0,150.0,FALL
2020-05-19,26600.0,26750.0,26750.0,26250.0,218316.0,96072.0,2515.0,-98587.0,0.022000000000000002,-3884566.0,300.0,RISE
2020-05-18,26300.0,26500.0,26500.0,25900.0,80991.0,22721.0,6060.0,-28781.0,0.0218,-3785979.0,50.0,RISE
2020-05-15,26250.0,26400.0,26700.0,25600.0,110433.0,32422.0,3822.0,-36244.0,0.0216,-3757198.0,100.0,FALL
2020-05-14,26350.0,26400.0,26650.0,26100.0,87534.0,5022.0,-4636.0,-386.0,0.0214,-3720954.0,450.0,FALL
2020-05-13,26800.0,26100.0,26800.0,25850.0,93336.0,5623.0,-7675.0,2052.0,0.0216,-3720568.0,400.0,RISE
2020-05-12,26400.0,26850.0,26950.0,26100.0,128450.0,24446.0,-3606.0,-20840.0,0.0219,-3722620.0,650.0,FALL
2020-05-11,27050.0,27200.0,27600.0,27000.0,144425.0,23647.0,-20340.0,-3307.0,0.022000000000000002,-3701780.0,350.0,FALL
