,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,7040.0,6940.0,7040.0,6860.0,191888.0,4504,-4205,-299,0.022,207552,100.0,RISE
2020-06-01,6940.0,6830.0,7030.0,6820.0,172145.0,-47516,47575,-59,0.0223,207851,140.0,RISE
2020-05-29,6800.0,6860.0,6950.0,6600.0,287020.0,-5662,5723,-61,0.0193,207910,120.0,FALL
2020-05-28,6920.0,7110.0,7230.0,6720.0,542768.0,26576,-26575,-1,0.019,207971,150.0,FALL
2020-05-27,7070.0,7180.0,7180.0,7020.0,277615.0,27521,-27519,-2,0.0206,207972,110.0,FALL
2020-05-26,7180.0,7160.0,7230.0,7070.0,402324.0,18901,-18898,-3,0.0223,207974,40.0,RISE
2020-05-25,7140.0,7060.0,7190.0,6950.0,424768.0,-57114,62264,-5150,0.0235,207977,140.0,RISE
2020-05-22,7080.0,7130.0,7550.0,7030.0,949266.0,,,,,,,
2020-05-21,7110.0,7160.0,7180.0,6910.0,661635.0,-36907.0,39288.0,-2381.0,0.023,214644.0,40.0,FALL
2020-05-20,7150.0,7140.0,7190.0,7100.0,251812.0,-26068.0,26086.0,-18.0,0.021,217025.0,20.0,RISE
2020-05-19,7130.0,7250.0,7250.0,7020.0,782676.0,70770.0,-73102.0,2332.0,0.0194,217043.0,40.0,RISE
2020-05-18,7090.0,7000.0,7190.0,6820.0,695546.0,-33072.0,32463.0,609.0,0.0241,214711.0,170.0,RISE
2020-05-15,6920.0,7130.0,7200.0,6620.0,651496.0,-33133.0,41923.0,-8790.0,0.0221,214102.0,190.0,FALL
2020-05-14,7110.0,7150.0,7310.0,6950.0,530630.0,56983.0,-54266.0,-2717.0,0.0195,222892.0,90.0,FALL
2020-05-13,7200.0,7010.0,7250.0,6950.0,298644.0,21285.0,-18651.0,-2634.0,0.0229,225609.0,70.0,RISE
2020-05-12,7130.0,7330.0,7400.0,7000.0,556266.0,74971.0,-74947.0,-24.0,0.0243,228243.0,180.0,FALL
2020-05-11,7310.0,7170.0,7440.0,7080.0,1182320.0,-60132.0,55144.0,4988.0,0.028999999999999998,228267.0,290.0,RISE
2020-05-08,7020.0,6940.0,7110.0,6920.0,782766.0,43958.0,-51775.0,7817.0,0.026000000000000002,223279.0,150.0,RISE
2020-05-07,6870.0,6580.0,6930.0,6550.0,689633.0,-19594.0,6381.0,13213.0,0.0292,215462.0,270.0,RISE
2020-05-06,6600.0,6570.0,6700.0,6560.0,200137.0,-676.0,676.0,0.0,0.0288,202249.0,70.0,RISE
2020-05-04,6530.0,6490.0,6670.0,6450.0,221321.0,-23690.0,23694.0,-4.0,0.0291,202249.0,70.0,FALL
2020-04-29,6600.0,6740.0,6740.0,6590.0,254800.0,46454.0,-46499.0,45.0,0.0276,202253.0,140.0,FALL
2020-04-28,6740.0,6790.0,6830.0,6550.0,316776.0,1845.0,-1821.0,-24.0,0.0311,202208.0,10.0,RISE
2020-04-27,6730.0,6400.0,6980.0,6400.0,1981203.0,112329.0,-112580.0,251.0,0.0299,202232.0,400.0,RISE
2020-04-24,6330.0,6180.0,6500.0,6180.0,341150.0,-23182.0,23181.0,1.0,0.0363,201981.0,70.0,RISE
2020-04-23,6260.0,6480.0,6720.0,6240.0,824760.0,92022.0,-91438.0,-584.0,0.0349,201980.0,60.0,RISE
2020-04-22,6200.0,6080.0,6210.0,5960.0,289901.0,-45531.0,45531.0,0.0,0.0407,202564.0,0.0,EVEN
2020-04-21,6200.0,6350.0,6390.0,5810.0,481346.0,-64324.0,64324.0,0.0,0.0378,202564.0,100.0,FALL
2020-04-20,6300.0,6450.0,6490.0,6250.0,269228.0,-4717.0,4717.0,0.0,0.0353,202564.0,30.0,FALL
2020-04-17,6330.0,6300.0,6380.0,6200.0,351091.0,15112.0,-15112.0,0.0,0.0352,202564.0,110.0,RISE
2020-04-16,6220.0,5950.0,6380.0,5810.0,722833.0,-3962.0,3962.0,0.0,0.0336,202564.0,340.0,RISE
2020-04-14,5880.0,5940.0,6010.0,5810.0,311164.0,-26361.0,27425.0,-1064.0,0.0362,202564.0,0.0,EVEN
2020-04-13,5880.0,6040.0,6110.0,5850.0,564012.0,41067.0,-40509.0,-558.0,0.0345,203628.0,20.0,RISE
2020-04-10,5860.0,5730.0,5900.0,5300.0,307651.0,21141.0,-21141.0,0.0,0.0371,204186.0,140.0,RISE
2020-04-09,5720.0,5700.0,5890.0,5640.0,228657.0,12687.0,-12687.0,0.0,0.0384,204186.0,40.0,RISE
2020-04-08,5680.0,5260.0,5940.0,5220.0,541490.0,-44959.0,44959.0,0.0,0.0392,204186.0,360.0,RISE
2020-04-07,5320.0,5400.0,5450.0,5120.0,338725.0,24174.0,-23868.0,-306.0,0.0364,204186.0,60.0,RISE
2020-04-06,5260.0,5070.0,5350.0,5010.0,302661.0,-56688.0,56688.0,0.0,0.0378,204492.0,260.0,RISE
2020-04-03,5000.0,5060.0,5090.0,4885.0,244994.0,6834.0,-8008.0,1174.0,0.0343,204492.0,60.0,RISE
2020-04-02,4940.0,4740.0,4965.0,4555.0,333988.0,-9087.0,8310.0,777.0,0.0348,203318.0,240.0,RISE
2020-04-01,4700.0,4650.0,4980.0,4595.0,473354.0,17256.0,-16546.0,-710.0,0.0352,202541.0,55.0,RISE
2020-03-31,4645.0,4610.0,4775.0,4445.0,405766.0,27591.0,-27918.0,327.0,0.0362,203251.0,215.0,RISE
2020-03-30,4430.0,3985.0,4465.0,3985.0,291018.0,-25730.0,26164.0,-434.0,0.038,202924.0,250.0,RISE
2020-03-27,4180.0,4360.0,4420.0,4055.0,380819.0,19512.0,-20445.0,933.0,0.0364,203358.0,35.0,RISE
2020-03-26,4145.0,4140.0,4405.0,4040.0,283346.0,14677.0,-14671.0,-6.0,0.0377,202425.0,75.0,RISE
2020-03-25,4070.0,3960.0,4145.0,3910.0,264660.0,5628.0,-5637.0,9.0,0.0387,202431.0,260.0,RISE
2020-03-24,3810.0,3520.0,3820.0,3520.0,229547.0,-57141.0,57155.0,-14.0,0.0398,202422.0,395.0,RISE
2020-03-23,3415.0,3425.0,3585.0,3375.0,307456.0,13519.0,500.0,-14019.0,0.0365,202436.0,350.0,FALL
2020-03-20,3765.0,3480.0,3795.0,3480.0,252753.0,-29751.0,50764.0,-21013.0,0.0398,216455.0,320.0,RISE
2020-03-19,3445.0,4130.0,4170.0,3395.0,335555.0,22455.0,-22455.0,0.0,0.0367,237468.0,560.0,FALL
2020-03-18,4005.0,4240.0,4430.0,4000.0,243586.0,42208.0,-41252.0,-956.0,0.0381,237468.0,230.0,FALL
2020-03-17,4235.0,3700.0,4250.0,3700.0,361130.0,-52772.0,52890.0,-118.0,0.0408,238424.0,205.0,RISE
2020-03-16,4030.0,4615.0,4615.0,4030.0,377828.0,-7588.0,5304.0,2284.0,0.0376,238542.0,375.0,FALL
2020-03-13,4405.0,4315.0,4545.0,3960.0,608183.0,-46799.0,47509.0,-710.0,0.0373,236258.0,500.0,FALL
2020-03-12,4905.0,5250.0,5340.0,4895.0,428709.0,42053.0,-42742.0,689.0,0.0343,236968.0,495.0,FALL
2020-03-11,5400.0,5750.0,5780.0,5350.0,178499.0,39125.0,-36704.0,-2421.0,0.037000000000000005,236279.0,300.0,FALL
2020-03-10,5700.0,5500.0,5700.0,5420.0,376992.0,-60564.0,57966.0,2598.0,0.0386,238700.0,110.0,RISE
2020-03-09,5590.0,5900.0,5930.0,5590.0,215632.0,25601.0,-25635.0,34.0,0.035,236102.0,420.0,FALL
2020-03-06,6010.0,6080.0,6170.0,5960.0,177978.0,17502.0,-17520.0,18.0,0.0333,236068.0,110.0,FALL
2020-03-05,6120.0,6070.0,6230.0,6060.0,142834.0,11912.0,-8810.0,-3102.0,0.0343,236050.0,90.0,RISE
2020-03-04,6030.0,5730.0,6030.0,5720.0,127083.0,-30308.0,26762.0,3546.0,0.0349,239152.0,200.0,RISE
2020-03-03,5830.0,5930.0,5970.0,5800.0,201322.0,16774.0,-14804.0,-1970.0,0.0332,235606.0,100.0,RISE
2020-03-02,5730.0,5590.0,5770.0,5520.0,209204.0,-38936.0,39533.0,-597.0,0.0342,237576.0,150.0,RISE
2020-02-28,5580.0,6040.0,6080.0,5540.0,423729.0,64460.0,-35931.0,-28529.0,0.0317,238173.0,570.0,FALL
2020-02-27,6150.0,6500.0,6500.0,6060.0,291516.0,87398.0,-73061.0,-14337.0,0.0339,266702.0,340.0,FALL
2020-02-26,6490.0,6390.0,6560.0,6350.0,200542.0,52054.0,-34817.0,-17237.0,0.0418,281039.0,160.0,FALL
2020-02-25,6650.0,6350.0,6690.0,6240.0,274447.0,30277.0,-28845.0,-1432.0,0.0436,298276.0,190.0,RISE
2020-02-24,6460.0,6760.0,6820.0,6460.0,406348.0,72568.0,-62716.0,-9852.0,0.0437,299708.0,540.0,FALL
2020-02-21,7000.0,7190.0,7280.0,6990.0,252364.0,7979.0,10038.0,-18017.0,0.0476,309560.0,280.0,FALL
