날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-09,,,,,,1584.0,-17224.0,15640.0,0.186,-394331.0,50.0,RISE
2014-04-10,48000.0,48400.0,48550.0,47500.0,113329.0,-5721.0,6118.0,-397.0,0.186,-394728.0,200.0,FALL
2014-04-11,48050.0,47500.0,48200.0,47300.0,105160.0,-2054.0,26636.0,-24582.0,0.188,-419310.0,50.0,RISE
2014-04-14,48200.0,48400.0,48550.0,47950.0,132081.0,17159.0,10865.0,-28024.0,0.188,-447334.0,150.0,RISE
2014-04-15,47200.0,48100.0,48350.0,46600.0,331178.0,113787.0,-1116.0,-112671.0,0.188,-560005.0,1000.0,FALL
2014-04-16,47550.0,47200.0,48300.0,47000.0,206814.0,-15592.0,5583.0,10009.0,0.188,-549996.0,350.0,RISE
2014-04-17,47600.0,47450.0,48200.0,47300.0,160561.0,-46118.0,24155.0,21963.0,0.19,-528033.0,50.0,RISE
2014-04-18,49400.0,48100.0,49600.0,47950.0,408498.0,-70898.0,29558.0,41340.0,0.191,-486693.0,1800.0,RISE
2014-04-21,48900.0,49300.0,49400.0,48200.0,201275.0,1245.0,570.0,-1815.0,0.191,-488508.0,500.0,FALL
2014-04-22,51000.0,49000.0,51000.0,48900.0,441341.0,-121106.0,142378.0,-21272.0,0.198,-509780.0,2100.0,RISE
2014-04-23,50500.0,51200.0,51200.0,49800.0,229480.0,-446.0,46059.0,-45613.0,0.199,-555393.0,500.0,FALL
2014-04-24,49900.0,50500.0,50900.0,48600.0,237238.0,-14480.0,37939.0,-23459.0,0.199,-578852.0,600.0,FALL
2014-04-25,49650.0,49900.0,50100.0,48950.0,188329.0,16940.0,-41283.0,24343.0,0.197,-554509.0,250.0,FALL
2014-04-28,48750.0,49200.0,50000.0,48250.0,191638.0,54819.0,-9401.0,-45418.0,0.196,-599927.0,900.0,FALL
2014-04-29,48400.0,48850.0,49150.0,48150.0,88289.0,18060.0,-2992.0,-15068.0,0.196,-614995.0,350.0,FALL
2014-04-30,48750.0,48600.0,48950.0,48300.0,84473.0,-7547.0,5957.0,1590.0,0.197,-613405.0,350.0,RISE
2014-05-02,49950.0,48850.0,50000.0,48850.0,188664.0,-20746.0,-31905.0,52651.0,0.195,-560754.0,1200.0,RISE
2014-05-07,50500.0,51200.0,51200.0,50100.0,203705.0,-54115.0,13476.0,40639.0,0.196,-520115.0,550.0,RISE
2014-05-08,50500.0,50800.0,50800.0,49800.0,162678.0,-46536.0,-7315.0,53851.0,0.195,-466264.0,0.0,EVEN
2014-05-09,51000.0,52000.0,52300.0,50600.0,221527.0,-8031.0,-22213.0,30244.0,0.194,-436020.0,500.0,RISE
2014-05-12,50800.0,51200.0,51300.0,50300.0,128235.0,-24992.0,3555.0,21437.0,0.195,-414583.0,200.0,FALL
2014-05-13,50300.0,51300.0,52100.0,50100.0,197953.0,9487.0,4771.0,-14258.0,0.195,-428841.0,500.0,FALL
2014-05-14,49800.0,50300.0,50800.0,49450.0,219388.0,65552.0,5208.0,-70760.0,0.195,-499601.0,500.0,FALL
2014-05-15,46900.0,49750.0,50400.0,46500.0,963554.0,219753.0,15060.0,-234813.0,0.196,-734414.0,2900.0,FALL
2014-05-16,46950.0,47000.0,47450.0,46200.0,577654.0,93633.0,11572.0,-105205.0,0.197,-839619.0,50.0,RISE
2014-05-19,45800.0,47250.0,47300.0,43900.0,639202.0,87025.0,-26975.0,-60050.0,0.195,-899669.0,1150.0,FALL
2014-05-20,45700.0,45200.0,46000.0,44800.0,249048.0,-14403.0,-15573.0,29976.0,0.194,-869693.0,100.0,FALL
2014-05-21,45700.0,45700.0,46100.0,45350.0,138685.0,7576.0,-15806.0,8230.0,0.193,-861463.0,0.0,EVEN
2014-05-22,45700.0,45750.0,46100.0,45450.0,120461.0,3135.0,-22898.0,19763.0,0.192,-841700.0,0.0,EVEN
2014-05-23,46000.0,45650.0,46450.0,45650.0,142697.0,-20019.0,-16122.0,36141.0,0.191,-805559.0,300.0,RISE
2014-05-26,46700.0,46300.0,47100.0,46150.0,211120.0,-48378.0,14482.0,33896.0,0.192,-771663.0,700.0,RISE
