,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,11400.0,10700.0,11500.0,10650.0,1450789.0,-95960,101346,-5386,0.0448,-723711,700.0,RISE
2020-06-01,10700.0,10450.0,10700.0,10450.0,239473.0,-24349,16797,7552,0.0414,-718325,100.0,RISE
2020-05-29,10600.0,10600.0,10650.0,10400.0,147492.0,-23528,29245,-5717,0.0404,-725877,0.0,EVEN
2020-05-28,10600.0,10900.0,11000.0,10350.0,405122.0,48432,-26441,-21991,0.0391,-720160,300.0,FALL
2020-05-27,10900.0,10700.0,10900.0,10550.0,263512.0,27488,-12239,-15249,0.0399,-698169,200.0,RISE
2020-05-26,10700.0,10750.0,10750.0,10600.0,165430.0,-8488,3521,4967,0.0403,-682920,100.0,FALL
2020-05-25,10800.0,10800.0,10850.0,10550.0,145287.0,-916,-3251,4167,0.0399,-687887,100.0,RISE
2020-05-22,10750.0,11100.0,11150.0,10650.0,319905.0,,,,,,,
2020-05-21,11250.0,10650.0,11350.0,10550.0,700469.0,-18089.0,30604.0,-12515.0,0.042,-665263.0,650.0,RISE
2020-05-20,10600.0,10750.0,10750.0,10500.0,177166.0,-6401.0,6532.0,-131.0,0.0407,-652748.0,50.0,FALL
2020-05-19,10650.0,10700.0,10750.0,10450.0,181299.0,-4523.0,-3872.0,8395.0,0.0403,-652617.0,150.0,RISE
2020-05-18,10500.0,10900.0,10950.0,10500.0,253462.0,12145.0,-10807.0,-1338.0,0.0402,-661012.0,500.0,FALL
2020-05-15,11000.0,10950.0,11100.0,10800.0,216916.0,-5085.0,-595.0,5680.0,0.0405,-659674.0,100.0,RISE
2020-05-14,10900.0,10900.0,11500.0,10800.0,485040.0,76229.0,-64598.0,-11631.0,0.0402,-665354.0,100.0,FALL
2020-05-13,11000.0,10900.0,11150.0,10700.0,238481.0,18025.0,-28271.0,10246.0,0.0419,-653723.0,50.0,FALL
2020-05-12,11050.0,11550.0,11600.0,10800.0,424194.0,53595.0,-36543.0,-17052.0,0.0425,-663969.0,400.0,FALL
2020-05-11,11450.0,11200.0,11550.0,10850.0,581686.0,-47158.0,59099.0,-11941.0,0.0438,-646917.0,400.0,RISE
