,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,6610.0,6560.0,6740.0,6560.0,7562.0,3087,0,-3087,0.0,142883,90.0,FALL
2020-06-01,6700.0,6410.0,6840.0,6400.0,202773.0,135450,0,-135450,0.0008,145970,200.0,RISE
2020-05-29,6500.0,6360.0,6530.0,6290.0,40507.0,2974,0,-2974,0.0008,281420,60.0,RISE
2020-05-28,6440.0,6500.0,6500.0,6360.0,10055.0,187,0,-187,0.0008,284394,50.0,FALL
2020-05-27,6490.0,6520.0,6600.0,6460.0,5372.0,40,0,-40,0.0008,284581,40.0,FALL
2020-05-26,6530.0,6420.0,6600.0,6420.0,29549.0,17371,0,-17371,0.0008,284621,60.0,RISE
2020-05-25,6470.0,6450.0,6500.0,6420.0,10295.0,4090,0,-4090,0.0008,301992,20.0,RISE
2020-05-22,6490.0,6500.0,6510.0,6430.0,3071.0,,,,,,,
2020-05-21,6500.0,6430.0,6500.0,6400.0,6710.0,854.0,0.0,-854.0,0.0008,307503.0,70.0,RISE
2020-05-20,6430.0,6420.0,6490.0,6400.0,9896.0,1325.0,0.0,-1325.0,0.0008,308357.0,10.0,RISE
2020-05-19,6420.0,6500.0,6500.0,6350.0,4130.0,95.0,0.0,-95.0,0.0008,309682.0,40.0,RISE
2020-05-18,6380.0,6310.0,6490.0,6310.0,4787.0,507.0,0.0,-507.0,0.0008,309777.0,10.0,RISE
2020-05-15,6370.0,6250.0,6600.0,6150.0,54049.0,4936.0,0.0,-4936.0,0.0008,310284.0,50.0,RISE
2020-05-14,6320.0,6280.0,6320.0,6170.0,4426.0,-11.0,0.0,11.0,0.0008,315220.0,40.0,RISE
2020-05-13,6280.0,6230.0,6280.0,6180.0,2529.0,-1.0,0.0,1.0,0.0008,315209.0,40.0,FALL
2020-05-12,6320.0,6380.0,6380.0,6180.0,13068.0,1644.0,0.0,-1644.0,0.0008,315208.0,60.0,FALL
2020-05-11,6380.0,6320.0,6470.0,6310.0,21862.0,201.0,0.0,-201.0,0.0008,316852.0,20.0,FALL
2020-05-08,6400.0,6250.0,6420.0,6140.0,23401.0,1208.0,-9.0,-1199.0,0.0008,317053.0,270.0,RISE
2020-05-07,6130.0,6200.0,6400.0,6100.0,30340.0,2828.0,0.0,-2828.0,0.0008,318252.0,30.0,RISE
2020-05-06,6100.0,5900.0,6110.0,5880.0,23347.0,292.0,0.0,-292.0,0.0008,321080.0,220.0,RISE
2020-05-04,5880.0,5580.0,5900.0,5580.0,33041.0,452.0,0.0,-452.0,0.0008,321372.0,260.0,RISE
2020-04-29,5620.0,5620.0,5620.0,5580.0,5982.0,387.0,0.0,-387.0,0.0008,321824.0,30.0,RISE
2020-04-28,5590.0,5650.0,5680.0,5550.0,9975.0,-19.0,0.0,19.0,0.0008,322211.0,30.0,FALL
2020-04-27,5620.0,5490.0,5620.0,5490.0,37412.0,92.0,0.0,-92.0,0.0008,322192.0,130.0,RISE
2020-04-24,5490.0,5500.0,5550.0,5450.0,3391.0,-42.0,0.0,42.0,0.0008,322284.0,0.0,EVEN
2020-04-23,5490.0,5450.0,5600.0,5450.0,12812.0,-1797.0,0.0,1797.0,0.0008,322242.0,30.0,RISE
2020-04-22,5460.0,5370.0,5460.0,5370.0,11893.0,-707.0,0.0,707.0,0.0008,320445.0,0.0,EVEN
2020-04-21,5460.0,5450.0,5460.0,5370.0,6434.0,-16.0,0.0,16.0,0.0008,319738.0,10.0,RISE
2020-04-20,5450.0,5410.0,5520.0,5390.0,15792.0,174.0,0.0,-174.0,0.0008,319722.0,0.0,EVEN
2020-04-17,5450.0,5390.0,5480.0,5350.0,9103.0,-110.0,0.0,110.0,0.0008,319896.0,30.0,RISE
2020-04-16,5420.0,5350.0,5480.0,5350.0,3919.0,-115.0,0.0,115.0,0.0008,319786.0,10.0,RISE
2020-04-14,5410.0,5480.0,5480.0,5380.0,7337.0,379.0,0.0,-379.0,0.0008,319671.0,10.0,RISE
2020-04-13,5400.0,5470.0,5470.0,5360.0,10553.0,-139.0,0.0,139.0,0.0008,320050.0,40.0,FALL
2020-04-10,5440.0,5420.0,5520.0,5380.0,16267.0,-317.0,0.0,317.0,0.0008,319911.0,10.0,RISE
2020-04-09,5430.0,5520.0,5530.0,5410.0,16191.0,-631.0,0.0,631.0,0.0008,319594.0,30.0,FALL
2020-04-08,5460.0,5540.0,5540.0,5450.0,12803.0,-146.0,0.0,146.0,0.0008,318963.0,60.0,FALL
2020-04-07,5520.0,5500.0,5820.0,5450.0,52193.0,396.0,0.0,-396.0,0.0008,318817.0,140.0,RISE
2020-04-06,5380.0,5380.0,5400.0,5300.0,15028.0,-5.0,0.0,5.0,0.0008,319213.0,30.0,RISE
2020-04-03,5350.0,5310.0,5370.0,5310.0,2768.0,27.0,0.0,-27.0,0.0008,319208.0,40.0,RISE
2020-04-02,5310.0,5290.0,5310.0,5220.0,6076.0,389.0,0.0,-389.0,0.0008,319235.0,10.0,RISE
2020-04-01,5300.0,5370.0,5370.0,5200.0,16424.0,-503.0,0.0,503.0,0.0008,319624.0,70.0,FALL
2020-03-31,5370.0,5420.0,5420.0,5320.0,10942.0,532.0,0.0,-532.0,0.0008,319121.0,10.0,RISE
2020-03-30,5360.0,5400.0,5400.0,5260.0,19050.0,-121.0,0.0,121.0,0.0008,319653.0,70.0,FALL
2020-03-27,5430.0,5500.0,5500.0,5300.0,15354.0,-5651.0,0.0,5651.0,0.0008,319532.0,30.0,RISE
2020-03-26,5400.0,5370.0,5440.0,5300.0,25489.0,-3602.0,0.0,3602.0,0.0008,313881.0,0.0,EVEN
2020-03-25,5400.0,5320.0,5470.0,5280.0,21941.0,-6045.0,0.0,6045.0,0.0008,310279.0,200.0,RISE
2020-03-24,5200.0,5500.0,5500.0,5130.0,8487.0,-6267.0,0.0,6267.0,0.0008,304234.0,130.0,RISE
2020-03-23,5070.0,5330.0,5460.0,5010.0,40274.0,-4979.0,0.0,4979.0,0.0024,297967.0,430.0,FALL
2020-03-20,5500.0,5440.0,5500.0,5300.0,10398.0,-6260.0,0.0,6260.0,0.0024,292988.0,40.0,FALL
2020-03-19,5540.0,5690.0,5690.0,5260.0,17479.0,-5096.0,0.0,5096.0,0.0065,286728.0,150.0,FALL
2020-03-18,5690.0,5610.0,5780.0,5570.0,9761.0,-6103.0,0.0,6103.0,0.0065,281632.0,80.0,RISE
2020-03-17,5610.0,5010.0,5880.0,5010.0,19258.0,-15723.0,-982.0,16705.0,0.0098,275529.0,240.0,RISE
2020-03-16,5370.0,5400.0,5550.0,5250.0,8606.0,-605.0,-226.0,831.0,0.01,258824.0,10.0,RISE
2020-03-13,5360.0,5050.0,5530.0,5010.0,44456.0,-9887.0,-120.0,10007.0,0.0101,257993.0,200.0,FALL
2020-03-12,5560.0,5830.0,5830.0,5500.0,37189.0,1147.0,-8.0,-1139.0,0.0101,247986.0,190.0,FALL
2020-03-11,5750.0,5800.0,5890.0,5700.0,13987.0,-393.0,162.0,231.0,0.0101,249125.0,40.0,FALL
2020-03-10,5790.0,5840.0,5920.0,5720.0,7964.0,61.0,290.0,-351.0,0.0101,248894.0,10.0,FALL
2020-03-09,5800.0,5860.0,5980.0,5800.0,44072.0,936.0,277.0,-1213.0,0.01,249245.0,110.0,FALL
2020-03-06,5910.0,5950.0,6000.0,5880.0,12698.0,-486.0,484.0,2.0,0.0099,250458.0,40.0,FALL
2020-03-05,5950.0,5910.0,6010.0,5900.0,12292.0,-88.0,123.0,-35.0,0.0098,250456.0,50.0,FALL
2020-03-04,6000.0,6020.0,6020.0,5800.0,26712.0,1562.0,-1835.0,273.0,0.0098,250491.0,40.0,RISE
2020-03-03,5960.0,6000.0,6040.0,5890.0,15100.0,-200.0,-10.0,210.0,0.0103,250218.0,30.0,FALL
2020-03-02,5990.0,5920.0,6000.0,5770.0,16902.0,-487.0,57.0,430.0,0.0103,250008.0,70.0,RISE
