,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,8000.0,8080.0,8210.0,7930.0,121212.0,-1097,1097,0,0.0123,8492,100.0,FALL
2020-06-01,8100.0,8180.0,8190.0,8010.0,118600.0,-8008,8008,0,0.0122,8492,10.0,FALL
2020-05-29,8110.0,8440.0,8460.0,8060.0,205759.0,19387,-19387,0,0.0114,8492,470.0,FALL
2020-05-28,8580.0,8480.0,8660.0,7940.0,709428.0,6499,-6499,0,0.0133,8492,160.0,RISE
2020-05-27,8420.0,8640.0,8640.0,8390.0,101093.0,-950,950,0,0.014,8492,230.0,FALL
2020-05-26,8650.0,8550.0,8670.0,8380.0,185136.0,1146,-1146,0,0.0139,8492,350.0,RISE
2020-05-25,8300.0,8300.0,8300.0,8170.0,130755.0,823,-823,0,0.014,8492,0.0,EVEN
2020-05-22,8250.0,8260.0,8540.0,8000.0,380479.0,,,,,,,
2020-05-21,8210.0,7930.0,9280.0,7630.0,2422620.0,43317.0,-43317.0,0.0,0.0134,1566.0,1010.0,RISE
2020-05-20,7200.0,7350.0,7430.0,7170.0,104715.0,-5982.0,5982.0,0.0,0.0177,1566.0,80.0,FALL
2020-05-19,7280.0,7340.0,7340.0,7140.0,74345.0,-2129.0,2129.0,0.0,0.0171,1566.0,70.0,RISE
2020-05-18,7210.0,7340.0,7340.0,7150.0,75630.0,3059.0,-3059.0,0.0,0.0169,1566.0,10.0,RISE
2020-05-15,7200.0,7410.0,7440.0,7100.0,138557.0,1609.0,-1609.0,0.0,0.0172,1566.0,90.0,FALL
2020-05-14,7290.0,7230.0,7500.0,7100.0,708527.0,17623.0,-17623.0,0.0,0.0174,1566.0,190.0,RISE
2020-05-13,7100.0,6160.0,7400.0,6050.0,422212.0,28797.0,-28797.0,0.0,0.0191,1566.0,880.0,RISE
2020-05-12,6220.0,6260.0,6270.0,6030.0,34713.0,6869.0,-6869.0,0.0,0.022000000000000002,1566.0,60.0,FALL
2020-05-11,6280.0,6400.0,6400.0,6160.0,36102.0,512.0,-512.0,0.0,0.0227,1566.0,70.0,FALL
2020-05-08,6350.0,6190.0,6500.0,6190.0,59374.0,-3942.0,3942.0,0.0,0.0227,1566.0,170.0,RISE
2020-05-07,6180.0,6250.0,6300.0,6130.0,32663.0,-8340.0,8340.0,0.0,0.0223,1566.0,70.0,FALL
2020-05-06,6250.0,6050.0,6270.0,6040.0,44817.0,1857.0,-1857.0,0.0,0.0216,1566.0,200.0,RISE
2020-05-04,6050.0,6090.0,6200.0,5950.0,17450.0,-2277.0,2277.0,0.0,0.0218,1566.0,80.0,FALL
2020-04-29,6130.0,6130.0,6230.0,6100.0,26312.0,3148.0,-3148.0,0.0,0.0215,1566.0,0.0,EVEN
2020-04-28,6130.0,6340.0,6340.0,6000.0,59275.0,1699.0,-1698.0,-1.0,0.022000000000000002,1566.0,0.0,EVEN
2020-04-27,6130.0,5830.0,6190.0,5830.0,96953.0,-20855.0,20855.0,0.0,0.0222,1567.0,330.0,RISE
2020-04-24,5800.0,6010.0,6010.0,5750.0,36521.0,1089.0,-1089.0,0.0,0.0201,1567.0,150.0,FALL
2020-04-23,5950.0,5910.0,6050.0,5890.0,30792.0,4423.0,-4423.0,0.0,0.0202,1567.0,60.0,RISE
2020-04-22,5890.0,5890.0,5900.0,5700.0,27074.0,-4247.0,4247.0,0.0,0.0207,1567.0,0.0,EVEN
2020-04-21,5890.0,6020.0,6090.0,5490.0,107338.0,6386.0,-6386.0,0.0,0.0203,1567.0,170.0,FALL
2020-04-20,6060.0,6010.0,6200.0,6010.0,39032.0,-1362.0,1362.0,0.0,0.0209,1567.0,50.0,RISE
2020-04-17,6010.0,6010.0,6120.0,5950.0,91097.0,5942.0,-5942.0,0.0,0.0208,1567.0,140.0,RISE
2020-04-16,5870.0,5650.0,6000.0,5540.0,74508.0,-2088.0,2088.0,0.0,0.0214,1567.0,240.0,RISE
2020-04-14,5630.0,5620.0,5740.0,5520.0,50448.0,1914.0,-1914.0,0.0,0.0212,1567.0,50.0,RISE
2020-04-13,5580.0,5590.0,5750.0,5520.0,71667.0,-1999.0,1999.0,0.0,0.0213,1567.0,10.0,FALL
2020-04-10,5590.0,5560.0,5660.0,5490.0,49499.0,6081.0,-6081.0,0.0,0.0211,1567.0,30.0,RISE
2020-04-09,5560.0,5700.0,5780.0,5550.0,48320.0,2182.0,-2182.0,0.0,0.0218,1567.0,20.0,RISE
2020-04-08,5540.0,5610.0,5650.0,5320.0,51976.0,-370.0,370.0,0.0,0.022000000000000002,1567.0,110.0,FALL
2020-04-07,5650.0,5230.0,5900.0,5230.0,195756.0,12079.0,-12079.0,0.0,0.0219,1567.0,520.0,RISE
2020-04-06,5130.0,5040.0,5250.0,5010.0,37740.0,-6985.0,6985.0,0.0,0.0231,1567.0,90.0,RISE
2020-04-03,5040.0,5150.0,5150.0,4900.0,24577.0,1800.0,-1800.0,0.0,0.0224,1567.0,40.0,RISE
2020-04-02,5000.0,4920.0,5040.0,4875.0,38866.0,-6829.0,6829.0,0.0,0.0226,1567.0,0.0,EVEN
2020-04-01,5000.0,5050.0,5290.0,4940.0,45820.0,6194.0,-5052.0,-1142.0,0.0219,1567.0,50.0,FALL
2020-03-31,5050.0,5000.0,5150.0,4935.0,51726.0,-705.0,705.0,0.0,0.0224,2709.0,135.0,RISE
2020-03-30,4915.0,4830.0,4920.0,4570.0,28562.0,1605.0,-1605.0,0.0,0.0224,2709.0,45.0,FALL
2020-03-27,4960.0,5120.0,5280.0,4800.0,111406.0,8075.0,-8075.0,0.0,0.0225,2709.0,15.0,RISE
2020-03-26,4945.0,4320.0,5090.0,4300.0,134683.0,7155.0,-7155.0,0.0,0.0213,2709.0,595.0,RISE
2020-03-25,4350.0,4100.0,4475.0,4000.0,94344.0,2875.0,-2875.0,0.0,0.022000000000000002,2709.0,555.0,RISE
2020-03-24,3795.0,3675.0,3840.0,3500.0,70046.0,-4427.0,4427.0,0.0,0.0223,2709.0,310.0,RISE
2020-03-23,3485.0,3415.0,3585.0,3375.0,61344.0,10103.0,-11245.0,1142.0,0.022000000000000002,2709.0,265.0,FALL
2020-03-20,3750.0,3250.0,3770.0,3250.0,129971.0,-22871.0,22771.0,100.0,0.0231,1567.0,530.0,RISE
2020-03-19,3220.0,4265.0,4485.0,3210.0,112891.0,936.0,-936.0,0.0,0.0208,1467.0,1010.0,FALL
2020-03-18,4230.0,4685.0,4740.0,4230.0,46114.0,4458.0,-4458.0,0.0,0.0211,1467.0,365.0,FALL
2020-03-17,4595.0,4200.0,4795.0,4200.0,68467.0,-10950.0,10950.0,0.0,0.0219,1467.0,135.0,FALL
2020-03-16,4730.0,4955.0,5200.0,4725.0,65103.0,2583.0,-2583.0,0.0,0.0208,1467.0,175.0,FALL
2020-03-13,4905.0,4780.0,5210.0,4515.0,125190.0,-581.0,581.0,0.0,0.021,1467.0,665.0,FALL
2020-03-12,5570.0,6250.0,6250.0,5510.0,115341.0,20206.0,-20206.0,0.0,0.021,1467.0,640.0,FALL
2020-03-11,6210.0,6540.0,6690.0,6210.0,68844.0,8959.0,-8959.0,0.0,0.023,1467.0,340.0,FALL
2020-03-10,6550.0,6280.0,6570.0,6190.0,77005.0,17898.0,-17898.0,0.0,0.0233,1467.0,180.0,RISE
2020-03-09,6370.0,6680.0,6800.0,6350.0,79289.0,16513.0,-16513.0,0.0,0.0251,1467.0,520.0,FALL
2020-03-06,6890.0,6960.0,7040.0,6850.0,25205.0,-988.0,988.0,0.0,0.0268,1467.0,150.0,FALL
2020-03-05,7040.0,7090.0,7190.0,6940.0,53355.0,-11908.0,11908.0,0.0,0.0267,1467.0,30.0,RISE
2020-03-04,7010.0,6240.0,7510.0,6240.0,245556.0,-14004.0,14004.0,0.0,0.0255,1467.0,460.0,RISE
2020-03-03,6550.0,6790.0,6790.0,6400.0,32043.0,639.0,-639.0,0.0,0.0249,1467.0,50.0,RISE
2020-03-02,6500.0,6380.0,6540.0,6200.0,83264.0,-3746.0,3746.0,0.0,0.025,1467.0,40.0,RISE
2020-02-28,6460.0,6750.0,6930.0,6430.0,99398.0,31099.0,-31099.0,0.0,0.0246,1467.0,380.0,FALL
2020-02-27,6840.0,7390.0,7390.0,6790.0,77344.0,23966.0,-23966.0,0.0,0.0277,1467.0,410.0,FALL
2020-02-26,7250.0,7160.0,7260.0,7040.0,45025.0,-5679.0,5679.0,0.0,0.0315,1467.0,50.0,RISE
2020-02-25,7200.0,6930.0,7240.0,6920.0,77021.0,-12077.0,12077.0,0.0,0.0309,1467.0,170.0,RISE
2020-02-24,7030.0,7070.0,7290.0,6960.0,93735.0,-581.0,581.0,0.0,0.0297,1467.0,370.0,FALL
2020-02-21,7400.0,7510.0,7700.0,7380.0,89584.0,-3058.0,3058.0,0.0,0.0297,1467.0,330.0,FALL
2020-02-20,7730.0,8000.0,8090.0,7690.0,104966.0,-2531.0,2531.0,0.0,0.0294,1467.0,200.0,FALL
2020-02-19,7930.0,8000.0,8140.0,7750.0,115866.0,-22018.0,22018.0,0.0,0.0291,1467.0,90.0,FALL
2020-02-18,8020.0,7830.0,8500.0,7780.0,954777.0,42691.0,-42691.0,0.0,0.0269,1467.0,180.0,RISE
2020-02-17,7840.0,7650.0,7840.0,7580.0,89812.0,-24644.0,24644.0,0.0,0.0312,1467.0,260.0,RISE
2020-02-14,7580.0,7450.0,7720.0,7450.0,56262.0,-14189.0,14189.0,0.0,0.0287,1467.0,120.0,RISE
2020-02-13,7460.0,7620.0,7620.0,7400.0,36375.0,-7267.0,7267.0,0.0,0.0273,1467.0,90.0,FALL
2020-02-12,7550.0,7620.0,7650.0,7510.0,39893.0,-3945.0,3945.0,0.0,0.0266,1467.0,50.0,FALL
2020-02-11,7600.0,7210.0,7930.0,7210.0,250214.0,8940.0,-8940.0,0.0,0.0262,1467.0,340.0,RISE
2020-02-10,7260.0,7270.0,7300.0,7200.0,14649.0,-3154.0,3154.0,0.0,0.0271,1467.0,20.0,FALL
2020-02-07,7280.0,7350.0,7350.0,7200.0,6538.0,1440.0,-1440.0,0.0,0.0268,1467.0,20.0,RISE
2020-02-06,7260.0,7160.0,7350.0,7160.0,22940.0,-4854.0,4854.0,0.0,0.0269,1467.0,100.0,RISE
2020-02-05,7160.0,7100.0,7260.0,7050.0,23921.0,-939.0,939.0,0.0,0.0264,1467.0,130.0,RISE
2020-02-04,7030.0,6860.0,7050.0,6860.0,12987.0,-1084.0,1084.0,0.0,0.0263,1467.0,200.0,RISE
2020-02-03,6830.0,6700.0,6960.0,6610.0,41200.0,1579.0,-1579.0,0.0,0.0262,1467.0,70.0,FALL
2020-01-31,6900.0,7080.0,7160.0,6890.0,40341.0,10864.0,-10864.0,0.0,0.0264,1467.0,190.0,FALL
2020-01-30,7090.0,7270.0,7340.0,7080.0,60792.0,2626.0,-2626.0,0.0,0.0275,1467.0,230.0,FALL
2020-01-29,7320.0,7360.0,7460.0,7200.0,27070.0,-2704.0,2704.0,0.0,0.0277,1467.0,20.0,FALL
2020-01-28,7340.0,7300.0,7490.0,7200.0,57087.0,3425.0,-3425.0,0.0,0.0275,1467.0,350.0,FALL
2020-01-23,7690.0,7780.0,7790.0,7600.0,39836.0,341.0,-341.0,0.0,0.0278,1467.0,30.0,FALL
2020-01-22,7720.0,7510.0,7850.0,7510.0,50606.0,-3009.0,3009.0,0.0,0.0278,1467.0,140.0,RISE
2020-01-21,7580.0,7650.0,7730.0,7530.0,38479.0,4780.0,-4780.0,0.0,0.0275,1467.0,120.0,FALL
2020-01-20,7700.0,7740.0,7790.0,7690.0,35293.0,6169.0,-6169.0,0.0,0.027999999999999997,1467.0,0.0,EVEN
2020-01-17,7700.0,7760.0,7770.0,7650.0,35823.0,-5965.0,5965.0,0.0,0.0286,1467.0,40.0,RISE
2020-01-16,7660.0,7770.0,7790.0,7630.0,58235.0,-633.0,633.0,0.0,0.027999999999999997,1467.0,100.0,FALL
2020-01-15,7760.0,7430.0,7890.0,7390.0,220429.0,-15950.0,15950.0,0.0,0.027999999999999997,1467.0,330.0,RISE
2020-01-14,7430.0,7450.0,7500.0,7390.0,33766.0,-811.0,811.0,0.0,0.0265,1467.0,0.0,EVEN
2020-01-13,7430.0,7480.0,7480.0,7320.0,20759.0,-3340.0,3340.0,0.0,0.026000000000000002,1467.0,30.0,RISE
2020-01-10,7400.0,7280.0,7480.0,7210.0,31443.0,-4206.0,4206.0,0.0,0.0257,1467.0,120.0,RISE
2020-01-09,7280.0,7240.0,7380.0,7240.0,25753.0,-3520.0,3520.0,0.0,0.0252,1467.0,120.0,RISE
2020-01-08,7160.0,7420.0,7420.0,7020.0,60630.0,5380.0,-5380.0,0.0,0.0249,1467.0,240.0,FALL
2020-01-07,7400.0,7560.0,7590.0,7370.0,44012.0,4617.0,-4617.0,0.0,0.0255,1467.0,60.0,FALL
2020-01-06,7460.0,7300.0,7500.0,7260.0,74994.0,279.0,-279.0,0.0,0.0259,1467.0,170.0,RISE
2020-01-03,7290.0,7400.0,7450.0,7290.0,24770.0,394.0,-394.0,0.0,0.026000000000000002,1467.0,110.0,FALL
2020-01-02,7400.0,7370.0,7440.0,7300.0,24038.0,-5600.0,5600.0,0.0,0.026000000000000002,1467.0,30.0,RISE
2019-12-30,7370.0,7200.0,7390.0,7190.0,37848.0,-814.0,814.0,0.0,0.0254,1467.0,170.0,RISE
2019-12-27,7200.0,7180.0,7220.0,7070.0,16077.0,-422.0,422.0,0.0,0.0254,1467.0,120.0,RISE
2019-12-26,7080.0,7040.0,7140.0,7000.0,14433.0,-1097.0,1097.0,0.0,0.0253,1467.0,20.0,FALL
2019-12-24,7100.0,7200.0,7200.0,7000.0,13721.0,378.0,-378.0,0.0,0.0252,1467.0,70.0,FALL
2019-12-23,7170.0,7260.0,7330.0,7170.0,10291.0,1721.0,-1721.0,0.0,0.0252,1467.0,60.0,FALL
2019-12-20,7230.0,7230.0,7290.0,7150.0,17258.0,1362.0,-1362.0,0.0,0.0254,1467.0,30.0,RISE
2019-12-19,7200.0,7400.0,7420.0,7200.0,37409.0,907.0,-907.0,0.0,0.0255,1467.0,170.0,FALL
2019-12-18,7370.0,7380.0,7500.0,7250.0,57370.0,5800.0,-5800.0,0.0,0.0256,1467.0,40.0,RISE
2019-12-17,7330.0,7400.0,7400.0,7270.0,14271.0,464.0,-464.0,0.0,0.0262,1467.0,50.0,FALL
2019-12-16,7380.0,7390.0,7390.0,7210.0,15279.0,-613.0,613.0,0.0,0.0263,1467.0,80.0,RISE
2019-12-13,7300.0,7290.0,7340.0,7240.0,17787.0,769.0,-769.0,0.0,0.0262,1467.0,60.0,RISE
2019-12-12,7240.0,7220.0,7300.0,7200.0,16484.0,3291.0,-3291.0,0.0,0.0263,1467.0,10.0,RISE
2019-12-11,7230.0,7190.0,7240.0,7130.0,13320.0,557.0,-557.0,0.0,0.0266,1467.0,30.0,RISE
2019-12-10,7200.0,7060.0,7250.0,7060.0,16074.0,2144.0,-2144.0,0.0,0.0266,1467.0,50.0,RISE
2019-12-09,7150.0,6920.0,7180.0,6900.0,18062.0,1725.0,-1725.0,0.0,0.0268,1467.0,230.0,RISE
2019-12-06,6920.0,6650.0,6950.0,6650.0,24643.0,-1871.0,1871.0,0.0,0.027000000000000003,1467.0,140.0,RISE
2019-12-05,6780.0,6930.0,7010.0,6730.0,40787.0,4790.0,-4790.0,0.0,0.0268,1467.0,170.0,FALL
2019-12-04,6950.0,6950.0,7070.0,6930.0,11217.0,3106.0,-3106.0,0.0,0.0273,1467.0,70.0,FALL
2019-12-03,7020.0,6920.0,7070.0,6820.0,15196.0,1630.0,-1630.0,0.0,0.0276,1467.0,20.0,RISE
2019-12-02,7000.0,7140.0,7140.0,6970.0,11354.0,1781.0,-1781.0,0.0,0.0278,1467.0,20.0,FALL
2019-11-29,7020.0,7150.0,7150.0,6990.0,30264.0,2760.0,-2760.0,0.0,0.027999999999999997,1467.0,110.0,FALL
2019-11-28,7130.0,7240.0,7240.0,7100.0,15340.0,3208.0,-3208.0,0.0,0.0282,1467.0,60.0,FALL
2019-11-27,7190.0,7250.0,7350.0,7170.0,20878.0,2022.0,-2022.0,0.0,0.0286,1467.0,80.0,FALL
2019-11-26,7270.0,7300.0,7350.0,7260.0,11111.0,-347.0,347.0,0.0,0.0288,1467.0,10.0,FALL
2019-11-25,7280.0,7200.0,7340.0,7200.0,12954.0,1594.0,-1594.0,0.0,0.0287,1467.0,80.0,RISE
2019-11-22,7200.0,7190.0,7350.0,7040.0,33540.0,2710.0,-2710.0,0.0,0.0289,1467.0,60.0,RISE
2019-11-21,7140.0,7300.0,7320.0,7030.0,45656.0,3176.0,-3176.0,0.0,0.0292,1467.0,260.0,FALL
2019-11-20,7400.0,7650.0,7650.0,7250.0,48627.0,5246.0,-5246.0,0.0,0.0295,1467.0,170.0,FALL
2019-11-19,7570.0,7760.0,7760.0,7520.0,38186.0,3446.0,-3446.0,0.0,0.03,1467.0,110.0,FALL
2019-11-18,7680.0,7780.0,7800.0,7670.0,13837.0,1839.0,-1839.0,0.0,0.0304,1467.0,60.0,FALL
2019-11-15,7740.0,7660.0,7830.0,7640.0,23506.0,-4708.0,4708.0,0.0,0.0305,1467.0,60.0,FALL
2019-11-14,7800.0,7690.0,7810.0,7660.0,15218.0,587.0,-587.0,0.0,0.0302,1467.0,100.0,RISE
2019-11-13,7700.0,7770.0,7770.0,7650.0,26208.0,-721.0,721.0,0.0,0.0302,1467.0,70.0,FALL
2019-11-12,7770.0,7900.0,7900.0,7680.0,26886.0,1295.0,-1295.0,0.0,0.0301,1467.0,70.0,FALL
2019-11-11,7840.0,7990.0,7990.0,7640.0,50512.0,24800.0,-4800.0,-20000.0,0.0303,1467.0,150.0,FALL
2019-11-08,7990.0,8130.0,8130.0,7880.0,29025.0,3765.0,-3765.0,0.0,0.0308,21467.0,60.0,FALL
2019-11-07,8050.0,8080.0,8150.0,8000.0,26614.0,-838.0,838.0,0.0,0.0311,21467.0,60.0,FALL
2019-11-06,8110.0,8190.0,8190.0,8060.0,19658.0,-788.0,788.0,0.0,0.031,21467.0,30.0,RISE
2019-11-05,8080.0,8220.0,8300.0,8020.0,42074.0,-8330.0,8330.0,0.0,0.031,21467.0,150.0,FALL
2019-11-04,8230.0,8250.0,8400.0,8080.0,43368.0,-7669.0,7669.0,0.0,0.0301,21467.0,40.0,RISE
2019-11-01,8190.0,8150.0,8250.0,8080.0,36297.0,-797.0,797.0,0.0,0.0294,21467.0,30.0,RISE
2019-10-31,8160.0,7950.0,8280.0,7950.0,94533.0,-14686.0,14686.0,0.0,0.0293,21467.0,210.0,RISE
2019-10-30,7950.0,7970.0,8090.0,7910.0,36607.0,-1621.0,1621.0,0.0,0.0278,21467.0,20.0,FALL
2019-10-29,7970.0,7900.0,8020.0,7900.0,18011.0,-1044.0,1044.0,0.0,0.0277,21467.0,70.0,RISE
2019-10-28,7900.0,7950.0,8090.0,7830.0,54250.0,-14642.0,14642.0,0.0,0.0276,21467.0,120.0,RISE
2019-10-25,7780.0,7800.0,7880.0,7740.0,22357.0,-3131.0,3131.0,0.0,0.0261,21467.0,20.0,RISE
2019-10-24,7760.0,7780.0,7870.0,7720.0,23643.0,-1118.0,1118.0,0.0,0.0258,21467.0,20.0,FALL
2019-10-23,7780.0,8030.0,8030.0,7750.0,50294.0,2765.0,-2765.0,0.0,0.0257,21467.0,220.0,FALL
2019-10-22,8000.0,8010.0,8110.0,7950.0,38112.0,1310.0,-1310.0,0.0,0.0259,21467.0,0.0,EVEN
2019-10-21,8000.0,8060.0,8090.0,7950.0,30081.0,1218.0,-1218.0,0.0,0.0261,21467.0,10.0,FALL
2019-10-18,8010.0,8090.0,8190.0,7990.0,33961.0,-612.0,612.0,0.0,0.0262,21467.0,100.0,FALL
2019-10-17,8110.0,8120.0,8190.0,8020.0,40867.0,-9174.0,9174.0,0.0,0.0261,21467.0,10.0,RISE
2019-10-16,8100.0,8320.0,8320.0,8070.0,76439.0,9687.0,-9687.0,0.0,0.0252,21467.0,220.0,FALL
2019-10-15,8320.0,8140.0,8320.0,8040.0,74621.0,-25610.0,25610.0,0.0,0.0262,21467.0,260.0,RISE
2019-10-14,8060.0,7990.0,8160.0,7990.0,41561.0,-11982.0,11982.0,0.0,0.0236,21467.0,110.0,RISE
2019-10-11,7950.0,7880.0,8150.0,7850.0,62798.0,-14201.0,14201.0,0.0,0.0224,21467.0,80.0,RISE
2019-10-10,7870.0,7670.0,7900.0,7630.0,33843.0,-1435.0,1435.0,0.0,0.021,21467.0,200.0,RISE
2019-10-08,7670.0,7560.0,7710.0,7340.0,39096.0,-11665.0,11665.0,0.0,0.0209,21467.0,120.0,RISE
2019-10-07,7550.0,7810.0,7950.0,7480.0,71123.0,-2232.0,2232.0,0.0,0.0197,21467.0,250.0,FALL
2019-10-04,7800.0,8030.0,8100.0,7800.0,64045.0,13527.0,-13527.0,0.0,0.0189,21467.0,300.0,FALL
2019-10-02,8100.0,8210.0,8210.0,8000.0,103105.0,9608.0,-9608.0,0.0,0.0203,21467.0,130.0,FALL
2019-10-01,8230.0,7890.0,8240.0,7890.0,91678.0,-15697.0,15697.0,0.0,0.0212,21467.0,350.0,RISE
2019-09-30,7880.0,7940.0,7980.0,7760.0,38983.0,4861.0,-4860.0,-1.0,0.0197,21467.0,70.0,FALL
2019-09-27,7950.0,7870.0,8000.0,7840.0,30792.0,-1824.0,1824.0,0.0,0.0201,21468.0,0.0,EVEN
2019-09-26,7950.0,7980.0,8240.0,7870.0,89037.0,-8586.0,8586.0,0.0,0.02,21468.0,70.0,RISE
2019-09-25,7880.0,8100.0,8100.0,7790.0,121138.0,6989.0,-6989.0,0.0,0.0191,21468.0,170.0,FALL
2019-09-24,8050.0,8190.0,8640.0,8050.0,661402.0,91551.0,-91551.0,0.0,0.0198,21468.0,200.0,RISE
2019-09-23,7850.0,7900.0,7950.0,7820.0,23345.0,-4022.0,4022.0,0.0,0.028999999999999998,21468.0,80.0,FALL
2019-09-20,7930.0,7920.0,8000.0,7840.0,46401.0,-18536.0,18536.0,0.0,0.0286,21468.0,50.0,RISE
2019-09-19,7880.0,7900.0,7970.0,7830.0,26566.0,-1683.0,1683.0,0.0,0.0267,21468.0,30.0,RISE
2019-09-18,7850.0,7960.0,7960.0,7810.0,44159.0,-1908.0,1908.0,0.0,0.0265,21468.0,100.0,FALL
2019-09-17,7950.0,7780.0,7960.0,7700.0,70015.0,-20748.0,20748.0,0.0,0.0263,21468.0,180.0,RISE
2019-09-16,7770.0,7760.0,7830.0,7670.0,23795.0,-1597.0,1597.0,0.0,0.0243,21468.0,80.0,RISE
2019-09-11,7690.0,7560.0,7720.0,7530.0,32031.0,-16597.0,16597.0,0.0,0.0241,21468.0,180.0,RISE
2019-09-10,7510.0,7440.0,7590.0,7430.0,23265.0,-5478.0,5478.0,0.0,0.0225,21468.0,10.0,RISE
