,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,1810.0,1740.0,1840.0,1730.0,1798412.0,-170060,170101,-41,0.0441,-477749,80.0,RISE
2020-06-01,1730.0,1710.0,1740.0,1700.0,510183.0,-128792,128828,-36,0.0406,-477708,20.0,RISE
2020-05-29,1710.0,1670.0,1780.0,1650.0,1557087.0,156035,-156032,-3,0.0379,-477672,40.0,RISE
2020-05-28,1670.0,1700.0,1750.0,1625.0,674465.0,-7323,7346,-23,0.0411,-477669,30.0,FALL
2020-05-27,1700.0,1710.0,1725.0,1690.0,255830.0,-35360,35372,-12,0.041,-477646,10.0,FALL
2020-05-26,1710.0,1690.0,1725.0,1685.0,334714.0,23720,-23714,-6,0.0402,-477634,20.0,RISE
2020-05-25,1690.0,1675.0,1700.0,1650.0,208259.0,-41827,42534,-707,0.0407,-477628,20.0,RISE
2020-05-22,1680.0,1720.0,1725.0,1675.0,239808.0,,,,,,,
2020-05-21,1710.0,1755.0,1755.0,1705.0,331443.0,44995.0,-44982.0,-13.0,0.0407,-315961.0,20.0,FALL
2020-05-20,1730.0,1695.0,1760.0,1685.0,918044.0,-207688.0,207676.0,12.0,0.0416,-315948.0,50.0,RISE
2020-05-19,1680.0,1690.0,1700.0,1670.0,348707.0,-38536.0,64631.0,-26095.0,0.0373,-315960.0,25.0,RISE
2020-05-18,1655.0,1665.0,1700.0,1640.0,425598.0,-25854.0,78206.0,-52352.0,0.0359,-289865.0,10.0,FALL
2020-05-15,1665.0,1695.0,1710.0,1665.0,329699.0,-8814.0,8800.0,14.0,0.0343,-237513.0,20.0,FALL
2020-05-14,1685.0,1690.0,1710.0,1670.0,468348.0,-61206.0,61222.0,-16.0,0.0341,-237527.0,10.0,FALL
2020-05-13,1695.0,1670.0,1820.0,1635.0,1200086.0,193257.0,-193207.0,-50.0,0.0324,-237511.0,0.0,EVEN
2020-05-12,1695.0,1720.0,1730.0,1655.0,448045.0,53311.0,-53176.0,-135.0,0.0364,-237461.0,15.0,FALL
2020-05-11,1710.0,1755.0,1780.0,1700.0,411147.0,8128.0,-8107.0,-21.0,0.0375,-237326.0,30.0,FALL
2020-05-08,1740.0,1755.0,1780.0,1735.0,652422.0,16202.0,-16182.0,-20.0,0.0377,-237305.0,15.0,RISE
2020-05-07,1725.0,1690.0,1765.0,1675.0,1218594.0,-80203.0,80167.0,36.0,0.038,-237285.0,45.0,RISE
2020-05-06,1680.0,1685.0,1695.0,1665.0,433051.0,-126546.0,126544.0,2.0,0.0363,-237321.0,15.0,RISE
2020-05-04,1665.0,1675.0,1710.0,1655.0,455978.0,-9643.0,9663.0,-20.0,0.0337,-237323.0,15.0,FALL
2020-04-29,1680.0,1680.0,1740.0,1680.0,773945.0,22093.0,-22072.0,-21.0,0.0335,-237303.0,0.0,EVEN
2020-04-28,1680.0,1700.0,1710.0,1645.0,923491.0,-59826.0,59946.0,-120.0,0.0339,-237282.0,5.0,FALL
2020-04-27,1685.0,1680.0,1750.0,1660.0,1395910.0,-89624.0,89621.0,3.0,0.0327,-237162.0,65.0,RISE
2020-04-24,1620.0,1685.0,1710.0,1620.0,936638.0,14695.0,-14698.0,3.0,0.0308,-237165.0,60.0,FALL
2020-04-23,1680.0,1690.0,1720.0,1670.0,747487.0,-80671.0,81227.0,-556.0,0.0311,-237168.0,10.0,RISE
2020-04-22,1670.0,1605.0,1690.0,1590.0,937830.0,-51648.0,51648.0,0.0,0.0294,-236612.0,40.0,RISE
