날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2018-12-05,5330.0,4100.0,5330.0,4100.0,12358031.0,2601706.0,-71720.0,-2529986.0,0.0,-2529986.0,1230.0,UPPER_LIMIT
2018-12-06,4600.0,5470.0,5500.0,4525.0,7999000.0,183882.0,28383.0,-212265.0,0.0019,-2742251.0,730.0,FALL
2018-12-07,4020.0,4480.0,4490.0,3930.0,4072116.0,27637.0,-22408.0,-5229.0,0.0004,-2747480.0,580.0,FALL
2018-12-10,4160.0,4195.0,4430.0,4010.0,4848647.0,-10910.0,25116.0,-14206.0,0.0021,-2761686.0,140.0,RISE
2018-12-11,4265.0,4470.0,4820.0,4160.0,7780284.0,114855.0,-28177.0,-86678.0,0.0002,-2848364.0,105.0,RISE
2018-12-12,4160.0,4135.0,4335.0,4070.0,1909535.0,-4082.0,4082.0,0.0,0.0005,-2848364.0,105.0,FALL
2018-12-13,4040.0,4190.0,4205.0,3990.0,1610948.0,6996.0,-6996.0,0.0,0.0,-2848364.0,120.0,FALL
2018-12-14,3720.0,4065.0,4125.0,3660.0,1193195.0,-757.0,5752.0,-4995.0,0.0004,-2853359.0,320.0,FALL
2018-12-17,3745.0,3710.0,4080.0,3640.0,1435843.0,2143.0,-2143.0,0.0,0.0002,-2853359.0,25.0,RISE
2018-12-18,3470.0,3700.0,3795.0,3400.0,799934.0,1930.0,-1930.0,0.0,0.0001,-2853359.0,275.0,FALL
2018-12-19,3425.0,3470.0,3590.0,3405.0,510850.0,-3655.0,3655.0,0.0,0.0004,-2853359.0,45.0,FALL
2018-12-20,3320.0,3430.0,3460.0,3300.0,430781.0,-9446.0,9446.0,0.0,0.001,-2853359.0,105.0,FALL
2018-12-21,3580.0,3350.0,3880.0,3300.0,3797136.0,-13977.0,-7023.0,21000.0,0.0005,-2832359.0,260.0,RISE
2018-12-24,3565.0,3600.0,3740.0,3555.0,1010061.0,-32407.0,12407.0,20000.0,0.0014,-2812359.0,15.0,FALL
2018-12-26,3335.0,3445.0,3600.0,3335.0,654796.0,-18066.0,-1934.0,20000.0,0.0013,-2792359.0,230.0,FALL
2018-12-27,3405.0,3415.0,3515.0,3350.0,357389.0,10809.0,-10809.0,0.0,0.0005,-2792359.0,70.0,RISE
2018-12-28,3670.0,3430.0,3960.0,3390.0,4141736.0,-17542.0,28687.0,-11145.0,0.0025,-2803504.0,265.0,RISE
2019-01-02,3630.0,3715.0,3765.0,3560.0,659572.0,36108.0,-36108.0,0.0,0.0,-2803504.0,40.0,FALL
2019-01-03,3660.0,3650.0,3980.0,3565.0,2156393.0,81000.0,0.0,-81000.0,0.0,-2884504.0,30.0,RISE
2019-01-04,3740.0,3970.0,3990.0,3660.0,1747486.0,-5019.0,5019.0,0.0,0.0003,-2884504.0,80.0,RISE
2019-01-07,3825.0,3795.0,3870.0,3725.0,705778.0,-14465.0,14465.0,0.0,0.0013,-2884504.0,85.0,RISE
2019-01-08,3625.0,3820.0,3820.0,3625.0,626415.0,19484.0,-19484.0,0.0,0.0,-2884504.0,200.0,FALL
2019-01-09,3635.0,3605.0,3710.0,3590.0,329555.0,-30867.0,16367.0,14500.0,0.0011,-2870004.0,10.0,RISE
2019-01-10,3530.0,3635.0,3670.0,3510.0,320839.0,-9365.0,-8635.0,18000.0,0.0005,-2852004.0,105.0,FALL
2019-01-11,3575.0,3550.0,3665.0,3550.0,297183.0,-6237.0,6237.0,0.0,0.001,-2852004.0,45.0,RISE
2019-01-14,3600.0,3545.0,3625.0,3535.0,132962.0,-2756.0,2756.0,0.0,0.0012,-2852004.0,25.0,RISE
2019-01-15,3655.0,3645.0,3715.0,3625.0,363751.0,-7528.0,6528.0,1000.0,0.0016,-2851004.0,55.0,RISE
2019-01-16,3830.0,3685.0,3830.0,3685.0,931483.0,9398.0,-20848.0,11450.0,0.0002,-2839554.0,175.0,RISE
2019-01-17,3755.0,3950.0,4040.0,3690.0,904758.0,3545.0,-2095.0,-1450.0,0.0,-2841004.0,75.0,FALL
2019-01-18,3690.0,3750.0,3775.0,3685.0,287266.0,-11608.0,11608.0,0.0,0.0008,-2841004.0,65.0,FALL
2019-01-21,3800.0,3705.0,3855.0,3690.0,675664.0,-38763.0,38763.0,0.0,0.0035,-2841004.0,110.0,RISE
2019-01-22,4100.0,3850.0,4495.0,3840.0,6290805.0,50533.0,-17033.0,-33500.0,0.0023,-2874504.0,300.0,RISE
2019-01-23,4115.0,4030.0,4115.0,3975.0,1042759.0,17206.0,-4906.0,-12300.0,0.002,-2886804.0,15.0,RISE
2019-01-24,3980.0,4075.0,4080.0,3965.0,598407.0,16917.0,4283.0,-21200.0,0.0023,-2908004.0,135.0,FALL
2019-01-25,3990.0,3960.0,4040.0,3925.0,577145.0,-10398.0,10398.0,0.0,0.003,-2908004.0,10.0,RISE
2019-01-28,3940.0,4050.0,4055.0,3930.0,535711.0,32691.0,-32691.0,0.0,0.0007,-2908004.0,50.0,FALL
2019-01-29,3845.0,3915.0,3915.0,3810.0,358339.0,-23146.0,23146.0,0.0,0.0023,-2908004.0,95.0,FALL
2019-01-30,3885.0,3850.0,3905.0,3775.0,580677.0,-19282.0,19282.0,0.0,0.0037,-2908004.0,40.0,RISE
2019-01-31,3775.0,3870.0,3920.0,3765.0,273452.0,6589.0,-6589.0,0.0,0.0032,-2908004.0,110.0,FALL
2019-02-01,3710.0,3700.0,3790.0,3675.0,234491.0,3109.0,-3109.0,0.0,0.003,-2908004.0,65.0,FALL
2019-02-07,3795.0,3730.0,3960.0,3700.0,221936.0,-5266.0,2766.0,2500.0,0.0032,-2905504.0,85.0,RISE
2019-02-08,3755.0,3795.0,3830.0,3710.0,133179.0,4683.0,-4683.0,0.0,0.0029,-2905504.0,40.0,FALL
2019-02-11,3760.0,3865.0,3865.0,3745.0,79296.0,-847.0,847.0,0.0,0.0029,-2905504.0,5.0,RISE
2019-02-12,3760.0,3795.0,3805.0,3750.0,120549.0,-4408.0,4408.0,0.0,0.0032,-2905504.0,0.0,EVEN
2019-02-13,3710.0,3780.0,3800.0,3685.0,220686.0,170.0,-170.0,0.0,0.0032,-2905504.0,50.0,FALL
2019-02-14,3690.0,3720.0,3745.0,3660.0,98940.0,505.0,-505.0,0.0,0.0032,-2905504.0,20.0,FALL
2019-02-15,3695.0,3655.0,3745.0,3650.0,93318.0,-1341.0,1341.0,0.0,0.0033,-2905504.0,5.0,RISE
2019-02-18,3780.0,3710.0,3780.0,3680.0,116321.0,-5453.0,5453.0,0.0,0.0036,-2905504.0,85.0,RISE
2019-02-19,3800.0,3810.0,3810.0,3720.0,106374.0,-686.0,686.0,0.0,0.0037,-2905504.0,20.0,RISE
2019-02-20,3740.0,3800.0,3810.0,3740.0,97072.0,645.0,-645.0,0.0,0.0036,-2905504.0,60.0,FALL
2019-02-21,3720.0,3740.0,3755.0,3680.0,111454.0,-1636.0,1636.0,0.0,0.0038,-2905504.0,20.0,FALL
2019-02-22,3850.0,3720.0,3945.0,3720.0,544043.0,-21765.0,21765.0,0.0,0.0052,-2905504.0,130.0,RISE
2019-02-25,3910.0,3965.0,3970.0,3825.0,372285.0,16398.0,-16398.0,0.0,0.0041,-2905504.0,60.0,RISE
2019-02-26,3860.0,3910.0,3960.0,3830.0,240027.0,5793.0,-5793.0,0.0,0.0037,-2905504.0,50.0,FALL
2019-02-27,3970.0,3885.0,4050.0,3870.0,573728.0,-7216.0,7216.0,0.0,0.0042,-2905504.0,110.0,RISE
2019-02-28,3605.0,4045.0,4045.0,3485.0,774863.0,42485.0,-42485.0,0.0,0.0013,-2905504.0,365.0,FALL
2019-03-04,3715.0,3645.0,3740.0,3615.0,114928.0,-335.0,335.0,0.0,0.0013,-2905504.0,110.0,RISE
2019-03-05,3720.0,3715.0,3775.0,3695.0,126404.0,-35789.0,12768.0,23021.0,0.0022,-2882483.0,5.0,RISE
2019-03-06,3755.0,3720.0,3815.0,3710.0,124540.0,-7462.0,7462.0,0.0,0.0027,-2882483.0,35.0,RISE
2019-03-07,3760.0,3720.0,3855.0,3715.0,169056.0,-1961.0,1961.0,0.0,0.0028,-2882483.0,5.0,RISE
2019-03-08,3635.0,3710.0,3765.0,3635.0,121011.0,6298.0,-6298.0,0.0,0.0024,-2882483.0,125.0,FALL
2019-03-11,3510.0,3635.0,3670.0,3500.0,162316.0,6460.0,-6460.0,0.0,0.002,-2882483.0,125.0,FALL
2019-03-12,3540.0,3550.0,3590.0,3485.0,84416.0,-3257.0,3257.0,0.0,0.0022,-2882483.0,30.0,RISE
2019-03-13,3600.0,3540.0,3685.0,3515.0,94217.0,-686.0,686.0,0.0,0.0022,-2882483.0,60.0,RISE
2019-03-14,3735.0,3590.0,3750.0,3580.0,146580.0,-24941.0,24941.0,0.0,0.004,-2882483.0,135.0,RISE
2019-03-15,3685.0,3730.0,3830.0,3650.0,217436.0,-7977.0,7977.0,0.0,0.0045,-2882483.0,50.0,FALL
2019-03-18,3810.0,3700.0,3840.0,3675.0,282804.0,-31170.0,31822.0,-652.0,0.0067,-2883135.0,125.0,RISE
2019-03-19,3780.0,3840.0,3850.0,3740.0,171694.0,15652.0,-15652.0,0.0,0.0056,-2883135.0,30.0,FALL
2019-03-20,3695.0,3780.0,3805.0,3640.0,117956.0,-8833.0,8833.0,0.0,0.0062,-2883135.0,85.0,FALL
2019-03-21,3910.0,3760.0,3930.0,3720.0,659755.0,-21382.0,8882.0,12500.0,0.0068,-2870635.0,215.0,RISE
2019-03-22,3825.0,3960.0,3980.0,3760.0,377686.0,38920.0,-38920.0,0.0,0.0042,-2870635.0,85.0,FALL
2019-03-25,3600.0,3795.0,3795.0,3600.0,251886.0,9984.0,-9984.0,0.0,0.0035,-2870635.0,225.0,FALL
2019-03-26,3635.0,3615.0,3700.0,3610.0,74609.0,5158.0,-5158.0,0.0,0.0031,-2870635.0,35.0,RISE
2019-03-27,3590.0,3675.0,3675.0,3560.0,85641.0,7735.0,-7735.0,0.0,0.0026,-2870635.0,45.0,FALL
2019-03-28,3545.0,3625.0,3625.0,3530.0,88008.0,13474.0,-13474.0,0.0,0.0017,-2870635.0,45.0,FALL
2019-03-29,3560.0,3625.0,3625.0,3450.0,108142.0,6188.0,-6188.0,0.0,0.0012,-2870635.0,15.0,RISE
2019-04-01,3645.0,3595.0,3650.0,3555.0,62982.0,-14163.0,15163.0,-1000.0,0.0023,-2871635.0,85.0,RISE
2019-04-02,3655.0,3655.0,3700.0,3615.0,66952.0,5369.0,-4369.0,-1000.0,0.002,-2872635.0,10.0,RISE
2019-04-03,3810.0,3655.0,3820.0,3625.0,288315.0,-38273.0,40773.0,-2500.0,0.0048,-2875135.0,155.0,RISE
2019-04-04,3805.0,3820.0,3820.0,3760.0,163799.0,-13509.0,15509.0,-2000.0,0.0058,-2877135.0,5.0,FALL
2019-04-05,3790.0,3795.0,3815.0,3725.0,115957.0,-17749.0,19599.0,-1850.0,0.0072,-2878985.0,15.0,FALL
2019-04-08,3910.0,3790.0,3910.0,3760.0,553132.0,-7130.0,9130.0,-2000.0,0.0078,-2880985.0,120.0,RISE
2019-04-09,3835.0,4170.0,4170.0,3815.0,1508601.0,92192.0,-79142.0,-13050.0,0.0024,-2894035.0,75.0,FALL
2019-04-10,3860.0,3830.0,3925.0,3825.0,270419.0,-35039.0,36539.0,-1500.0,0.0049,-2895535.0,25.0,RISE
2019-04-11,3780.0,3890.0,3930.0,3780.0,312791.0,3877.0,19992.0,-23869.0,0.0063,-2919404.0,80.0,FALL
