,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,2010.0,2015.0,2015.0,2000.0,23958.0,-2232,230,2002,0.0,-1369334,5.0,FALL
2020-06-01,2015.0,2015.0,2015.0,2015.0,5051.0,0,0,0,0.0,-1371336,0.0,EVEN
2020-05-29,2015.0,2005.0,2015.0,2000.0,11392.0,-1101,0,1101,0.0,-1371336,10.0,RISE
2020-05-28,2005.0,2010.0,2010.0,2005.0,17990.0,5094,0,-5094,0.0,-1372437,5.0,FALL
2020-05-27,2010.0,2010.0,2010.0,2010.0,329.0,329,0,-329,0.0005,-1367343,0.0,EVEN
2020-05-26,2010.0,2005.0,2010.0,2005.0,3201.0,399,0,-399,0.0,-1367014,0.0,EVEN
2020-05-25,2010.0,2005.0,2015.0,2000.0,7111.0,3999,0,-3999,0.0,-1366615,0.0,EVEN
2020-05-22,2005.0,2005.0,2010.0,2005.0,4028.0,,,,,,,
2020-05-21,2010.0,2000.0,2015.0,2000.0,2046.0,1444.0,0.0,-1444.0,0.0005,-1361669.0,0.0,EVEN
2020-05-20,2010.0,2000.0,2010.0,2000.0,11879.0,4930.0,0.0,-4930.0,0.0,-1360225.0,5.0,RISE
2020-05-19,2005.0,2000.0,2005.0,2000.0,9010.0,5549.0,-601.0,-4948.0,-0.0001,-1355295.0,5.0,RISE
2020-05-18,2000.0,2000.0,2015.0,2000.0,6132.0,857.0,0.0,-857.0,0.0,-1350347.0,10.0,FALL
2020-05-15,2010.0,2000.0,2010.0,2000.0,6042.0,693.0,0.0,-693.0,0.0,-1349490.0,0.0,EVEN
2020-05-14,2010.0,2000.0,2010.0,2000.0,15187.0,8834.0,601.0,-9435.0,0.0001,-1348797.0,0.0,EVEN
2020-05-13,2010.0,1995.0,2010.0,1995.0,16183.0,-405.0,0.0,405.0,0.0,-1339362.0,15.0,RISE
2020-05-12,1995.0,2005.0,2005.0,1995.0,21562.0,21461.0,-499.0,-20962.0,0.0,-1339767.0,15.0,FALL
2020-05-11,2010.0,2005.0,2010.0,2000.0,21397.0,1672.0,254.0,-1926.0,0.0001,-1318805.0,0.0,EVEN
2020-05-08,2010.0,1995.0,2010.0,1995.0,6705.0,4164.0,-337.0,-3827.0,0.0,-1316879.0,0.0,EVEN
2020-05-07,2010.0,1995.0,2010.0,1995.0,22099.0,6008.0,582.0,-6590.0,0.0001,-1313052.0,5.0,RISE
2020-05-06,2005.0,1995.0,2005.0,1995.0,9655.0,8711.0,0.0,-8711.0,0.0,-1306462.0,0.0,EVEN
2020-05-04,2005.0,1995.0,2005.0,1995.0,39292.0,-24154.0,-293.0,24447.0,0.0,-1297751.0,0.0,EVEN
2020-04-29,2005.0,1995.0,2005.0,1990.0,28356.0,-2284.0,293.0,1991.0,0.0,-1322198.0,5.0,RISE
2020-04-28,2000.0,1995.0,2005.0,1995.0,18537.0,-2331.0,0.0,2331.0,0.0,-1324189.0,10.0,RISE
2020-04-27,1990.0,1995.0,2000.0,1990.0,189450.0,4569.0,0.0,-4569.0,0.0,-1326520.0,5.0,FALL
2020-04-24,1995.0,2000.0,2000.0,1990.0,8930.0,1144.0,0.0,-1144.0,0.0,-1321951.0,0.0,EVEN
