,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,5870.0,5980.0,6020.0,5850.0,706309.0,11702,1491,-13193,0.0004,-4687389,30.0,FALL
2020-06-01,5900.0,5770.0,5980.0,5770.0,822885.0,78445,-48383,-30062,0.0004,-4674196,60.0,RISE
2020-05-29,5840.0,5770.0,5890.0,5600.0,611155.0,48067,-43670,-4397,0.0026,-4644134,90.0,RISE
2020-05-28,5750.0,5870.0,6040.0,5500.0,1179011.0,-70582,38322,32260,0.0046,-4639737,140.0,FALL
2020-05-27,5890.0,6190.0,6270.0,5820.0,1293817.0,-26454,30752,-4298,0.0029,-4671997,300.0,FALL
2020-05-26,6190.0,6050.0,6310.0,6030.0,1505404.0,16752,11633,-28385,0.0014,-4667699,110.0,RISE
2020-05-25,6080.0,6050.0,6600.0,5840.0,3508181.0,131648,-125938,-5710,0.0009,-4639314,0.0,EVEN
2020-05-22,5880.0,5720.0,6100.0,5620.0,3825165.0,,,,,,,
2020-05-21,5770.0,5120.0,6380.0,5050.0,14188458.0,141747.0,67561.0,-209308.0,0.0063,-4599501.0,720.0,RISE
2020-05-20,5050.0,4865.0,5080.0,4805.0,796423.0,-33030.0,35637.0,-2607.0,0.0032,-4390193.0,200.0,RISE
2020-05-19,4850.0,4900.0,4900.0,4780.0,777306.0,7184.0,740.0,-7924.0,0.0015,-4387586.0,65.0,FALL
2020-05-18,4915.0,5170.0,5180.0,4915.0,977445.0,29071.0,3930.0,-33001.0,0.0015,-4379662.0,275.0,FALL
2020-05-15,5190.0,5220.0,5280.0,5060.0,829616.0,2217.0,-2217.0,0.0,0.0013,-4346661.0,10.0,RISE
2020-05-14,5180.0,5160.0,5300.0,5060.0,1291274.0,752.0,1499.0,-2251.0,0.0014,-4346661.0,70.0,FALL
2020-05-13,5250.0,5080.0,5350.0,5050.0,2013304.0,24074.0,-1322.0,-22752.0,0.0014,-4344410.0,110.0,RISE
2020-05-12,5140.0,4900.0,5280.0,4765.0,4021887.0,26191.0,1149.0,-27340.0,0.0014,-4321658.0,300.0,RISE
2020-05-11,4840.0,5010.0,5370.0,4825.0,3976543.0,65532.0,4378.0,-69910.0,0.0014,-4294318.0,0.0,EVEN
2020-05-08,4840.0,4825.0,4910.0,4720.0,1326076.0,8804.0,5744.0,-14548.0,0.0012,-4224408.0,40.0,RISE
2020-05-07,4800.0,4720.0,4830.0,4670.0,880869.0,90374.0,-35994.0,-54380.0,0.0009,-4209860.0,40.0,RISE
2020-05-06,4760.0,4615.0,4800.0,4525.0,1203866.0,4477.0,38620.0,-43097.0,0.0026,-4155480.0,220.0,RISE
2020-05-04,4540.0,4590.0,4665.0,4495.0,508879.0,12038.0,2561.0,-14599.0,0.0008,-4112383.0,150.0,FALL
2020-04-29,4690.0,4655.0,4795.0,4630.0,878708.0,9590.0,103.0,-9693.0,0.0007,-4097784.0,5.0,FALL
2020-04-28,4695.0,4580.0,4745.0,4480.0,1035063.0,2798.0,-2232.0,-566.0,0.0007,-4088091.0,175.0,RISE
