날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-09,,,,,,-8859.0,8859.0,0.0,0.013,-8859.0,25.0,FALL
2014-04-10,2230.0,2240.0,2270.0,2205.0,182195.0,34026.0,-34026.0,0.0,0.012,34026.0,10.0,FALL
2014-04-11,2185.0,2205.0,2215.0,2175.0,142911.0,16.0,-16.0,0.0,0.012,16.0,45.0,FALL
2014-04-14,2205.0,2175.0,2210.0,2165.0,86888.0,-10279.0,10279.0,0.0,0.012,-10279.0,20.0,RISE
2014-04-15,2235.0,2200.0,2250.0,2200.0,200773.0,-15158.0,15158.0,0.0,0.013,-15158.0,30.0,RISE
2014-04-16,2250.0,2225.0,2255.0,2200.0,182243.0,-6923.0,6923.0,0.0,0.013,-6923.0,15.0,RISE
2014-04-17,2290.0,2265.0,2365.0,2250.0,521476.0,-12055.0,-10018.0,22073.0,0.013,22073.0,40.0,RISE
2014-04-18,2295.0,2310.0,2330.0,2280.0,124195.0,8292.0,-8292.0,0.0,0.013,22073.0,5.0,RISE
2014-04-21,2265.0,2295.0,2305.0,2250.0,84056.0,-1341.0,1341.0,0.0,0.012,22073.0,30.0,FALL
2014-04-22,2260.0,2290.0,2290.0,2245.0,151527.0,-6059.0,6059.0,0.0,0.013,22073.0,5.0,FALL
2014-04-23,2290.0,2275.0,2340.0,2260.0,297680.0,5181.0,-5181.0,0.0,0.012,22073.0,30.0,RISE
2014-04-24,2210.0,2310.0,2320.0,2210.0,335686.0,48566.0,-48566.0,0.0,0.011,22073.0,80.0,FALL
2014-04-25,2175.0,2215.0,2230.0,2150.0,222579.0,-985.0,985.0,0.0,0.011,22073.0,35.0,FALL
2014-04-28,2110.0,2180.0,2200.0,2110.0,161917.0,-1010.0,1010.0,0.0,0.012,22073.0,65.0,FALL
2014-04-29,2135.0,2115.0,2160.0,2115.0,58251.0,-5260.0,5260.0,0.0,0.012,22073.0,25.0,RISE
2014-04-30,2100.0,2170.0,2170.0,2100.0,104558.0,10296.0,-10296.0,0.0,0.011,22073.0,35.0,FALL
2014-05-02,2070.0,2110.0,2125.0,2055.0,180375.0,16566.0,-13020.0,-3546.0,0.011,18527.0,30.0,FALL
2014-05-07,1980.0,2040.0,2065.0,1970.0,166273.0,8497.0,-8497.0,0.0,0.011,18527.0,90.0,FALL
2014-05-08,1980.0,1985.0,2000.0,1930.0,101737.0,10289.0,-10289.0,0.0,0.011,18527.0,0.0,EVEN
