,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,4550.0,4495.0,4575.0,4495.0,8172.0,138,-138,0,0.0094,-867,30.0,RISE
2020-06-01,4520.0,4550.0,4550.0,4470.0,21900.0,-4707,4707,0,0.0094,-867,30.0,FALL
2020-05-29,4550.0,4515.0,4555.0,4470.0,23851.0,5413,-5413,0,0.0091,-867,10.0,FALL
2020-05-28,4560.0,4680.0,4685.0,4525.0,42372.0,1648,-1648,0,0.0094,-867,120.0,FALL
2020-05-27,4680.0,4700.0,4725.0,4645.0,19657.0,427,-427,0,0.0095,-867,15.0,FALL
2020-05-26,4695.0,4640.0,4700.0,4620.0,47807.0,-6644,6644,0,0.0096,-867,65.0,RISE
2020-05-25,4630.0,4655.0,4695.0,4590.0,58654.0,-5917,5917,0,0.0092,-867,15.0,FALL
2020-05-22,4585.0,4600.0,4790.0,4580.0,33435.0,,,,,,,
2020-05-21,4620.0,4590.0,4620.0,4545.0,40592.0,-3976.0,3976.0,0.0,0.0087,-865.0,65.0,RISE
2020-05-20,4555.0,4535.0,4570.0,4500.0,19554.0,-4512.0,4512.0,0.0,0.0084,-865.0,20.0,RISE
2020-05-19,4535.0,4540.0,4585.0,4510.0,37348.0,-7490.0,7490.0,0.0,0.0082,-865.0,25.0,RISE
2020-05-18,4510.0,4590.0,4630.0,4475.0,136086.0,-18403.0,18403.0,0.0,0.0078,-865.0,140.0,FALL
2020-05-15,4650.0,4890.0,4890.0,4630.0,93906.0,-10089.0,10089.0,0.0,0.0067,-865.0,235.0,FALL
2020-05-14,4885.0,4825.0,4900.0,4735.0,35078.0,-2031.0,2031.0,0.0,0.0061,-865.0,5.0,FALL
2020-05-13,4890.0,4785.0,4895.0,4660.0,59044.0,-7137.0,7137.0,0.0,0.006,-865.0,105.0,RISE
2020-05-12,4785.0,4995.0,5000.0,4650.0,49454.0,-1718.0,1718.0,0.0,0.0056,-865.0,210.0,FALL
2020-05-11,4995.0,4930.0,5000.0,4905.0,43178.0,-829.0,829.0,0.0,0.0055,-865.0,65.0,RISE
2020-05-08,4930.0,5010.0,5040.0,4910.0,43678.0,3531.0,-3531.0,0.0,0.0055,-865.0,70.0,FALL
2020-05-07,5000.0,4910.0,5040.0,4910.0,9944.0,2122.0,-2122.0,0.0,0.0057,-865.0,15.0,RISE
2020-05-06,4985.0,4980.0,5050.0,4940.0,44966.0,2687.0,-2687.0,0.0,0.0058,-865.0,0.0,EVEN
2020-05-04,4985.0,4880.0,5050.0,4780.0,57452.0,501.0,-501.0,0.0,0.006,-865.0,105.0,RISE
2020-04-29,4880.0,4955.0,5020.0,4805.0,37315.0,5211.0,-5211.0,0.0,0.006,-865.0,40.0,FALL
2020-04-28,4920.0,4655.0,5080.0,4655.0,130526.0,-8018.0,8018.0,0.0,0.0063,-865.0,260.0,RISE
2020-04-27,4660.0,4475.0,4675.0,4465.0,66158.0,-3158.0,3158.0,0.0,0.0059,-865.0,180.0,RISE
2020-04-24,4480.0,4390.0,4490.0,4345.0,33426.0,-886.0,886.0,0.0,0.0057,-865.0,100.0,RISE
2020-04-23,4380.0,4310.0,4430.0,4270.0,42139.0,-6853.0,6853.0,0.0,0.0056,-865.0,80.0,RISE
2020-04-22,4300.0,4180.0,4300.0,3930.0,44181.0,-3323.0,3323.0,0.0,0.0052,-865.0,120.0,RISE
2020-04-21,4180.0,4280.0,4280.0,4010.0,38189.0,2339.0,-2339.0,0.0,0.0051,-865.0,95.0,FALL
2020-04-20,4275.0,4205.0,4285.0,4205.0,17524.0,-224.0,224.0,0.0,0.0052,-865.0,75.0,RISE
2020-04-17,4200.0,4145.0,4280.0,4100.0,30457.0,-2185.0,2185.0,0.0,0.0052,-865.0,55.0,RISE
2020-04-16,4145.0,4105.0,4200.0,4050.0,12353.0,-1116.0,1116.0,0.0,0.0051,-865.0,40.0,RISE
2020-04-14,4105.0,4145.0,4150.0,4065.0,17290.0,-2097.0,2097.0,0.0,0.005,-865.0,40.0,RISE
2020-04-13,4065.0,4115.0,4195.0,4035.0,20603.0,-605.0,605.0,0.0,0.0049,-865.0,50.0,FALL
2020-04-10,4115.0,4295.0,4295.0,4010.0,61174.0,-4416.0,4416.0,0.0,0.0048,-865.0,130.0,FALL
2020-04-09,4245.0,4275.0,4310.0,4205.0,23130.0,874.0,-874.0,0.0,0.0046,-865.0,40.0,RISE
2020-04-08,4205.0,4195.0,4295.0,4095.0,13290.0,-2306.0,2306.0,0.0,0.0046,-865.0,25.0,RISE
2020-04-07,4180.0,4165.0,4205.0,4110.0,26424.0,1188.0,-1188.0,0.0,0.0045,-865.0,15.0,RISE
2020-04-06,4165.0,4085.0,4200.0,4020.0,15886.0,1606.0,-1606.0,0.0,0.0046,-865.0,80.0,RISE
2020-04-03,4085.0,3940.0,4130.0,3905.0,20785.0,492.0,-492.0,0.0,0.0047,-865.0,145.0,RISE
2020-04-02,3940.0,3925.0,3940.0,3795.0,11246.0,539.0,-538.0,-1.0,0.0047,-865.0,15.0,RISE
2020-04-01,3925.0,3675.0,3940.0,3630.0,82512.0,-12755.0,12755.0,0.0,0.0047,-864.0,250.0,RISE
2020-03-31,3675.0,3640.0,3725.0,3525.0,47844.0,-10036.0,10036.0,0.0,0.004,-864.0,115.0,RISE
2020-03-30,3560.0,3480.0,3650.0,3330.0,76460.0,-4455.0,4455.0,0.0,0.0034,-864.0,75.0,RISE
2020-03-27,3485.0,3490.0,3590.0,3405.0,32713.0,1628.0,-1628.0,0.0,0.0032,-864.0,45.0,RISE
2020-03-26,3440.0,3430.0,3680.0,3400.0,72051.0,-4050.0,4050.0,0.0,0.0033,-864.0,10.0,RISE
2020-03-25,3430.0,3410.0,3500.0,3395.0,58842.0,-1055.0,1055.0,0.0,0.003,-864.0,50.0,RISE
2020-03-24,3380.0,3340.0,3500.0,3235.0,209080.0,1286.0,-1286.0,0.0,0.003,-864.0,30.0,RISE
2020-03-23,3350.0,3495.0,3510.0,3330.0,62828.0,-3022.0,3022.0,0.0,0.0031,-864.0,390.0,FALL
2020-03-20,3740.0,3510.0,3740.0,3335.0,58702.0,316.0,-316.0,0.0,0.0029,-864.0,190.0,RISE
2020-03-19,3550.0,3970.0,4070.0,3550.0,14062.0,-115.0,115.0,0.0,0.0029,-864.0,420.0,FALL
2020-03-18,3970.0,4200.0,4200.0,3970.0,29628.0,2043.0,-2043.0,0.0,0.0029,-864.0,230.0,FALL
2020-03-17,4200.0,4100.0,4245.0,3915.0,30451.0,-1692.0,1692.0,0.0,0.003,-864.0,80.0,FALL
2020-03-16,4280.0,4035.0,4435.0,3905.0,160047.0,1980.0,-1981.0,1.0,0.0029,-864.0,230.0,RISE
2020-03-13,4050.0,3405.0,4190.0,3350.0,88834.0,6444.0,-6444.0,0.0,0.003,-865.0,345.0,RISE
2020-03-12,3705.0,3800.0,4055.0,3640.0,29944.0,4536.0,-4536.0,0.0,0.0034,-865.0,95.0,FALL
2020-03-11,3800.0,3840.0,3840.0,3710.0,10568.0,1656.0,-1656.0,0.0,0.0037,-865.0,45.0,FALL
2020-03-10,3845.0,3720.0,3845.0,3665.0,14613.0,2328.0,-2328.0,0.0,0.0032,-865.0,0.0,EVEN
2020-03-09,3845.0,4005.0,4010.0,3770.0,25248.0,154.0,-154.0,0.0,0.0033,-865.0,175.0,FALL
2020-03-06,4020.0,3950.0,4090.0,3895.0,25934.0,1385.0,-1385.0,0.0,0.0033,-865.0,90.0,RISE
2020-03-05,3930.0,3895.0,3930.0,3880.0,6907.0,-662.0,662.0,0.0,0.0034,-865.0,45.0,RISE
2020-03-04,3885.0,3840.0,3885.0,3775.0,10128.0,-44.0,44.0,0.0,0.0033,-865.0,135.0,RISE
2020-03-03,3750.0,3800.0,3830.0,3750.0,19169.0,-3608.0,3608.0,0.0,0.0033,-865.0,40.0,RISE
2020-03-02,3710.0,3700.0,3920.0,3585.0,140750.0,-1811.0,1811.0,0.0,0.0031,-865.0,135.0,FALL
2020-02-28,3845.0,3895.0,4025.0,3845.0,39576.0,1010.0,-1010.0,0.0,0.003,-865.0,210.0,FALL
2020-02-27,4055.0,4055.0,4135.0,4020.0,102483.0,450.0,-449.0,-1.0,0.0031,-865.0,135.0,FALL
2020-02-26,4190.0,4150.0,4245.0,4150.0,16206.0,1149.0,-1149.0,0.0,0.0029,-864.0,105.0,FALL
2020-02-25,4295.0,4310.0,4310.0,4200.0,13232.0,779.0,-779.0,0.0,0.003,-864.0,25.0,FALL
2020-02-24,4320.0,4370.0,4370.0,4205.0,44322.0,865.0,-865.0,0.0,0.003,-864.0,75.0,FALL
2020-02-21,4395.0,4590.0,4600.0,4395.0,7376.0,847.0,-847.0,0.0,0.0031,-864.0,145.0,FALL
2020-02-20,4540.0,4595.0,4605.0,4535.0,5439.0,148.0,-148.0,0.0,0.0031,-864.0,5.0,RISE
2020-02-19,4535.0,4600.0,4630.0,4535.0,4703.0,513.0,-513.0,0.0,0.0031,-864.0,65.0,FALL
2020-02-18,4600.0,4650.0,4670.0,4590.0,6931.0,307.0,-307.0,0.0,0.0032,-864.0,50.0,FALL
2020-02-17,4650.0,4730.0,4735.0,4590.0,13800.0,-1096.0,1096.0,0.0,0.0032,-864.0,75.0,FALL
2020-02-14,4725.0,4740.0,4740.0,4640.0,17634.0,2319.0,-2319.0,0.0,0.0031,-864.0,35.0,RISE
2020-02-13,4690.0,4590.0,4755.0,4590.0,24321.0,-435.0,435.0,0.0,0.0032,-864.0,100.0,RISE
2020-02-12,4590.0,4485.0,4645.0,4475.0,34974.0,1127.0,-1127.0,0.0,0.0032,-864.0,105.0,RISE
2020-02-11,4485.0,4450.0,4600.0,4435.0,13005.0,-209.0,209.0,0.0,0.0033,-864.0,35.0,RISE
2020-02-10,4450.0,4490.0,4490.0,4435.0,4556.0,1027.0,-1027.0,0.0,0.0033,-864.0,5.0,FALL
2020-02-07,4455.0,4385.0,4700.0,4355.0,18110.0,1330.0,-1330.0,0.0,0.0034,-864.0,20.0,RISE
2020-02-06,4435.0,4455.0,4460.0,4395.0,3486.0,624.0,-624.0,0.0,0.0035,-864.0,20.0,FALL
2020-02-05,4455.0,4465.0,4470.0,4410.0,2635.0,779.0,-779.0,0.0,0.0035,-864.0,10.0,FALL
2020-02-04,4465.0,4390.0,4465.0,4390.0,10470.0,268.0,-268.0,0.0,0.0036,-864.0,80.0,RISE
2020-02-03,4385.0,4450.0,4450.0,4195.0,17288.0,2896.0,-2896.0,0.0,0.0036,-864.0,55.0,FALL
2020-01-31,4440.0,4430.0,4460.0,4400.0,3673.0,1237.0,-1237.0,0.0,0.0037,-864.0,10.0,RISE
2020-01-30,4430.0,4465.0,4465.0,4420.0,6616.0,1492.0,-1492.0,0.0,0.0038,-864.0,10.0,FALL
2020-01-29,4440.0,4460.0,4525.0,4420.0,19233.0,779.0,-779.0,0.0,0.0039,-864.0,20.0,FALL
