,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,21100.0,21150.0,22150.0,20800.0,93975.0,10632,-9745,-887,0.0256,-290982,0.0,EVEN
2020-06-01,21100.0,20750.0,21150.0,20500.0,45995.0,-6556,5452,1104,0.0275,-290095,700.0,RISE
2020-05-29,20400.0,20550.0,20600.0,19750.0,67116.0,1794,-1784,-10,0.0265,-291199,200.0,FALL
2020-05-28,20600.0,21700.0,21700.0,19950.0,137610.0,-3802,4140,-338,0.0268,-291189,1100.0,FALL
2020-05-27,21700.0,22650.0,22650.0,21450.0,89625.0,-880,3490,-2610,0.026,-290851,1050.0,FALL
2020-05-26,22750.0,23200.0,23300.0,22450.0,78889.0,2007,-1887,-120,0.0258,-288241,0.0,EVEN
2020-05-25,22750.0,22750.0,23200.0,22300.0,53930.0,-3452,3452,0,0.0262,-288121,50.0,RISE
2020-05-22,22550.0,22900.0,23500.0,22450.0,68249.0,,,,,,,
2020-05-21,22600.0,22300.0,23200.0,21950.0,84723.0,-4467.0,638.0,3829.0,0.0254,-291535.0,550.0,RISE
2020-05-20,22050.0,21300.0,22100.0,21300.0,45718.0,-5089.0,3813.0,1276.0,0.0257,-295364.0,350.0,RISE
2020-05-19,21700.0,21950.0,22300.0,21100.0,87125.0,-3966.0,-7100.0,11066.0,0.025,-296640.0,350.0,RISE
2020-05-18,21350.0,20500.0,21650.0,20150.0,108007.0,-13101.0,5548.0,7553.0,0.0264,-307706.0,1250.0,RISE
2020-05-15,20100.0,22650.0,22700.0,19650.0,204693.0,-15597.0,-525.0,16122.0,0.0253,-315259.0,2150.0,FALL
2020-05-14,22250.0,20700.0,22250.0,20400.0,185673.0,-21331.0,-28.0,21359.0,0.0254,-331381.0,1600.0,RISE
2020-05-13,20650.0,19400.0,21450.0,19350.0,146294.0,-15623.0,15623.0,0.0,0.0254,-352740.0,950.0,RISE
2020-05-12,19700.0,20200.0,20200.0,19050.0,37854.0,1499.0,-1487.0,-12.0,0.0224,-352740.0,200.0,FALL
2020-05-11,19900.0,20000.0,20100.0,19500.0,49367.0,469.0,-5961.0,5492.0,0.0227,-352728.0,200.0,RISE
2020-05-08,19700.0,19100.0,19750.0,18850.0,74060.0,2633.0,1667.0,-4300.0,0.0238,-358220.0,800.0,RISE
2020-05-07,18900.0,18800.0,18900.0,18350.0,44534.0,-3642.0,4052.0,-410.0,0.0235,-353920.0,350.0,RISE
2020-05-06,18550.0,19000.0,19100.0,18450.0,29338.0,3257.0,-2957.0,-300.0,0.0227,-353510.0,100.0,RISE
2020-05-04,18450.0,18000.0,18700.0,17950.0,29827.0,337.0,663.0,-1000.0,0.0233,-353210.0,50.0,RISE
2020-04-29,18400.0,18000.0,18450.0,17950.0,31002.0,-3536.0,3536.0,0.0,0.0232,-352210.0,200.0,RISE
2020-04-28,18200.0,18350.0,18700.0,17850.0,43806.0,-1053.0,1057.0,-4.0,0.0225,-352210.0,100.0,RISE
2020-04-27,18100.0,18500.0,18600.0,17900.0,27758.0,-3722.0,3722.0,0.0,0.0223,-352206.0,50.0,FALL
2020-04-24,18150.0,18200.0,18400.0,17700.0,47220.0,-30.0,57.0,-27.0,0.0216,-352206.0,300.0,FALL
2020-04-23,18450.0,18850.0,18900.0,18450.0,39965.0,-4018.0,-4261.0,8279.0,0.0216,-352179.0,0.0,EVEN
2020-04-22,18450.0,18150.0,18450.0,17200.0,58122.0,290.0,-290.0,0.0,0.0224,-360458.0,0.0,EVEN
2020-04-21,18450.0,18850.0,19050.0,17350.0,98117.0,-1968.0,6010.0,-4042.0,0.0224,-360458.0,400.0,FALL
