,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,1160.0,1135.0,1170.0,1120.0,871596.0,-248179,248179,0,0.3195,-4784602,25.0,RISE
2020-06-01,1135.0,1120.0,1145.0,1110.0,541658.0,-36875,36875,0,0.3151,-4784602,15.0,RISE
2020-05-29,1120.0,1150.0,1165.0,1110.0,1418431.0,-13807,13807,0,0.3145,-4784602,50.0,FALL
2020-05-28,1170.0,1185.0,1200.0,1125.0,1523023.0,38645,-38645,0,0.3142,-4784602,10.0,FALL
2020-05-27,1180.0,1195.0,1215.0,1180.0,1125058.0,-47948,47948,0,0.3149,-4784602,5.0,FALL
2020-05-26,1185.0,1180.0,1200.0,1170.0,906783.0,-319921,319921,0,0.3141,-4784602,0.0,EVEN
2020-05-25,1185.0,1225.0,1225.0,1170.0,1917333.0,134194,-134194,0,0.3085,-4784602,20.0,RISE
2020-05-22,1165.0,1225.0,1225.0,1155.0,1422424.0,,,,,,,
2020-05-21,1215.0,1230.0,1245.0,1205.0,1892911.0,-38022.0,38022.0,0.0,0.3114,-5102294.0,5.0,FALL
2020-05-20,1220.0,1220.0,1220.0,1190.0,1732999.0,-53222.0,53222.0,0.0,0.3107,-5102294.0,15.0,RISE
2020-05-19,1205.0,1165.0,1210.0,1150.0,1858863.0,-624266.0,624266.0,0.0,0.3098,-5102294.0,45.0,RISE
2020-05-18,1160.0,1175.0,1195.0,1150.0,948391.0,-83976.0,83976.0,0.0,0.2988,-5102294.0,15.0,FALL
2020-05-15,1175.0,1215.0,1220.0,1170.0,2010644.0,18160.0,-18160.0,0.0,0.2974,-5102294.0,5.0,RISE
2020-05-14,1170.0,1170.0,1210.0,1160.0,3343842.0,287304.0,-287304.0,0.0,0.2977,-5102294.0,10.0,RISE
2020-05-13,1160.0,1140.0,1165.0,1125.0,741947.0,-71047.0,71047.0,0.0,0.3027,-5102294.0,0.0,EVEN
2020-05-12,1160.0,1175.0,1175.0,1120.0,1400047.0,5069.0,-5069.0,0.0,0.3015,-5102294.0,5.0,FALL
2020-05-11,1165.0,1175.0,1190.0,1155.0,1360692.0,4463.0,-4463.0,0.0,0.3016,-5102294.0,0.0,EVEN
2020-05-08,1165.0,1140.0,1190.0,1130.0,3139334.0,-301354.0,301354.0,0.0,0.3017,-5102294.0,30.0,RISE
2020-05-07,1135.0,1150.0,1170.0,1120.0,1664087.0,18987.0,-18987.0,0.0,0.2964,-5102294.0,15.0,FALL
2020-05-06,1150.0,1155.0,1160.0,1135.0,1086117.0,-26343.0,26343.0,0.0,0.2967,-5102294.0,15.0,RISE
2020-05-04,1135.0,1135.0,1145.0,1100.0,1252903.0,-203582.0,203582.0,0.0,0.2962,-5102294.0,20.0,FALL
2020-04-29,1155.0,1220.0,1225.0,1150.0,4971394.0,-38557.0,38557.0,0.0,0.2927,-5102294.0,75.0,FALL
2020-04-28,1230.0,1275.0,1280.0,1220.0,3166357.0,-24619.0,24619.0,0.0,0.292,-5102294.0,30.0,FALL
2020-04-27,1260.0,1385.0,1390.0,1250.0,17414018.0,543552.0,-543552.0,0.0,0.2915,-5102294.0,100.0,RISE
2020-04-24,1160.0,1180.0,1205.0,1145.0,2511368.0,184732.0,-184732.0,0.0,0.3011,-5102294.0,10.0,FALL
2020-04-23,1170.0,1170.0,1195.0,1135.0,2961255.0,13972.0,-13972.0,0.0,0.3041,-5102294.0,30.0,RISE
2020-04-22,1140.0,1110.0,1145.0,1075.0,1099238.0,-97395.0,97395.0,0.0,0.3055,-5102294.0,10.0,RISE
2020-04-21,1130.0,1190.0,1190.0,1090.0,2910025.0,85232.0,-85232.0,0.0,0.3038,-5102294.0,65.0,FALL
2020-04-20,1195.0,1190.0,1215.0,1170.0,2588308.0,-69453.0,69453.0,0.0,0.3053,-5102294.0,20.0,RISE
2020-04-17,1175.0,1165.0,1190.0,1160.0,2360249.0,-304201.0,304201.0,0.0,0.304,-5102294.0,25.0,RISE
2020-04-16,1150.0,1170.0,1175.0,1095.0,2206341.0,-101451.0,101451.0,0.0,0.2987,-5102294.0,25.0,FALL
2020-04-14,1175.0,1160.0,1205.0,1155.0,3067211.0,-4896.0,4896.0,0.0,0.2969,-5102294.0,10.0,RISE
2020-04-13,1165.0,1210.0,1300.0,1155.0,16004296.0,614899.0,-614899.0,0.0,0.2968,-5102294.0,5.0,RISE
2020-04-10,1160.0,1210.0,1215.0,1090.0,6990171.0,-43832.0,43832.0,0.0,0.3095,-5102294.0,55.0,FALL
2020-04-09,1215.0,1225.0,1380.0,1185.0,22828565.0,828239.0,-820207.0,-8032.0,0.3091,-5102294.0,30.0,FALL
2020-04-08,1245.0,966.0,1245.0,960.0,21339240.0,424003.0,-432035.0,8032.0,0.3242,-5094262.0,286.0,UPPER_LIMIT
2020-04-07,959.0,958.0,959.0,914.0,1808340.0,-71439.0,71439.0,0.0,0.3318,-5102294.0,39.0,RISE
2020-04-06,920.0,920.0,929.0,888.0,1864053.0,-65875.0,65875.0,0.0,0.3314,-5102294.0,10.0,RISE
2020-04-03,910.0,843.0,979.0,842.0,5905401.0,405584.0,-405584.0,0.0,0.3298,-5102294.0,80.0,RISE
2020-04-02,830.0,824.0,840.0,786.0,1047225.0,-130124.0,130124.0,0.0,0.3369,-5102294.0,10.0,RISE
2020-04-01,820.0,820.0,865.0,800.0,1646277.0,83654.0,-83654.0,0.0,0.3351,-5102294.0,4.0,RISE
2020-03-31,816.0,790.0,822.0,778.0,1380461.0,-14734.0,14734.0,0.0,0.3366,-5102294.0,42.0,RISE
2020-03-30,774.0,735.0,774.0,719.0,784234.0,-187187.0,187187.0,0.0,0.3364,-5102294.0,11.0,RISE
2020-03-27,763.0,792.0,807.0,720.0,2056326.0,-122418.0,122418.0,0.0,0.3334,-5102294.0,1.0,RISE
2020-03-26,762.0,722.0,774.0,701.0,1628622.0,-21974.0,21974.0,0.0,0.3313,-5102294.0,56.0,RISE
2020-03-25,706.0,670.0,717.0,670.0,1578737.0,-137344.0,137344.0,0.0,0.3309,-5102294.0,56.0,RISE
2020-03-24,650.0,636.0,668.0,631.0,1292499.0,-16338.0,16338.0,0.0,0.3294,-5102294.0,27.0,RISE
2020-03-23,623.0,630.0,656.0,620.0,1248226.0,-71430.0,71430.0,0.0,0.3296,-5102294.0,63.0,FALL
2020-03-20,686.0,634.0,693.0,634.0,1777401.0,-187079.0,187079.0,0.0,0.3287,-5102294.0,47.0,RISE
