,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,12350.0,12650.0,12650.0,12000.0,248084.0,32795,-42779,9984,0.0814,1070481,150.0,FALL
2020-06-01,12500.0,12150.0,12550.0,11800.0,327962.0,-28147,37876,-9729,0.0835,1060497,600.0,RISE
2020-05-29,11900.0,11800.0,12200.0,11700.0,218028.0,-21850,20539,1311,0.0816,1070226,150.0,RISE
2020-05-28,11750.0,12350.0,12600.0,11150.0,576707.0,-26326,-3469,29795,0.0806,1068915,600.0,FALL
2020-05-27,12350.0,12100.0,12700.0,11650.0,502572.0,-17572,-11831,29403,0.0808,1039120,350.0,RISE
2020-05-26,12000.0,12150.0,12250.0,11500.0,405546.0,30972,-36314,5342,0.0813,1009717,0.0,EVEN
2020-05-25,12000.0,11650.0,12350.0,11650.0,487741.0,-18246,27941,-9695,0.0832,1004375,500.0,RISE
2020-05-22,11550.0,12250.0,12250.0,11200.0,389129.0,,,,,,,
2020-05-21,12250.0,12450.0,12650.0,12100.0,305948.0,47743.0,-50737.0,2994.0,0.0794,969929.0,0.0,EVEN
2020-05-20,12250.0,11600.0,12300.0,11250.0,536789.0,-8604.0,-26647.0,35251.0,0.0819,966935.0,650.0,RISE
2020-05-19,11600.0,11400.0,11700.0,10900.0,456953.0,-1188.0,-12056.0,13244.0,0.0833,931684.0,350.0,RISE
2020-05-18,11250.0,11250.0,11700.0,10850.0,551280.0,-56147.0,45612.0,10535.0,0.0839,918440.0,150.0,RISE
2020-05-15,11100.0,10200.0,11750.0,10000.0,2029346.0,-149265.0,77471.0,71794.0,0.0816,907905.0,1230.0,RISE
2020-05-14,9870.0,9740.0,10100.0,9700.0,130358.0,-10297.0,10456.0,-159.0,0.0777,836111.0,20.0,RISE
2020-05-13,9850.0,9900.0,9920.0,9510.0,153143.0,-52709.0,51185.0,1524.0,0.0772,836270.0,70.0,FALL
2020-05-12,9920.0,10150.0,10150.0,9700.0,191290.0,22776.0,1749.0,-24525.0,0.0746,834746.0,280.0,FALL
2020-05-11,10200.0,10300.0,10550.0,10050.0,115479.0,-11435.0,11313.0,122.0,0.0745,859271.0,150.0,FALL
2020-05-08,10350.0,10300.0,10500.0,10000.0,190499.0,51680.0,-29197.0,-22483.0,0.07400000000000001,859149.0,0.0,EVEN
2020-05-07,10350.0,10000.0,10450.0,9910.0,236872.0,-49602.0,46911.0,2691.0,0.0754,881632.0,380.0,RISE
2020-05-06,9970.0,10100.0,10200.0,9780.0,166936.0,40522.0,-22468.0,-18054.0,0.0731,878941.0,30.0,FALL
2020-05-04,10000.0,9900.0,10250.0,9710.0,105056.0,-22317.0,22326.0,-9.0,0.0742,896995.0,50.0,FALL
2020-04-29,10050.0,10100.0,10500.0,9970.0,143360.0,33574.0,-29628.0,-3946.0,0.0731,897004.0,100.0,FALL
2020-04-28,10150.0,10250.0,10350.0,9990.0,175350.0,27525.0,-20506.0,-7019.0,0.0746,900950.0,100.0,FALL
2020-04-27,10250.0,9830.0,10700.0,9830.0,420662.0,-55941.0,37409.0,18532.0,0.0756,907969.0,550.0,RISE
2020-04-24,9700.0,9800.0,10200.0,9600.0,205367.0,33598.0,-17390.0,-16208.0,0.0737,889437.0,190.0,FALL
2020-04-23,9890.0,9370.0,10050.0,9240.0,241735.0,-77473.0,58195.0,19278.0,0.0748,905645.0,520.0,RISE
2020-04-22,9370.0,9000.0,9370.0,8730.0,152733.0,-26852.0,23523.0,3329.0,0.0719,886367.0,230.0,RISE
2020-04-21,9140.0,9340.0,9340.0,8510.0,192519.0,-628.0,569.0,59.0,0.0706,883038.0,160.0,FALL
2020-04-20,9300.0,9060.0,9480.0,9000.0,149963.0,-1288.0,-16879.0,18167.0,0.0715,882979.0,140.0,RISE
2020-04-17,9160.0,8690.0,9360.0,8620.0,299142.0,1358.0,-5440.0,4082.0,0.0724,864812.0,540.0,RISE
2020-04-16,8620.0,8410.0,8690.0,8170.0,154902.0,-28435.0,1709.0,26726.0,0.0726,860730.0,200.0,RISE
2020-04-14,8420.0,8000.0,8500.0,7950.0,270000.0,-97392.0,19561.0,77831.0,0.0726,834004.0,470.0,RISE
2020-04-13,7950.0,7900.0,8060.0,7710.0,186281.0,-34648.0,74.0,34574.0,0.0716,756173.0,50.0,RISE
2020-04-10,7900.0,7880.0,8030.0,7710.0,165597.0,-23041.0,14841.0,8200.0,0.0716,721599.0,30.0,FALL
2020-04-09,7930.0,7820.0,8150.0,7820.0,347166.0,41478.0,-40906.0,-572.0,0.0708,713399.0,180.0,RISE
2020-04-08,7750.0,7520.0,7830.0,7240.0,290061.0,40863.0,2231.0,-43094.0,0.0729,713971.0,110.0,RISE
2020-04-07,7640.0,7820.0,8170.0,7440.0,433855.0,84902.0,-3817.0,-81085.0,0.0728,757065.0,150.0,FALL
2020-04-06,7790.0,7470.0,7850.0,7310.0,351188.0,55010.0,-33035.0,-21975.0,0.073,838150.0,260.0,RISE
2020-04-03,7530.0,7420.0,7530.0,7190.0,231641.0,-36121.0,-1657.0,37778.0,0.0746,860125.0,180.0,RISE
2020-04-02,7350.0,7500.0,7530.0,6850.0,507893.0,86856.0,-51086.0,-35770.0,0.0747,822347.0,70.0,FALL
2020-04-01,7420.0,7350.0,7700.0,7100.0,518644.0,-94700.0,-85713.0,180413.0,0.0777,858117.0,270.0,RISE
2020-03-31,7150.0,7120.0,7600.0,6920.0,451440.0,-34702.0,-11277.0,45979.0,0.0821,677704.0,250.0,RISE
2020-03-30,6900.0,6230.0,6970.0,6120.0,315100.0,57551.0,-65778.0,8227.0,0.0827,631725.0,360.0,RISE
2020-03-27,6540.0,6650.0,7130.0,5900.0,630141.0,79060.0,-53704.0,-25356.0,0.086,623498.0,250.0,RISE
2020-03-26,6290.0,5650.0,6440.0,5430.0,784362.0,51840.0,-51006.0,-834.0,0.0887,648854.0,780.0,RISE
2020-03-25,5510.0,5610.0,6050.0,5320.0,625942.0,8652.0,-10404.0,1752.0,0.0913,649688.0,180.0,RISE
2020-03-24,5330.0,4770.0,5580.0,4770.0,743882.0,35481.0,23104.0,-58585.0,0.0918,647936.0,830.0,RISE
2020-03-23,4500.0,4325.0,4840.0,4075.0,922754.0,-112121.0,-16488.0,128609.0,0.0913,706521.0,225.0,FALL
2020-03-20,4725.0,3810.0,4825.0,3675.0,1806547.0,-9000.0,-197563.0,206563.0,0.0921,577912.0,1010.0,RISE
2020-03-19,3715.0,5230.0,5400.0,3600.0,979847.0,69151.0,-129888.0,60737.0,0.102,371349.0,1415.0,FALL
2020-03-18,5130.0,5470.0,6180.0,5000.0,619928.0,32045.0,-45062.0,13017.0,0.1085,310612.0,340.0,FALL
2020-03-17,5470.0,5250.0,5640.0,4955.0,1478900.0,25205.0,-48843.0,23638.0,0.1108,297595.0,160.0,FALL
2020-03-16,5630.0,6200.0,6500.0,5510.0,452164.0,70598.0,-90293.0,19695.0,0.1132,273957.0,500.0,FALL
2020-03-13,6130.0,6300.0,6490.0,5310.0,1004772.0,-190888.0,161323.0,29565.0,0.1177,254262.0,770.0,FALL
2020-03-12,6900.0,8280.0,8280.0,6830.0,719187.0,-88819.0,99520.0,-10701.0,0.1096,224697.0,1400.0,FALL
2020-03-11,8300.0,8780.0,8860.0,7960.0,239665.0,67275.0,-71645.0,4370.0,0.1046,235398.0,450.0,FALL
2020-03-10,8750.0,8250.0,8840.0,7960.0,331659.0,-138935.0,106787.0,32148.0,0.1082,231028.0,400.0,RISE
2020-03-09,8350.0,9000.0,9000.0,8320.0,423533.0,-149785.0,150072.0,-287.0,0.1029,198880.0,710.0,FALL
2020-03-06,9060.0,9240.0,9350.0,8960.0,95159.0,-24633.0,26301.0,-1668.0,0.0954,199167.0,310.0,FALL
2020-03-05,9370.0,9490.0,9580.0,9160.0,205126.0,-1910.0,8513.0,-6603.0,0.094,200835.0,40.0,FALL
2020-03-04,9410.0,9360.0,9600.0,9310.0,96007.0,27669.0,-11276.0,-16393.0,0.0941,207438.0,160.0,FALL
2020-03-03,9570.0,9650.0,9740.0,9350.0,233402.0,47538.0,-25593.0,-21945.0,0.0947,223831.0,160.0,RISE
2020-03-02,9410.0,9310.0,9590.0,8800.0,431401.0,1891.0,57150.0,-59041.0,0.096,245776.0,100.0,RISE
2020-02-28,9310.0,9730.0,9850.0,9000.0,404510.0,-71506.0,75168.0,-3662.0,0.0931,304817.0,640.0,FALL
2020-02-27,9950.0,10350.0,10450.0,9670.0,313506.0,19786.0,-29173.0,9387.0,0.0894,308479.0,400.0,FALL
2020-02-26,10350.0,10050.0,10600.0,9910.0,308431.0,-63989.0,49821.0,14168.0,0.0909,299092.0,0.0,EVEN
2020-02-25,10350.0,9900.0,10400.0,9700.0,267537.0,-57772.0,33859.0,23913.0,0.0884,284924.0,400.0,RISE
2020-02-24,9950.0,10300.0,10400.0,9680.0,380753.0,-73558.0,78344.0,-4786.0,0.0868,261011.0,650.0,FALL
2020-02-21,10600.0,10500.0,10900.0,10400.0,228819.0,-42810.0,20476.0,22334.0,0.083,265797.0,100.0,FALL
2020-02-20,10700.0,10850.0,10950.0,10350.0,326803.0,-1128.0,-6649.0,7777.0,0.08199999999999999,243463.0,150.0,FALL
2020-02-19,10850.0,11050.0,11150.0,10150.0,351812.0,3550.0,-11478.0,7928.0,0.0823,235686.0,50.0,FALL
2020-02-18,10900.0,10500.0,11450.0,10450.0,491778.0,-30765.0,-11462.0,42227.0,0.0829,227758.0,300.0,RISE
2020-02-17,10600.0,10200.0,10800.0,10000.0,533828.0,-172032.0,118841.0,53191.0,0.0837,185531.0,450.0,RISE
2020-02-14,10150.0,9900.0,10300.0,9730.0,425965.0,-84595.0,24716.0,59879.0,0.0777,132340.0,310.0,RISE
2020-02-13,9840.0,9390.0,9980.0,9360.0,291745.0,-28310.0,16165.0,12145.0,0.0765,72461.0,450.0,RISE
2020-02-12,9390.0,9010.0,9570.0,8850.0,270352.0,-150677.0,127911.0,22766.0,0.0757,60316.0,390.0,RISE
2020-02-11,9000.0,8950.0,9090.0,8790.0,122028.0,670.0,5238.0,-5908.0,0.0693,37550.0,10.0,FALL
2020-02-10,9010.0,9120.0,9120.0,8590.0,417825.0,56419.0,3979.0,-60398.0,0.069,43458.0,110.0,FALL
2020-02-07,9120.0,9110.0,9190.0,8960.0,120645.0,18650.0,-15335.0,-3315.0,0.0688,103856.0,0.0,EVEN
2020-02-06,9120.0,9080.0,9120.0,8730.0,341644.0,53171.0,23403.0,-76574.0,0.0698,107171.0,300.0,RISE
2020-02-05,8820.0,8900.0,9100.0,8660.0,289887.0,25508.0,-37960.0,12452.0,0.0687,183745.0,10.0,FALL
2020-02-04,8830.0,8550.0,8940.0,8390.0,317243.0,-23772.0,10027.0,13745.0,0.0706,171293.0,270.0,RISE
2020-02-03,8560.0,7950.0,8590.0,7790.0,452960.0,-101503.0,59283.0,42220.0,0.0701,157548.0,330.0,RISE
2020-01-31,8230.0,8120.0,8530.0,8030.0,344706.0,12327.0,-27759.0,15432.0,0.0671,115328.0,110.0,RISE
2020-01-30,8120.0,8050.0,8300.0,7830.0,346795.0,53059.0,5684.0,-58743.0,0.0685,99896.0,50.0,RISE
2020-01-29,8070.0,8370.0,8370.0,8030.0,332157.0,79845.0,-70185.0,-9660.0,0.0682,158639.0,280.0,FALL
2020-01-28,8350.0,8050.0,8390.0,7780.0,802246.0,150565.0,-186562.0,35997.0,0.0717,168299.0,20.0,FALL
2020-01-23,8370.0,8480.0,8750.0,8230.0,620552.0,-125955.0,-23951.0,149906.0,0.0811,132302.0,20.0,RISE
2020-01-22,8350.0,7350.0,8440.0,7230.0,1112270.0,-260795.0,71773.0,189022.0,0.0823,-17604.0,1000.0,RISE
2020-01-21,7350.0,7700.0,7700.0,7200.0,296480.0,-52533.0,43989.0,8544.0,0.0787,-206626.0,380.0,FALL
2020-01-20,7730.0,7740.0,7770.0,7510.0,350909.0,-96333.0,101927.0,-5594.0,0.0765,-215170.0,10.0,FALL
2020-01-17,7740.0,7710.0,7940.0,7590.0,231865.0,-33369.0,13597.0,19772.0,0.0714,-209576.0,40.0,RISE
2020-01-16,7700.0,7390.0,7890.0,7350.0,436899.0,18918.0,37581.0,-56499.0,0.0702,-229348.0,260.0,RISE
2020-01-15,7440.0,7120.0,7750.0,7040.0,675633.0,867.0,-9944.0,9077.0,0.07,-172849.0,260.0,RISE
2020-01-14,7180.0,6700.0,7360.0,6630.0,929303.0,39580.0,-39766.0,186.0,0.0706,-181926.0,480.0,RISE
2020-01-13,6700.0,6830.0,6830.0,6610.0,260684.0,24671.0,31831.0,-56502.0,0.0725,-182112.0,130.0,FALL
2020-01-10,6830.0,6850.0,6900.0,6640.0,204812.0,39069.0,-31849.0,-7220.0,0.0709,-125610.0,20.0,FALL
2020-01-09,6850.0,6700.0,7030.0,6700.0,435850.0,-135572.0,69403.0,66169.0,0.0725,-118390.0,300.0,RISE
2020-01-08,6550.0,6730.0,6790.0,6290.0,274056.0,-92223.0,81200.0,11023.0,0.069,-184559.0,170.0,FALL
2020-01-07,6720.0,6620.0,6860.0,6620.0,222221.0,8176.0,-2679.0,-5497.0,0.0654,-195582.0,40.0,RISE
2020-01-06,6680.0,6670.0,6750.0,6350.0,320930.0,-50888.0,66977.0,-16089.0,0.0655,-190085.0,120.0,FALL
2020-01-03,6800.0,7010.0,7200.0,6760.0,326430.0,22618.0,168.0,-22786.0,0.0622,-173996.0,200.0,FALL
2020-01-02,7000.0,7070.0,7120.0,6820.0,388006.0,7354.0,-23712.0,16358.0,0.0625,-151210.0,80.0,FALL
2019-12-30,7080.0,6590.0,7240.0,6530.0,670696.0,-123724.0,67544.0,56180.0,0.0637,-167568.0,450.0,RISE
2019-12-27,6630.0,6360.0,6800.0,6360.0,661964.0,-8985.0,2213.0,6772.0,0.0603,-223748.0,310.0,RISE
2019-12-26,6320.0,6210.0,6440.0,6150.0,770460.0,-57771.0,94049.0,-36278.0,0.0602,-230520.0,20.0,RISE
2019-12-24,6300.0,6090.0,6360.0,5970.0,653903.0,-108009.0,72686.0,35323.0,0.0555,-194242.0,220.0,RISE
2019-12-23,6080.0,6220.0,6250.0,6040.0,396290.0,13651.0,-4616.0,-9035.0,0.0518,-229565.0,210.0,FALL
2019-12-20,6290.0,5760.0,6420.0,5760.0,1974604.0,95336.0,-141879.0,46543.0,0.0521,-220530.0,530.0,RISE
2019-12-19,5760.0,5600.0,5770.0,5530.0,308512.0,-24323.0,23135.0,1188.0,0.0592,-267073.0,160.0,RISE
2019-12-18,5600.0,5740.0,5960.0,5500.0,709636.0,67007.0,-5777.0,-61230.0,0.0581,-268261.0,190.0,FALL
2019-12-17,5790.0,5320.0,5790.0,5320.0,1082042.0,-102220.0,56417.0,45803.0,0.0584,-207031.0,490.0,RISE
2019-12-16,5300.0,5200.0,5450.0,5150.0,579898.0,-5035.0,-28145.0,33180.0,0.0556,-252834.0,90.0,RISE
2019-12-13,5210.0,5050.0,5390.0,4990.0,1655880.0,52012.0,-92197.0,40185.0,0.0571,-286014.0,130.0,RISE
2019-12-12,5080.0,4270.0,5250.0,4270.0,3294521.0,-54682.0,16875.0,37807.0,0.0615,-326199.0,810.0,RISE
2019-12-11,4270.0,4160.0,4270.0,4090.0,53659.0,1356.0,-1307.0,-49.0,0.0607,-364006.0,110.0,RISE
2019-12-10,4160.0,4095.0,4190.0,4050.0,119583.0,-10409.0,19719.0,-9310.0,0.0607,-363957.0,50.0,RISE
