날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2019-02-13,15300.0,15600.0,15600.0,14950.0,3961223.0,885661.0,197570.0,-1083231.0,0.2751,-1083231.0,300.0,FALL
2019-02-14,16000.0,15250.0,16000.0,15200.0,2626606.0,-625942.0,859851.0,-233909.0,0.2766,-1317140.0,700.0,RISE
2019-02-15,15650.0,15800.0,15850.0,15600.0,1276624.0,251886.0,-244031.0,-7855.0,0.2763,-1324995.0,350.0,FALL
2019-02-18,15750.0,15700.0,15800.0,15650.0,1034314.0,-56720.0,-191699.0,248419.0,0.2768,-1076576.0,100.0,RISE
2019-02-19,15550.0,15800.0,15850.0,15550.0,974123.0,-2029.0,-113216.0,115245.0,0.2767,-961331.0,200.0,FALL
2019-02-20,15250.0,15400.0,15500.0,15100.0,2923220.0,980247.0,-365791.0,-614456.0,0.2762,-1575787.0,300.0,FALL
2019-02-21,15100.0,15200.0,15250.0,15050.0,883514.0,281807.0,-233605.0,-48202.0,0.2758,-1623989.0,150.0,FALL
2019-02-22,14850.0,14950.0,15000.0,14750.0,1546763.0,754540.0,-555538.0,-199002.0,0.275,-1822991.0,250.0,FALL
2019-02-25,14900.0,14900.0,15050.0,14850.0,905856.0,-71255.0,-135094.0,206349.0,0.2749,-1616642.0,50.0,RISE
2019-02-26,14700.0,14900.0,14950.0,14700.0,890582.0,370933.0,-331293.0,-39640.0,0.2744,-1656282.0,200.0,FALL
2019-02-27,14800.0,14650.0,14850.0,14500.0,1573961.0,672265.0,-430177.0,-242088.0,0.2739,-1898370.0,100.0,RISE
2019-02-28,14800.0,14800.0,14800.0,14600.0,2377878.0,10994.0,-309656.0,298662.0,0.2734,-1599708.0,0.0,EVEN
2019-03-04,14400.0,14700.0,14750.0,14350.0,1547446.0,594590.0,-502278.0,-92312.0,0.2728,-1692020.0,400.0,FALL
2019-03-05,14250.0,14400.0,14400.0,14150.0,1286767.0,230625.0,-220046.0,-10579.0,0.2726,-1702599.0,150.0,FALL
2019-03-06,14350.0,14350.0,14450.0,14150.0,1117292.0,-54359.0,-45217.0,99576.0,0.2727,-1603023.0,100.0,RISE
2019-03-07,14200.0,14400.0,14450.0,14150.0,905411.0,125750.0,-64206.0,-61544.0,0.2727,-1664567.0,150.0,FALL
2019-03-08,14000.0,14150.0,14200.0,14000.0,651905.0,29505.0,-70101.0,40596.0,0.2727,-1623971.0,200.0,FALL
2019-03-11,14150.0,13950.0,14200.0,13950.0,663971.0,-147045.0,66841.0,80204.0,0.2729,-1543767.0,150.0,RISE
2019-03-12,14400.0,14200.0,14450.0,14150.0,841522.0,-116703.0,96470.0,20233.0,0.2733,-1523534.0,250.0,RISE
2019-03-13,14550.0,14300.0,14550.0,14250.0,715885.0,-128809.0,192048.0,-63239.0,0.2737,-1586773.0,150.0,RISE
2019-03-14,14350.0,14550.0,14600.0,14350.0,1578814.0,220795.0,-58896.0,-161899.0,0.2738,-1748672.0,200.0,FALL
2019-03-15,14850.0,14400.0,14850.0,14350.0,3539125.0,-724183.0,272363.0,451820.0,0.2742,-1296852.0,500.0,RISE
2019-03-18,14950.0,14900.0,15000.0,14750.0,763184.0,-181826.0,11515.0,170311.0,0.2742,-1126541.0,100.0,RISE
2019-03-19,14900.0,15000.0,15050.0,14800.0,995019.0,-44747.0,-75303.0,120050.0,0.2742,-1006491.0,50.0,FALL
2019-03-20,15000.0,14800.0,15000.0,14750.0,581438.0,-233250.0,171208.0,62042.0,0.2745,-944449.0,100.0,RISE
2019-03-21,14650.0,14800.0,15000.0,14600.0,1055925.0,240700.0,209948.0,-450648.0,0.2749,-1395097.0,350.0,FALL
2019-03-22,14050.0,14500.0,14550.0,14000.0,23513784.0,2284615.0,16363116.0,-18647731.0,0.2991,-20042828.0,600.0,FALL
2019-03-25,13400.0,13900.0,14000.0,13350.0,3167652.0,1829194.0,-1390067.0,-439127.0,0.2971,-20481955.0,650.0,FALL
2019-03-26,13350.0,13500.0,13550.0,13350.0,1318663.0,444826.0,-354783.0,-90043.0,0.2967,-20571998.0,50.0,FALL
2019-03-27,13500.0,13450.0,13650.0,13450.0,1587553.0,711953.0,-652473.0,-59480.0,0.2958,-20631478.0,150.0,RISE
2019-03-28,13550.0,13450.0,13650.0,13450.0,1634096.0,544804.0,-468727.0,-76077.0,0.2953,-20707555.0,50.0,RISE
2019-03-29,13750.0,13600.0,13850.0,13550.0,1995723.0,340133.0,-346822.0,6689.0,0.2948,-20700866.0,200.0,RISE
2019-04-01,14150.0,13850.0,14250.0,13800.0,2079046.0,-78843.0,-116178.0,195021.0,0.2946,-20505845.0,400.0,RISE
2019-04-02,14250.0,14150.0,14350.0,14150.0,1444377.0,346249.0,-374720.0,28471.0,0.2941,-20477374.0,100.0,RISE
2019-04-03,14400.0,14100.0,14400.0,14100.0,1241047.0,115804.0,-179231.0,63427.0,0.294,-20413947.0,150.0,RISE
2019-04-04,14450.0,14450.0,14600.0,14350.0,1666798.0,-28006.0,-182460.0,210466.0,0.2938,-20203481.0,50.0,RISE
2019-04-05,14400.0,14500.0,14600.0,14350.0,887367.0,-79594.0,44814.0,34780.0,0.294,-20168701.0,50.0,FALL
2019-04-08,14300.0,14350.0,14500.0,14300.0,1227406.0,249299.0,-168103.0,-81196.0,0.2938,-20249897.0,100.0,FALL
2019-04-09,14350.0,14400.0,14450.0,14300.0,1097314.0,-81348.0,129231.0,-47883.0,0.2941,-20297780.0,50.0,RISE
2019-04-10,14350.0,14250.0,14350.0,14050.0,1718389.0,94454.0,-166191.0,71737.0,0.2938,-20226043.0,0.0,EVEN
2019-04-11,14350.0,14350.0,14450.0,14250.0,1882279.0,-24483.0,294736.0,-270253.0,0.2944,-20496296.0,0.0,EVEN
2019-04-12,14300.0,14400.0,14450.0,14250.0,1110551.0,50618.0,-25217.0,-25401.0,0.2943,-20521697.0,50.0,FALL
2019-04-15,14300.0,14300.0,14450.0,14250.0,1040210.0,171760.0,-32276.0,-139484.0,0.2943,-20661181.0,0.0,EVEN
2019-04-16,14200.0,14200.0,14350.0,14150.0,1062403.0,209765.0,4611.0,-214376.0,0.2944,-20875557.0,100.0,FALL
2019-04-17,14150.0,14250.0,14300.0,14150.0,794666.0,-991.0,121837.0,-120846.0,0.2947,-20996403.0,50.0,FALL
2019-04-18,14000.0,14150.0,14150.0,13950.0,1096357.0,262638.0,-38792.0,-223846.0,0.2947,-21220249.0,150.0,FALL
2019-04-19,13950.0,13950.0,14050.0,13950.0,468664.0,34166.0,138825.0,-172991.0,0.2949,-21393240.0,50.0,FALL
2019-04-22,13850.0,13900.0,13950.0,13850.0,580501.0,195460.0,20866.0,-216326.0,0.2949,-21609566.0,100.0,FALL
2019-04-23,14000.0,13900.0,14100.0,13750.0,1324375.0,295209.0,-296347.0,1138.0,0.2947,-21608428.0,150.0,RISE
2019-04-24,13850.0,14000.0,14050.0,13750.0,1066707.0,213023.0,45912.0,-258935.0,0.2948,-21867363.0,150.0,FALL
2019-04-25,14000.0,13800.0,14000.0,13750.0,751660.0,-98669.0,96699.0,1970.0,0.2949,-21865393.0,150.0,RISE
2019-04-26,13850.0,14000.0,14100.0,13800.0,868559.0,57147.0,128668.0,-185815.0,0.2951,-22051208.0,150.0,FALL
2019-04-29,14000.0,13850.0,14000.0,13800.0,497794.0,-91700.0,-56883.0,148583.0,0.295,-21902625.0,150.0,RISE
2019-04-30,13850.0,14100.0,14150.0,13850.0,1246644.0,67541.0,-22824.0,-44717.0,0.295,-21947342.0,150.0,FALL
2019-05-02,14200.0,13850.0,14200.0,13800.0,853449.0,-355165.0,399833.0,-44668.0,0.2956,-21992010.0,350.0,RISE
2019-05-03,13950.0,14200.0,14200.0,13900.0,642365.0,194099.0,152705.0,-346804.0,0.2958,-22338814.0,250.0,FALL
2019-05-07,14050.0,13800.0,14050.0,13800.0,1016057.0,-54692.0,336091.0,-281399.0,0.2963,-22620213.0,100.0,RISE
2019-05-08,14050.0,13900.0,14200.0,13850.0,956350.0,-140866.0,287312.0,-146446.0,0.2967,-22766659.0,0.0,EVEN
2019-05-09,13850.0,14050.0,14150.0,13850.0,1642027.0,-138134.0,435723.0,-297589.0,0.2974,-23064248.0,200.0,FALL
2019-05-10,13800.0,13900.0,14050.0,13750.0,1087540.0,101085.0,-35395.0,-65690.0,0.2973,-23129938.0,50.0,FALL
2019-05-13,13600.0,13750.0,13800.0,13500.0,1163225.0,405039.0,-237410.0,-167629.0,0.297,-23297567.0,200.0,FALL
2019-05-14,13700.0,13400.0,13700.0,13400.0,1037129.0,-93314.0,15697.0,77617.0,0.297,-23219950.0,100.0,RISE
2019-05-15,13850.0,13700.0,13900.0,13500.0,1292151.0,-126478.0,26702.0,99776.0,0.297,-23120174.0,150.0,RISE
2019-05-16,13800.0,13750.0,13950.0,13750.0,1058541.0,-69647.0,153883.0,-84236.0,0.2973,-23204410.0,50.0,FALL
2019-05-17,13700.0,13900.0,13950.0,13700.0,888163.0,-34360.0,-26023.0,60383.0,0.2972,-23144027.0,100.0,FALL
2019-05-20,13750.0,13750.0,13850.0,13700.0,668952.0,-121167.0,50778.0,70389.0,0.2973,-23073638.0,50.0,RISE
2019-05-21,13850.0,13750.0,13900.0,13750.0,754764.0,-126932.0,102439.0,24493.0,0.2975,-23049145.0,100.0,RISE
2019-05-22,14050.0,13900.0,14050.0,13800.0,976568.0,-64368.0,221736.0,-157368.0,0.2978,-23206513.0,200.0,RISE
2019-05-23,13950.0,14050.0,14050.0,13900.0,831364.0,-201272.0,109149.0,92123.0,0.2979,-23114390.0,100.0,FALL
2019-05-24,14250.0,13950.0,14250.0,13950.0,1131257.0,-630958.0,436795.0,194163.0,0.2986,-22920227.0,300.0,RISE
2019-05-27,14100.0,14200.0,14250.0,14000.0,761694.0,92699.0,-338462.0,245763.0,0.2981,-22674464.0,150.0,FALL
2019-05-28,14150.0,14100.0,14200.0,14000.0,1802813.0,-25780.0,-70670.0,96450.0,0.298,-22578014.0,50.0,RISE
2019-05-29,14000.0,14200.0,14250.0,13900.0,1059910.0,-7662.0,179469.0,-171807.0,0.2982,-22749821.0,150.0,FALL
2019-05-30,14100.0,14000.0,14150.0,13950.0,751578.0,-93005.0,334947.0,-241942.0,0.2987,-22991763.0,100.0,RISE
2019-05-31,13900.0,14000.0,14100.0,13800.0,1308995.0,161974.0,50428.0,-212402.0,0.2988,-23204165.0,200.0,FALL
2019-06-03,14000.0,13850.0,14000.0,13800.0,1202772.0,-143162.0,390685.0,-247523.0,0.2994,-23451688.0,100.0,RISE
