,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,6680.0,6580.0,6690.0,6580.0,208325.0,-58963,59162,-199,0.0261,52194,80.0,RISE
2020-06-01,6600.0,6570.0,6690.0,6500.0,199710.0,-32234,31872,362,0.0218,52393,140.0,RISE
2020-05-29,6460.0,6550.0,6560.0,6350.0,103273.0,-6669,6693,-24,0.019,52031,80.0,FALL
2020-05-28,6540.0,6680.0,6740.0,6430.0,260877.0,19055,-19010,-45,0.019,52055,140.0,FALL
2020-05-27,6680.0,6650.0,6690.0,6590.0,201609.0,-2169,2179,-10,0.0204,52100,10.0,RISE
2020-05-26,6670.0,6530.0,6670.0,6500.0,206477.0,-19418,19703,-285,0.0201,52110,140.0,RISE
2020-05-25,6530.0,6640.0,6650.0,6530.0,122849.0,-7956,8597,-641,0.0187,52395,40.0,FALL
2020-05-22,6570.0,6610.0,6720.0,6500.0,266390.0,,,,,,,
2020-05-21,6560.0,6670.0,6680.0,6540.0,232472.0,14964.0,-14967.0,3.0,0.0178,53103.0,50.0,FALL
2020-05-20,6610.0,6700.0,6700.0,6590.0,200723.0,9803.0,-9791.0,-12.0,0.0195,53100.0,40.0,FALL
2020-05-19,6650.0,6880.0,6930.0,6500.0,613075.0,-41792.0,41905.0,-113.0,0.02,53112.0,260.0,FALL
2020-05-18,6910.0,7090.0,7090.0,6860.0,245243.0,-33717.0,33721.0,-4.0,0.017,53225.0,140.0,FALL
2020-05-15,7050.0,7220.0,7380.0,6970.0,665937.0,65062.0,-66421.0,1359.0,0.0148,53229.0,110.0,RISE
2020-05-14,6940.0,6800.0,6990.0,6790.0,272898.0,-68484.0,68436.0,48.0,0.0197,51870.0,10.0,RISE
2020-05-13,6930.0,7030.0,7070.0,6920.0,262877.0,-21015.0,8725.0,12290.0,0.0153,51822.0,120.0,FALL
2020-05-12,7050.0,7080.0,7400.0,6920.0,954678.0,10623.0,-10690.0,67.0,0.0141,39532.0,0.0,EVEN
2020-05-11,7050.0,7260.0,7290.0,6990.0,619525.0,73167.0,-73152.0,-15.0,0.0149,39465.0,70.0,FALL
2020-05-08,7120.0,6760.0,7250.0,6740.0,1092294.0,-31096.0,31274.0,-178.0,0.021,39480.0,360.0,RISE
2020-05-07,6760.0,6860.0,6880.0,6710.0,260599.0,4151.0,-4162.0,11.0,0.0183,39658.0,60.0,FALL
2020-05-06,6820.0,6710.0,6850.0,6660.0,293833.0,-43891.0,43805.0,86.0,0.0186,39647.0,140.0,RISE
