,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,584.0,570.0,589.0,566.0,2639228.0,-585995,585093,902,0.02,-4492176,16.0,RISE
2020-06-01,568.0,569.0,571.0,562.0,1398744.0,-237933,239043,-1110,0.0191,-4493078,4.0,RISE
2020-05-29,564.0,573.0,573.0,559.0,1636868.0,68453,-64699,-3754,0.0187,-4491968,8.0,FALL
2020-05-28,572.0,570.0,595.0,558.0,3546620.0,397374,-393984,-3390,0.0188,-4488214,5.0,RISE
2020-05-27,567.0,565.0,571.0,562.0,1225247.0,-212847,217303,-4456,0.0194,-4484824,5.0,RISE
2020-05-26,562.0,566.0,567.0,558.0,1161847.0,-24105,24353,-248,0.0191,-4480368,0.0,EVEN
2020-05-25,562.0,563.0,566.0,557.0,1071328.0,83178,-77701,-5477,0.0191,-4480120,0.0,EVEN
2020-05-22,562.0,568.0,577.0,557.0,3183517.0,,,,,,,
2020-05-21,570.0,575.0,579.0,569.0,1068403.0,98456.0,-97435.0,-1021.0,0.0191,-4831339.0,4.0,FALL
2020-05-20,574.0,564.0,575.0,564.0,1232730.0,-236565.0,238736.0,-2171.0,0.0192,-4830318.0,6.0,RISE
2020-05-19,568.0,571.0,579.0,563.0,2117434.0,216045.0,-162627.0,-53418.0,0.0189,-4828147.0,6.0,RISE
2020-05-18,562.0,566.0,567.0,556.0,783250.0,181986.0,-186161.0,4175.0,0.0191,-4774729.0,1.0,RISE
2020-05-15,561.0,561.0,562.0,551.0,1048921.0,-340334.0,225012.0,115322.0,0.0194,-4778904.0,5.0,RISE
2020-05-14,556.0,557.0,566.0,551.0,1213569.0,-105208.0,98481.0,6727.0,0.0191,-4894226.0,7.0,FALL
2020-05-13,563.0,561.0,572.0,557.0,1072143.0,-63531.0,56128.0,7403.0,0.0189,-4900953.0,4.0,FALL
2020-05-12,567.0,578.0,578.0,560.0,1698296.0,-41676.0,25180.0,16496.0,0.0188,-4908356.0,9.0,FALL
2020-05-11,576.0,576.0,582.0,570.0,929537.0,-11187.0,-21768.0,32955.0,0.0188,-4924852.0,1.0,RISE
2020-05-08,575.0,575.0,584.0,573.0,939895.0,17800.0,-22977.0,5177.0,0.0188,-4957807.0,1.0,RISE
2020-05-07,574.0,584.0,585.0,573.0,1385347.0,53127.0,-49874.0,-3253.0,0.0189,-4962984.0,9.0,FALL
2020-05-06,583.0,569.0,584.0,569.0,1797806.0,-31753.0,17205.0,14548.0,0.019,-4959731.0,16.0,RISE
2020-05-04,567.0,571.0,581.0,560.0,2026569.0,460968.0,-387979.0,-72989.0,0.0189,-4974279.0,14.0,FALL
2020-04-29,581.0,552.0,623.0,552.0,12224345.0,-7572.0,17087.0,-9515.0,0.0195,-4901290.0,25.0,RISE
2020-04-28,556.0,559.0,565.0,545.0,2461269.0,-218893.0,219628.0,-735.0,0.0195,-4891775.0,1.0,RISE
2020-04-27,555.0,529.0,613.0,522.0,15850339.0,780140.0,-780110.0,-30.0,0.0191,-4891040.0,30.0,RISE
2020-04-24,525.0,535.0,535.0,523.0,1141952.0,29874.0,-29933.0,59.0,0.0203,-4891010.0,11.0,FALL
2020-04-23,536.0,540.0,545.0,524.0,926109.0,169202.0,-166833.0,-2369.0,0.0203,-4891069.0,1.0,RISE
2020-04-22,535.0,537.0,537.0,523.0,1194168.0,178327.0,-177441.0,-886.0,0.0207,-4888700.0,3.0,FALL
2020-04-21,538.0,542.0,556.0,517.0,2773876.0,-294866.0,292613.0,2253.0,0.021,-4887814.0,12.0,FALL
2020-04-20,550.0,553.0,565.0,548.0,2335942.0,475859.0,-472762.0,-3097.0,0.0205,-4890067.0,5.0,FALL
2020-04-17,555.0,526.0,559.0,520.0,3218979.0,13077.0,-15197.0,2120.0,0.021,-4886970.0,36.0,RISE
2020-04-16,519.0,516.0,521.0,509.0,1102179.0,100368.0,-111694.0,11326.0,0.0208,-4889090.0,0.0,EVEN
2020-04-14,519.0,511.0,526.0,508.0,1842917.0,-208108.0,198950.0,9158.0,0.0209,-4900416.0,8.0,RISE
2020-04-13,511.0,525.0,528.0,511.0,1750046.0,270109.0,-274532.0,4423.0,0.0204,-4909574.0,11.0,FALL
2020-04-10,522.0,512.0,537.0,504.0,3678630.0,-113667.0,60737.0,52930.0,0.0207,-4913997.0,12.0,RISE
