날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-09,,,,,,-600.0,600.0,0.0,0.006,-31346.0,40.0,RISE
2014-04-10,8130.0,8100.0,8150.0,8060.0,9280.0,1860.0,-1860.0,0.0,0.006,-31346.0,10.0,FALL
2014-04-11,8090.0,8050.0,8120.0,7970.0,19131.0,6360.0,-1520.0,-4840.0,0.006,-36186.0,40.0,FALL
2014-04-14,8000.0,8020.0,8100.0,7960.0,20291.0,7090.0,-1950.0,-5140.0,0.006,-41326.0,90.0,FALL
2014-04-15,8200.0,8070.0,8450.0,8070.0,74635.0,1108.0,3520.0,-4628.0,0.006,-45954.0,200.0,RISE
2014-04-16,8100.0,8200.0,8280.0,8050.0,23251.0,1910.0,590.0,-2500.0,0.006,-48454.0,100.0,FALL
2014-04-17,8120.0,8100.0,8200.0,8060.0,10472.0,1460.0,-1460.0,0.0,0.006,-48454.0,20.0,RISE
2014-04-18,8100.0,8120.0,8150.0,8050.0,8911.0,210.0,-210.0,0.0,0.006,-48454.0,20.0,FALL
2014-04-21,8340.0,8100.0,8350.0,8060.0,53721.0,-5850.0,850.0,5000.0,0.006,-43454.0,240.0,RISE
2014-04-22,8340.0,8300.0,8410.0,8280.0,19662.0,3530.0,-1530.0,-2000.0,0.006,-45454.0,0.0,EVEN
2014-04-23,8300.0,8340.0,8350.0,8250.0,12488.0,-310.0,-2190.0,2500.0,0.006,-42954.0,40.0,FALL
2014-04-24,8200.0,8390.0,8390.0,8160.0,20905.0,4510.0,-890.0,-3620.0,0.006,-46574.0,100.0,FALL
2014-04-25,8190.0,8160.0,8260.0,8100.0,6580.0,1490.0,-1490.0,0.0,0.006,-46574.0,10.0,FALL
2014-04-28,8160.0,8140.0,8180.0,8060.0,13840.0,190.0,-190.0,0.0,0.006,-46574.0,30.0,FALL
2014-04-29,8120.0,8160.0,8200.0,8050.0,16030.0,1970.0,-570.0,-1400.0,0.006,-47974.0,40.0,FALL
2014-04-30,8050.0,8120.0,8220.0,8040.0,14467.0,682.0,-670.0,-12.0,0.006,-47986.0,70.0,FALL
2014-05-02,8010.0,8030.0,8130.0,8000.0,12220.0,500.0,-500.0,0.0,0.006,-47986.0,40.0,FALL
2014-05-07,8130.0,8000.0,8180.0,7950.0,29830.0,2470.0,-860.0,-1610.0,0.006,-49596.0,120.0,RISE
2014-05-08,8230.0,8550.0,8550.0,8150.0,51610.0,7610.0,-7610.0,0.0,0.006,-49596.0,100.0,RISE
2014-05-09,8500.0,8350.0,8510.0,8250.0,90531.0,-5470.0,160.0,5310.0,0.006,-44286.0,270.0,RISE
2014-05-12,8300.0,8600.0,8600.0,8300.0,62060.0,-6260.0,-1080.0,7340.0,0.006,-36946.0,200.0,FALL
2014-05-13,8370.0,8390.0,8470.0,8280.0,22839.0,-330.0,330.0,0.0,0.006,-36946.0,70.0,RISE
