날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-09,,,,,,21321.0,4672.0,-25993.0,0.099,-18848.0,5.0,RISE
2014-04-10,4755.0,4795.0,4795.0,4690.0,78167.0,3087.0,-1830.0,-1257.0,0.099,-20105.0,0.0,EVEN
2014-04-11,4760.0,4660.0,4790.0,4655.0,116653.0,-30851.0,4249.0,26602.0,0.099,6497.0,5.0,RISE
2014-04-14,4760.0,4790.0,4850.0,4750.0,109813.0,-38972.0,1901.0,37071.0,0.099,43568.0,0.0,EVEN
2014-04-15,4690.0,4790.0,4800.0,4690.0,108003.0,-8947.0,2205.0,6742.0,0.099,50310.0,70.0,FALL
2014-04-16,4685.0,4745.0,4790.0,4680.0,126217.0,-1654.0,-7496.0,9150.0,0.099,59460.0,5.0,FALL
2014-04-17,4815.0,4705.0,4825.0,4705.0,164067.0,-62802.0,66139.0,-3337.0,0.103,56123.0,130.0,RISE
2014-04-18,4855.0,4825.0,4900.0,4770.0,110795.0,-1473.0,268.0,1205.0,0.103,57328.0,40.0,RISE
2014-04-21,4755.0,4810.0,4855.0,4755.0,98190.0,23561.0,-4379.0,-19182.0,0.102,38146.0,100.0,FALL
2014-04-22,4665.0,4765.0,4770.0,4590.0,185581.0,-10562.0,-3917.0,14479.0,0.102,52625.0,90.0,FALL
2014-04-23,4590.0,4700.0,4710.0,4590.0,129902.0,14362.0,-7479.0,-6883.0,0.101,45742.0,75.0,FALL
2014-04-24,4450.0,4630.0,4650.0,4450.0,114870.0,-24862.0,26002.0,-1140.0,0.103,44602.0,140.0,FALL
2014-04-25,4385.0,4465.0,4545.0,4350.0,172955.0,-14786.0,13773.0,1013.0,0.104,45615.0,65.0,FALL
2014-04-28,4400.0,4355.0,4450.0,4355.0,64136.0,-1939.0,9707.0,-7768.0,0.104,37847.0,15.0,RISE
2014-04-29,4440.0,4450.0,4460.0,4410.0,64911.0,-16974.0,6663.0,10311.0,0.105,48158.0,40.0,RISE
2014-04-30,4500.0,4465.0,4540.0,4430.0,110284.0,-31265.0,11309.0,19956.0,0.105,68114.0,60.0,RISE
2014-05-02,4565.0,4545.0,4570.0,4485.0,59726.0,-10148.0,43.0,10105.0,0.105,78219.0,65.0,RISE
2014-05-07,4365.0,4565.0,4595.0,4330.0,161661.0,39285.0,-12209.0,-27076.0,0.105,51143.0,200.0,FALL
2014-05-08,4170.0,4310.0,4335.0,4135.0,287843.0,51998.0,-3732.0,-48266.0,0.104,2877.0,195.0,FALL
2014-05-09,4190.0,4170.0,4240.0,4170.0,51191.0,-7384.0,9067.0,-1683.0,0.105,1194.0,20.0,RISE
2014-05-12,4200.0,4215.0,4215.0,4160.0,70897.0,-9850.0,8850.0,1000.0,0.105,2194.0,10.0,RISE
2014-05-13,4335.0,4200.0,4350.0,4200.0,70985.0,-3073.0,4070.0,-997.0,0.105,1197.0,135.0,RISE
2014-05-14,4325.0,4335.0,4360.0,4250.0,50025.0,-7711.0,7711.0,0.0,0.106,1197.0,10.0,FALL
2014-05-15,4300.0,4350.0,4370.0,4300.0,54483.0,6769.0,2625.0,-9394.0,0.105,-8197.0,25.0,FALL
2014-05-16,3665.0,3905.0,3965.0,3655.0,1661537.0,385125.0,-34878.0,-350247.0,0.103,-358444.0,635.0,FALL
2014-05-19,3440.0,3660.0,3670.0,3350.0,845913.0,59203.0,-51459.0,-7744.0,0.1,-366188.0,225.0,FALL
2014-05-20,3420.0,3410.0,3485.0,3390.0,342208.0,67890.0,-44829.0,-23061.0,0.098,-389249.0,20.0,FALL
2014-05-21,3410.0,3405.0,3460.0,3405.0,118143.0,44501.0,-41992.0,-2509.0,0.096,-391758.0,10.0,FALL
2014-05-22,3340.0,3440.0,3495.0,3330.0,323183.0,66397.0,-66296.0,-101.0,0.092,-391859.0,70.0,FALL
2014-05-23,3375.0,3375.0,3435.0,3350.0,177737.0,49816.0,-41728.0,-8088.0,0.09,-399947.0,35.0,RISE
2014-05-26,3365.0,3390.0,3430.0,3355.0,191405.0,19692.0,-22447.0,2755.0,0.088,-397192.0,10.0,FALL
2014-05-27,3300.0,3360.0,3390.0,3300.0,225086.0,33357.0,-33356.0,-1.0,0.087,-397193.0,65.0,FALL
2014-05-28,3310.0,3295.0,3355.0,3295.0,208244.0,-14691.0,-38378.0,53069.0,0.084,-344124.0,10.0,RISE
2014-05-29,3405.0,3310.0,3440.0,3310.0,285326.0,30560.0,-50045.0,19485.0,0.082,-324639.0,95.0,RISE
2014-05-30,3415.0,3390.0,3450.0,3355.0,222524.0,1111.0,-48575.0,47464.0,0.079,-277175.0,10.0,RISE
2014-06-02,3215.0,3445.0,3445.0,3210.0,267186.0,94969.0,-71083.0,-23886.0,0.075,-301061.0,200.0,FALL
2014-06-03,3125.0,3195.0,3215.0,3080.0,295316.0,65814.0,-3191.0,-62623.0,0.075,-363684.0,90.0,FALL
2014-06-05,3120.0,3070.0,3180.0,3070.0,173652.0,-31632.0,-44646.0,76278.0,0.072,-287406.0,5.0,FALL
2014-06-09,3090.0,3105.0,3185.0,3035.0,214002.0,56553.0,-28284.0,-28269.0,0.07,-315675.0,30.0,FALL
2014-06-10,3045.0,3090.0,3115.0,3010.0,246041.0,73523.0,-72223.0,-1300.0,0.066,-316975.0,45.0,FALL
2014-06-11,3045.0,3075.0,3095.0,3020.0,149254.0,33978.0,-29901.0,-4077.0,0.065,-321052.0,0.0,EVEN
2014-06-12,3090.0,3065.0,3110.0,3030.0,122573.0,-839.0,839.0,0.0,0.065,-321052.0,45.0,RISE
2014-06-13,3135.0,3090.0,3155.0,3085.0,117723.0,4241.0,-3338.0,-903.0,0.065,-321955.0,45.0,RISE
2014-06-16,3085.0,3120.0,3160.0,3085.0,105795.0,9949.0,-20164.0,10215.0,0.063,-311740.0,50.0,FALL
2014-06-17,3095.0,3090.0,3140.0,3090.0,102809.0,9547.0,10244.0,-19791.0,0.064,-331531.0,10.0,RISE
2014-06-18,3125.0,3100.0,3145.0,3090.0,88860.0,-17896.0,17896.0,0.0,0.065,-331531.0,30.0,RISE
2014-06-19,3235.0,3130.0,3280.0,3130.0,236107.0,13636.0,-2374.0,-11262.0,0.065,-342793.0,110.0,RISE
2014-06-20,3195.0,3200.0,3245.0,3185.0,120790.0,22640.0,-11932.0,-10708.0,0.064,-353501.0,40.0,FALL
2014-06-23,3055.0,3170.0,3215.0,3055.0,164902.0,36180.0,-36180.0,0.0,0.062,-353501.0,140.0,FALL
2014-06-24,3000.0,3055.0,3120.0,2985.0,207804.0,21559.0,-16801.0,-4758.0,0.061,-358259.0,55.0,FALL
2014-06-25,2995.0,2990.0,3035.0,2985.0,68600.0,-4610.0,4610.0,0.0,0.061,-358259.0,5.0,FALL
2014-06-26,2995.0,2995.0,3020.0,2990.0,113823.0,44463.0,371.0,-44834.0,0.063,-403093.0,0.0,EVEN
2014-06-27,3100.0,3000.0,3100.0,2990.0,155557.0,17899.0,14440.0,-32339.0,0.063,-435432.0,105.0,RISE
2014-06-30,3190.0,3100.0,3195.0,3075.0,67093.0,-25983.0,-910.0,26893.0,0.063,-408539.0,90.0,RISE
2014-07-01,3210.0,3225.0,3225.0,3175.0,57927.0,1365.0,318.0,-1683.0,0.063,-410222.0,20.0,RISE
2014-07-02,3245.0,3210.0,3265.0,3210.0,82368.0,568.0,2138.0,-2706.0,0.063,-412928.0,35.0,RISE
2014-07-03,3240.0,3270.0,3295.0,3225.0,80614.0,-1553.0,1553.0,0.0,0.064,-412928.0,5.0,FALL
2014-07-04,3155.0,3270.0,3285.0,3150.0,111510.0,5728.0,-5728.0,0.0,0.063,-412928.0,85.0,FALL
2014-07-07,3175.0,3170.0,3200.0,3130.0,69886.0,-4264.0,5372.0,-1108.0,0.064,-414036.0,20.0,RISE
2014-07-08,3135.0,3200.0,3200.0,3125.0,103471.0,2148.0,-1897.0,-251.0,0.063,-414287.0,40.0,FALL
2014-07-09,3160.0,3235.0,3235.0,3145.0,98890.0,4402.0,-4402.0,0.0,0.063,-414287.0,25.0,RISE
2014-07-10,3150.0,3150.0,3185.0,3115.0,165153.0,18948.0,5130.0,-24078.0,0.063,-438365.0,10.0,FALL
2014-07-11,3070.0,3130.0,3165.0,3065.0,172196.0,31020.0,-13762.0,-17258.0,0.063,-455623.0,80.0,FALL
2014-07-14,3165.0,3100.0,3175.0,3055.0,148368.0,-543.0,5543.0,-5000.0,0.063,-460623.0,95.0,RISE
2014-07-15,3170.0,3190.0,3260.0,3165.0,151868.0,1845.0,-1845.0,0.0,0.063,-460623.0,5.0,RISE
2014-07-16,3100.0,3205.0,3205.0,3090.0,141413.0,46522.0,-14217.0,-32305.0,0.062,-492928.0,70.0,FALL
2014-07-17,3100.0,3100.0,3160.0,3100.0,58957.0,2323.0,8175.0,-10498.0,0.063,-503426.0,0.0,EVEN
2014-07-18,3120.0,3100.0,3125.0,3070.0,113373.0,-3054.0,5363.0,-2309.0,0.063,-505735.0,20.0,RISE
2014-07-21,3140.0,3150.0,3230.0,3140.0,112752.0,6077.0,1808.0,-7885.0,0.063,-513620.0,20.0,RISE
2014-07-22,3200.0,3140.0,3205.0,3130.0,85008.0,-14276.0,14276.0,0.0,0.064,-513620.0,60.0,RISE
2014-07-23,3275.0,3235.0,3295.0,3175.0,165761.0,2993.0,-2993.0,0.0,0.064,-513620.0,75.0,RISE
2014-07-24,3300.0,3300.0,3365.0,3250.0,207915.0,17968.0,-17968.0,0.0,0.063,-513620.0,25.0,RISE
2014-07-25,3250.0,3325.0,3325.0,3230.0,98770.0,8751.0,-3806.0,-4945.0,0.062,-518565.0,50.0,FALL
2014-07-28,3150.0,3230.0,3275.0,3150.0,113630.0,14248.0,-11535.0,-2713.0,0.062,-521278.0,100.0,FALL
2014-07-29,3140.0,3150.0,3215.0,3100.0,62078.0,6344.0,-6344.0,0.0,0.061,-521278.0,10.0,FALL
2014-07-30,3140.0,3140.0,3160.0,3070.0,147906.0,5665.0,-5665.0,0.0,0.061,-521278.0,0.0,EVEN
2014-07-31,3120.0,3175.0,3175.0,3080.0,111489.0,37789.0,-17005.0,-20784.0,0.06,-542062.0,20.0,FALL
2014-08-01,3130.0,3080.0,3155.0,3080.0,57612.0,-8980.0,8980.0,0.0,0.061,-542062.0,10.0,RISE
2014-08-04,3170.0,3110.0,3175.0,3105.0,62100.0,-12672.0,12849.0,-177.0,0.062,-542239.0,40.0,RISE
2014-08-05,3170.0,3175.0,3265.0,3160.0,141322.0,10041.0,-5041.0,-5000.0,0.061,-547239.0,0.0,EVEN
2014-08-06,3230.0,3180.0,3245.0,3160.0,118354.0,3827.0,-3827.0,0.0,0.061,-547239.0,60.0,RISE
2014-08-07,3380.0,3240.0,3510.0,3240.0,710264.0,5708.0,8775.0,-14483.0,0.062,-561722.0,150.0,RISE
2014-08-08,3325.0,3420.0,3420.0,3305.0,243331.0,4827.0,-4827.0,0.0,0.061,-561722.0,55.0,FALL
2014-08-11,3370.0,3345.0,3460.0,3330.0,202776.0,1672.0,-1672.0,0.0,0.061,-561722.0,45.0,RISE
2014-08-12,3250.0,3425.0,3440.0,3235.0,278895.0,57899.0,-19170.0,-38729.0,0.06,-600451.0,120.0,FALL
2014-08-13,3300.0,3280.0,3315.0,3270.0,101674.0,1805.0,1096.0,-2901.0,0.06,-603352.0,50.0,RISE
2014-08-14,3310.0,3330.0,3330.0,3270.0,84775.0,-13851.0,13851.0,0.0,0.061,-603352.0,10.0,RISE
2014-08-18,3350.0,3300.0,3360.0,3300.0,70778.0,-5676.0,5676.0,0.0,0.061,-603352.0,40.0,RISE
2014-08-19,3285.0,3385.0,3385.0,3280.0,147820.0,17903.0,-17903.0,0.0,0.06,-603352.0,65.0,FALL
2014-08-20,3290.0,3325.0,3325.0,3270.0,49241.0,-8247.0,8247.0,0.0,0.061,-603352.0,5.0,RISE
2014-08-21,3215.0,3295.0,3355.0,3200.0,206493.0,10250.0,-10250.0,0.0,0.06,-603352.0,75.0,FALL
2014-08-22,3155.0,3230.0,3250.0,3145.0,184009.0,-804.0,804.0,0.0,0.06,-603352.0,60.0,FALL
2014-08-25,3090.0,3155.0,3190.0,3085.0,138812.0,18506.0,-18506.0,0.0,0.059,-603352.0,65.0,FALL
2014-08-26,3110.0,3090.0,3150.0,3090.0,103036.0,-7925.0,7925.0,0.0,0.059,-603352.0,20.0,RISE
2014-08-27,3090.0,3115.0,3150.0,3080.0,111837.0,927.0,-927.0,0.0,0.059,-603352.0,20.0,FALL
2014-08-28,3080.0,3100.0,3130.0,3070.0,125963.0,7387.0,4991.0,-12378.0,0.06,-615730.0,10.0,FALL
2014-08-29,2975.0,3070.0,3100.0,2975.0,362465.0,62095.0,-53760.0,-8335.0,0.057,-624065.0,105.0,FALL
2014-09-01,2790.0,2955.0,2955.0,2770.0,525433.0,104862.0,-57984.0,-46878.0,0.053,-670943.0,185.0,FALL
2014-09-02,2715.0,2750.0,2785.0,2715.0,218174.0,35367.0,-14341.0,-21026.0,0.052,-691969.0,75.0,FALL
2014-09-03,2685.0,2665.0,2725.0,2665.0,211183.0,9450.0,-7416.0,-2034.0,0.052,-694003.0,30.0,FALL
2014-09-04,2545.0,2680.0,2710.0,2510.0,394164.0,72950.0,-13783.0,-59167.0,0.051,-753170.0,140.0,FALL
2014-09-05,2630.0,2560.0,2665.0,2525.0,141263.0,16699.0,3575.0,-20274.0,0.051,-773444.0,85.0,RISE
2014-09-11,2655.0,2615.0,2665.0,2605.0,119768.0,19613.0,4623.0,-24236.0,0.052,-797680.0,25.0,RISE
2014-09-12,2600.0,2660.0,2680.0,2600.0,162289.0,23640.0,-23640.0,0.0,0.05,-797680.0,55.0,FALL
2014-09-15,2500.0,2575.0,2595.0,2475.0,213989.0,49889.0,1453.0,-51342.0,0.051,-849022.0,100.0,FALL
2014-09-16,2640.0,2490.0,2650.0,2490.0,175372.0,-14647.0,14647.0,0.0,0.051,-849022.0,140.0,RISE
2014-09-17,2680.0,2670.0,2700.0,2640.0,138273.0,17336.0,-11932.0,-5404.0,0.051,-854426.0,40.0,RISE
2014-09-18,2750.0,2745.0,2750.0,2690.0,205032.0,1734.0,-1734.0,0.0,0.051,-854426.0,70.0,RISE
2014-09-19,2720.0,2735.0,2775.0,2700.0,59683.0,452.0,-452.0,0.0,0.051,-854426.0,30.0,FALL
2014-09-22,2680.0,2695.0,2720.0,2650.0,72018.0,-6308.0,11333.0,-5025.0,0.051,-859451.0,40.0,FALL
