,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,1480.0,1500.0,1500.0,1460.0,1616799.0,68438,93164,-161602,0.0357,-7136575,20.0,FALL
2020-06-01,1500.0,1400.0,1510.0,1400.0,4109131.0,-42110,41057,1053,0.0343,-6974973,100.0,RISE
2020-05-29,1400.0,1410.0,1440.0,1400.0,932798.0,-132966,133080,-114,0.0336,-6976026,20.0,FALL
2020-05-28,1420.0,1465.0,1495.0,1380.0,2504438.0,6335,23901,-30236,0.0316,-6975912,50.0,FALL
2020-05-27,1470.0,1490.0,1500.0,1470.0,1023074.0,43117,-43019,-98,0.0312,-6945676,10.0,FALL
2020-05-26,1480.0,1490.0,1505.0,1465.0,1437931.0,30084,-4339,-25745,0.0319,-6945578,5.0,FALL
2020-05-25,1485.0,1515.0,1520.0,1455.0,2342620.0,-48619,89397,-40778,0.0331,-6919833,45.0,FALL
2020-05-22,1530.0,1485.0,1560.0,1450.0,4334904.0,,,,,,,
2020-05-21,1485.0,1490.0,1540.0,1480.0,2471967.0,-78455.0,78422.0,33.0,0.0289,-6879001.0,0.0,EVEN
2020-05-20,1485.0,1460.0,1540.0,1455.0,5864745.0,180215.0,-180206.0,-9.0,0.0277,-6879034.0,50.0,RISE
2020-05-19,1435.0,1465.0,1465.0,1430.0,1342030.0,-13768.0,14059.0,-291.0,0.0305,-6879025.0,0.0,EVEN
2020-05-18,1435.0,1490.0,1500.0,1415.0,2345268.0,-158625.0,158853.0,-228.0,0.0303,-6878734.0,45.0,FALL
2020-05-15,1480.0,1560.0,1575.0,1480.0,6364668.0,327416.0,-292062.0,-35354.0,0.0278,-6878506.0,0.0,EVEN
2020-05-14,1480.0,1515.0,1535.0,1475.0,3521876.0,135259.0,-135440.0,181.0,0.0318,-6843152.0,30.0,FALL
2020-05-13,1510.0,1485.0,1540.0,1455.0,3879664.0,572222.0,146167.0,-718389.0,0.0345,-6843333.0,45.0,FALL
2020-05-12,1555.0,1625.0,1625.0,1530.0,3904495.0,-72844.0,72481.0,363.0,0.0321,-6124944.0,70.0,FALL
2020-05-11,1625.0,1595.0,1640.0,1550.0,16796141.0,139340.0,-139280.0,-60.0,0.0312,-6125307.0,35.0,RISE
2020-05-08,1590.0,1515.0,1590.0,1500.0,5515904.0,-107009.0,107840.0,-831.0,0.0335,-6125247.0,45.0,RISE
2020-05-07,1545.0,1620.0,1660.0,1525.0,17659852.0,218836.0,-218879.0,43.0,0.0317,-6124416.0,70.0,FALL
2020-05-06,1615.0,1565.0,1625.0,1545.0,15750025.0,-110123.0,109673.0,450.0,0.0355,-6124459.0,75.0,RISE
2020-05-04,1540.0,1500.0,1550.0,1500.0,5339826.0,-253189.0,252910.0,279.0,0.0338,-6124909.0,50.0,RISE
2020-04-29,1490.0,1525.0,1575.0,1485.0,9012843.0,228125.0,-228508.0,383.0,0.0298,-6125188.0,25.0,FALL
2020-04-28,1515.0,1535.0,1560.0,1475.0,4373619.0,128136.0,-129538.0,1402.0,0.0348,-6125571.0,15.0,FALL
2020-04-27,1530.0,1460.0,1555.0,1460.0,7915722.0,-71360.0,71328.0,32.0,0.0367,-6126973.0,90.0,RISE
2020-04-24,1440.0,1500.0,1520.0,1405.0,4746801.0,-51473.0,51429.0,44.0,0.0356,-6127005.0,75.0,FALL
2020-04-23,1515.0,1545.0,1605.0,1490.0,15808326.0,76772.0,-76096.0,-676.0,0.0348,-6127049.0,5.0,RISE
2020-04-22,1510.0,1450.0,1650.0,1430.0,80098017.0,9733.0,-9710.0,-23.0,0.0362,-6126373.0,55.0,RISE
2020-04-21,1455.0,1470.0,1590.0,1250.0,45788040.0,60139.0,-56715.0,-3424.0,0.0366,-6126350.0,0.0,EVEN
2020-04-20,1455.0,1505.0,1580.0,1445.0,19339318.0,53292.0,-52908.0,-384.0,0.0375,-6122926.0,10.0,FALL
2020-04-17,1465.0,1315.0,1610.0,1295.0,58214141.0,-58664.0,56898.0,1766.0,0.0384,-6122542.0,155.0,RISE
2020-04-16,1310.0,1255.0,1335.0,1240.0,9906520.0,190295.0,-190134.0,-161.0,0.0375,-6124308.0,70.0,RISE
2020-04-14,1240.0,1250.0,1290.0,1225.0,6521809.0,346492.0,-346398.0,-94.0,0.0389,-6124147.0,60.0,FALL
2020-04-13,1300.0,1145.0,1400.0,1065.0,13237092.0,127152.0,-124988.0,-2164.0,0.0443,-6124053.0,150.0,RISE
2020-04-10,1150.0,1230.0,1230.0,1110.0,3019451.0,385772.0,-222066.0,-163706.0,0.0462,-6121889.0,90.0,FALL
2020-04-09,1240.0,1185.0,1245.0,1145.0,3985550.0,23232.0,-23649.0,417.0,0.0493,-5958183.0,70.0,RISE
2020-04-08,1170.0,1125.0,1205.0,1085.0,3608363.0,53366.0,-53464.0,98.0,0.0483,-5958600.0,40.0,RISE
2020-04-07,1130.0,1170.0,1170.0,1090.0,2168385.0,232146.0,-232355.0,209.0,0.049,-5958698.0,10.0,FALL
2020-04-06,1140.0,1100.0,1175.0,1100.0,2331428.0,-151327.0,169136.0,-17809.0,0.0512,-5958907.0,45.0,RISE
2020-04-03,1095.0,1100.0,1135.0,1075.0,2132356.0,-30040.0,47915.0,-17875.0,0.0476,-5941098.0,5.0,RISE
2020-04-02,1090.0,1050.0,1135.0,1025.0,3534032.0,137650.0,-139473.0,1823.0,0.0455,-5923223.0,40.0,RISE
2020-04-01,1050.0,1020.0,1210.0,998.0,6921999.0,103506.0,-184522.0,81016.0,0.0479,-5925046.0,30.0,RISE
2020-03-31,1020.0,1060.0,1065.0,1005.0,2381831.0,217239.0,-217687.0,448.0,0.0509,-6006062.0,5.0,FALL
2020-03-30,1025.0,913.0,1060.0,890.0,4870908.0,-119722.0,119534.0,188.0,0.0546,-6006510.0,104.0,RISE
2020-03-27,921.0,950.0,1040.0,859.0,4172569.0,42832.0,-42902.0,70.0,0.0539,-6006698.0,16.0,RISE
2020-03-26,905.0,790.0,945.0,763.0,3901383.0,59893.0,-60487.0,594.0,0.0546,-6006768.0,139.0,RISE
2020-03-25,766.0,730.0,767.0,728.0,1924346.0,-147316.0,147292.0,24.0,0.0556,-6007362.0,66.0,RISE
2020-03-24,700.0,680.0,708.0,674.0,1040108.0,-43988.0,43859.0,129.0,0.0533,-6007386.0,45.0,RISE
2020-03-23,655.0,670.0,703.0,653.0,1224795.0,80442.0,-78331.0,-2111.0,0.0525,-6007515.0,75.0,FALL
2020-03-20,730.0,631.0,742.0,631.0,2739521.0,-327122.0,327093.0,29.0,0.0539,-6005404.0,93.0,RISE
2020-03-19,637.0,894.0,920.0,620.0,2846367.0,68579.0,-68610.0,31.0,0.0471,-6005433.0,233.0,FALL
2020-03-18,870.0,986.0,1020.0,870.0,1289616.0,129044.0,-131056.0,2012.0,0.0519,-6005464.0,109.0,FALL
2020-03-17,979.0,900.0,998.0,900.0,1454485.0,-48071.0,48361.0,-290.0,0.0532,-6007476.0,5.0,RISE
2020-03-16,974.0,1060.0,1075.0,974.0,1849871.0,-224830.0,224696.0,134.0,0.0539,-6007186.0,56.0,FALL
2020-03-13,1030.0,998.0,1065.0,965.0,3200087.0,-282886.0,289448.0,-6562.0,0.0523,-6007320.0,75.0,FALL
2020-03-12,1105.0,1170.0,1215.0,1105.0,1713067.0,-334868.0,318120.0,16748.0,0.047,-6000758.0,75.0,FALL
2020-03-11,1180.0,1275.0,1290.0,1165.0,1460851.0,-55517.0,55257.0,260.0,0.0431,-6017506.0,95.0,FALL
2020-03-10,1275.0,1240.0,1290.0,1225.0,1129217.0,-211771.0,211001.0,770.0,0.0432,-6017766.0,5.0,FALL
2020-03-09,1280.0,1370.0,1405.0,1260.0,1970448.0,5437.0,-5757.0,320.0,0.04,-6018536.0,110.0,FALL
2020-03-06,1390.0,1360.0,1435.0,1360.0,2012271.0,-191426.0,184136.0,7290.0,0.0395,-6018856.0,15.0,RISE
2020-03-05,1375.0,1380.0,1460.0,1360.0,4307820.0,610033.0,-610469.0,436.0,0.0364,-6026146.0,10.0,RISE
2020-03-04,1365.0,1320.0,1385.0,1315.0,1467611.0,-179182.0,178925.0,257.0,0.046,-6026582.0,50.0,RISE
2020-03-03,1315.0,1335.0,1355.0,1305.0,1165658.0,-34835.0,34606.0,229.0,0.0443,-6026839.0,0.0,EVEN
2020-03-02,1315.0,1240.0,1380.0,1240.0,3507906.0,-336845.0,336549.0,296.0,0.0432,-6027068.0,75.0,RISE
2020-02-28,1240.0,1310.0,1395.0,1230.0,2263254.0,-289678.0,289044.0,634.0,0.0373,-6027364.0,110.0,FALL
2020-02-27,1350.0,1380.0,1420.0,1330.0,1142940.0,-187187.0,179441.0,7746.0,0.0328,-6027998.0,30.0,FALL
2020-02-26,1380.0,1350.0,1505.0,1340.0,4678490.0,215261.0,-215406.0,145.0,0.0298,-6035744.0,5.0,FALL
2020-02-25,1385.0,1305.0,1390.0,1305.0,1807884.0,-165904.0,165749.0,155.0,0.0331,-6035889.0,50.0,RISE
2020-02-24,1335.0,1565.0,1590.0,1335.0,4794046.0,197839.0,-216685.0,18846.0,0.0277,-6036044.0,215.0,FALL
2020-02-21,1550.0,1535.0,1630.0,1510.0,10863298.0,587801.0,-585242.0,-2559.0,0.0327,-6054890.0,45.0,RISE
2020-02-20,1505.0,1545.0,1620.0,1500.0,5095591.0,347658.0,-347616.0,-42.0,0.0411,-6052331.0,45.0,FALL
2020-02-19,1550.0,1505.0,1595.0,1490.0,2481915.0,-177101.0,176827.0,274.0,0.0465,-6052289.0,45.0,RISE
2020-02-18,1505.0,1540.0,1540.0,1485.0,907734.0,12040.0,-12227.0,187.0,0.0433,-6052563.0,35.0,FALL
2020-02-17,1540.0,1495.0,1540.0,1485.0,923311.0,-92009.0,90279.0,1730.0,0.0435,-6052750.0,15.0,FALL
