,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,5630.0,5760.0,5810.0,5580.0,70744.0,-2669,1917,752,0.0632,1343048,160.0,FALL
2020-06-01,5790.0,5900.0,5900.0,5700.0,47819.0,-1535,326,1209,0.0632,1342296,110.0,FALL
2020-05-29,5900.0,5870.0,6050.0,5850.0,83377.0,2608,-2661,53,0.0631,1341087,150.0,FALL
2020-05-28,6050.0,5680.0,7350.0,5520.0,330226.0,10151,-8978,-1173,0.0633,1341034,390.0,RISE
2020-05-27,5660.0,5680.0,5690.0,5600.0,13453.0,1287,137,-1424,0.0636,1342207,20.0,FALL
2020-05-26,5680.0,5610.0,5700.0,5610.0,16358.0,-2837,2662,175,0.0636,1343631,10.0,RISE
2020-05-25,5670.0,5640.0,5690.0,5620.0,17577.0,1605,-576,-1029,0.0635,1343456,40.0,FALL
2020-05-22,5710.0,5780.0,5780.0,5610.0,32770.0,,,,,,,
2020-05-21,5720.0,5830.0,5830.0,5650.0,25906.0,4501.0,-4415.0,-86.0,0.0635,1335846.0,30.0,FALL
2020-05-20,5750.0,5800.0,5800.0,5670.0,23452.0,-916.0,1184.0,-268.0,0.0637,1335932.0,20.0,FALL
2020-05-19,5770.0,5770.0,5830.0,5630.0,20301.0,-630.0,163.0,467.0,0.0637,1336200.0,10.0,FALL
2020-05-18,5780.0,5880.0,5880.0,5640.0,19048.0,-2.0,-6.0,8.0,0.0637,1335733.0,10.0,FALL
2020-05-15,5790.0,5900.0,5900.0,5720.0,7990.0,588.0,-725.0,137.0,0.0637,1335725.0,0.0,EVEN
2020-05-14,5790.0,5930.0,5930.0,5720.0,29403.0,1895.0,-1790.0,-105.0,0.0637,1335588.0,140.0,FALL
2020-05-13,5930.0,6070.0,6070.0,5870.0,31388.0,408.0,-510.0,102.0,0.0638,1335693.0,100.0,FALL
2020-05-12,6030.0,6040.0,6110.0,5950.0,13652.0,689.0,-1395.0,706.0,0.0637,1335591.0,60.0,FALL
2020-05-11,6090.0,6100.0,6100.0,6030.0,10119.0,1026.0,-810.0,-216.0,0.0638,1334885.0,10.0,FALL
2020-05-08,6100.0,6110.0,6150.0,6020.0,18105.0,-178.0,-73.0,251.0,0.0638,1335101.0,10.0,FALL
2020-05-07,6110.0,6180.0,6180.0,6040.0,11017.0,-1143.0,-244.0,1387.0,0.0638,1334850.0,10.0,FALL
2020-05-06,6120.0,6160.0,6160.0,6050.0,13923.0,-2260.0,241.0,2019.0,0.0638,1333463.0,30.0,RISE
2020-05-04,6090.0,5920.0,6120.0,5920.0,28489.0,-18231.0,1037.0,17194.0,0.0638,1331444.0,120.0,RISE
2020-04-29,5970.0,6140.0,6140.0,5970.0,65719.0,-24452.0,2424.0,22028.0,0.0638,1314250.0,80.0,FALL
2020-04-28,6050.0,6000.0,6090.0,6000.0,10200.0,-3451.0,-351.0,3802.0,0.0637,1292222.0,40.0,FALL
2020-04-27,6090.0,6130.0,6170.0,6070.0,13046.0,-6172.0,1673.0,4499.0,0.0637,1288420.0,0.0,EVEN
2020-04-24,6090.0,6100.0,6150.0,6050.0,25482.0,-8104.0,-195.0,8299.0,0.0636,1283921.0,50.0,RISE
2020-04-23,6040.0,6020.0,6070.0,5970.0,7202.0,-2992.0,976.0,2016.0,0.0637,1275622.0,20.0,RISE
2020-04-22,6020.0,6000.0,6040.0,5860.0,18638.0,-5854.0,164.0,5690.0,0.0636,1273606.0,20.0,RISE
2020-04-21,6000.0,6050.0,6130.0,5800.0,48774.0,-16998.0,768.0,16230.0,0.0636,1267916.0,10.0,RISE
2020-04-20,5990.0,6120.0,6180.0,5930.0,36713.0,-10898.0,-949.0,11847.0,0.0636,1251686.0,10.0,FALL
2020-04-17,6000.0,6050.0,6050.0,5890.0,30966.0,-18001.0,8636.0,9365.0,0.0636,1239839.0,110.0,RISE
2020-04-16,5890.0,5890.0,5950.0,5770.0,9547.0,-3461.0,555.0,2906.0,0.0633,1230474.0,50.0,RISE
2020-04-14,5840.0,5890.0,5890.0,5800.0,11791.0,-3765.0,192.0,3573.0,0.0633,1227568.0,30.0,RISE
2020-04-13,5810.0,6120.0,6120.0,5780.0,31641.0,-186.0,-3670.0,3856.0,0.0633,1223995.0,250.0,FALL
2020-04-10,6060.0,6040.0,6110.0,5930.0,18334.0,-4141.0,-712.0,4853.0,0.0634,1220139.0,20.0,RISE
2020-04-09,6040.0,6010.0,6080.0,5990.0,36618.0,-12395.0,-2045.0,14440.0,0.0635,1215286.0,60.0,RISE
2020-04-08,5980.0,5750.0,5990.0,5720.0,34299.0,-13377.0,3539.0,9838.0,0.0634,1200846.0,230.0,RISE
2020-04-07,5750.0,5730.0,5750.0,5640.0,18129.0,-7238.0,1574.0,5664.0,0.0633,1191008.0,60.0,RISE
2020-04-06,5690.0,5570.0,5730.0,5420.0,39263.0,-17587.0,13893.0,3694.0,0.0632,1185344.0,250.0,RISE
2020-04-03,5440.0,5440.0,5440.0,5170.0,42958.0,-32196.0,21695.0,10501.0,0.0627,1181650.0,0.0,EVEN
2020-04-02,5440.0,5450.0,5460.0,5310.0,21136.0,1290.0,-1304.0,14.0,0.0618,1171149.0,10.0,RISE
2020-04-01,5430.0,5420.0,5480.0,5340.0,43922.0,-15357.0,1779.0,13578.0,0.0619,1171135.0,10.0,RISE
2020-03-31,5420.0,5300.0,5450.0,5270.0,22569.0,2347.0,-2636.0,289.0,0.0618,1157557.0,180.0,RISE
2020-03-30,5240.0,4965.0,5240.0,4960.0,33858.0,-4926.0,-400.0,5326.0,0.0619,1157268.0,280.0,RISE
2020-03-27,4960.0,4780.0,5080.0,4780.0,33752.0,-5450.0,-3409.0,8859.0,0.0625,1151942.0,220.0,RISE
2020-03-26,4740.0,4740.0,4805.0,4480.0,52083.0,-18733.0,4044.0,14689.0,0.063,1143083.0,100.0,RISE
2020-03-25,4640.0,4310.0,4670.0,4310.0,51965.0,-23628.0,7301.0,16327.0,0.0631,1128394.0,340.0,RISE
2020-03-24,4300.0,3900.0,4300.0,3880.0,74335.0,-37596.0,13887.0,23709.0,0.0628,1112067.0,370.0,RISE
2020-03-23,3930.0,3980.0,3980.0,3615.0,62163.0,-36371.0,7365.0,29006.0,0.0623,1088358.0,65.0,FALL
2020-03-20,3995.0,3700.0,4000.0,3620.0,95998.0,-26081.0,-4575.0,30656.0,0.0611,1059352.0,285.0,RISE
2020-03-19,3710.0,4265.0,4360.0,3550.0,118915.0,-35433.0,3853.0,31580.0,0.0613,1028696.0,635.0,FALL
2020-03-18,4345.0,4450.0,4585.0,4215.0,38754.0,-8581.0,-3426.0,12007.0,0.0611,997116.0,45.0,FALL
2020-03-17,4390.0,4285.0,4585.0,4270.0,76072.0,-10886.0,9321.0,1565.0,0.0613,985109.0,210.0,FALL
2020-03-16,4600.0,5200.0,5200.0,4600.0,114178.0,-45821.0,-106.0,45927.0,0.061,983544.0,330.0,FALL
2020-03-13,4930.0,5050.0,5050.0,4540.0,97158.0,-35654.0,6904.0,28750.0,0.061,937617.0,420.0,FALL
