날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2018-05-08,1980.0,1980.0,1990.0,1955.0,84852.0,56401.0,0.0,-56401.0,0.0,-56401.0,0.0,EVEN
2018-05-09,1980.0,1980.0,1990.0,1970.0,124717.0,74260.0,0.0,-74260.0,0.0,-130661.0,0.0,EVEN
2018-05-10,1990.0,1980.0,1990.0,1975.0,45704.0,30953.0,1287.0,-32240.0,0.0003,-162901.0,10.0,RISE
2018-05-11,1985.0,1990.0,1990.0,1985.0,10802.0,3776.0,0.0,-3776.0,0.0003,-166677.0,5.0,FALL
2018-05-14,1985.0,1990.0,1990.0,1985.0,3666.0,-2600.0,0.0,2600.0,0.0003,-164077.0,0.0,EVEN
2018-05-15,1985.0,1990.0,1990.0,1985.0,8207.0,1287.0,-1287.0,0.0,0.0,-164077.0,0.0,EVEN
2018-05-16,1985.0,1990.0,1990.0,1985.0,3880.0,-2600.0,0.0,2600.0,0.0,-161477.0,0.0,EVEN
2018-05-17,1985.0,1985.0,1990.0,1985.0,5637.0,0.0,0.0,0.0,0.0,-161477.0,0.0,EVEN
2018-05-18,1985.0,1985.0,1990.0,1985.0,33098.0,-5225.0,0.0,5225.0,0.0,-156252.0,0.0,EVEN
2018-05-21,1990.0,1990.0,1990.0,1985.0,16473.0,6462.0,0.0,-6462.0,0.0,-162714.0,5.0,RISE
2018-05-23,1995.0,1990.0,1995.0,1985.0,58729.0,-35484.0,0.0,35484.0,0.0,-127230.0,5.0,RISE
2018-05-24,2000.0,2000.0,2000.0,1995.0,11098.0,-3163.0,0.0,3163.0,0.0,-124067.0,5.0,RISE
2018-05-25,2005.0,2000.0,2005.0,1990.0,33125.0,20731.0,0.0,-20731.0,0.0,-144798.0,5.0,RISE
2018-05-28,2015.0,2010.0,2020.0,2005.0,13638.0,-3203.0,0.0,3203.0,0.0,-141595.0,10.0,RISE
2018-05-29,2005.0,2020.0,2020.0,2005.0,7188.0,-3516.0,0.0,3516.0,0.0,-138079.0,10.0,FALL
2018-05-30,2000.0,2035.0,2040.0,2000.0,8817.0,1275.0,0.0,-1275.0,0.0,-139354.0,5.0,FALL
2018-05-31,2025.0,2035.0,2035.0,2005.0,2454.0,-871.0,0.0,871.0,0.0,-138483.0,25.0,RISE
2018-06-01,2015.0,2025.0,2030.0,2015.0,21271.0,15161.0,0.0,-15161.0,0.0,-153644.0,10.0,FALL
2018-06-04,2035.0,2040.0,2040.0,2015.0,763.0,-2.0,0.0,2.0,0.0,-153642.0,20.0,RISE
2018-06-05,2035.0,2035.0,2035.0,2030.0,475666.0,-2.0,0.0,2.0,0.0,-153640.0,0.0,EVEN
2018-06-07,2040.0,2035.0,2040.0,2030.0,2892.0,1092.0,0.0,-1092.0,0.0,-154732.0,5.0,RISE
2018-06-08,2035.0,2040.0,2040.0,2035.0,1853.0,-3.0,0.0,3.0,0.0,-154729.0,5.0,FALL
2018-06-11,2030.0,2035.0,2040.0,2000.0,42578.0,40892.0,0.0,-40892.0,0.0,-195621.0,5.0,FALL
2018-06-12,2005.0,2030.0,2035.0,2005.0,43604.0,35059.0,0.0,-35059.0,0.0,-230680.0,25.0,FALL
2018-06-14,2010.0,2005.0,2010.0,2005.0,49626.0,45610.0,0.0,-45610.0,0.0,-276290.0,5.0,RISE
2018-06-15,2005.0,2000.0,2005.0,2000.0,12231.0,-30.0,0.0,30.0,0.0,-276260.0,5.0,FALL
2018-06-18,2005.0,2010.0,2010.0,2005.0,14986.0,13300.0,0.0,-13300.0,0.0,-289560.0,0.0,EVEN
2018-06-19,2010.0,2015.0,2015.0,2005.0,24193.0,11890.0,0.0,-11890.0,0.0,-301450.0,5.0,RISE
2018-06-20,2000.0,2010.0,2010.0,2000.0,10594.0,10090.0,0.0,-10090.0,0.0,-311540.0,10.0,FALL
2018-06-21,2010.0,2005.0,2010.0,2005.0,15514.0,13990.0,0.0,-13990.0,0.0,-325530.0,10.0,RISE
