,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,2000.0,2000.0,2010.0,1995.0,4635.0,2585,0,-2585,0.0,117515,5.0,FALL
2020-06-01,2005.0,1995.0,2005.0,1995.0,2382.0,2345,0,-2345,0.0,120100,5.0,RISE
2020-05-29,2000.0,2000.0,2005.0,1995.0,1012.0,998,0,-998,0.0,122445,5.0,RISE
2020-05-28,1995.0,1995.0,2010.0,1995.0,1328.0,883,0,-883,0.0,123443,10.0,FALL
2020-05-27,2005.0,1995.0,2005.0,1995.0,1282.0,980,0,-980,0.0,124326,5.0,RISE
2020-05-26,2000.0,2000.0,2005.0,2000.0,10006.0,7782,0,-7782,0.0,125306,10.0,FALL
2020-05-25,2010.0,1995.0,2010.0,1995.0,1953.0,1370,0,-1370,0.0,133088,10.0,RISE
2020-05-22,2000.0,2005.0,2005.0,1995.0,2483.0,,,,,,,
2020-05-21,2000.0,1995.0,2000.0,1995.0,677.0,530.0,0.0,-530.0,0.0,135498.0,0.0,EVEN
2020-05-20,2000.0,2000.0,2010.0,2000.0,1731.0,927.0,0.0,-927.0,0.0,136028.0,10.0,FALL
2020-05-19,2010.0,1995.0,2010.0,1990.0,2150.0,1027.0,0.0,-1027.0,0.0,136955.0,20.0,RISE
2020-05-18,1990.0,1990.0,2005.0,1990.0,12528.0,11533.0,0.0,-11533.0,0.0,137982.0,15.0,FALL
2020-05-15,2005.0,1990.0,2005.0,1990.0,3539.0,947.0,0.0,-947.0,0.0,149515.0,0.0,EVEN
2020-05-14,2005.0,1995.0,2005.0,1990.0,1024.0,976.0,0.0,-976.0,0.0,150462.0,0.0,EVEN
2020-05-13,2005.0,1985.0,2005.0,1985.0,2008.0,859.0,0.0,-859.0,0.0,151438.0,10.0,RISE
2020-05-12,1995.0,1985.0,2010.0,1985.0,902.0,872.0,0.0,-872.0,0.0,152297.0,10.0,FALL
2020-05-11,2005.0,2005.0,2010.0,2005.0,9881.0,-8081.0,0.0,8081.0,0.0,153169.0,0.0,EVEN
2020-05-08,2005.0,1995.0,2005.0,1995.0,3204.0,-1522.0,0.0,1522.0,0.0,145088.0,10.0,RISE
2020-05-07,1995.0,1985.0,2005.0,1985.0,7341.0,-6584.0,0.0,6584.0,0.0,143566.0,5.0,FALL
2020-05-06,2000.0,1995.0,2000.0,1995.0,81.0,-1.0,0.0,1.0,0.0,136982.0,5.0,RISE
2020-05-04,1995.0,1985.0,1995.0,1985.0,9493.0,6053.0,0.0,-6053.0,0.0,136981.0,5.0,FALL
2020-04-29,2000.0,1995.0,2000.0,1990.0,728.0,290.0,0.0,-290.0,0.0,143034.0,5.0,RISE
2020-04-28,1995.0,1995.0,2000.0,1995.0,4749.0,-4146.0,0.0,4146.0,0.0,143324.0,0.0,EVEN
2020-04-27,1995.0,1980.0,2000.0,1980.0,791.0,-42.0,0.0,42.0,0.0,139178.0,10.0,RISE
2020-04-24,1985.0,1985.0,1995.0,1985.0,5415.0,-4570.0,0.0,4570.0,0.0,139136.0,0.0,EVEN
2020-04-23,1985.0,1980.0,2000.0,1980.0,16401.0,15999.0,0.0,-15999.0,0.0,134566.0,15.0,FALL
2020-04-22,2000.0,2005.0,2005.0,1985.0,52.0,-1.0,0.0,1.0,0.0,150565.0,0.0,EVEN
2020-04-21,2000.0,1985.0,2000.0,1985.0,31.0,0.0,0.0,0.0,0.0,150564.0,5.0,FALL
2020-04-20,2005.0,1990.0,2005.0,1985.0,5380.0,3370.0,0.0,-3370.0,0.0,150564.0,5.0,RISE
