,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,5470.0,5270.0,5790.0,5200.0,1379118.0,19161,-19161,0,0.0051,88094,200.0,RISE
2020-06-01,5270.0,5390.0,5500.0,5200.0,577539.0,47493,-47493,0,0.0067,88094,140.0,FALL
2020-05-29,5410.0,5400.0,5470.0,5320.0,690693.0,-71236,71236,0,0.0107,88094,40.0,FALL
2020-05-28,5450.0,5630.0,5630.0,5140.0,945439.0,-10246,10246,0,0.0047,88094,60.0,FALL
2020-05-27,5510.0,5530.0,5630.0,5360.0,1095379.0,15156,-15156,0,0.0038,88094,10.0,RISE
2020-05-26,5500.0,5280.0,5550.0,5010.0,1975222.0,-24429,24427,2,0.0047,88094,340.0,RISE
2020-05-25,5160.0,5110.0,5370.0,5070.0,1329150.0,26727,-26727,0,0.0026,88092,110.0,RISE
2020-05-22,5050.0,4735.0,5200.0,4650.0,3127355.0,,,,,,,
2020-05-21,4740.0,4350.0,5170.0,4300.0,4881901.0,116708.0,-116708.0,0.0,0.0091,45501.0,290.0,RISE
2020-05-20,4450.0,4430.0,4505.0,4355.0,827953.0,-2702.0,2402.0,300.0,0.0191,45501.0,15.0,RISE
2020-05-19,4435.0,4545.0,4640.0,4415.0,889300.0,45494.0,-45494.0,0.0,0.0189,45201.0,40.0,FALL
2020-05-18,4475.0,4610.0,4700.0,4300.0,1252239.0,-131376.0,131376.0,0.0,0.0227,45201.0,160.0,FALL
2020-05-15,4635.0,4890.0,4930.0,4625.0,924871.0,-36302.0,36302.0,0.0,0.0115,45201.0,220.0,FALL
2020-05-14,4855.0,5010.0,5020.0,4850.0,617796.0,18129.0,-18129.0,0.0,0.0084,45201.0,195.0,FALL
2020-05-13,5050.0,4885.0,5160.0,4830.0,989826.0,-34262.0,33749.0,513.0,0.01,45201.0,40.0,RISE
2020-05-12,5010.0,5250.0,5270.0,4950.0,1283817.0,14432.0,-14432.0,0.0,0.0071,44688.0,250.0,FALL
2020-05-11,5260.0,5300.0,5520.0,5230.0,1258523.0,1702.0,-1702.0,0.0,0.0083,44688.0,140.0,FALL
2020-05-08,5400.0,5440.0,5510.0,5320.0,1010936.0,-4672.0,4672.0,0.0,0.0085,44688.0,20.0,FALL
2020-05-07,5420.0,5410.0,5550.0,5320.0,1085437.0,10064.0,-10064.0,0.0,0.0081,44688.0,40.0,RISE
2020-05-06,5380.0,5250.0,5670.0,5180.0,2810524.0,-3070.0,3070.0,0.0,0.0089,44688.0,240.0,RISE
2020-05-04,5140.0,5010.0,5650.0,4795.0,3025282.0,-19224.0,18888.0,336.0,0.0087,44688.0,50.0,FALL
2020-04-29,5190.0,5590.0,5710.0,5150.0,4042725.0,10061.0,-10061.0,0.0,0.0071,44352.0,610.0,FALL
2020-04-28,5800.0,6010.0,6100.0,5620.0,4252736.0,-48932.0,48932.0,0.0,0.0079,44352.0,30.0,RISE
2020-04-27,5770.0,5900.0,6390.0,5680.0,4237320.0,-21888.0,22588.0,-700.0,0.0038,44352.0,230.0,FALL
2020-04-24,6000.0,6430.0,6700.0,5900.0,4724314.0,94118.0,-94118.0,0.0,0.0018,45052.0,210.0,FALL
2020-04-23,6210.0,5390.0,7000.0,5390.0,30256972.0,-69183.0,68983.0,200.0,0.0099,45052.0,1490.0,FALL
2020-04-22,7700.0,10300.0,10450.0,7700.0,2438984.0,-27382.0,27182.0,200.0,0.004,44852.0,3250.0,LOWER_LIMIT
2020-04-21,10950.0,14750.0,14750.0,10650.0,2226748.0,3736.0,-3336.0,-400.0,0.0017,44652.0,3050.0,FALL
2020-04-20,14000.0,15800.0,16400.0,13500.0,1311800.0,9711.0,-9711.0,0.0,0.0019,45052.0,2000.0,FALL
2020-04-17,16000.0,15950.0,16950.0,14400.0,848690.0,12803.0,-12803.0,0.0,0.0028,45052.0,300.0,RISE
2020-04-16,15700.0,15050.0,16050.0,14850.0,460264.0,-1172.0,1172.0,0.0,0.0039,45052.0,1150.0,RISE
2020-04-14,14550.0,14350.0,15200.0,13900.0,291993.0,-12706.0,12706.0,0.0,0.0038,45052.0,450.0,RISE
2020-04-13,14100.0,13650.0,14100.0,13300.0,106894.0,13995.0,-13995.0,0.0,0.0027,45052.0,150.0,RISE
2020-04-10,13950.0,13700.0,14300.0,13400.0,103003.0,5009.0,-5009.0,0.0,0.0039,45052.0,50.0,FALL
2020-04-09,14000.0,14000.0,14550.0,12850.0,233460.0,5818.0,-5818.0,0.0,0.0044,45052.0,0.0,EVEN
