,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,6000.0,5990.0,6040.0,5930.0,60360.0,2020,-621,-1399,0.0011,-4512041,90.0,RISE
2020-06-01,5910.0,5920.0,5970.0,5890.0,69192.0,4610,-8725,4115,0.0011,-4510642,30.0,RISE
2020-05-29,5880.0,5820.0,5900.0,5700.0,48846.0,-16996,2182,14814,0.0012,-4514757,120.0,RISE
2020-05-28,5760.0,5840.0,5850.0,5710.0,68039.0,22,-10347,10325,0.0012,-4529571,0.0,EVEN
2020-05-27,5760.0,5690.0,5800.0,5640.0,66482.0,-12164,2459,9705,0.0014,-4539896,110.0,RISE
2020-05-26,5650.0,5530.0,5670.0,5530.0,27119.0,-286,-3669,3955,0.0013,-4549601,80.0,RISE
2020-05-25,5570.0,5600.0,5700.0,5550.0,50169.0,2045,-10641,8596,0.0014,-4553556,10.0,RISE
2020-05-22,5560.0,5550.0,5750.0,5440.0,151812.0,,,,,,,
2020-05-21,5460.0,5370.0,5530.0,5370.0,99164.0,32324.0,4469.0,-36793.0,0.0015,-4580149.0,110.0,RISE
2020-05-20,5350.0,5310.0,5400.0,5290.0,39101.0,398.0,1587.0,-1985.0,0.0015,-4543356.0,40.0,RISE
2020-05-19,5310.0,5320.0,5350.0,5270.0,48046.0,11069.0,-4804.0,-6265.0,0.0015,-4541371.0,40.0,RISE
2020-05-18,5270.0,5260.0,5290.0,5220.0,16988.0,6450.0,-7037.0,587.0,0.0015,-4535106.0,20.0,RISE
2020-05-15,5250.0,5330.0,5330.0,5230.0,45404.0,18284.0,-16071.0,-2213.0,0.0016,-4535693.0,70.0,FALL
2020-05-14,5320.0,5300.0,5340.0,5170.0,120707.0,-9765.0,-14306.0,24071.0,0.0019,-4533480.0,20.0,RISE
2020-05-13,5300.0,5330.0,5330.0,5100.0,39138.0,8124.0,-13163.0,5039.0,0.0021,-4557551.0,40.0,FALL
2020-05-12,5340.0,5380.0,5380.0,5270.0,87359.0,-31836.0,-13523.0,45359.0,0.0031,-4562590.0,40.0,RISE
2020-05-11,5300.0,5260.0,5320.0,5230.0,72748.0,8944.0,-2669.0,-6275.0,0.0034,-4607949.0,40.0,RISE
2020-05-08,5260.0,5350.0,5350.0,5210.0,62350.0,22232.0,-13597.0,-8635.0,0.0034,-4601674.0,50.0,FALL
2020-05-07,5310.0,5370.0,5390.0,5190.0,76981.0,28337.0,-15452.0,-12885.0,0.0037,-4593039.0,10.0,FALL
2020-05-06,5320.0,5270.0,5320.0,5260.0,83572.0,-20330.0,1805.0,18525.0,0.0039,-4580154.0,90.0,RISE
2020-05-04,5230.0,5250.0,5280.0,5170.0,98407.0,41255.0,-3393.0,-37862.0,0.0039,-4598679.0,70.0,FALL
2020-04-29,5300.0,5310.0,5310.0,5240.0,22254.0,2558.0,-3159.0,601.0,0.0039,-4560817.0,20.0,RISE
2020-04-28,5280.0,5290.0,5300.0,5210.0,66675.0,14570.0,-1140.0,-13430.0,0.004,-4561418.0,40.0,RISE
2020-04-27,5240.0,5230.0,5270.0,5140.0,97989.0,7366.0,-24885.0,17519.0,0.004,-4547988.0,10.0,RISE
2020-04-24,5230.0,5230.0,5300.0,5150.0,79453.0,28040.0,-7434.0,-20606.0,0.0044,-4565507.0,50.0,FALL
2020-04-23,5280.0,5320.0,5320.0,5150.0,120323.0,43447.0,134.0,-43581.0,0.0045,-4544901.0,30.0,RISE
2020-04-22,5250.0,5230.0,5380.0,5150.0,303958.0,81192.0,-14399.0,-66793.0,0.0045,-4501320.0,10.0,FALL
2020-04-21,5260.0,5390.0,5390.0,5100.0,114127.0,35628.0,-41349.0,5721.0,0.0048,-4434527.0,130.0,FALL
2020-04-20,5390.0,5200.0,5440.0,5170.0,168054.0,-18696.0,7551.0,11145.0,0.0054,-4440248.0,230.0,RISE
2020-04-17,5160.0,4990.0,5190.0,4990.0,122975.0,-39900.0,32597.0,7303.0,0.0053,-4451393.0,170.0,RISE
2020-04-16,4990.0,5000.0,5010.0,4955.0,49528.0,-9517.0,-10209.0,19726.0,0.0048,-4458696.0,10.0,FALL
2020-04-14,5000.0,4955.0,5010.0,4955.0,76038.0,14537.0,3332.0,-17869.0,0.005,-4478422.0,20.0,FALL
2020-04-13,5020.0,5080.0,5080.0,4980.0,96665.0,44322.0,-21954.0,-22368.0,0.0049,-4460553.0,70.0,FALL
2020-04-10,5090.0,5120.0,5120.0,5020.0,90435.0,-4372.0,13771.0,-9399.0,0.0052,-4438185.0,30.0,RISE
2020-04-09,5060.0,5040.0,5060.0,4990.0,76891.0,-40759.0,16450.0,24309.0,0.005,-4428786.0,65.0,RISE
2020-04-08,4995.0,5070.0,5070.0,4940.0,62723.0,32683.0,-18702.0,-13981.0,0.0048,-4453095.0,15.0,FALL
2020-04-07,5010.0,5000.0,5080.0,4960.0,95063.0,14662.0,13960.0,-28622.0,0.0051,-4439114.0,65.0,RISE
2020-04-06,4945.0,4970.0,4970.0,4850.0,81176.0,-5700.0,7188.0,-1488.0,0.0048,-4410492.0,30.0,FALL
2020-04-03,4975.0,5090.0,5090.0,4865.0,94352.0,-13663.0,6067.0,7596.0,0.0047,-4409004.0,10.0,FALL
2020-04-02,4985.0,5030.0,5030.0,4915.0,61714.0,10343.0,-7564.0,-2779.0,0.0046,-4416600.0,55.0,FALL
2020-04-01,5040.0,5140.0,5140.0,5030.0,141300.0,3643.0,-32590.0,28947.0,0.0049,-4413821.0,100.0,FALL
2020-03-31,5140.0,5200.0,5200.0,5060.0,114154.0,54986.0,-14262.0,-40724.0,0.0054,-4442768.0,10.0,FALL
2020-03-30,5150.0,4825.0,5150.0,4825.0,271716.0,7748.0,27180.0,-34928.0,0.0056,-4402044.0,155.0,RISE
2020-03-27,4995.0,4795.0,5060.0,4795.0,338665.0,33115.0,-2260.0,-30855.0,0.0052,-4367116.0,270.0,RISE
2020-03-26,4725.0,4450.0,4755.0,4420.0,392110.0,154109.0,58085.0,-212194.0,0.0052,-4336261.0,305.0,RISE
2020-03-25,4420.0,4535.0,4800.0,4340.0,367559.0,126105.0,34958.0,-161063.0,0.0043,-4124067.0,5.0,RISE
2020-03-24,4415.0,4540.0,4545.0,4365.0,312042.0,145266.0,4699.0,-149965.0,0.0038,-3963004.0,115.0,FALL
