,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,230.0,0.0,0.0,0.0,0.0,0,0,0,0.0,-90973,0.0,EVEN
2020-05-22,230.0,0.0,0.0,0.0,0.0,,,,,,,
2020-05-21,,,,,,0.0,0.0,0.0,0.0,-164527.0,0.0,EVEN
2019-04-19,230.0,235.0,261.0,222.0,30512418.0,790438.0,-790438.0,0.0,0.0,-164527.0,30.0,FALL
2019-04-18,260.0,275.0,276.0,260.0,6288627.0,337810.0,-337810.0,0.0,0.0,-164527.0,10.0,FALL
2019-04-17,270.0,267.0,273.0,262.0,8076729.0,-295885.0,295885.0,0.0,0.0,-164527.0,5.0,FALL
2019-04-16,275.0,305.0,306.0,269.0,20025570.0,3346411.0,-3346411.0,0.0,0.0,-164527.0,32.0,FALL
2019-04-15,307.0,327.0,359.0,307.0,40146369.0,3909431.0,-3909431.0,0.0,0.0,-164527.0,12.0,FALL
2019-04-12,319.0,264.0,340.0,263.0,64285404.0,391613.0,-391613.0,0.0,0.0,-164527.0,57.0,RISE
2019-04-11,262.0,259.0,264.0,258.0,647749.0,-149842.0,149842.0,0.0,0.0,-164527.0,5.0,RISE
2019-04-10,257.0,261.0,261.0,249.0,538536.0,-89839.0,89839.0,0.0,0.0,-164527.0,4.0,FALL
2019-04-09,261.0,262.0,265.0,257.0,642382.0,-83227.0,83227.0,0.0,0.0,-164527.0,1.0,FALL
2019-04-08,262.0,262.0,266.0,260.0,729491.0,-48350.0,48350.0,0.0,0.0,-164527.0,1.0,RISE
2019-04-05,261.0,259.0,262.0,255.0,871131.0,-161436.0,161436.0,0.0,0.0,-164527.0,1.0,FALL
2019-04-04,262.0,263.0,264.0,255.0,1264697.0,-61346.0,61346.0,0.0,0.0,-164527.0,0.0,EVEN
2019-04-03,262.0,259.0,276.0,252.0,2209533.0,112037.0,-112037.0,0.0,0.0,-164527.0,4.0,RISE
2019-04-02,258.0,262.0,265.0,256.0,647083.0,14917.0,-14917.0,0.0,0.0,-164527.0,4.0,FALL
2019-04-01,262.0,255.0,262.0,255.0,648787.0,-121670.0,121670.0,0.0,0.0,-164527.0,8.0,RISE
2019-03-29,254.0,262.0,263.0,248.0,926597.0,-60537.0,60537.0,0.0,0.0,-164527.0,3.0,FALL
2019-03-28,257.0,246.0,275.0,246.0,2475572.0,109793.0,-109793.0,0.0,0.0,-164527.0,10.0,RISE
