날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-09,,,,,,-970.0,970.0,0.0,0.004,-114753.0,100.0,FALL
2014-04-10,11550.0,11700.0,11800.0,11550.0,77252.0,-11283.0,11283.0,0.0,0.004,-114753.0,150.0,FALL
2014-04-11,11600.0,11400.0,11800.0,11350.0,53160.0,2997.0,4003.0,-7000.0,0.004,-121753.0,50.0,RISE
2014-04-14,11650.0,11500.0,11700.0,11450.0,58088.0,-7496.0,7496.0,0.0,0.005,-121753.0,50.0,RISE
2014-04-15,11650.0,11800.0,11800.0,11450.0,62288.0,4218.0,-4218.0,0.0,0.005,-121753.0,0.0,EVEN
2014-04-16,11850.0,11800.0,11950.0,11650.0,106539.0,-14508.0,14508.0,0.0,0.006,-121753.0,200.0,RISE
2014-04-17,11850.0,11900.0,12050.0,11700.0,62193.0,2956.0,-2956.0,0.0,0.005,-121753.0,0.0,EVEN
2014-04-18,11750.0,11900.0,11900.0,11750.0,36304.0,972.0,-972.0,0.0,0.005,-121753.0,100.0,FALL
2014-04-21,11650.0,11850.0,11900.0,11500.0,43092.0,2530.0,-2530.0,0.0,0.005,-121753.0,100.0,FALL
2014-04-22,11500.0,11650.0,11700.0,11200.0,106255.0,674.0,-674.0,0.0,0.005,-121753.0,150.0,FALL
2014-04-23,10950.0,11450.0,11450.0,10950.0,113157.0,-626.0,626.0,0.0,0.006,-121753.0,550.0,FALL
2014-04-24,11050.0,11000.0,11100.0,10550.0,79414.0,-11020.0,11020.0,0.0,0.007,-121753.0,100.0,RISE
2014-04-25,10850.0,10950.0,11100.0,10700.0,31760.0,1199.0,-1199.0,0.0,0.006,-121753.0,200.0,FALL
2014-04-28,10900.0,10750.0,11200.0,10750.0,57921.0,-2824.0,2824.0,0.0,0.007,-121753.0,50.0,RISE
2014-04-29,10900.0,10900.0,11150.0,10800.0,36959.0,-2063.0,2063.0,0.0,0.007,-121753.0,0.0,EVEN
2014-04-30,10850.0,10900.0,11000.0,10800.0,24184.0,3678.0,-3678.0,0.0,0.007,-121753.0,50.0,FALL
2014-05-02,10800.0,10750.0,11000.0,10650.0,45483.0,1542.0,-1542.0,0.0,0.006,-121753.0,50.0,FALL
2014-05-07,10600.0,10800.0,10800.0,10500.0,32905.0,-606.0,606.0,0.0,0.006,-121753.0,200.0,FALL
2014-05-08,10500.0,10550.0,10600.0,10200.0,44490.0,-817.0,817.0,0.0,0.007,-121753.0,100.0,FALL
2014-05-09,10600.0,10400.0,10750.0,10400.0,63535.0,-470.0,470.0,0.0,0.007,-121753.0,100.0,RISE
2014-05-12,10700.0,10650.0,10700.0,10400.0,28449.0,129.0,-129.0,0.0,0.007,-121753.0,100.0,RISE
2014-05-13,10650.0,10700.0,10700.0,10200.0,36781.0,-3140.0,3108.0,32.0,0.007,-121721.0,50.0,FALL
2014-05-14,10400.0,10750.0,10750.0,10400.0,51782.0,3719.0,281.0,-4000.0,0.007,-125721.0,250.0,FALL
2014-05-15,10650.0,10400.0,10650.0,10250.0,49910.0,-9492.0,9492.0,0.0,0.008,-125721.0,250.0,RISE
2014-05-16,9930.0,10550.0,10600.0,9930.0,220549.0,8013.0,-8024.0,11.0,0.007,-125710.0,720.0,FALL
