날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-09,,,,,,-27670.0,27670.0,0.0,0.008,-27545.0,58.0,RISE
2014-04-10,629.0,610.0,694.0,610.0,4625014.0,71856.0,-71856.0,0.0,0.004,-27545.0,24.0,RISE
2014-04-11,638.0,626.0,665.0,615.0,1155092.0,-39862.0,39862.0,0.0,0.006,-27545.0,9.0,RISE
2014-04-14,705.0,636.0,723.0,616.0,1080645.0,25915.0,-25915.0,0.0,0.005,-27545.0,67.0,RISE
2014-04-15,730.0,697.0,759.0,692.0,1563676.0,87921.0,-87921.0,0.0,0.001,-27545.0,25.0,RISE
2014-04-16,715.0,748.0,748.0,706.0,555864.0,-47782.0,47782.0,0.0,0.003,-27545.0,15.0,FALL
2014-04-17,739.0,725.0,765.0,715.0,523496.0,29543.0,-29543.0,0.0,0.002,-27545.0,24.0,RISE
2014-04-18,761.0,742.0,763.0,726.0,543640.0,-23024.0,23024.0,0.0,0.003,-27545.0,22.0,RISE
2014-04-21,730.0,761.0,765.0,725.0,494424.0,12537.0,-12537.0,0.0,0.002,-27545.0,31.0,FALL
2014-04-22,621.0,610.0,621.0,581.0,403426.0,-8883.0,8883.0,0.0,0.003,-27545.0,81.0,UPPER_LIMIT
2014-04-23,714.0,659.0,714.0,651.0,4287728.0,39417.0,-39417.0,0.0,0.001,-27545.0,93.0,UPPER_LIMIT
2014-04-24,656.0,715.0,745.0,634.0,5451918.0,-456.0,456.0,0.0,0.001,-27545.0,58.0,FALL
2014-04-25,604.0,658.0,681.0,596.0,2312347.0,-1374.0,3374.0,-2000.0,0.001,-29545.0,52.0,FALL
2014-04-28,602.0,601.0,636.0,586.0,1773145.0,-19420.0,19420.0,0.0,0.002,-29545.0,2.0,FALL
2014-04-29,618.0,602.0,631.0,600.0,1487945.0,-13600.0,11600.0,2000.0,0.002,-27545.0,16.0,RISE
2014-04-30,596.0,621.0,628.0,596.0,587690.0,18875.0,-18875.0,0.0,0.001,-27545.0,22.0,FALL
2014-05-02,576.0,609.0,609.0,555.0,608281.0,-5836.0,5836.0,0.0,0.002,-27545.0,20.0,FALL
2014-05-07,549.0,579.0,580.0,549.0,321290.0,-10557.0,10557.0,0.0,0.002,-27545.0,27.0,FALL
2014-05-08,513.0,551.0,551.0,484.0,1200495.0,-80057.0,80057.0,0.0,0.006,-27545.0,36.0,FALL
2014-05-09,564.0,514.0,579.0,511.0,1570083.0,1844.0,-1844.0,0.0,0.006,-27545.0,51.0,RISE
2014-05-12,549.0,558.0,569.0,541.0,329247.0,26250.0,-26250.0,0.0,0.005,-27545.0,15.0,FALL
2014-05-13,547.0,550.0,559.0,533.0,431955.0,-95976.0,100976.0,-5000.0,0.01,-32545.0,2.0,FALL
2014-05-14,562.0,550.0,577.0,540.0,643485.0,27454.0,-26454.0,-1000.0,0.008,-33545.0,15.0,RISE
2014-05-15,562.0,562.0,583.0,561.0,519932.0,16100.0,-16100.0,0.0,0.008,-33545.0,0.0,EVEN
