,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,173.0,171.0,174.0,170.0,7407252.0,-1997704,1997705,-1,0.0247,-5161798,2.0,RISE
2020-06-01,171.0,169.0,172.0,168.0,3123984.0,-233956,233958,-2,0.022,-5161797,2.0,RISE
2020-05-29,169.0,169.0,171.0,167.0,4511664.0,3105,-3102,-3,0.0216,-5161795,1.0,FALL
2020-05-28,170.0,172.0,177.0,168.0,14818449.0,1829503,-1829502,-1,0.0216,-5161792,2.0,FALL
2020-05-27,172.0,174.0,175.0,171.0,5176208.0,-739000,739002,-2,0.0242,-5161791,2.0,FALL
2020-05-26,174.0,170.0,176.0,168.0,12076589.0,-1851138,1851140,-2,0.0232,-5161789,4.0,RISE
2020-05-25,170.0,171.0,171.0,168.0,4135040.0,93329,-93333,4,0.0206,-5161787,1.0,FALL
2020-05-22,171.0,172.0,174.0,169.0,6352239.0,,,,,,,
2020-05-21,172.0,173.0,174.0,170.0,7634895.0,-1225910.0,1225910.0,0.0,0.0215,-5161686.0,0.0,EVEN
2020-05-20,172.0,169.0,173.0,169.0,7084250.0,-1354830.0,1354830.0,0.0,0.0198,-5161686.0,2.0,RISE
2020-05-19,170.0,169.0,171.0,168.0,7211932.0,-752086.0,752086.0,0.0,0.0179,-5161686.0,2.0,RISE
2020-05-18,168.0,169.0,171.0,166.0,6093358.0,303339.0,-303339.0,0.0,0.0169,-5161686.0,3.0,FALL
2020-05-15,171.0,170.0,172.0,169.0,4558661.0,-87252.0,87252.0,0.0,0.0173,-5161686.0,1.0,RISE
2020-05-14,170.0,172.0,173.0,169.0,6262478.0,888701.0,-888701.0,0.0,0.0184,-5161686.0,4.0,FALL
2020-05-13,174.0,169.0,176.0,169.0,7372840.0,-1032663.0,1032663.0,0.0,0.0196,-5161686.0,1.0,RISE
2020-05-12,173.0,175.0,176.0,168.0,7627526.0,179482.0,-179482.0,0.0,0.0182,-5161686.0,2.0,FALL
2020-05-11,175.0,179.0,179.0,174.0,7808195.0,512386.0,-512385.0,-1.0,0.0184,-5161686.0,4.0,FALL
2020-05-08,179.0,180.0,180.0,177.0,9660951.0,-438612.0,438613.0,-1.0,0.0191,-5161685.0,3.0,RISE
2020-05-07,176.0,174.0,178.0,172.0,12893862.0,-852115.0,852116.0,-1.0,0.0185,-5161684.0,3.0,RISE
2020-05-06,173.0,173.0,174.0,171.0,5873062.0,-901533.0,901535.0,-2.0,0.0173,-5161683.0,1.0,RISE
2020-05-04,172.0,175.0,175.0,171.0,8119840.0,699947.0,-699945.0,-2.0,0.0161,-5161681.0,1.0,FALL
2020-04-29,173.0,171.0,173.0,169.0,8203479.0,-1098193.0,1098196.0,-3.0,0.0171,-5161679.0,3.0,RISE
2020-04-28,170.0,175.0,176.0,169.0,9295286.0,597432.0,-597429.0,-3.0,0.0158,-5161676.0,4.0,FALL
2020-04-27,174.0,170.0,176.0,170.0,7402123.0,-491516.0,491517.0,-1.0,0.0167,-5161673.0,2.0,RISE
2020-04-24,172.0,175.0,177.0,170.0,11128780.0,-17831.0,17831.0,0.0,0.0161,-5161672.0,4.0,FALL
2020-04-23,176.0,181.0,182.0,175.0,12539226.0,309457.0,-309457.0,0.0,0.016,-5161672.0,3.0,FALL
2020-04-22,179.0,172.0,179.0,169.0,13202614.0,-650044.0,650044.0,0.0,0.0165,-5161672.0,1.0,RISE
2020-04-21,178.0,185.0,192.0,157.0,45185823.0,1231848.0,-1231848.0,0.0,0.0156,-5161672.0,6.0,FALL
2020-04-20,184.0,178.0,192.0,173.0,33207052.0,-278099.0,278100.0,-1.0,0.0173,-5161672.0,11.0,RISE
2020-04-17,173.0,174.0,175.0,170.0,19755059.0,-603285.0,603287.0,-2.0,0.017,-5161671.0,3.0,RISE
2020-04-16,170.0,164.0,170.0,160.0,22412706.0,-1015210.0,1015211.0,-1.0,0.0162,-5161669.0,7.0,RISE
2020-04-14,163.0,157.0,172.0,157.0,30333874.0,397486.0,-397486.0,0.0,0.015,-5161668.0,6.0,RISE
2020-04-13,157.0,161.0,161.0,155.0,8902349.0,-306651.0,306651.0,0.0,0.0156,-5161668.0,3.0,FALL
2020-04-10,160.0,165.0,165.0,152.0,16524667.0,132950.0,-132950.0,0.0,0.0151,-5161668.0,3.0,FALL
2020-04-09,163.0,160.0,165.0,159.0,15859643.0,-1056917.0,1056918.0,-1.0,0.0152,-5161668.0,5.0,RISE
2020-04-08,158.0,157.0,167.0,151.0,28914054.0,852295.0,-852294.0,-1.0,0.0141,-5161667.0,3.0,RISE
2020-04-07,155.0,152.0,156.0,150.0,15301748.0,-1492365.0,1492366.0,-1.0,0.0153,-5161666.0,6.0,RISE
2020-04-06,149.0,148.0,150.0,146.0,11618314.0,269009.0,-269008.0,-1.0,0.0132,-5161665.0,3.0,RISE
2020-04-03,146.0,148.0,150.0,143.0,9494172.0,-231869.0,231870.0,-1.0,0.0136,-5161664.0,1.0,RISE
2020-04-02,145.0,143.0,146.0,140.0,12126945.0,-801004.0,801006.0,-2.0,0.0134,-5161663.0,1.0,FALL
2020-04-01,146.0,149.0,154.0,145.0,17313662.0,-196596.0,196595.0,1.0,0.0124,-5161661.0,3.0,FALL
2020-03-31,149.0,140.0,159.0,138.0,39039718.0,654057.0,-654057.0,0.0,0.0129,-5161662.0,13.0,RISE
2020-03-30,136.0,128.0,136.0,125.0,12574652.0,-1291723.0,1291723.0,0.0,0.0138,-5161662.0,5.0,RISE
2020-03-27,131.0,137.0,144.0,126.0,25763639.0,389496.0,-389497.0,1.0,0.012,-5161662.0,3.0,FALL
