날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-09,,,,,,21996.0,-415.0,-21581.0,0.031,372917.0,100.0,FALL
2014-04-10,23500.0,24000.0,24550.0,23150.0,164586.0,8474.0,736.0,-9210.0,0.031,363707.0,150.0,FALL
2014-04-11,23700.0,22900.0,24000.0,22850.0,123662.0,-32065.0,1173.0,30892.0,0.031,394599.0,200.0,RISE
2014-04-14,24200.0,23850.0,24700.0,23650.0,122897.0,5493.0,-5253.0,-240.0,0.03,394359.0,500.0,RISE
2014-04-15,23450.0,24450.0,24450.0,23350.0,152959.0,34155.0,2728.0,-36883.0,0.031,357476.0,750.0,FALL
2014-04-16,23950.0,23600.0,23950.0,23100.0,147805.0,4657.0,18890.0,-23547.0,0.031,333929.0,500.0,RISE
2014-04-17,24650.0,23950.0,24950.0,23400.0,327557.0,-86680.0,-9310.0,95990.0,0.031,429919.0,700.0,RISE
2014-04-18,25200.0,24800.0,25600.0,24450.0,338452.0,-86962.0,-10009.0,96971.0,0.031,526890.0,550.0,RISE
2014-04-21,24800.0,25250.0,25450.0,24700.0,149040.0,-9497.0,-17807.0,27304.0,0.03,554194.0,400.0,FALL
2014-04-22,24350.0,25000.0,25600.0,24200.0,247449.0,23333.0,-483.0,-22850.0,0.03,531344.0,450.0,FALL
2014-04-23,23950.0,24250.0,24700.0,23950.0,111725.0,-2882.0,795.0,2087.0,0.031,533431.0,400.0,FALL
2014-04-24,24150.0,24350.0,24650.0,23250.0,168192.0,34302.0,-12329.0,-21973.0,0.031,511458.0,200.0,RISE
2014-04-25,23300.0,23900.0,24150.0,23250.0,143244.0,31967.0,-10908.0,-21059.0,0.031,490399.0,850.0,FALL
2014-04-28,22750.0,23100.0,23500.0,22700.0,101057.0,1233.0,-12103.0,10870.0,0.031,501269.0,550.0,FALL
2014-04-29,22700.0,22800.0,23050.0,22450.0,119268.0,15945.0,-10664.0,-5281.0,0.031,495988.0,50.0,FALL
2014-04-30,23100.0,22850.0,23400.0,22650.0,137486.0,-24220.0,-15370.0,39590.0,0.03,535578.0,400.0,RISE
2014-05-02,22750.0,23550.0,23600.0,22700.0,99950.0,12502.0,-28962.0,16460.0,0.029,552038.0,350.0,FALL
2014-05-07,20800.0,21650.0,21850.0,20400.0,2308788.0,691450.0,-351498.0,-339952.0,0.019,212086.0,1950.0,FALL
2014-05-08,21600.0,20650.0,21600.0,20150.0,804090.0,-150684.0,-8765.0,159449.0,0.019,371535.0,800.0,RISE
2014-05-09,21650.0,21400.0,21750.0,21000.0,488596.0,-29850.0,-101726.0,131576.0,0.016,503111.0,50.0,RISE
2014-05-12,22100.0,21850.0,22300.0,21500.0,375143.0,-35086.0,22122.0,12964.0,0.015,516075.0,450.0,RISE
2014-05-13,21200.0,21800.0,21900.0,20950.0,705480.0,85345.0,77127.0,-162472.0,0.018,353603.0,900.0,FALL
2014-05-14,21350.0,21350.0,21550.0,21200.0,313334.0,-36379.0,93899.0,-57520.0,0.021,296083.0,150.0,RISE
2014-05-15,21400.0,21500.0,21600.0,21300.0,218180.0,-26210.0,91730.0,-65520.0,0.024,230563.0,50.0,RISE
2014-05-16,21200.0,21400.0,21600.0,21100.0,175676.0,-17171.0,39338.0,-22167.0,0.024,208396.0,200.0,FALL
2014-05-19,19450.0,21250.0,21350.0,19450.0,604404.0,216151.0,-9500.0,-206651.0,0.024,1745.0,1750.0,FALL
2014-05-20,18450.0,19400.0,19500.0,18050.0,821787.0,124956.0,25248.0,-150204.0,0.025,-148459.0,1000.0,FALL
2014-05-21,18950.0,18350.0,18950.0,18300.0,435537.0,-113776.0,141494.0,-27718.0,0.029,-176177.0,500.0,RISE
2014-05-22,18900.0,19000.0,19250.0,18550.0,368728.0,109121.0,23114.0,-132235.0,0.03,-308412.0,50.0,FALL
2014-05-23,18900.0,18850.0,19100.0,18750.0,239768.0,-12528.0,24931.0,-12403.0,0.031,-320815.0,0.0,EVEN
2014-05-26,19900.0,18900.0,20050.0,18750.0,667492.0,-103874.0,131881.0,-28007.0,0.035,-348822.0,1000.0,RISE
2014-05-27,19700.0,20000.0,20000.0,19250.0,239807.0,-2978.0,9193.0,-6215.0,0.035,-355037.0,200.0,FALL
2014-05-28,20600.0,19850.0,20800.0,19700.0,510328.0,-68673.0,104915.0,-36242.0,0.038,-391279.0,900.0,RISE
2014-05-29,20400.0,20500.0,20650.0,20100.0,184285.0,479.0,15237.0,-15716.0,0.039,-406995.0,200.0,FALL
2014-05-30,19400.0,20400.0,20450.0,18950.0,402716.0,61650.0,-34134.0,-27516.0,0.038,-434511.0,1000.0,FALL
2014-06-02,18450.0,19550.0,19550.0,18350.0,409692.0,105305.0,-83045.0,-22260.0,0.035,-456771.0,950.0,FALL
2014-06-03,18450.0,18450.0,18900.0,18300.0,207024.0,21448.0,-7822.0,-13626.0,0.035,-470397.0,0.0,EVEN
2014-06-05,17350.0,18350.0,18650.0,16700.0,507022.0,29709.0,3933.0,-33642.0,0.035,-504039.0,1100.0,FALL
2014-06-09,17800.0,17500.0,18000.0,17150.0,187176.0,-52408.0,23592.0,28816.0,0.036,-475223.0,450.0,RISE
2014-06-10,18100.0,18050.0,18300.0,17750.0,129586.0,-22149.0,-4867.0,27016.0,0.035,-448207.0,300.0,RISE
2014-06-11,17950.0,18200.0,18200.0,17450.0,134760.0,-7681.0,-13490.0,21171.0,0.034,-427036.0,150.0,FALL
2014-06-12,18000.0,17900.0,18100.0,17400.0,235256.0,9914.0,-39073.0,29159.0,0.033,-397877.0,50.0,RISE
2014-06-13,17800.0,18100.0,18100.0,17650.0,128162.0,11948.0,-12291.0,343.0,0.033,-397534.0,200.0,FALL
2014-06-16,17650.0,17900.0,17950.0,17450.0,222150.0,16717.0,-18335.0,1618.0,0.033,-395916.0,150.0,FALL
2014-06-17,18300.0,17900.0,18350.0,17700.0,298281.0,-6203.0,46846.0,-40643.0,0.035,-436559.0,650.0,RISE
2014-06-18,18350.0,18200.0,18450.0,17750.0,201951.0,-27245.0,31855.0,-4610.0,0.036,-441169.0,50.0,RISE
2014-06-19,19150.0,18400.0,19400.0,18150.0,251169.0,-71979.0,976.0,71003.0,0.036,-370166.0,800.0,RISE
2014-06-20,19050.0,19100.0,19300.0,18800.0,173520.0,10021.0,-23372.0,13351.0,0.035,-356815.0,100.0,FALL
2014-06-23,19500.0,19100.0,19650.0,18950.0,257691.0,-38445.0,-9511.0,47956.0,0.034,-308859.0,450.0,RISE
2014-06-24,19500.0,19650.0,19850.0,19250.0,217525.0,-19123.0,-5376.0,24499.0,0.034,-284360.0,0.0,EVEN
2014-06-25,19250.0,19700.0,19700.0,19050.0,102815.0,-20763.0,-4433.0,25196.0,0.034,-259164.0,250.0,FALL
2014-06-26,18600.0,19200.0,19500.0,18550.0,237764.0,8199.0,-2631.0,-5568.0,0.034,-264732.0,650.0,FALL
2014-06-27,19950.0,18200.0,20100.0,18150.0,391880.0,-87387.0,25009.0,62378.0,0.034,-202354.0,1350.0,RISE
2014-06-30,20850.0,20200.0,21150.0,20100.0,651656.0,-69503.0,197479.0,-127976.0,0.041,-330330.0,900.0,RISE
2014-07-01,20750.0,20850.0,20900.0,20550.0,188366.0,-11544.0,10345.0,1199.0,0.041,-329131.0,100.0,FALL
2014-07-02,21350.0,20750.0,21400.0,20650.0,355807.0,-12653.0,19577.0,-6924.0,0.042,-336055.0,600.0,RISE
2014-07-03,21950.0,21450.0,22100.0,21150.0,417944.0,-77856.0,148516.0,-70660.0,0.046,-406715.0,600.0,RISE
2014-07-04,22300.0,22200.0,22400.0,21650.0,266285.0,-63614.0,98427.0,-34813.0,0.049,-441528.0,350.0,RISE
2014-07-07,22100.0,22500.0,22500.0,21550.0,212203.0,-31429.0,35650.0,-4221.0,0.05,-445749.0,200.0,FALL
2014-07-08,22100.0,21900.0,22200.0,21300.0,192951.0,-14422.0,24688.0,-10266.0,0.051,-456015.0,0.0,EVEN
2014-07-09,21200.0,21800.0,21950.0,21200.0,217032.0,31812.0,1289.0,-33101.0,0.051,-489116.0,900.0,FALL
2014-07-10,21550.0,21350.0,21950.0,21000.0,273689.0,-38719.0,15098.0,23621.0,0.049,-465495.0,350.0,RISE
2014-07-11,21850.0,21600.0,21900.0,21150.0,188245.0,-23727.0,20152.0,3575.0,0.05,-461920.0,300.0,RISE
2014-07-14,22500.0,22050.0,22950.0,21900.0,338012.0,-6635.0,1489.0,5146.0,0.05,-456774.0,650.0,RISE
2014-07-15,21750.0,22550.0,22700.0,21750.0,191632.0,10672.0,2623.0,-13295.0,0.05,-470069.0,750.0,FALL
2014-07-16,20900.0,21500.0,21750.0,20450.0,376782.0,26746.0,-12011.0,-14735.0,0.05,-484804.0,850.0,FALL
2014-07-17,21000.0,21050.0,21350.0,20800.0,122428.0,-22819.0,6577.0,16242.0,0.05,-468562.0,100.0,RISE
2014-07-18,21150.0,20550.0,21150.0,19800.0,333020.0,-53257.0,34795.0,18462.0,0.051,-450100.0,150.0,RISE
2014-07-21,20850.0,21400.0,21450.0,20700.0,138826.0,-15333.0,-1997.0,17330.0,0.051,-432770.0,300.0,FALL
2014-07-22,20350.0,20950.0,21000.0,20300.0,108545.0,18600.0,1814.0,-20414.0,0.051,-453184.0,500.0,FALL
2014-07-23,20000.0,20300.0,20600.0,20000.0,110316.0,25243.0,4212.0,-29455.0,0.051,-482639.0,350.0,FALL
2014-07-24,19550.0,19950.0,20250.0,19300.0,200537.0,69461.0,18573.0,-88034.0,0.052,-570673.0,450.0,FALL
2014-07-25,19350.0,19600.0,19900.0,19100.0,182118.0,66189.0,21141.0,-87330.0,0.052,-658003.0,200.0,FALL
2014-07-28,18750.0,19250.0,19500.0,18750.0,197628.0,41364.0,-50628.0,9264.0,0.051,-648739.0,600.0,FALL
2014-07-29,18800.0,18800.0,19600.0,18600.0,269634.0,-16081.0,11699.0,4382.0,0.051,-644357.0,50.0,RISE
2014-07-30,19250.0,19000.0,19350.0,18200.0,288943.0,-43817.0,6762.0,37055.0,0.051,-607302.0,450.0,RISE
2014-07-31,19150.0,19450.0,19450.0,18400.0,227829.0,35332.0,6262.0,-41594.0,0.052,-648896.0,100.0,FALL
2014-08-01,19100.0,18750.0,19400.0,18700.0,217759.0,-3003.0,1293.0,1710.0,0.052,-647186.0,50.0,FALL
2014-08-04,19450.0,19300.0,19550.0,18800.0,123241.0,-26599.0,-5715.0,32314.0,0.051,-614872.0,350.0,RISE
2014-08-05,19000.0,19450.0,19700.0,19000.0,166044.0,29955.0,-4086.0,-25869.0,0.051,-640741.0,450.0,FALL
2014-08-06,18700.0,18900.0,19150.0,18250.0,183714.0,18482.0,11389.0,-29871.0,0.052,-670612.0,300.0,FALL
2014-08-07,18850.0,18500.0,18900.0,18050.0,185091.0,-53563.0,45.0,53518.0,0.052,-617094.0,150.0,RISE
2014-08-08,18450.0,18800.0,18950.0,18200.0,113928.0,31689.0,-38904.0,7215.0,0.05,-609879.0,400.0,FALL
2014-08-11,18450.0,18400.0,18650.0,18250.0,130710.0,39380.0,573.0,-39953.0,0.05,-649832.0,0.0,EVEN
2014-08-12,18900.0,18350.0,19100.0,17850.0,162667.0,-46993.0,-5420.0,52413.0,0.05,-597419.0,450.0,RISE
2014-08-13,18900.0,18500.0,19050.0,18400.0,203875.0,-9058.0,1759.0,7299.0,0.05,-590120.0,0.0,EVEN
2014-08-14,18650.0,18850.0,19100.0,18450.0,158434.0,27611.0,-23685.0,-3926.0,0.05,-594046.0,250.0,FALL
2014-08-18,19250.0,18700.0,19400.0,18600.0,204219.0,-3957.0,-8277.0,12234.0,0.049,-581812.0,600.0,RISE
2014-08-19,19150.0,19300.0,19400.0,19000.0,141545.0,-2634.0,-9346.0,11980.0,0.049,-569832.0,100.0,FALL
2014-08-20,18750.0,19150.0,19300.0,18600.0,107647.0,-12950.0,9628.0,3322.0,0.049,-566510.0,400.0,FALL
2014-08-21,19350.0,18750.0,19600.0,18700.0,253583.0,-37010.0,38702.0,-1692.0,0.05,-568202.0,600.0,RISE
2014-08-22,20050.0,19500.0,20150.0,19200.0,310225.0,-36197.0,32457.0,3740.0,0.051,-564462.0,700.0,RISE
2014-08-25,21100.0,20500.0,21300.0,20250.0,666681.0,-417182.0,88297.0,328885.0,0.054,-235577.0,1050.0,RISE
2014-08-26,21500.0,21750.0,21850.0,21100.0,280529.0,-39506.0,40518.0,-1012.0,0.055,-236589.0,400.0,RISE
2014-08-27,21550.0,21750.0,21850.0,21100.0,184136.0,-67762.0,18620.0,49142.0,0.056,-187447.0,50.0,RISE
2014-08-28,21700.0,21750.0,22150.0,21400.0,189491.0,-51437.0,4943.0,46494.0,0.056,-140953.0,150.0,RISE
2014-08-29,21700.0,22000.0,22000.0,21550.0,151193.0,-24226.0,20387.0,3839.0,0.057,-137114.0,0.0,EVEN
2014-09-01,21800.0,21800.0,21850.0,21150.0,123965.0,-12329.0,19002.0,-6673.0,0.057,-143787.0,100.0,RISE
2014-09-02,22350.0,21650.0,22500.0,21500.0,224985.0,-60408.0,75724.0,-15316.0,0.06,-159103.0,550.0,RISE
2014-09-03,22750.0,22550.0,23000.0,22100.0,294449.0,-58581.0,71079.0,-12498.0,0.062,-171601.0,400.0,RISE
2014-09-04,21600.0,22900.0,22950.0,21050.0,391551.0,-9759.0,-8158.0,17917.0,0.062,-153684.0,1150.0,FALL
2014-09-05,21150.0,21400.0,21750.0,21050.0,229509.0,-24137.0,4071.0,20066.0,0.062,-133618.0,450.0,FALL
2014-09-11,20900.0,21250.0,21650.0,20800.0,164929.0,14908.0,-27957.0,13049.0,0.062,-120569.0,250.0,FALL
2014-09-12,20500.0,20950.0,21250.0,20250.0,186638.0,13645.0,-24170.0,10525.0,0.061,-110044.0,400.0,FALL
2014-09-15,20600.0,20500.0,20850.0,20350.0,88004.0,-20258.0,24076.0,-3818.0,0.062,-113862.0,100.0,RISE
2014-09-16,20550.0,20650.0,20750.0,20350.0,60996.0,-12336.0,11934.0,402.0,0.062,-113460.0,50.0,FALL
2014-09-17,21800.0,20750.0,21800.0,20750.0,207697.0,8488.0,74.0,-8562.0,0.062,-122022.0,1250.0,RISE
2014-09-18,22500.0,21600.0,22700.0,21150.0,286804.0,-86304.0,-39169.0,125473.0,0.061,3451.0,700.0,RISE
2014-09-19,24300.0,22700.0,25200.0,22450.0,986858.0,-13741.0,-36709.0,50450.0,0.06,53901.0,1800.0,RISE
2014-09-22,24450.0,24300.0,25050.0,23800.0,492322.0,-39458.0,-57369.0,96827.0,0.059,150728.0,150.0,RISE
2014-09-23,24750.0,24750.0,24950.0,23850.0,287761.0,-54560.0,11489.0,43071.0,0.059,193799.0,300.0,RISE
2014-09-24,24750.0,24750.0,25200.0,24350.0,217463.0,-2811.0,26518.0,-23707.0,0.06,170092.0,0.0,EVEN
2014-09-25,24350.0,24850.0,24850.0,23850.0,204430.0,-56910.0,36672.0,20238.0,0.061,190330.0,400.0,FALL
2014-09-26,24000.0,24350.0,24550.0,23950.0,153517.0,-6755.0,-20890.0,27645.0,0.06,217975.0,350.0,FALL
2014-09-29,23550.0,24400.0,25250.0,23550.0,490317.0,77504.0,-76834.0,-670.0,0.058,217305.0,450.0,FALL
2014-09-30,23550.0,23800.0,24150.0,23150.0,428702.0,136003.0,12006.0,-148009.0,0.058,69296.0,0.0,EVEN
2014-10-01,22900.0,23450.0,24100.0,22750.0,218938.0,-14120.0,-29701.0,43821.0,0.058,113117.0,650.0,FALL
2014-10-02,23550.0,22650.0,23700.0,22100.0,180326.0,-12256.0,-14202.0,26458.0,0.058,139575.0,650.0,RISE
2014-10-06,22300.0,23800.0,23800.0,21750.0,167366.0,33663.0,-42558.0,8895.0,0.056,148470.0,1250.0,FALL
2014-10-07,22100.0,22200.0,22500.0,21100.0,242388.0,14604.0,-46034.0,31430.0,0.055,179900.0,200.0,FALL
2014-10-08,21950.0,21650.0,22350.0,21650.0,105166.0,1496.0,-12230.0,10734.0,0.055,190634.0,150.0,FALL
2014-10-10,20950.0,21550.0,21700.0,20300.0,334364.0,-11566.0,-30398.0,41964.0,0.054,232598.0,1000.0,FALL
2014-10-13,19850.0,20950.0,21150.0,19400.0,246074.0,-20026.0,-23435.0,43461.0,0.053,276059.0,1100.0,FALL
2014-10-14,20800.0,19800.0,20900.0,19650.0,194435.0,-14245.0,-35458.0,49703.0,0.052,325762.0,950.0,RISE
2014-10-15,19900.0,20800.0,21050.0,19750.0,146341.0,43119.0,-20317.0,-22802.0,0.051,302960.0,900.0,FALL
2014-10-16,19400.0,19500.0,19600.0,18850.0,274516.0,4379.0,-18426.0,14047.0,0.05,317007.0,500.0,FALL
2014-10-17,18800.0,19700.0,19800.0,18750.0,183376.0,48088.0,-62534.0,14446.0,0.049,331453.0,600.0,FALL
2014-10-20,18950.0,19150.0,19550.0,18800.0,184191.0,49129.0,-33044.0,-16085.0,0.048,315368.0,150.0,RISE
2014-10-21,19500.0,19000.0,19500.0,18150.0,257828.0,-27812.0,-27116.0,54928.0,0.048,370296.0,550.0,RISE
2014-10-22,22400.0,20050.0,22400.0,19600.0,622480.0,17889.0,-48027.0,30138.0,0.047,400434.0,2900.0,UPPER_LIMIT
2014-10-23,24500.0,24000.0,25200.0,23100.0,1375514.0,-147145.0,210245.0,-63100.0,0.053,337334.0,2100.0,RISE
2014-10-24,24600.0,24450.0,25450.0,24050.0,807717.0,112383.0,-10958.0,-101425.0,0.052,235909.0,100.0,RISE
2014-10-27,23600.0,24750.0,24900.0,23300.0,492235.0,-5321.0,-88554.0,93875.0,0.05,329784.0,1000.0,FALL
2014-10-28,23550.0,23900.0,24600.0,23550.0,410164.0,24076.0,-92475.0,68399.0,0.048,398183.0,50.0,FALL
2014-10-29,23950.0,23900.0,25050.0,23850.0,693374.0,1838.0,-9279.0,7441.0,0.048,405624.0,400.0,RISE
2014-10-30,24450.0,23950.0,24700.0,23350.0,365097.0,20299.0,-37589.0,17290.0,0.057,422914.0,500.0,RISE
2014-10-31,25000.0,25200.0,25300.0,24250.0,524710.0,-88123.0,146724.0,-58601.0,0.062,364313.0,550.0,RISE
2014-11-03,25550.0,25100.0,25550.0,24500.0,255795.0,-75414.0,2136.0,73278.0,0.062,437591.0,550.0,RISE
2014-11-04,25700.0,25700.0,26700.0,24850.0,707818.0,-67258.0,144512.0,-77254.0,0.066,360337.0,150.0,RISE
2014-11-05,27400.0,25900.0,27450.0,25600.0,572014.0,-116259.0,107369.0,8890.0,0.068,369227.0,1700.0,RISE
2014-11-06,26300.0,27200.0,27350.0,26150.0,277480.0,15343.0,600.0,-15943.0,0.068,353284.0,1100.0,FALL
2014-11-07,25500.0,26350.0,26550.0,24800.0,435354.0,69121.0,26684.0,-95805.0,0.069,257479.0,800.0,FALL
2014-11-10,23700.0,25500.0,25500.0,23450.0,706788.0,218726.0,-47463.0,-171263.0,0.067,86216.0,1800.0,FALL
2014-11-11,24150.0,23800.0,24400.0,23300.0,521040.0,-58169.0,-40648.0,98817.0,0.066,185033.0,450.0,RISE
2014-11-12,25000.0,24400.0,25000.0,24200.0,462135.0,-103476.0,42231.0,61245.0,0.067,246278.0,850.0,RISE
2014-11-13,24250.0,24850.0,25000.0,23900.0,227252.0,-891.0,-21126.0,22017.0,0.067,268295.0,750.0,FALL
2014-11-14,22900.0,24350.0,24550.0,22850.0,345155.0,9726.0,18774.0,-28500.0,0.067,239795.0,1350.0,FALL
2014-11-17,23350.0,23400.0,23500.0,22600.0,182436.0,-4864.0,10054.0,-5190.0,0.067,234605.0,450.0,RISE
2014-11-18,23750.0,23050.0,23950.0,22700.0,154325.0,-40851.0,-6075.0,46926.0,0.067,281531.0,400.0,RISE
2014-11-19,23350.0,23900.0,23900.0,23050.0,114659.0,14302.0,-10396.0,-3906.0,0.066,277625.0,400.0,FALL
