,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,10200.0,10500.0,10500.0,9930.0,323870.0,77790,-81807,4017,0.0076,258300,200.0,FALL
2020-06-01,10400.0,9310.0,10400.0,9110.0,642562.0,-92701,51069,41632,0.0141,254283,1090.0,RISE
2020-05-29,9310.0,9510.0,9750.0,9150.0,461010.0,20931,-2110,-18821,0.0101,212651,380.0,FALL
2020-05-28,9690.0,10100.0,10150.0,9230.0,660655.0,-38628,28000,10628,0.0102,231472,290.0,FALL
2020-05-27,9980.0,10400.0,10700.0,9950.0,414438.0,61303,-18849,-42454,0.008,220844,320.0,FALL
2020-05-26,10300.0,10650.0,10700.0,10250.0,363245.0,104122,-108119,3997,0.0095,263298,350.0,FALL
2020-05-25,10650.0,10650.0,10700.0,10250.0,430451.0,53805,-18669,-35136,0.0189,259301,50.0,RISE
2020-05-22,10600.0,10700.0,11150.0,9930.0,938367.0,,,,,,,
2020-05-21,10850.0,11500.0,11500.0,10800.0,479226.0,101544.0,-89931.0,-11613.0,0.0087,370157.0,500.0,FALL
2020-05-20,11350.0,10850.0,11500.0,10700.0,503625.0,-69422.0,44297.0,25125.0,0.0159,381770.0,650.0,RISE
2020-05-19,10700.0,11150.0,11500.0,10650.0,583909.0,7687.0,-5968.0,-1719.0,0.0123,356645.0,150.0,FALL
2020-05-18,10850.0,9980.0,11000.0,9840.0,1333043.0,-222368.0,62224.0,160144.0,0.0128,358364.0,1020.0,RISE
2020-05-15,9830.0,9250.0,9840.0,9120.0,884168.0,-174939.0,86659.0,88280.0,0.0079,198220.0,760.0,RISE
2020-05-14,9070.0,8710.0,9100.0,8710.0,384290.0,-143215.0,85904.0,57311.0,0.001,109940.0,190.0,RISE
2020-05-13,8880.0,8480.0,8990.0,8450.0,299513.0,-52464.0,56501.0,-4037.0,0.0,52629.0,160.0,RISE
2020-05-12,8720.0,9030.0,9030.0,8500.0,407609.0,67203.0,2994.0,-70197.0,0.0,56666.0,310.0,FALL
2020-05-11,9030.0,9400.0,9410.0,8910.0,399887.0,80194.0,-59678.0,-20516.0,0.0,126863.0,330.0,FALL
2020-05-08,9360.0,9030.0,9460.0,8960.0,373221.0,-86487.0,74250.0,12237.0,0.0,147379.0,400.0,RISE
2020-05-07,8960.0,8920.0,9110.0,8700.0,218295.0,-23716.0,25516.0,-1800.0,0.0,135142.0,40.0,RISE
2020-05-06,8920.0,8850.0,9150.0,8790.0,294408.0,18129.0,-17388.0,-741.0,0.0,136942.0,150.0,RISE
2020-05-04,8770.0,8810.0,9100.0,8630.0,380894.0,17996.0,-8504.0,-9492.0,0.0,137683.0,340.0,FALL
2020-04-29,9110.0,8810.0,9390.0,8800.0,411017.0,-131192.0,96492.0,34700.0,0.0,147175.0,160.0,RISE
2020-04-28,8950.0,8900.0,9160.0,8650.0,536742.0,62414.0,-59295.0,-3119.0,0.0,112475.0,280.0,RISE
2020-04-27,8670.0,8360.0,8670.0,8130.0,474183.0,-114005.0,91513.0,22492.0,0.0,115594.0,390.0,RISE
2020-04-24,8280.0,8480.0,8700.0,8250.0,571473.0,-2622.0,-36886.0,39508.0,0.0,93102.0,240.0,FALL
2020-04-23,8520.0,8110.0,8600.0,8010.0,854241.0,-93320.0,48714.0,44606.0,0.0,53594.0,520.0,RISE
2020-04-22,8000.0,7400.0,8090.0,7400.0,436048.0,-36297.0,10547.0,25750.0,0.0,8988.0,370.0,RISE
2020-04-21,7630.0,7630.0,7950.0,7110.0,671388.0,30180.0,24306.0,-54486.0,0.0,-16762.0,70.0,FALL
2020-04-20,7700.0,7820.0,7920.0,7670.0,246543.0,-10666.0,9666.0,1000.0,0.0,37724.0,110.0,FALL
2020-04-17,7810.0,7650.0,7980.0,7650.0,463375.0,-25236.0,-21111.0,46347.0,0.0,36724.0,210.0,RISE
2020-04-16,7600.0,7200.0,7610.0,7100.0,294149.0,-36751.0,25691.0,11060.0,0.0,-9623.0,300.0,RISE
2020-04-14,7300.0,7300.0,7520.0,7200.0,328097.0,-12734.0,20985.0,-8251.0,0.0,-20683.0,150.0,RISE
2020-04-13,7150.0,7450.0,7640.0,7100.0,556556.0,28241.0,6712.0,-34953.0,0.0,-12432.0,440.0,FALL
2020-04-10,7590.0,8030.0,8050.0,7300.0,736612.0,117664.0,-23117.0,-94547.0,0.0,22521.0,430.0,FALL
2020-04-09,8020.0,8100.0,8250.0,7770.0,497869.0,-57791.0,2623.0,55168.0,0.0,117068.0,50.0,RISE
2020-04-08,7970.0,7600.0,8190.0,7450.0,730719.0,26656.0,-19431.0,-7225.0,0.0,61900.0,340.0,RISE
2020-04-07,7630.0,7380.0,7630.0,7210.0,814138.0,-45033.0,26366.0,18667.0,0.0,69125.0,440.0,RISE
2020-04-06,7190.0,6890.0,7350.0,6610.0,915731.0,11486.0,-9478.0,-2008.0,0.0,50458.0,280.0,RISE
2020-04-03,6910.0,7000.0,7210.0,6800.0,481791.0,40354.0,-24023.0,-16331.0,0.0,52466.0,80.0,FALL
2020-04-02,6990.0,6510.0,7080.0,6390.0,836155.0,13268.0,-8258.0,-5010.0,0.0,68797.0,490.0,RISE
2020-04-01,6500.0,6420.0,7300.0,6300.0,1070974.0,-10243.0,-13454.0,23697.0,0.0,73807.0,120.0,RISE
2020-03-31,6380.0,6280.0,6580.0,6130.0,1047880.0,-107383.0,4990.0,102393.0,0.0,50110.0,430.0,RISE
2020-03-30,5950.0,5450.0,5980.0,5400.0,485917.0,-30297.0,-6345.0,36642.0,0.0,-52283.0,270.0,RISE
2020-03-27,5680.0,6200.0,6200.0,5260.0,885676.0,11914.0,-32816.0,20902.0,0.0,-88925.0,200.0,FALL
2020-03-26,5880.0,6200.0,6300.0,5780.0,654857.0,91513.0,-65734.0,-25779.0,0.0,-109827.0,310.0,FALL
2020-03-25,6190.0,5880.0,6310.0,5590.0,991373.0,60513.0,-68284.0,7771.0,0.0,-84048.0,690.0,RISE
2020-03-24,5500.0,4850.0,5590.0,4510.0,963664.0,-3936.0,-32403.0,36339.0,0.0,-91819.0,1010.0,RISE
2020-03-23,4490.0,4875.0,4875.0,4350.0,608622.0,182644.0,-129343.0,-53301.0,0.0,-128158.0,760.0,FALL
2020-03-20,5250.0,4775.0,5320.0,4660.0,764187.0,89582.0,-36648.0,-52934.0,0.0024,-74857.0,680.0,RISE
2020-03-19,4570.0,5890.0,5930.0,4450.0,785522.0,72757.0,-49881.0,-22876.0,0.0054,-21923.0,1000.0,FALL
2020-03-18,5570.0,6090.0,6400.0,5550.0,643154.0,31940.0,-36544.0,4604.0,0.0094,953.0,520.0,FALL
2020-03-17,6090.0,5430.0,6250.0,5400.0,705747.0,30631.0,-22138.0,-8493.0,0.0128,-3651.0,170.0,RISE
2020-03-16,5920.0,6880.0,6950.0,5920.0,1058344.0,105207.0,-102135.0,-3072.0,0.0145,4842.0,760.0,FALL
2020-03-13,6680.0,7000.0,7160.0,5610.0,1598262.0,-45591.0,54052.0,-8461.0,0.0237,7914.0,860.0,FALL
2020-03-12,7540.0,7890.0,8070.0,7170.0,835743.0,14800.0,121656.0,-136456.0,0.0193,16375.0,420.0,FALL
2020-03-11,7960.0,8550.0,8600.0,7910.0,457631.0,-27749.0,-5708.0,33457.0,0.0096,152831.0,370.0,FALL
2020-03-10,8330.0,8250.0,8560.0,7980.0,903394.0,-30311.0,14540.0,15771.0,0.0093,119374.0,40.0,RISE
2020-03-09,8290.0,9380.0,9420.0,8250.0,977010.0,44638.0,-44190.0,-448.0,0.0071,103603.0,1350.0,FALL
2020-03-06,9640.0,9390.0,9970.0,9250.0,628130.0,6773.0,-6972.0,199.0,0.0107,104051.0,140.0,RISE
2020-03-05,9500.0,9150.0,9500.0,8930.0,701258.0,-56105.0,25360.0,30745.0,0.0112,103852.0,510.0,RISE
2020-03-04,8990.0,8140.0,8990.0,8000.0,666080.0,-173783.0,126257.0,47526.0,0.0092,73107.0,850.0,RISE
2020-03-03,8140.0,8500.0,8870.0,8080.0,569665.0,68650.0,-101913.0,33263.0,0.0,25581.0,10.0,FALL
2020-03-02,8150.0,7660.0,8150.0,7610.0,478481.0,-98165.0,75298.0,22867.0,0.0073,-7682.0,570.0,RISE
2020-02-28,7580.0,7490.0,7900.0,7340.0,535931.0,-254621.0,173258.0,81363.0,0.0014,-30549.0,90.0,FALL
2020-02-27,7670.0,8400.0,8420.0,7670.0,400518.0,72372.0,-49974.0,-22398.0,0.0,-111912.0,700.0,FALL
2020-02-26,8370.0,8080.0,8530.0,7810.0,397654.0,-41065.0,-10527.0,51592.0,0.0,-89514.0,250.0,RISE
2020-02-25,8120.0,8100.0,8170.0,7570.0,737752.0,-8719.0,-67293.0,76012.0,0.0,-141106.0,50.0,FALL
2020-02-24,8170.0,7700.0,8190.0,7630.0,542619.0,-90828.0,50764.0,40064.0,0.0,-217118.0,230.0,RISE
2020-02-21,7940.0,7550.0,8190.0,7550.0,471997.0,-117960.0,105912.0,12048.0,0.0,-257182.0,230.0,RISE
2020-02-20,7710.0,8050.0,8110.0,7590.0,313283.0,-40801.0,25234.0,15567.0,0.0,-269230.0,280.0,FALL
2020-02-19,7990.0,7890.0,8070.0,7600.0,331474.0,-54899.0,53783.0,1116.0,0.0,-284797.0,140.0,RISE
2020-02-18,7850.0,8300.0,8300.0,7610.0,568786.0,25946.0,-53258.0,27312.0,0.0,-285913.0,400.0,FALL
2020-02-17,8250.0,7800.0,8280.0,7560.0,677630.0,-136134.0,32433.0,103701.0,0.0,-313225.0,490.0,RISE
2020-02-14,7760.0,7400.0,7900.0,7390.0,628506.0,-128052.0,3862.0,124190.0,0.0,-416926.0,330.0,RISE
2020-02-13,7430.0,6900.0,7580.0,6840.0,822589.0,-149763.0,48727.0,101036.0,0.0,-541116.0,530.0,RISE
2020-02-12,6900.0,6640.0,6920.0,6510.0,275550.0,-25244.0,6277.0,18967.0,0.0,-642152.0,260.0,RISE
2020-02-11,6640.0,6770.0,7070.0,6630.0,601323.0,-30637.0,20892.0,9745.0,0.0,-661119.0,0.0,EVEN
2020-02-10,6640.0,6440.0,6850.0,6200.0,613643.0,26973.0,-22160.0,-4813.0,0.0,-670864.0,400.0,RISE
2020-02-07,6240.0,6390.0,6480.0,6010.0,371274.0,-50647.0,-1620.0,52267.0,0.0,-666051.0,20.0,RISE
2020-02-06,6220.0,5770.0,6220.0,5770.0,414165.0,22101.0,3678.0,-25779.0,0.0,-718318.0,360.0,RISE
2020-02-05,5860.0,5620.0,5870.0,5600.0,160912.0,7868.0,12245.0,-20113.0,0.0,-692539.0,210.0,RISE
2020-02-04,5650.0,5410.0,5730.0,5350.0,169569.0,-6978.0,46736.0,-39758.0,0.0,-672426.0,310.0,RISE
2020-02-03,5340.0,5350.0,5500.0,5150.0,109598.0,14603.0,17145.0,-31748.0,0.0,-632668.0,70.0,FALL
2020-01-31,5410.0,5740.0,5810.0,5300.0,227420.0,36409.0,-10934.0,-25475.0,0.0,-600920.0,330.0,FALL
2020-01-30,5740.0,6050.0,6240.0,5700.0,294080.0,83338.0,-25688.0,-57650.0,0.0,-575445.0,310.0,FALL
2020-01-29,6050.0,5630.0,6060.0,5570.0,244395.0,-2084.0,-916.0,3000.0,0.0,-517795.0,430.0,RISE
2020-01-28,5620.0,5310.0,5840.0,5290.0,225087.0,7249.0,9997.0,-17246.0,0.0,-520795.0,30.0,RISE
2020-01-23,5590.0,5360.0,5680.0,5270.0,248952.0,7627.0,3773.0,-11400.0,0.0,-503549.0,250.0,RISE
2020-01-22,5340.0,5330.0,5400.0,5250.0,69559.0,18442.0,1251.0,-19693.0,0.0,-492149.0,10.0,RISE
2020-01-21,5330.0,5450.0,5450.0,5230.0,122526.0,11607.0,862.0,-12469.0,0.0,-472456.0,30.0,RISE
2020-01-20,5300.0,5230.0,5500.0,5150.0,308358.0,58213.0,-10927.0,-47286.0,0.0,-459987.0,200.0,RISE
2020-01-17,5100.0,4880.0,5240.0,4850.0,312078.0,-22931.0,45546.0,-22615.0,0.0,-412701.0,235.0,RISE
2020-01-16,4865.0,4865.0,4880.0,4800.0,36902.0,8100.0,6380.0,-14480.0,0.0,-390086.0,0.0,EVEN
2020-01-15,4865.0,4875.0,4875.0,4800.0,26874.0,8935.0,1851.0,-10786.0,0.0,-375606.0,10.0,FALL
2020-01-14,4875.0,4780.0,4885.0,4715.0,59435.0,4351.0,1452.0,-5803.0,0.0,-364820.0,110.0,RISE
2020-01-13,4765.0,4940.0,4940.0,4765.0,80628.0,22979.0,4043.0,-27022.0,0.0,-359017.0,175.0,FALL
2020-01-10,4940.0,4765.0,4940.0,4610.0,243139.0,24329.0,5920.0,-30249.0,0.0,-331995.0,140.0,RISE
2020-01-09,4800.0,4650.0,5500.0,4570.0,491881.0,57247.0,-17760.0,-39487.0,0.0,-301746.0,240.0,RISE
2020-01-08,4560.0,4870.0,4870.0,4550.0,47628.0,14662.0,-5926.0,-8736.0,0.0,-262259.0,270.0,FALL
2020-01-07,4830.0,4760.0,4830.0,4610.0,29724.0,1112.0,-1024.0,-88.0,0.0,-253523.0,80.0,RISE
2020-01-06,4750.0,4815.0,4815.0,4735.0,12005.0,-557.0,557.0,0.0,0.0,-253435.0,65.0,FALL
2020-01-03,4815.0,4975.0,5040.0,4815.0,29350.0,5089.0,-5089.0,0.0,0.0,-253435.0,135.0,FALL
2020-01-02,4950.0,4945.0,4995.0,4860.0,18337.0,-2267.0,2267.0,0.0,0.0,-253435.0,50.0,RISE
