날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-09,,,,,,4810.0,6070.0,-10880.0,0.015,-70828.0,50.0,FALL
2014-04-10,11700.0,11750.0,11800.0,11600.0,191238.0,-17740.0,11190.0,6550.0,0.015,-64278.0,100.0,RISE
2014-04-11,11700.0,11550.0,11700.0,11400.0,183437.0,18510.0,-15850.0,-2660.0,0.015,-66938.0,0.0,EVEN
2014-04-14,11800.0,11650.0,11850.0,11550.0,141839.0,15940.0,-15600.0,-340.0,0.014,-67278.0,100.0,RISE
2014-04-15,11450.0,11800.0,11800.0,11450.0,232033.0,32760.0,-21320.0,-11440.0,0.014,-78718.0,350.0,FALL
2014-04-16,11550.0,11450.0,11550.0,11200.0,354669.0,-34740.0,39950.0,-5210.0,0.015,-83928.0,100.0,RISE
2014-04-17,11500.0,11650.0,11650.0,11450.0,134822.0,4650.0,-4900.0,250.0,0.015,-83678.0,50.0,FALL
2014-04-18,11550.0,11500.0,11600.0,11450.0,120571.0,5540.0,290.0,-5830.0,0.015,-89508.0,50.0,RISE
2014-04-21,12000.0,11600.0,12150.0,11550.0,470466.0,-7700.0,-7160.0,14860.0,0.014,-74648.0,450.0,RISE
2014-04-22,12350.0,12050.0,12400.0,11850.0,453462.0,-4678.0,-13060.0,17738.0,0.014,-56910.0,350.0,RISE
2014-04-23,12250.0,12450.0,12600.0,12200.0,459774.0,37579.0,-46070.0,8491.0,0.013,-48419.0,100.0,FALL
2014-04-24,12100.0,12250.0,12350.0,11900.0,223698.0,12490.0,-12800.0,310.0,0.013,-48109.0,150.0,FALL
2014-04-25,12150.0,12050.0,12450.0,11950.0,176704.0,19320.0,-18920.0,-400.0,0.012,-48509.0,50.0,RISE
2014-04-28,11550.0,11900.0,12000.0,11400.0,509783.0,68420.0,-37730.0,-30690.0,0.012,-79199.0,600.0,FALL
2014-04-29,11200.0,11550.0,11600.0,10900.0,412282.0,19700.0,-9190.0,-10510.0,0.012,-89709.0,350.0,FALL
2014-04-30,11100.0,11400.0,11400.0,11100.0,148361.0,-13498.0,1050.0,12448.0,0.012,-77261.0,100.0,FALL
2014-05-02,11250.0,11150.0,11300.0,11100.0,118125.0,-22780.0,12430.0,10350.0,0.012,-66911.0,150.0,RISE
2014-05-07,11250.0,11200.0,11400.0,11150.0,131877.0,3450.0,-24650.0,21200.0,0.011,-45711.0,0.0,EVEN
2014-05-08,11250.0,11450.0,11500.0,11150.0,147564.0,19350.0,-16200.0,-3150.0,0.01,-48861.0,0.0,EVEN
2014-05-09,11100.0,11150.0,11300.0,10950.0,189275.0,-6490.0,9930.0,-3440.0,0.011,-52301.0,150.0,FALL
2014-05-12,10450.0,11100.0,11150.0,10400.0,343218.0,20660.0,-4510.0,-16150.0,0.011,-68451.0,650.0,FALL
2014-05-13,10550.0,10450.0,10650.0,10350.0,192945.0,-44330.0,45420.0,-1090.0,0.012,-69541.0,100.0,RISE
2014-05-14,10550.0,10550.0,10700.0,10550.0,111386.0,322.0,948.0,-1270.0,0.012,-70811.0,0.0,EVEN
2014-05-15,10550.0,10500.0,10650.0,10450.0,94010.0,-6300.0,6960.0,-660.0,0.012,-71471.0,0.0,EVEN
2014-05-16,10550.0,10500.0,10600.0,10400.0,113582.0,9677.0,-10090.0,413.0,0.012,-71058.0,0.0,EVEN
2014-05-19,9930.0,10600.0,10600.0,9900.0,482702.0,48610.0,-37370.0,-11240.0,0.011,-82298.0,620.0,FALL
2014-05-20,10050.0,9860.0,10150.0,9860.0,171416.0,-35660.0,46090.0,-10430.0,0.012,-92728.0,120.0,RISE
2014-05-21,10150.0,9970.0,10250.0,9970.0,117047.0,-1760.0,3710.0,-1950.0,0.011,-94678.0,100.0,RISE
2014-05-22,10150.0,10150.0,10300.0,10100.0,81501.0,19350.0,-17440.0,-1910.0,0.011,-96588.0,0.0,EVEN
2014-05-23,10050.0,10250.0,10250.0,9990.0,101855.0,-6620.0,9430.0,-2810.0,0.011,-99398.0,100.0,FALL
2014-05-26,10050.0,10000.0,10150.0,9990.0,106866.0,-7430.0,7930.0,-500.0,0.011,-99898.0,0.0,EVEN
2014-05-27,10050.0,10050.0,10200.0,9970.0,109313.0,16820.0,-14450.0,-2370.0,0.011,-102268.0,0.0,EVEN
2014-05-28,10100.0,10050.0,10200.0,9990.0,80293.0,-18700.0,18510.0,190.0,0.011,-102078.0,50.0,RISE
2014-05-29,10200.0,10150.0,10200.0,10000.0,72561.0,4560.0,-4550.0,-10.0,0.011,-102088.0,100.0,RISE
2014-05-30,10300.0,10200.0,10450.0,10100.0,144772.0,-1820.0,-8430.0,10250.0,0.011,-91838.0,100.0,RISE
2014-06-02,10100.0,10300.0,10300.0,9990.0,116783.0,2135.0,-1914.0,-221.0,0.011,-92059.0,200.0,FALL
2014-06-03,10000.0,10050.0,10150.0,9980.0,97631.0,655.0,-5040.0,4385.0,0.011,-87674.0,100.0,FALL
2014-06-05,9850.0,9970.0,10050.0,9850.0,168923.0,15339.0,-14895.0,-444.0,0.01,-88118.0,150.0,FALL
2014-06-09,9340.0,9840.0,9970.0,9340.0,311675.0,-2773.0,5241.0,-2468.0,0.011,-90586.0,510.0,FALL
2014-06-10,9430.0,9230.0,9470.0,9230.0,238975.0,-69136.0,75242.0,-6106.0,0.013,-96692.0,90.0,RISE
2014-06-11,9570.0,9430.0,9630.0,9430.0,116452.0,-6073.0,14010.0,-7937.0,0.013,-104629.0,140.0,RISE
2014-06-12,9580.0,9470.0,9640.0,9470.0,101009.0,-5942.0,-514.0,6456.0,0.013,-98173.0,10.0,RISE
2014-06-13,9650.0,9630.0,9700.0,9500.0,96913.0,-10800.0,10550.0,250.0,0.013,-97923.0,70.0,RISE
2014-06-16,9670.0,9600.0,9830.0,9600.0,74817.0,8887.0,-7705.0,-1182.0,0.013,-99105.0,20.0,RISE
2014-06-17,11100.0,9900.0,11100.0,9900.0,1368522.0,-76100.0,64859.0,11241.0,0.015,-87864.0,1430.0,UPPER_LIMIT
2014-06-18,10750.0,11350.0,11350.0,10650.0,1128050.0,16022.0,-29481.0,13459.0,0.014,-74405.0,350.0,FALL
2014-06-19,11000.0,10850.0,11000.0,10600.0,422291.0,-45233.0,7645.0,37588.0,0.015,-36817.0,250.0,RISE
2014-06-20,11000.0,11050.0,11250.0,10900.0,351679.0,-11495.0,-6591.0,18086.0,0.014,-18731.0,0.0,EVEN
2014-06-23,10750.0,11150.0,11750.0,10750.0,961826.0,30758.0,-21281.0,-9477.0,0.014,-28208.0,250.0,FALL
2014-06-24,10800.0,10700.0,10900.0,10500.0,228864.0,-22159.0,22717.0,-558.0,0.015,-28766.0,50.0,RISE
2014-06-25,10300.0,10750.0,10800.0,10200.0,293667.0,31392.0,-31325.0,-67.0,0.014,-28833.0,500.0,FALL
2014-06-26,10400.0,10400.0,10650.0,10350.0,143054.0,-20978.0,15600.0,5378.0,0.014,-23455.0,100.0,RISE
2014-06-27,10750.0,10550.0,10900.0,10500.0,197273.0,-22641.0,543.0,22098.0,0.014,-1357.0,350.0,RISE
2014-06-30,10900.0,10900.0,11200.0,10850.0,274224.0,-3464.0,4025.0,-561.0,0.014,-1918.0,150.0,RISE
2014-07-01,10900.0,10950.0,11400.0,10850.0,300717.0,44763.0,-25799.0,-18964.0,0.014,-20882.0,0.0,EVEN
2014-07-02,11000.0,10950.0,11100.0,10750.0,174524.0,-12822.0,14550.0,-1728.0,0.014,-22610.0,100.0,RISE
2014-07-03,10750.0,11050.0,11050.0,10700.0,158958.0,19321.0,-166.0,-19155.0,0.014,-41765.0,250.0,FALL
2014-07-04,11550.0,10700.0,11550.0,10550.0,694638.0,-115482.0,8316.0,107166.0,0.014,65401.0,800.0,RISE
2014-07-07,11650.0,11550.0,11800.0,11350.0,568973.0,-12275.0,-61000.0,73275.0,0.013,138676.0,100.0,RISE
2014-07-08,11650.0,11500.0,11650.0,11350.0,283875.0,13127.0,-3235.0,-9892.0,0.012,128784.0,0.0,EVEN
2014-07-09,11350.0,11550.0,11600.0,11350.0,218625.0,26034.0,-32428.0,6394.0,0.012,135178.0,300.0,FALL
