날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2015-12-28,152000.0,172000.0,174500.0,150000.0,475968.0,136845.0,-95468.0,-41377.0,0.016,-41377.0,20000.0,FALL
2015-12-29,147500.0,155000.0,158000.0,142000.0,148500.0,27226.0,-39232.0,12006.0,0.011,12006.0,4500.0,FALL
2015-12-30,153000.0,150500.0,158000.0,147000.0,150031.0,28311.0,-34581.0,6270.0,0.007,6270.0,5500.0,RISE
2016-01-04,158500.0,156000.0,163000.0,152500.0,120942.0,1970.0,-4675.0,2705.0,0.007,2705.0,5500.0,RISE
2016-01-05,168500.0,156500.0,169000.0,156000.0,92377.0,-6753.0,-928.0,7681.0,0.006,7681.0,10000.0,RISE
2016-01-06,168000.0,170000.0,174000.0,163500.0,96616.0,10064.0,1862.0,-11926.0,0.007,-11926.0,500.0,FALL
2016-01-07,181500.0,167500.0,189000.0,166000.0,190139.0,19404.0,-2034.0,-17370.0,0.006,-17370.0,13500.0,RISE
2016-01-08,181000.0,178500.0,184500.0,176000.0,70119.0,-5295.0,-1000.0,6295.0,0.006,6295.0,500.0,FALL
2016-01-11,170000.0,183000.0,183500.0,167500.0,68768.0,7083.0,1202.0,-8285.0,0.007,-8285.0,11000.0,FALL
2016-01-12,169500.0,171000.0,176500.0,165000.0,53845.0,8225.0,749.0,-8974.0,0.007,-8974.0,500.0,FALL
2016-01-13,170000.0,169500.0,172500.0,167500.0,22986.0,-3797.0,467.0,3330.0,0.007,3330.0,500.0,RISE
2016-01-14,169500.0,165500.0,170500.0,161500.0,48832.0,3065.0,547.0,-3612.0,0.007,-3612.0,500.0,FALL
2016-01-15,162000.0,170500.0,173000.0,161000.0,50678.0,3398.0,294.0,-3692.0,0.007,-3692.0,7500.0,FALL
2016-01-18,159500.0,158500.0,161500.0,155500.0,38774.0,-6133.0,906.0,5227.0,0.038,5227.0,2500.0,FALL
2016-01-19,170500.0,163000.0,170500.0,161500.0,50870.0,-3328.0,-80.0,3408.0,0.038,3408.0,11000.0,RISE
2016-01-20,168000.0,173000.0,173000.0,159500.0,38426.0,-6465.0,-1417.0,7882.0,0.038,7882.0,2500.0,FALL
2016-01-21,166500.0,168500.0,171500.0,165500.0,34057.0,-2690.0,-532.0,3222.0,0.038,3222.0,1500.0,FALL
2016-01-22,176500.0,167000.0,177000.0,167000.0,74333.0,-20135.0,781.0,19354.0,0.038,19354.0,10000.0,RISE
