날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2016-01-27,19600.0,18950.0,24600.0,17500.0,5636031.0,475723.0,-59658.0,-416065.0,0.007,-416065.0,650.0,RISE
2016-01-28,21800.0,19200.0,23350.0,19050.0,3438322.0,5907.0,4197.0,-10104.0,0.008,-10104.0,2200.0,RISE
2016-01-29,20800.0,22100.0,22700.0,20350.0,882135.0,10848.0,-10848.0,0.0,0.005,13644.0,1000.0,FALL
2016-02-01,18900.0,20850.0,21100.0,18800.0,622449.0,25448.0,-3349.0,-22099.0,0.004,-22099.0,1900.0,FALL
2016-02-02,17450.0,18900.0,19300.0,17000.0,828876.0,-5573.0,5573.0,0.0,0.006,-7932.0,1450.0,FALL
2016-02-03,17700.0,18100.0,18500.0,17100.0,536479.0,9568.0,-9568.0,0.0,0.003,10131.0,250.0,RISE
2016-02-04,15750.0,17400.0,17500.0,15750.0,510212.0,-997.0,997.0,0.0,0.003,-3270.0,1950.0,FALL
2016-02-05,15650.0,15950.0,16900.0,15500.0,423515.0,-3057.0,3057.0,0.0,0.004,-3049.0,100.0,FALL
2016-02-11,13450.0,14900.0,15150.0,13450.0,372531.0,9529.0,-9529.0,0.0,0.001,9059.0,2200.0,FALL
2016-02-12,12350.0,13350.0,13800.0,11800.0,442170.0,-1650.0,0.0,1650.0,0.001,1650.0,1100.0,FALL
2016-02-15,12250.0,12600.0,13000.0,12100.0,310593.0,-1732.0,1732.0,0.0,0.002,-1982.0,100.0,FALL
2016-02-16,13700.0,12600.0,15150.0,12500.0,1313542.0,-6223.0,7873.0,-1650.0,0.004,-1650.0,1450.0,RISE
2016-02-17,14000.0,13750.0,14850.0,13600.0,493683.0,-7911.0,7911.0,0.0,0.006,-5817.0,300.0,RISE
2016-02-18,13450.0,14350.0,14350.0,13450.0,167237.0,2820.0,-2820.0,0.0,0.005,2820.0,550.0,FALL
2016-02-19,13400.0,13500.0,13700.0,13000.0,240665.0,-16160.0,-2760.0,18920.0,0.005,18920.0,50.0,FALL
2016-02-22,14900.0,14100.0,15550.0,14100.0,809808.0,3284.0,-3284.0,0.0,0.004,9104.0,1500.0,RISE
2016-02-23,14650.0,14950.0,15150.0,14150.0,229748.0,8802.0,-8802.0,0.0,0.001,8795.0,250.0,FALL
2016-02-24,15300.0,14400.0,15300.0,14350.0,146144.0,-932.0,932.0,0.0,0.001,-932.0,650.0,RISE
2016-02-25,14800.0,15600.0,15850.0,14800.0,221754.0,681.0,-681.0,0.0,0.001,1087.0,500.0,FALL
2016-02-26,14600.0,14650.0,15050.0,14250.0,150628.0,231.0,-231.0,0.0,0.001,231.0,200.0,FALL
2016-02-29,14050.0,14550.0,14550.0,13950.0,103800.0,2195.0,-2195.0,0.0,0.001,3944.0,550.0,FALL
2016-03-02,13950.0,14150.0,14250.0,13750.0,103019.0,-6494.0,7940.0,-1446.0,0.003,-1446.0,100.0,FALL
2016-03-03,14100.0,14150.0,14200.0,13700.0,72453.0,1654.0,-1654.0,0.0,0.002,-46.0,150.0,RISE
2016-03-04,14000.0,14000.0,14150.0,13750.0,72178.0,2316.0,-2316.0,0.0,0.002,1612.0,100.0,FALL
2016-03-07,13500.0,14100.0,14100.0,13500.0,66920.0,1328.0,-1328.0,0.0,0.001,1728.0,500.0,FALL
2016-03-08,13100.0,13550.0,13650.0,12950.0,97126.0,-1734.0,1734.0,0.0,0.002,-2053.0,400.0,FALL
2016-03-09,14350.0,13050.0,14650.0,13050.0,358650.0,-377.0,377.0,0.0,0.002,366.0,1250.0,RISE
2016-03-10,14250.0,14250.0,14500.0,14100.0,108256.0,393.0,-393.0,0.0,0.002,250.0,100.0,FALL
2016-03-11,13700.0,14300.0,14600.0,13650.0,143028.0,1274.0,-1274.0,0.0,0.001,1814.0,550.0,FALL
2016-03-14,13500.0,13800.0,13850.0,13250.0,69384.0,1454.0,-1454.0,0.0,0.001,-1046.0,200.0,FALL
2016-03-15,13800.0,13500.0,13800.0,13300.0,53380.0,-5336.0,5336.0,0.0,0.003,-5336.0,300.0,RISE
2016-03-16,13750.0,13800.0,13950.0,13650.0,32272.0,-2866.0,1829.0,1037.0,0.003,1037.0,50.0,FALL
2016-03-17,14950.0,13800.0,15850.0,13800.0,511065.0,-477.0,477.0,0.0,0.003,3422.0,1200.0,RISE
2016-03-18,14700.0,15100.0,15300.0,14500.0,128181.0,-605.0,605.0,0.0,0.003,-1308.0,250.0,FALL
2016-03-21,14500.0,14700.0,14850.0,14350.0,88513.0,-1896.0,1896.0,0.0,0.004,-1396.0,200.0,FALL
2016-03-22,15100.0,14650.0,15900.0,14300.0,191517.0,3697.0,-3697.0,0.0,0.003,3705.0,600.0,RISE
2016-03-23,15950.0,14900.0,15950.0,14850.0,199928.0,34.0,-2634.0,2600.0,0.002,2600.0,850.0,RISE
2016-03-24,16000.0,16950.0,18600.0,16000.0,563883.0,4813.0,-6540.0,1727.0,0.0,1727.0,50.0,RISE
2016-03-25,16000.0,16000.0,16150.0,15300.0,164430.0,1792.0,2535.0,-4327.0,0.001,-4327.0,0.0,EVEN
2016-03-28,15250.0,15700.0,16000.0,15250.0,82403.0,60.0,-60.0,0.0,0.001,23.0,750.0,FALL
2016-03-29,15300.0,15200.0,15750.0,15100.0,57259.0,-5639.0,5639.0,0.0,0.003,-5639.0,50.0,RISE
2016-03-30,15250.0,15600.0,15650.0,15000.0,74079.0,-5214.0,5214.0,0.0,0.004,-5247.0,50.0,FALL
2016-03-31,15450.0,15250.0,15950.0,15200.0,79009.0,-7312.0,7312.0,0.0,0.006,-13512.0,200.0,RISE
2016-04-01,15950.0,15600.0,17100.0,15400.0,257032.0,3912.0,-3912.0,0.0,0.005,2319.0,500.0,RISE
2016-04-04,16400.0,16000.0,16900.0,15800.0,132763.0,2818.0,-2818.0,0.0,0.004,-182.0,450.0,RISE
2016-04-05,16100.0,16450.0,16500.0,15850.0,68456.0,-5990.0,5990.0,0.0,0.006,-5990.0,300.0,FALL
2016-04-06,16050.0,16200.0,16500.0,15850.0,67525.0,2029.0,-2029.0,0.0,0.005,3029.0,50.0,FALL
2016-04-07,18800.0,16150.0,20400.0,15650.0,1183145.0,-10283.0,-10320.0,20603.0,0.0024,20603.0,2750.0,RISE
2016-04-08,19200.0,19700.0,20250.0,18700.0,473647.0,15353.0,-7159.0,-8194.0,0.0003,-8194.0,400.0,RISE
2016-04-11,20300.0,18900.0,20500.0,18250.0,338923.0,-20234.0,-221.0,20455.0,0.0003,20455.0,1100.0,RISE
2016-04-12,23400.0,20550.0,24000.0,20250.0,1195394.0,-113894.0,1831.0,112063.0,0.0008,112063.0,3100.0,RISE
2016-04-14,24400.0,23800.0,26000.0,22450.0,731682.0,-85749.0,1008.0,84741.0,0.0011,84741.0,1000.0,RISE
2016-04-15,23550.0,24450.0,24500.0,23100.0,230902.0,19033.0,-1182.0,-17851.0,0.0008,-17851.0,850.0,FALL
2016-04-18,22200.0,23200.0,23350.0,21600.0,260005.0,-9157.0,5735.0,3422.0,0.0024,3422.0,1350.0,FALL
2016-04-19,25900.0,22250.0,27450.0,21800.0,1047274.0,-610.0,-7279.0,7889.0,0.0003,7889.0,3700.0,RISE
2016-04-20,27650.0,25200.0,27700.0,24800.0,337306.0,871.0,531.0,-1402.0,0.0005,-1402.0,1750.0,RISE
2016-04-21,26750.0,27200.0,28000.0,26000.0,217748.0,8991.0,1009.0,-10000.0,0.0008,-10000.0,900.0,FALL
2016-04-22,25500.0,26100.0,27300.0,25500.0,171828.0,-5128.0,1913.0,3215.0,0.0013,3215.0,1250.0,FALL
2016-04-25,25200.0,25800.0,26750.0,25000.0,140090.0,-8483.0,1083.0,7400.0,0.0016,7400.0,300.0,FALL
2016-04-26,25300.0,25700.0,26350.0,24700.0,161606.0,2245.0,-3345.0,1100.0,0.0007,1100.0,100.0,RISE
