날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2019-11-06,6120.0,6650.0,7280.0,6100.0,25527148.0,3137888.0,-814994.0,-2322894.0,0.0011,-2322894.0,530.0,FALL
2019-11-07,5970.0,6220.0,6340.0,5680.0,4337052.0,-151826.0,7596.0,144230.0,0.0014,-2178664.0,150.0,FALL
2019-11-08,5760.0,5970.0,6100.0,5730.0,1875931.0,-45496.0,-13159.0,58655.0,0.001,-2120009.0,210.0,FALL
2019-11-11,5760.0,5750.0,5900.0,5560.0,1207813.0,-119924.0,1324.0,118600.0,0.0011,-2001409.0,0.0,EVEN
2019-11-12,5790.0,5950.0,5980.0,5730.0,939170.0,-72170.0,-19707.0,91877.0,0.0003,-1909532.0,30.0,RISE
2019-11-13,5780.0,5740.0,5820.0,5660.0,579564.0,-55934.0,17362.0,38572.0,0.001,-1870960.0,10.0,FALL
2019-11-14,5950.0,5780.0,6280.0,5720.0,1403449.0,-141655.0,-1823.0,143478.0,0.0009,-1727482.0,170.0,RISE
2019-11-15,6080.0,6000.0,6150.0,5860.0,759620.0,-100511.0,-8405.0,108916.0,0.0006,-1618566.0,130.0,RISE
2019-11-18,6020.0,6110.0,6180.0,5950.0,529379.0,-4267.0,-2954.0,7221.0,0.0005,-1611345.0,60.0,FALL
2019-11-19,6200.0,5970.0,6260.0,5900.0,911069.0,-156750.0,5978.0,150772.0,0.0007,-1460573.0,180.0,RISE
2019-11-20,6120.0,6200.0,6470.0,6050.0,1323722.0,-80322.0,12264.0,68058.0,0.0012,-1392515.0,80.0,FALL
2019-11-21,5950.0,6130.0,6130.0,5850.0,426129.0,35321.0,-19778.0,-15543.0,0.0004,-1408058.0,170.0,FALL
2019-11-22,6030.0,5860.0,6040.0,5860.0,274929.0,-59042.0,765.0,58277.0,0.0005,-1349781.0,80.0,RISE
2019-11-25,5950.0,6150.0,6150.0,5930.0,239410.0,3771.0,-4016.0,245.0,0.0003,-1349536.0,80.0,FALL
2019-11-26,6050.0,5960.0,6160.0,5870.0,345756.0,-88239.0,10456.0,77783.0,0.0007,-1271753.0,100.0,RISE
2019-11-27,5960.0,6090.0,6090.0,5920.0,221220.0,36368.0,-4601.0,-31767.0,0.0005,-1303520.0,90.0,FALL
2019-11-28,5910.0,5940.0,5950.0,5800.0,274045.0,-41913.0,2720.0,39193.0,0.0006,-1264327.0,50.0,FALL
2019-11-29,5820.0,5890.0,5970.0,5820.0,101297.0,9222.0,21.0,-9243.0,0.0006,-1273570.0,90.0,FALL
2019-12-02,5820.0,5820.0,5940.0,5780.0,97472.0,-25095.0,5081.0,20014.0,0.0008,-1253556.0,0.0,EVEN
2019-12-03,5700.0,5770.0,5820.0,5640.0,220464.0,24839.0,-9349.0,-15490.0,0.0005,-1269046.0,120.0,FALL
2019-12-04,5590.0,5700.0,5700.0,5580.0,94653.0,2604.0,-618.0,-1986.0,0.0004,-1271032.0,110.0,FALL
2019-12-05,5600.0,5610.0,5700.0,5400.0,165793.0,11386.0,-2837.0,-8549.0,0.0003,-1279581.0,10.0,RISE
2019-12-06,5470.0,5540.0,5580.0,5450.0,338115.0,126655.0,-3356.0,-123299.0,0.0002,-1402880.0,130.0,FALL
2019-12-09,5280.0,5470.0,5510.0,5240.0,289761.0,126812.0,305.0,-127117.0,0.0002,-1529997.0,190.0,FALL
2019-12-10,5390.0,5280.0,5400.0,5200.0,237574.0,24521.0,2576.0,-27097.0,0.0005,-1557094.0,110.0,RISE
2019-12-11,5500.0,5440.0,5500.0,5340.0,111633.0,-5802.0,653.0,5149.0,0.0005,-1551945.0,110.0,RISE
2019-12-12,5870.0,5480.0,6350.0,5480.0,1138941.0,-22121.0,1361.0,20760.0,0.0006,-1531185.0,370.0,RISE
2019-12-13,5700.0,5800.0,5870.0,5650.0,484299.0,-38989.0,9543.0,29446.0,0.001,-1501739.0,170.0,FALL
2019-12-16,5900.0,5800.0,6200.0,5800.0,907271.0,-64846.0,20526.0,44320.0,0.0017,-1457419.0,200.0,RISE
2019-12-17,5880.0,5920.0,6010.0,5860.0,276950.0,-9822.0,-17083.0,26905.0,0.0011,-1430514.0,20.0,FALL
2019-12-18,5800.0,5930.0,5930.0,5750.0,166302.0,-30590.0,-12736.0,43326.0,0.0006,-1387188.0,80.0,FALL
2019-12-19,5970.0,5800.0,5970.0,5760.0,142562.0,-32128.0,25.0,32103.0,0.0006,-1355085.0,170.0,RISE
2019-12-20,5930.0,5940.0,6020.0,5910.0,152100.0,-25177.0,-1353.0,26530.0,0.0006,-1328555.0,40.0,FALL
2019-12-23,5850.0,5960.0,5960.0,5810.0,79121.0,11670.0,-1303.0,-10367.0,0.0005,-1338922.0,80.0,FALL
2019-12-24,5820.0,5820.0,5900.0,5790.0,77031.0,-4840.0,-1821.0,6661.0,0.0004,-1332261.0,30.0,FALL
2019-12-26,5940.0,5820.0,5990.0,5790.0,112537.0,-44965.0,3867.0,41098.0,0.0006,-1291163.0,120.0,RISE
2019-12-27,5870.0,5860.0,5980.0,5840.0,94633.0,-9173.0,-965.0,10138.0,0.0006,-1281025.0,70.0,FALL
2019-12-30,5710.0,5920.0,5930.0,5710.0,168016.0,-12766.0,1534.0,11232.0,0.0006,-1269793.0,160.0,FALL
2020-01-02,5900.0,5800.0,5920.0,5700.0,204266.0,-77854.0,11749.0,66105.0,0.001,-1203688.0,190.0,RISE
2020-01-03,5950.0,5910.0,5970.0,5900.0,165870.0,-10530.0,-10321.0,20851.0,0.0007,-1182837.0,50.0,RISE
2020-01-06,5990.0,5950.0,6130.0,5930.0,273280.0,10073.0,10554.0,-20627.0,0.0011,-1203464.0,40.0,RISE
2020-01-07,6030.0,6030.0,6040.0,5970.0,183206.0,-74369.0,-2656.0,77025.0,0.001,-1126439.0,40.0,RISE
2020-01-08,5910.0,5980.0,6030.0,5750.0,267008.0,-39866.0,8875.0,30991.0,0.0013,-1095448.0,120.0,FALL
2020-01-09,6000.0,6040.0,6070.0,5900.0,222432.0,-6680.0,-8094.0,14774.0,0.001,-1080674.0,90.0,RISE
2020-01-10,6050.0,6000.0,6070.0,5920.0,129342.0,-15127.0,-449.0,15576.0,0.001,-1065098.0,50.0,RISE
2020-01-13,6060.0,6040.0,6130.0,5980.0,139911.0,-12889.0,2738.0,10151.0,0.0012,-1054947.0,10.0,RISE
2020-01-14,6090.0,6020.0,6110.0,5990.0,179948.0,-30178.0,8974.0,21204.0,0.0016,-1033743.0,30.0,RISE
2020-01-15,6530.0,6090.0,6600.0,6060.0,1024681.0,-155210.0,42577.0,112633.0,0.0032,-921110.0,440.0,RISE
2020-01-16,6550.0,6640.0,6830.0,6470.0,749600.0,-28760.0,-15027.0,43787.0,0.0027,-877323.0,20.0,RISE
2020-01-17,6420.0,6550.0,6620.0,6330.0,204630.0,-19803.0,22366.0,-2563.0,0.0035,-879886.0,130.0,FALL
2020-01-20,6310.0,6430.0,6530.0,6300.0,224453.0,20104.0,-7915.0,-12189.0,0.0032,-892075.0,110.0,FALL
2020-01-21,6210.0,6250.0,6350.0,6100.0,173154.0,12760.0,4890.0,-17650.0,0.0034,-909725.0,100.0,FALL
2020-01-22,6130.0,6120.0,6280.0,6110.0,105769.0,-7592.0,8115.0,-523.0,0.0037,-910248.0,80.0,FALL
2020-01-23,6120.0,6130.0,6140.0,5970.0,210849.0,4991.0,-6689.0,1698.0,0.0034,-908550.0,10.0,FALL
2020-01-28,5820.0,5860.0,5970.0,5790.0,275113.0,1501.0,2991.0,-4492.0,0.0036,-913042.0,300.0,FALL
2020-01-29,5860.0,5850.0,5950.0,5790.0,111821.0,-12728.0,1207.0,11521.0,0.0036,-901521.0,40.0,RISE
2020-01-30,5710.0,5810.0,5890.0,5680.0,183347.0,-10392.0,15560.0,-5168.0,0.0042,-906689.0,150.0,FALL
2020-01-31,5680.0,5640.0,5800.0,5640.0,96012.0,-22806.0,18968.0,3838.0,0.0049,-902851.0,30.0,FALL
2020-02-03,5900.0,5600.0,5900.0,5550.0,112105.0,-26368.0,20368.0,6000.0,0.0056,-896851.0,220.0,RISE
2020-02-04,6020.0,5870.0,6140.0,5820.0,176061.0,-53198.0,49668.0,3530.0,0.0075,-893321.0,120.0,RISE
2020-02-05,6080.0,6110.0,6170.0,5940.0,160663.0,-29831.0,9624.0,20207.0,0.008,-873114.0,60.0,RISE
2020-02-06,6050.0,6050.0,6080.0,5960.0,223594.0,83938.0,17722.0,-101660.0,0.0086,-974774.0,30.0,FALL
2020-02-07,6000.0,6030.0,6040.0,5940.0,171438.0,-6439.0,31474.0,-25035.0,0.0098,-999809.0,50.0,FALL
2020-02-10,5980.0,5950.0,5990.0,5900.0,77962.0,-5264.0,3019.0,2245.0,0.0099,-997564.0,20.0,FALL
2020-02-11,5900.0,5980.0,5990.0,5860.0,245498.0,64418.0,18147.0,-82565.0,0.0106,-1080129.0,80.0,FALL
2020-02-12,6160.0,5950.0,6210.0,5860.0,374299.0,-129152.0,68517.0,60635.0,0.0132,-1019494.0,260.0,RISE
2020-02-13,6050.0,6210.0,6270.0,5980.0,120490.0,12344.0,-11994.0,-350.0,0.0127,-1019844.0,110.0,FALL
