날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-09,,,,,,0.0,0.0,0.0,0.0,-10.0,1750.0,UPPER_LIMIT
2014-04-10,15650.0,15000.0,15650.0,15000.0,156001.0,-320.0,320.0,0.0,0.0,-10.0,2000.0,UPPER_LIMIT
2014-04-11,17950.0,17350.0,17950.0,16650.0,1239762.0,320.0,-320.0,0.0,0.0,-10.0,2300.0,UPPER_LIMIT
2014-04-14,17750.0,16900.0,19000.0,16400.0,2239433.0,-5981.0,5981.0,0.0,0.001,-10.0,200.0,FALL
2014-04-15,20400.0,19300.0,20400.0,19300.0,559541.0,199.0,-199.0,0.0,0.001,-10.0,2650.0,UPPER_LIMIT
2014-04-16,23450.0,22700.0,23450.0,21550.0,1052493.0,0.0,0.0,0.0,0.001,-10.0,3050.0,UPPER_LIMIT
2014-04-17,20700.0,24500.0,25050.0,20500.0,2436720.0,-100.0,100.0,0.0,0.001,-10.0,2750.0,FALL
2014-04-18,18700.0,19800.0,20300.0,18300.0,1085100.0,-100.0,100.0,0.0,0.001,-10.0,2000.0,FALL
2014-04-21,17650.0,19250.0,21050.0,17650.0,1787548.0,10.0,-10.0,0.0,0.001,-10.0,1050.0,FALL
2014-04-22,18850.0,17750.0,19200.0,16800.0,1434762.0,0.0,0.0,0.0,0.001,-10.0,1200.0,RISE
2014-04-23,17250.0,18350.0,18750.0,17250.0,943961.0,190.0,-190.0,0.0,0.001,-10.0,1600.0,FALL
2014-04-24,16050.0,16950.0,17300.0,15000.0,741467.0,-364.0,364.0,0.0,0.001,-10.0,1200.0,FALL
2014-04-25,15400.0,16300.0,16500.0,14900.0,478309.0,-318.0,18.0,300.0,0.001,290.0,650.0,FALL
2014-04-28,15500.0,15300.0,16750.0,15050.0,996008.0,-118.0,-382.0,500.0,0.001,790.0,100.0,RISE
2014-04-29,14750.0,15900.0,15950.0,14250.0,499898.0,196.0,204.0,-400.0,0.001,390.0,750.0,FALL
2014-04-30,15100.0,14750.0,16100.0,14600.0,735672.0,6386.0,-5986.0,-400.0,0.0,-10.0,350.0,RISE
2014-05-02,15900.0,15000.0,15900.0,14650.0,316060.0,-2196.0,2196.0,0.0,0.0,-10.0,800.0,RISE
2014-05-07,16650.0,16050.0,17950.0,15950.0,1544932.0,2196.0,-2196.0,0.0,0.0,-10.0,750.0,RISE
2014-05-08,15300.0,16100.0,16450.0,15050.0,503485.0,-3887.0,3887.0,0.0,0.001,-10.0,1350.0,FALL
2014-05-09,16100.0,15700.0,16950.0,15650.0,704588.0,3457.0,-3457.0,0.0,0.0,-10.0,800.0,RISE
2014-05-12,15800.0,16000.0,16350.0,15600.0,235624.0,-1967.0,1967.0,0.0,0.0,-10.0,300.0,FALL
2014-05-13,18150.0,15550.0,18150.0,15450.0,868129.0,2165.0,-2165.0,0.0,0.0,-10.0,2350.0,UPPER_LIMIT
2014-05-14,18700.0,18350.0,19950.0,17900.0,1462480.0,-3498.0,3349.0,149.0,0.001,139.0,550.0,RISE
2014-05-15,18900.0,18800.0,19400.0,18150.0,628853.0,1353.0,-1353.0,0.0,0.0,139.0,200.0,RISE
2014-05-16,17250.0,18600.0,18700.0,17250.0,399149.0,-9.0,9.0,0.0,0.0,139.0,1650.0,FALL
2014-05-19,15600.0,17250.0,17350.0,15350.0,499782.0,-3376.0,3376.0,0.0,0.001,139.0,1650.0,FALL
2014-05-20,15700.0,15850.0,16250.0,14850.0,400024.0,4518.0,-4518.0,0.0,0.0,139.0,100.0,RISE
2014-05-21,15650.0,15550.0,16800.0,15450.0,389403.0,-1859.0,1859.0,0.0,0.001,139.0,50.0,FALL
2014-05-22,15750.0,15600.0,16150.0,15450.0,222448.0,180.0,-180.0,0.0,0.001,139.0,100.0,RISE
2014-05-23,15750.0,16000.0,16250.0,15600.0,291686.0,2774.0,-2774.0,0.0,0.0,139.0,0.0,EVEN
2014-05-26,16000.0,16100.0,16650.0,15750.0,315853.0,-1533.0,1533.0,0.0,0.0,139.0,250.0,RISE
2014-05-27,15100.0,15900.0,16150.0,15000.0,238588.0,-783.0,783.0,0.0,0.0,139.0,900.0,FALL
2014-05-28,15550.0,15100.0,16400.0,15000.0,484202.0,-3474.0,3474.0,0.0,0.001,139.0,450.0,RISE
