날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-22,7430.0,7610.0,7660.0,7310.0,64208.0,9331,-9308,-23,0.0196,22500,170.0,FALL
2020-05-21,7600.0,7530.0,7980.0,7510.0,115448.0,11461,28309,-39770,0.0203,22523,110.0,RISE
2020-05-20,7490.0,7500.0,7650.0,7480.0,40205.0,-7352,11604,-4252,0.0182,62293,40.0,FALL
2020-05-19,7530.0,7370.0,7570.0,7370.0,94634.0,-8745,9256,-511,0.0173,66545,180.0,RISE
2020-05-18,7350.0,7220.0,7390.0,7120.0,54910.0,6070,-4070,-2000,0.0166,67056,160.0,RISE
2020-05-15,7190.0,7370.0,7370.0,7070.0,56825.0,22043,-3032,-19011,0.0169,69056,60.0,FALL
2020-05-14,7250.0,7550.0,7580.0,7160.0,59515.0,8390,-3529,-4861,0.0171,88067,300.0,FALL
2020-05-13,7550.0,7510.0,7600.0,7450.0,37542.0,22753,-4611,-18142,0.0174,92928,150.0,FALL
2020-05-12,7700.0,7750.0,7960.0,7560.0,36313.0,18248,-7772,-10476,0.0177,111070,90.0,FALL
2020-05-11,7790.0,7950.0,7990.0,7720.0,71837.0,26336,-6037,-20299,0.0183,121546,140.0,FALL
2020-05-08,7930.0,8000.0,8100.0,7900.0,57165.0,23989,-4102,-19887,0.0188,141845,80.0,FALL
2020-05-07,8010.0,7980.0,8010.0,7860.0,32358.0,10622,-9206,-1416,0.0191,161732,30.0,RISE
2020-05-06,7980.0,7890.0,8040.0,7800.0,71237.0,-10554,15420,-4866,0.0197,163148,110.0,RISE
2020-05-04,7870.0,8000.0,8370.0,7630.0,311289.0,32980,2717,-35697,0.0186,168014,290.0,RISE
2020-04-29,7580.0,7730.0,7880.0,7550.0,134915.0,19833,-19728,-105,0.0184,203711,150.0,FALL
2020-04-28,7730.0,7340.0,7810.0,7250.0,215277.0,-3401,83482,-80081,0.0199,203816,430.0,RISE
2020-04-27,7300.0,7090.0,7340.0,7050.0,69306.0,-6902,18927,-12025,0.0136,283897,200.0,RISE
2020-04-24,7100.0,7280.0,7470.0,7000.0,67221.0,16924,-9593,-7331,0.0122,295922,180.0,FALL
2020-04-23,7280.0,7280.0,7330.0,7180.0,52206.0,6620,9060,-15680,0.0129,303253,60.0,RISE
2020-04-22,7220.0,7300.0,7300.0,7090.0,56189.0,26357,-6499,-19858,0.0123,318933,220.0,FALL
2020-04-21,7440.0,7600.0,7600.0,7250.0,68743.0,9572,-9548,-24,0.0128,338791,160.0,FALL
2020-04-20,7600.0,7360.0,8350.0,7360.0,174057.0,45451,-9553,-35898,0.0135,338815,280.0,RISE
2020-04-17,7320.0,7150.0,7560.0,7150.0,61397.0,-1985,21251,-19266,0.0142,374713,210.0,RISE
2020-04-16,7110.0,7180.0,7180.0,6980.0,68469.0,14339,9727,-24066,0.0126,393979,70.0,FALL
2020-04-14,7180.0,7130.0,7340.0,7100.0,53951.0,-15212,16396,-1184,0.0119,418045,70.0,RISE
2020-04-13,7110.0,7360.0,7380.0,7090.0,42566.0,7405,-172,-7233,0.0106,419229,190.0,FALL
2020-04-10,7300.0,7370.0,7690.0,7090.0,90175.0,10514,130,-10644,0.0106,426462,30.0,FALL
2020-04-09,7330.0,7150.0,7330.0,7060.0,64466.0,20671,3270,-23941,0.0106,437106,260.0,RISE
2020-04-08,7070.0,7060.0,7330.0,6910.0,67900.0,-13721,4735,8986,0.0104,461047,10.0,RISE
2020-04-07,7060.0,7300.0,7300.0,6760.0,55100.0,4483,5401,-9884,0.01,452061,180.0,RISE
2020-04-06,6880.0,6560.0,6890.0,6450.0,47972.0,-21011,21367,-356,0.0101,461945,430.0,RISE
2020-04-03,6450.0,6530.0,6650.0,6340.0,65162.0,35019,-2310,-32709,0.0085,462301,70.0,FALL
2020-04-02,6520.0,6450.0,6700.0,6380.0,40784.0,5639,-768,-4871,0.0088,495010,20.0,RISE
2020-04-01,6500.0,6750.0,6780.0,6410.0,63279.0,-4181,-3983,8164,0.0089,499881,250.0,FALL
2020-03-31,6750.0,6130.0,6880.0,6070.0,52197.0,10934,-5587,-5347,0.0092,491717,750.0,RISE
2020-03-30,6000.0,6090.0,6090.0,5790.0,94335.0,19819,1270,-21089,0.0096,497064,170.0,FALL
2020-03-27,6170.0,6490.0,6490.0,6090.0,22582.0,-3013,61,2952,0.0095,518153,30.0,FALL
2020-03-26,6200.0,6290.0,6310.0,6070.0,64879.0,10037,4883,-14920,0.0095,515201,20.0,RISE
2020-03-25,6180.0,5720.0,6180.0,5720.0,46851.0,9764,4412,-14176,0.0091,530121,470.0,RISE
2020-03-24,5710.0,5550.0,5720.0,5220.0,21382.0,-899,1894,-995,0.0088,544297,540.0,RISE
2020-03-23,5170.0,5760.0,5760.0,5010.0,51024.0,6312,8560,-14872,0.0088,545292,770.0,FALL
2020-03-20,5940.0,5410.0,6050.0,5410.0,41933.0,-1623,4351,-2728,0.0082,560164,200.0,RISE
2020-03-19,5740.0,7180.0,7380.0,5580.0,78649.0,-9208,12320,-3112,0.0079,562892,1460.0,FALL
2020-03-18,7200.0,7650.0,7830.0,7200.0,37583.0,2930,-1353,-1577,0.0069,566004,600.0,FALL
2020-03-17,7800.0,7340.0,8170.0,7340.0,37519.0,7324,-524,-6800,0.007,567581,500.0,FALL
2020-03-16,8300.0,8400.0,8690.0,8300.0,43583.0,732,-173,-559,0.0071,574381,40.0,FALL
2020-03-13,8340.0,8050.0,8900.0,8050.0,54408.0,8494,6049,-14543,0.0072,574940,850.0,FALL
2020-03-12,9190.0,9060.0,9250.0,8610.0,48232.0,3976,-6189,2213,0.0071,589483,60.0,FALL
2020-03-11,9250.0,9380.0,9790.0,9200.0,46850.0,1001,7009,-8010,0.0075,587270,130.0,FALL
2020-03-10,9380.0,9480.0,9630.0,9210.0,33290.0,12274,-4025,-8249,0.0067,595280,190.0,FALL
2020-03-09,9570.0,9960.0,9960.0,9550.0,26071.0,14494,-3664,-10830,0.007,603529,390.0,FALL
2020-03-06,9960.0,10000.0,10100.0,9950.0,22494.0,9354,-2588,-6766,0.0073,614359,140.0,FALL
2020-03-05,10100.0,10200.0,10200.0,10050.0,11303.0,-2069,1122,947,0.0075,621125,0.0,EVEN
2020-03-04,10100.0,10050.0,10150.0,9900.0,34956.0,13116,1050,-14166,0.0074,620178,150.0,FALL
2020-03-03,10250.0,9940.0,10400.0,9900.0,37413.0,14191,326,-14517,0.0073,634344,400.0,RISE
2020-03-02,9850.0,9910.0,10000.0,9820.0,346224.0,32341,-2680,-29661,0.0073,648861,150.0,FALL
2020-02-28,10000.0,10250.0,10350.0,9900.0,47158.0,12747,-1033,-11714,0.0075,678522,500.0,FALL
2020-02-27,10500.0,10600.0,11000.0,10300.0,18515.0,6337,822,-7159,0.0076,690236,100.0,FALL
2020-02-26,10600.0,10600.0,10900.0,10550.0,16927.0,-2939,1329,1610,0.0076,697395,300.0,FALL
2020-02-25,10900.0,10500.0,10900.0,10450.0,16327.0,4667,342,-5009,0.007,695785,100.0,RISE
2020-02-24,10800.0,10800.0,11000.0,10550.0,15740.0,2215,-66,-2149,0.007,700794,450.0,FALL
2020-02-21,11250.0,11400.0,11400.0,11100.0,5223.0,762,-89,-673,0.007,702943,100.0,FALL
2020-02-20,11350.0,11500.0,11500.0,11200.0,5658.0,553,-594,41,0.007,703616,0.0,EVEN
2020-02-19,11350.0,11700.0,11700.0,11300.0,9466.0,-1087,-540,1627,0.0071,703575,350.0,FALL
2020-02-18,11700.0,11900.0,11900.0,11600.0,5952.0,4040,-1870,-2170,0.0071,701948,250.0,FALL
2020-02-17,11950.0,11950.0,12150.0,11500.0,42768.0,7813,-2222,-5591,0.0073,704118,0.0,EVEN
2020-02-14,11950.0,11950.0,12200.0,11600.0,12830.0,3970,-2178,-1792,0.0075,709709,50.0,RISE
2020-02-13,11900.0,11550.0,12300.0,11550.0,29727.0,-980,5811,-4831,0.0077,711501,350.0,RISE
2020-02-12,11550.0,11100.0,11650.0,10900.0,24947.0,865,-636,-229,0.0073,716332,500.0,RISE
2020-02-11,11050.0,11050.0,11150.0,10850.0,13688.0,5261,-125,-5136,0.0073,716561,0.0,EVEN
2020-02-10,11050.0,10950.0,11150.0,10850.0,13631.0,5245,654,-5899,0.0073,721697,200.0,RISE
2020-02-07,10850.0,10950.0,11000.0,10850.0,11520.0,5361,-266,-5095,0.0073,727596,150.0,FALL
2020-02-06,11000.0,10850.0,11000.0,10750.0,37971.0,27783,2171,-29954,0.0073,732691,150.0,RISE
2020-02-05,10850.0,10850.0,10950.0,10700.0,22874.0,13638,-819,-12819,0.0071,762645,150.0,FALL
2020-02-04,11000.0,10750.0,11000.0,10600.0,16879.0,9927,21,-9948,0.0072,775464,300.0,RISE
2020-02-03,10700.0,10650.0,10700.0,10100.0,36764.0,16305,1688,-17993,0.0072,785412,50.0,RISE
2020-01-31,10650.0,11100.0,11100.0,10600.0,37100.0,19595,265,-19860,0.0071,803405,300.0,FALL
2020-01-30,10950.0,11700.0,11700.0,10900.0,31033.0,7456,-21,-7435,0.007,823265,650.0,FALL
2020-01-29,11600.0,11700.0,11950.0,11500.0,38436.0,10013,-1799,-8214,0.007,830700,100.0,FALL
2020-01-28,11700.0,12050.0,12250.0,11450.0,30431.0,10337,-2045,-8292,0.0072,838914,500.0,FALL
2020-01-23,12200.0,12250.0,12400.0,12100.0,5554.0,2949,-458,-2491,0.0073,847206,50.0,FALL
2020-01-22,12250.0,12350.0,12350.0,12200.0,2786.0,496,-697,201,0.0074,849697,50.0,FALL
2020-01-21,12300.0,12300.0,12500.0,12150.0,9658.0,79,-630,551,0.0071,849496,50.0,FALL
2020-01-20,12350.0,12450.0,12450.0,12100.0,13153.0,1099,264,-1363,0.0075,848945,100.0,FALL
2020-01-17,12450.0,12550.0,12600.0,12400.0,11113.0,5566,400,-5966,0.0075,850308,100.0,FALL
2020-01-16,12550.0,12450.0,12550.0,12300.0,4390.0,2209,-231,-1978,0.0074,856274,150.0,RISE
2020-01-15,12400.0,12600.0,12600.0,12350.0,16171.0,6106,-365,-5741,0.0074,858252,200.0,FALL
2020-01-14,12600.0,12700.0,12800.0,12450.0,8983.0,2072,-585,-1487,0.0075,863993,100.0,RISE
2020-01-13,12500.0,12500.0,12500.0,12350.0,5417.0,901,-677,-224,0.0075,865480,50.0,FALL
2020-01-10,12550.0,12400.0,12850.0,12400.0,6806.0,3202,-729,-2473,0.0075,865704,0.0,EVEN
2020-01-09,12550.0,12700.0,12700.0,12400.0,5023.0,1367,-634,-733,0.0076,868177,200.0,RISE
2020-01-08,12350.0,12950.0,12950.0,11700.0,23899.0,-4209,-472,4681,0.0076,868910,600.0,FALL
2020-01-07,12950.0,12700.0,12950.0,12700.0,8424.0,2395,-2475,80,0.0077,864229,0.0,EVEN
2020-01-06,12950.0,12950.0,13050.0,12100.0,16563.0,-2998,-1811,4809,0.0078,864149,100.0,FALL
2020-01-03,13050.0,12950.0,13100.0,12850.0,18836.0,-4098,-1471,5569,0.008,859340,300.0,RISE
2020-01-02,12750.0,12550.0,12800.0,12400.0,14699.0,-6506,626,5880,0.008,853771,200.0,RISE
2019-12-30,12550.0,12450.0,12600.0,12400.0,9155.0,554,-505,-49,0.0079,847891,100.0,RISE
2019-12-27,12450.0,12400.0,12500.0,12250.0,6294.0,-3284,-370,3654,0.008,847940,50.0,FALL
2019-12-26,12500.0,12300.0,12750.0,12300.0,15186.0,-4543,-369,4912,0.008,844286,100.0,RISE
2019-12-24,12400.0,12550.0,12650.0,12350.0,28235.0,12824,3285,-16109,0.008,839374,0.0,EVEN
2019-12-23,12400.0,12400.0,12550.0,12300.0,10239.0,2276,204,-2480,0.0078,855483,0.0,EVEN
2019-12-20,12400.0,12300.0,12450.0,12250.0,20567.0,8616,2552,-11168,0.0074,857963,0.0,EVEN
2019-12-19,12400.0,12450.0,12450.0,12300.0,5927.0,527,-523,-4,0.0076,869131,50.0,FALL
2019-12-18,12450.0,12250.0,12450.0,12250.0,5302.0,571,-561,-10,0.0076,869135,100.0,RISE
2019-12-17,12350.0,12500.0,12500.0,12250.0,13766.0,6087,-3125,-2962,0.0076,869145,150.0,FALL
2019-12-16,12500.0,12600.0,12650.0,12350.0,16440.0,2582,-1761,-821,0.0079,872107,100.0,FALL
2019-12-13,12600.0,12550.0,12600.0,12400.0,23383.0,-2824,-5316,8140,0.0079,872928,50.0,RISE
2019-12-12,12550.0,11900.0,12550.0,11900.0,60429.0,-3278,-10341,13619,0.0083,864788,700.0,RISE
