,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,19200.0,19050.0,19250.0,19000.0,95410.0,3276,-4493,1217,0.0308,-1628504,150.0,RISE
2020-06-01,19050.0,19000.0,19100.0,18700.0,107255.0,-3016,-2708,5724,0.031,-1629721,50.0,RISE
2020-05-29,19000.0,18850.0,19250.0,18800.0,146574.0,5566,-5903,337,0.0311,-1635445,200.0,FALL
2020-05-28,19200.0,19950.0,19950.0,19000.0,310282.0,64313,-42455,-21858,0.0313,-1635782,400.0,FALL
2020-05-27,19600.0,19750.0,19800.0,19200.0,597226.0,-156366,47898,108468,0.0329,-1613924,700.0,RISE
2020-05-26,18900.0,18500.0,18950.0,18250.0,312439.0,4345,7118,-11463,0.0311,-1722392,200.0,RISE
2020-05-25,18700.0,19000.0,19050.0,18600.0,253831.0,71216,-12013,-59203,0.0308,-1710929,700.0,FALL
2020-05-22,19400.0,18400.0,19500.0,18400.0,507965.0,-48939,17304,31635,0.0313,-1593556,200.0,FALL
2020-05-21,19600.0,19800.0,19850.0,19300.0,269806.0,-6145,-7805,13950,0.0306,-1625191,400.0,RISE
2020-05-20,19200.0,19000.0,19650.0,18500.0,293292.0,-6801,2491,4310,0.0309,-1639141,150.0,FALL
2020-05-19,19350.0,21150.0,21150.0,19100.0,1189885.0,-189465,-15212,204677,0.0308,-1643451,1650.0,RISE
2020-05-18,17700.0,16550.0,17750.0,16500.0,290444.0,-12641,4340,8301,0.0314,-1848128,1200.0,RISE
2020-05-15,16500.0,17150.0,17200.0,16400.0,267255.0,126447,14447,-140894,0.0312,-1856429,600.0,FALL
2020-05-14,17100.0,17400.0,17600.0,17000.0,161183.0,51280,-1023,-50257,0.0307,-1715535,600.0,FALL
2020-05-13,17700.0,17400.0,17950.0,17000.0,186320.0,32810,2760,-35570,0.0307,-1665278,0.0,EVEN
2020-05-12,17700.0,18500.0,18600.0,17300.0,450459.0,202266,-519,-201747,0.0306,-1629708,1050.0,FALL
2020-05-11,18750.0,18800.0,18850.0,18600.0,191533.0,3441,-9250,5809,0.0306,-1427961,500.0,FALL
2020-05-08,19250.0,19200.0,19350.0,19050.0,117891.0,2616,2630,-5246,0.031,-1433770,50.0,RISE
2020-05-07,19200.0,19200.0,19350.0,18600.0,159721.0,14305,8821,-23126,0.0309,-1428524,50.0,FALL
2020-05-06,19250.0,19850.0,20000.0,19150.0,234539.0,93735,-5494,-88241,0.0306,-1405398,600.0,FALL
2020-05-04,19850.0,20350.0,20350.0,19650.0,219334.0,92328,-37617,-54711,0.0308,-1317157,600.0,FALL
2020-04-29,20450.0,20450.0,20500.0,20100.0,189580.0,-32698,15844,16854,0.0322,-1262446,250.0,RISE
2020-04-28,20200.0,20300.0,20600.0,20000.0,257995.0,-15930,15423,507,0.0316,-1279300,50.0,RISE
2020-04-27,20150.0,20050.0,20300.0,19900.0,186659.0,4386,365,-4751,0.031,-1279807,100.0,RISE
2020-04-24,20050.0,20800.0,20850.0,19900.0,190423.0,36518,-37948,1430,0.031,-1275056,350.0,FALL
2020-04-23,20400.0,20750.0,20850.0,20200.0,234567.0,31775,-32962,1187,0.0324,-1276486,300.0,RISE
2020-04-22,20100.0,20900.0,21750.0,20000.0,416378.0,44975,-36921,-8054,0.0337,-1277673,300.0,RISE
2020-04-21,19800.0,20150.0,20400.0,18500.0,425116.0,53929,-8211,-45718,0.0351,-1269619,350.0,FALL
2020-04-20,20150.0,19900.0,21800.0,19850.0,782027.0,67814,1058,-68872,0.0354,-1223901,550.0,RISE
2020-04-17,19600.0,19850.0,19900.0,19000.0,357633.0,-23705,17344,6361,0.0354,-1155029,750.0,RISE
2020-04-16,18850.0,18700.0,19100.0,18100.0,192256.0,-22960,-8107,31067,0.0347,-1161390,200.0,RISE
2020-04-14,18650.0,18350.0,18750.0,18250.0,186082.0,-2845,9884,-7039,0.035,-1192457,150.0,RISE
2020-04-13,18500.0,19350.0,19350.0,18400.0,378253.0,93240,-58329,-34911,0.0346,-1185418,1150.0,FALL
2020-04-10,19650.0,19250.0,19800.0,18600.0,385815.0,-7077,-10118,17195,0.0368,-1150507,750.0,RISE
2020-04-09,18900.0,18600.0,19200.0,18200.0,312946.0,-19354,1362,17992,0.0372,-1167702,750.0,RISE
2020-04-08,18150.0,17600.0,18300.0,16900.0,276922.0,-22091,8614,13477,0.0372,-1185694,550.0,RISE
2020-04-07,17600.0,17450.0,17950.0,17100.0,385695.0,-14783,13484,1299,0.0368,-1199171,850.0,RISE
2020-04-06,16750.0,16200.0,16900.0,15750.0,393840.0,3011,7621,-10632,0.0363,-1200470,300.0,RISE
2020-04-03,16450.0,16400.0,16550.0,16000.0,149295.0,-689,-6544,7233,0.036000000000000004,-1189838,50.0,RISE
2020-04-02,16400.0,16500.0,17000.0,15750.0,244492.0,39864,-2956,-36908,0.0363,-1197071,350.0,FALL
2020-04-01,16750.0,17300.0,19050.0,16450.0,802595.0,94068,-77149,-16919,0.0364,-1160163,100.0,FALL
2020-03-31,16850.0,17300.0,17700.0,16700.0,331563.0,63759,-58487,-5272,0.0393,-1143244,150.0,FALL
2020-03-30,17000.0,16550.0,17100.0,15250.0,258915.0,-5081,7924,-2843,0.0415,-1137972,100.0,RISE
2020-03-27,16900.0,18100.0,18700.0,15850.0,503636.0,-33392,-2420,35812,0.0412,-1135129,150.0,RISE
2020-03-26,16750.0,15500.0,18400.0,15300.0,1158571.0,-27627,-24730,52357,0.0413,-1170941,1950.0,RISE
2020-03-25,14800.0,13250.0,15850.0,13100.0,1080306.0,14816,1544,-16360,0.0423,-1223298,2500.0,RISE
2020-03-24,12300.0,12400.0,12550.0,12000.0,296440.0,18402,7017,-25419,0.0422,-1206938,300.0,RISE
2020-03-23,12000.0,11450.0,13200.0,10950.0,503386.0,22811,-22916,105,0.042,-1181519,650.0,FALL
2020-03-20,12650.0,12000.0,14200.0,11050.0,1277357.0,314094,-241158,-72936,0.0428,-1181624,150.0,RISE
2020-03-19,12500.0,16900.0,17250.0,12150.0,452386.0,130282,-22284,-107998,0.052000000000000005,-1108688,4750.0,FALL
2020-03-18,17250.0,19050.0,19450.0,17000.0,185385.0,78894,-20671,-58223,0.0528,-1000690,1700.0,FALL
2020-03-17,18950.0,18000.0,19400.0,17800.0,103934.0,6926,-5128,-1798,0.0536,-942467,150.0,RISE
2020-03-16,18800.0,19300.0,20000.0,18550.0,179148.0,50791,-6415,-44376,0.0538,-940669,250.0,RISE
2020-03-13,18550.0,16000.0,19200.0,16000.0,234232.0,-19057,13064,5993,0.054000000000000006,-896293,550.0,FALL
2020-03-12,19100.0,20000.0,20050.0,19000.0,177247.0,37083,-11333,-25750,0.0535,-902286,1000.0,FALL
2020-03-11,20100.0,21150.0,21350.0,20100.0,107398.0,24278,-7545,-16733,0.054000000000000006,-876536,850.0,FALL
2020-03-10,20950.0,20500.0,21300.0,20450.0,130271.0,29008,-6596,-22412,0.0543,-859803,400.0,FALL
2020-03-09,21350.0,20950.0,21650.0,20250.0,145848.0,-1677,323,1354,0.0545,-837391,300.0,FALL
2020-03-06,21650.0,21750.0,22100.0,21250.0,136900.0,29874,-5234,-24640,0.0545,-838745,550.0,FALL
