,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,34650.0,33400.0,35600.0,32750.0,187773.0,10621,-2615,-8006,0.0024,-856934,1950.0,RISE
2020-06-01,32700.0,32400.0,33350.0,31700.0,108162.0,-179,1415,-1236,0.0027,-848928,350.0,RISE
2020-05-29,32350.0,32100.0,32700.0,31150.0,69714.0,1457,-1452,-5,0.0025,-847692,400.0,RISE
2020-05-28,31950.0,32700.0,33250.0,30550.0,97462.0,4961,-3837,-1124,0.0027,-847687,400.0,FALL
2020-05-27,32350.0,32000.0,33400.0,31400.0,167398.0,-8344,8338,6,0.0031,-846563,350.0,RISE
2020-05-26,32000.0,29850.0,32000.0,29400.0,136367.0,-6842,7049,-207,0.0022,-846569,2050.0,RISE
2020-05-25,29950.0,30150.0,30500.0,29600.0,62809.0,1293,-1446,153,0.0014,-846362,50.0,FALL
2020-05-22,30000.0,31800.0,31800.0,29350.0,235361.0,12094,-6738,-5356,0.0016,-846515,1850.0,FALL
2020-05-21,31850.0,29500.0,32200.0,29300.0,377115.0,4910,6785,-11695,0.0024,-841159,2450.0,RISE
2020-05-20,29400.0,29000.0,29650.0,28650.0,62659.0,-1335,-36,1371,0.0016,-829464,250.0,RISE
2020-05-19,29150.0,28950.0,29900.0,28400.0,173599.0,3429,-2718,-711,0.0016,-830835,450.0,RISE
2020-05-18,28700.0,28450.0,28850.0,27500.0,106945.0,6517,1919,-8436,0.0019,-830124,500.0,RISE
2020-05-15,28200.0,27800.0,28600.0,27350.0,128947.0,23718,2660,-26378,0.0017,-821688,1000.0,RISE
2020-05-14,27200.0,27900.0,27950.0,26500.0,76190.0,-49,2413,-2364,0.0014,-795310,700.0,FALL
2020-05-13,27900.0,27400.0,28500.0,27100.0,67958.0,5632,-2609,-3023,0.0011,-792946,200.0,RISE
2020-05-12,27700.0,28500.0,28600.0,27550.0,72729.0,6919,-5664,-1255,0.0014,-789923,350.0,FALL
2020-05-11,28050.0,27950.0,29700.0,27450.0,220012.0,2499,4692,-7191,0.0021,-788668,50.0,RISE
2020-05-08,28000.0,27500.0,28650.0,27150.0,145465.0,13944,-1120,-12824,0.0015,-781477,900.0,RISE
2020-05-07,27100.0,27000.0,27950.0,26800.0,40996.0,-1161,5,1156,0.0016,-768653,300.0,RISE
2020-05-06,26800.0,26700.0,27100.0,25950.0,45508.0,600,396,-996,0.0016,-769809,100.0,RISE
2020-05-04,26700.0,27000.0,27200.0,26300.0,49369.0,1630,-290,-1340,0.0016,-768813,500.0,FALL
2020-04-29,27200.0,26200.0,27750.0,25250.0,87705.0,1096,-2,-1094,0.0017,-767473,700.0,RISE
2020-04-28,26500.0,27000.0,27300.0,26200.0,51241.0,1626,-1632,6,0.0017,-766379,550.0,FALL
2020-04-27,27050.0,27650.0,27900.0,27000.0,79685.0,4623,1173,-5796,0.0018,-766385,550.0,FALL
2020-04-24,27600.0,26950.0,28000.0,26750.0,212228.0,57202,-1038,-56164,0.0017,-760589,250.0,RISE
2020-04-23,27350.0,27100.0,27850.0,26700.0,133904.0,12732,2898,-15630,0.0018,-704425,150.0,RISE
2020-04-22,27200.0,26000.0,28550.0,25500.0,224579.0,5543,-1088,-4455,0.0015,-688795,650.0,RISE
2020-04-21,26550.0,28700.0,28950.0,24300.0,428562.0,23437,3161,-26598,0.0016,-684340,2050.0,FALL
2020-04-20,28600.0,26600.0,29800.0,25100.0,815165.0,15900,-6100,-9800,0.0013,-657742,5650.0,RISE
2020-04-17,22950.0,21800.0,25200.0,21800.0,147571.0,4197,4374,-8571,0.002,-647942,1400.0,RISE
2020-04-16,21550.0,21300.0,22200.0,21200.0,39043.0,793,-996,203,0.0015,-639371,100.0,FALL
2020-04-14,21650.0,21400.0,22800.0,21350.0,69490.0,-960,960,0,0.0016,-639574,300.0,RISE
2020-04-13,21350.0,20950.0,22300.0,20450.0,97933.0,-1047,255,792,0.0017,-639574,600.0,RISE
2020-04-10,20750.0,20600.0,21000.0,20150.0,49835.0,1557,-1563,6,0.0017,-640366,300.0,RISE
2020-04-09,20450.0,20900.0,21450.0,20100.0,68698.0,-1913,1917,-4,0.0019,-640372,250.0,FALL
2020-04-08,20700.0,21050.0,21450.0,20400.0,38286.0,44,964,-1008,0.0017,-640368,300.0,FALL
2020-04-07,21000.0,22000.0,22000.0,20200.0,94419.0,4040,-4044,4,0.0015,-639360,0.0,EVEN
2020-04-06,21000.0,19000.0,21500.0,18950.0,168499.0,1756,1747,-3503,0.002,-639364,1900.0,RISE
2020-04-03,19100.0,17500.0,22000.0,17400.0,421294.0,9498,-6694,-2804,0.0018,-635861,1400.0,RISE
2020-04-02,17700.0,17250.0,17750.0,15700.0,34556.0,-4013,2662,1351,0.0026,-633057,250.0,RISE
2020-04-01,17450.0,18100.0,18650.0,17450.0,59531.0,-1132,1150,-18,0.0023,-634408,1050.0,FALL
2020-03-31,18500.0,18200.0,19150.0,18100.0,81468.0,103,-2896,2793,0.0022,-634390,650.0,RISE
2020-03-30,17850.0,17600.0,18000.0,16000.0,87433.0,-4476,4471,5,0.0025,-637183,650.0,RISE
2020-03-27,17200.0,19150.0,19400.0,16600.0,158485.0,-481,480,1,0.002,-637188,850.0,FALL
2020-03-26,18050.0,17400.0,20500.0,17050.0,236268.0,2605,3795,-6400,0.002,-637189,650.0,RISE
2020-03-25,17400.0,14600.0,17900.0,14600.0,220319.0,1465,-970,-495,0.0023,-630789,3500.0,RISE
2020-03-24,13900.0,12850.0,15400.0,12550.0,224998.0,265,-263,-2,0.0025,-630294,1400.0,RISE
2020-03-23,12500.0,10500.0,14300.0,10000.0,286298.0,5534,5066,-10600,0.0026,-630292,1350.0,RISE
2020-03-20,11150.0,8970.0,11150.0,8970.0,143079.0,1031,366,-1397,0.002,-619692,2570.0,UPPER_LIMIT
2020-03-19,8580.0,12400.0,12700.0,8400.0,146136.0,2091,-2092,1,0.0019,-618295,3420.0,FALL
2020-03-18,12000.0,14750.0,14850.0,12000.0,111336.0,-107,-2562,2669,0.0022,-618296,2600.0,FALL
2020-03-17,14600.0,14100.0,15400.0,14050.0,133198.0,7833,-7833,0,0.0024,-620965,1400.0,FALL
2020-03-16,16000.0,17850.0,17850.0,15350.0,51373.0,-887,885,2,0.0034,-620965,1100.0,FALL
2020-03-13,17100.0,18400.0,18650.0,16150.0,81566.0,-3034,-19667,22701,0.0032,-620967,1900.0,FALL
2020-03-12,19000.0,19950.0,19950.0,18300.0,43441.0,1445,-1445,0,0.0055,-643668,1000.0,FALL
2020-03-11,20000.0,20750.0,20950.0,19650.0,39381.0,7916,689,-8605,0.0057,-643668,800.0,FALL
2020-03-10,20800.0,20200.0,21200.0,20000.0,19313.0,799,1238,-2037,0.0051,-635063,50.0,RISE
2020-03-09,20750.0,21150.0,21650.0,20500.0,33183.0,6100,-1363,-4737,0.0049,-633026,900.0,FALL
2020-03-06,21650.0,22050.0,22450.0,21300.0,23750.0,765,-727,-38,0.0049,-628289,800.0,FALL
2020-03-05,22450.0,22500.0,22850.0,22000.0,21647.0,3016,-3619,603,0.005,-628251,50.0,RISE
2020-03-04,22400.0,22400.0,22550.0,21850.0,23269.0,-39,-1013,1052,0.0055,-628854,300.0,RISE
