,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,5900.0,5920.0,6240.0,5770.0,122200.0,16449,-16392,-57,0.0623,-384866,270.0,RISE
2020-06-01,5630.0,5600.0,5670.0,5500.0,19311.0,5969,-5984,15,0.0635,-384809,50.0,RISE
2020-05-29,5580.0,5640.0,5640.0,5470.0,10842.0,1837,-1774,-63,0.064,-384824,30.0,RISE
2020-05-28,5550.0,5600.0,5700.0,5510.0,26415.0,9806,-9737,-69,0.0642,-384761,40.0,FALL
2020-05-27,5590.0,5690.0,5690.0,5500.0,9119.0,4208,-3374,-834,0.0649,-384692,20.0,FALL
2020-05-26,5610.0,5530.0,5640.0,5490.0,27117.0,-2229,2262,-33,0.0652,-383858,140.0,RISE
2020-05-25,5470.0,5690.0,5690.0,5420.0,32602.0,-1271,1953,-682,0.065,-383825,170.0,FALL
2020-05-22,5640.0,5740.0,5740.0,5500.0,37524.0,-524.0,586.0,-62.0,0.0648,-387590.0,0.0,EVEN
2020-05-21,5640.0,5650.0,5720.0,5600.0,58919.0,-788.0,786.0,2.0,0.0648,-387528.0,60.0,FALL
2020-05-20,5700.0,5380.0,6990.0,5130.0,450466.0,15011.0,-14903.0,-108.0,0.0647,-387530.0,320.0,RISE
2020-05-19,5380.0,5410.0,5440.0,5270.0,7282.0,462.0,-446.0,-16.0,0.0659,-387422.0,0.0,EVEN
2020-05-18,5380.0,5450.0,5550.0,5290.0,19127.0,-700.0,-245.0,945.0,0.0659,-387406.0,120.0,FALL
2020-05-15,5500.0,5560.0,5660.0,5500.0,3026.0,234.0,-321.0,87.0,0.0659,-388351.0,70.0,FALL
2020-05-14,5570.0,5580.0,5580.0,5500.0,10366.0,-2194.0,-809.0,3003.0,0.066,-388438.0,10.0,FALL
2020-05-13,5580.0,5740.0,5740.0,5530.0,15816.0,2274.0,-2129.0,-145.0,0.066,-391441.0,160.0,FALL
2020-05-12,5740.0,5770.0,5770.0,5670.0,30671.0,-11752.0,-499.0,12251.0,0.0662,-391296.0,70.0,RISE
2020-05-11,5670.0,5670.0,5770.0,5570.0,16276.0,1801.0,-876.0,-925.0,0.0662,-403547.0,0.0,EVEN
2020-05-08,5670.0,5650.0,5750.0,5610.0,6118.0,528.0,-310.0,-218.0,0.0663,-402622.0,30.0,FALL
2020-05-07,5700.0,5820.0,5820.0,5700.0,17169.0,705.0,-726.0,21.0,0.0663,-402404.0,120.0,FALL
2020-05-06,5820.0,5950.0,5950.0,5780.0,28265.0,-16940.0,-3152.0,20092.0,0.0664,-402425.0,40.0,FALL
2020-05-04,5860.0,5880.0,5890.0,5710.0,20842.0,-5404.0,-1811.0,7215.0,0.0666,-422517.0,20.0,FALL
2020-04-29,5880.0,5740.0,5900.0,5740.0,56224.0,-34398.0,4415.0,29983.0,0.0668,-429732.0,140.0,RISE
2020-04-28,5740.0,5740.0,5930.0,5570.0,89202.0,-45007.0,15019.0,29988.0,0.0667,-459715.0,200.0,RISE
2020-04-27,5540.0,5600.0,5630.0,5500.0,19893.0,-4107.0,5507.0,-1400.0,0.0655,-489703.0,70.0,FALL
2020-04-24,5610.0,5800.0,5900.0,5450.0,54761.0,1779.0,82.0,-1861.0,0.0651,-488303.0,240.0,FALL
2020-04-23,5850.0,5900.0,5930.0,5810.0,43697.0,3870.0,-3496.0,-374.0,0.0651,-486442.0,50.0,FALL
2020-04-22,5900.0,5740.0,5900.0,5500.0,173155.0,-20813.0,886.0,19927.0,0.0654,-486068.0,400.0,RISE
2020-04-21,5500.0,5570.0,5800.0,5100.0,105340.0,-9690.0,-10349.0,20039.0,0.0653,-505995.0,40.0,RISE
2020-04-20,5460.0,5250.0,5500.0,5250.0,49685.0,-20242.0,303.0,19939.0,0.0661,-526034.0,110.0,RISE
2020-04-17,5350.0,5300.0,5350.0,5220.0,33914.0,-16620.0,-3233.0,19853.0,0.0661,-545973.0,120.0,RISE
2020-04-16,5230.0,5210.0,5270.0,5070.0,36877.0,-19459.0,-509.0,19968.0,0.0663,-565826.0,80.0,RISE
2020-04-14,5150.0,5140.0,5190.0,5070.0,25289.0,-15107.0,-4359.0,19466.0,0.0664,-585794.0,10.0,RISE
2020-04-13,5140.0,5010.0,5180.0,5010.0,44015.0,-14043.0,-5982.0,20025.0,0.0667,-605260.0,130.0,RISE
2020-04-10,5010.0,4915.0,5050.0,4860.0,35718.0,-22556.0,3087.0,19469.0,0.0672,-625285.0,95.0,RISE
2020-04-09,4915.0,4895.0,4955.0,4835.0,36479.0,-9941.0,-5252.0,15193.0,0.0669,-644754.0,30.0,RISE
2020-04-08,4885.0,4680.0,4915.0,4610.0,47081.0,-12579.0,-596.0,13175.0,0.0674,-659947.0,210.0,RISE
2020-04-07,4675.0,4555.0,4830.0,4460.0,39732.0,-9083.0,-1377.0,10460.0,0.0674,-673122.0,145.0,RISE
2020-04-06,4530.0,4575.0,4645.0,4480.0,26640.0,8199.0,-2194.0,-6005.0,0.0675,-683582.0,20.0,FALL
2020-04-03,4550.0,4300.0,4630.0,4285.0,36136.0,-11075.0,-3776.0,14851.0,0.0677,-677577.0,250.0,RISE
2020-04-02,4300.0,4150.0,4340.0,4095.0,32838.0,-16391.0,-3927.0,20318.0,0.068,-692428.0,40.0,RISE
2020-04-01,4260.0,4355.0,4540.0,4200.0,38063.0,3333.0,-9281.0,5948.0,0.0683,-712746.0,0.0,EVEN
2020-03-31,4260.0,4005.0,4290.0,4005.0,25458.0,-3423.0,2031.0,1392.0,0.069,-718694.0,265.0,RISE
2020-03-30,3995.0,3810.0,4080.0,3785.0,14574.0,3371.0,-1333.0,-2038.0,0.0689,-720086.0,125.0,RISE
2020-03-27,3870.0,3870.0,3985.0,3825.0,28744.0,6039.0,-14113.0,8074.0,0.069,-718048.0,80.0,RISE
2020-03-26,3790.0,3805.0,3850.0,3630.0,38177.0,5091.0,-10206.0,5115.0,0.0701,-726122.0,75.0,RISE
2020-03-25,3715.0,3560.0,3825.0,3550.0,51652.0,14414.0,-13440.0,-974.0,0.0709,-731237.0,335.0,RISE
2020-03-24,3380.0,3195.0,3465.0,3195.0,29678.0,-1311.0,116.0,1195.0,0.0719,-730263.0,225.0,RISE
2020-03-23,3155.0,3235.0,3235.0,3035.0,37428.0,477.0,173.0,-650.0,0.0726,-731458.0,170.0,FALL
2020-03-20,3325.0,3120.0,3580.0,3120.0,43121.0,-1177.0,-119.0,1296.0,0.0726,-730808.0,5.0,RISE
2020-03-19,3320.0,3500.0,3730.0,3170.0,56253.0,4161.0,99.0,-4260.0,0.0726,-732104.0,305.0,FALL
2020-03-18,3625.0,3520.0,3720.0,3520.0,78189.0,38456.0,-37583.0,-873.0,0.0726,-727844.0,45.0,RISE
2020-03-17,3580.0,3185.0,3670.0,3185.0,19765.0,405.0,-60.0,-345.0,0.0755,-726971.0,90.0,FALL
2020-03-16,3670.0,3755.0,4075.0,3615.0,38958.0,1419.0,-146.0,-1273.0,0.0774,-726626.0,85.0,FALL
