날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-22,6840.0,7000.0,7000.0,6600.0,12535.0,1948,-1948,0,0.0085,-9991,160.0,FALL
2020-05-21,7000.0,7130.0,7130.0,6800.0,18203.0,2436,-2436,0,0.0088,-9991,130.0,FALL
2020-05-20,7130.0,6770.0,7370.0,6770.0,20864.0,-273,273,0,0.009,-9991,230.0,RISE
2020-05-19,6900.0,7150.0,7170.0,6520.0,49501.0,902,-902,0,0.0091,-9991,310.0,FALL
2020-05-18,7210.0,8190.0,8200.0,7210.0,91797.0,4699,-4699,0,0.0092,-9991,240.0,FALL
2020-05-15,7450.0,6380.0,7660.0,6150.0,191604.0,-6673,6598,75,0.0097,-9991,1280.0,RISE
2020-05-14,6170.0,5740.0,7200.0,5690.0,364926.0,3431,-3431,0,0.009,-10066,580.0,RISE
2020-05-13,5590.0,5490.0,5760.0,5250.0,39483.0,2243,-2243,0,0.0094,-10066,100.0,RISE
2020-05-12,5490.0,5720.0,5720.0,5300.0,49690.0,6777,-2193,-4584,0.0096,-10066,90.0,RISE
2020-05-11,5400.0,5200.0,5490.0,5200.0,48847.0,590,530,-1120,0.0099,-5482,200.0,RISE
2020-05-08,5200.0,4945.0,5200.0,4900.0,27505.0,3459,206,-3665,0.0098,-4362,240.0,RISE
2020-05-07,4960.0,4975.0,5060.0,4775.0,40328.0,1709,2199,-3908,0.0098,-697,10.0,FALL
2020-05-06,4970.0,4560.0,4975.0,4490.0,30564.0,-54,1751,-1697,0.0095,3211,410.0,RISE
2020-05-04,4560.0,4440.0,4580.0,4255.0,16744.0,1583,106,-1689,0.0093,4908,120.0,RISE
2020-04-29,4440.0,4420.0,4440.0,4300.0,22063.0,715,1423,-2138,0.0093,6597,160.0,RISE
2020-04-28,4280.0,4100.0,4380.0,4100.0,35010.0,-1713,4000,-2287,0.0092,8735,155.0,RISE
2020-04-27,4125.0,4100.0,4195.0,4010.0,13142.0,1533,-213,-1320,0.0087,11022,35.0,RISE
2020-04-24,4090.0,4155.0,4155.0,4010.0,10145.0,2657,13,-2670,0.0087,12342,65.0,FALL
2020-04-23,4155.0,4250.0,4250.0,3980.0,27323.0,285,2310,-2595,0.0087,15012,80.0,FALL
2020-04-22,4235.0,4150.0,4240.0,3900.0,12659.0,3064,-1259,-1805,0.0084,17607,90.0,RISE
2020-04-21,4145.0,4180.0,4180.0,3765.0,16801.0,3529,-921,-2608,0.0086,19412,35.0,FALL
2020-04-20,4180.0,4280.0,4350.0,3985.0,46850.0,11434,1886,-13320,0.0087,22020,105.0,FALL
2020-04-17,4285.0,3990.0,4295.0,3990.0,19829.0,385,-385,0,0.0085,35340,160.0,RISE
2020-04-16,4125.0,3980.0,4165.0,3780.0,31455.0,5256,-2154,-3102,0.0085,35340,145.0,RISE
2020-04-14,3980.0,3895.0,3990.0,3790.0,26998.0,789,-789,0,0.0088,38442,85.0,RISE
2020-04-13,3895.0,3590.0,3945.0,3485.0,45369.0,5504,-2088,-3416,0.0089,38442,305.0,RISE
2020-04-10,3590.0,3570.0,3670.0,3470.0,22544.0,-364,2357,-1993,0.0091,41858,80.0,FALL
2020-04-09,3670.0,3460.0,3930.0,3360.0,68057.0,-3620,3620,0,0.0088,43851,280.0,RISE
2020-04-08,3390.0,3400.0,3400.0,3205.0,17824.0,-255,2330,-2075,0.0084,43851,5.0,RISE
2020-04-07,3385.0,3320.0,3430.0,3225.0,22170.0,4139,161,-4300,0.0081,45926,75.0,RISE
2020-04-06,3310.0,3225.0,3340.0,3150.0,11490.0,3256,922,-4178,0.0081,50226,85.0,RISE
2020-04-03,3225.0,3220.0,3405.0,3125.0,8873.0,-375,375,0,0.008,54404,5.0,RISE
2020-04-02,3220.0,3190.0,3400.0,3110.0,8009.0,-1694,1694,0,0.008,54404,30.0,RISE
2020-04-01,3190.0,3120.0,3315.0,3110.0,24521.0,3618,1181,-4799,0.0078,54404,50.0,FALL
2020-03-31,3240.0,3210.0,3295.0,3035.0,32304.0,4143,679,-4822,0.0076,59203,35.0,RISE
