날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-22,16350.0,16900.0,16900.0,16250.0,172859.0,30921,-30924,3,0.0588,-306435,450.0,FALL
2020-05-21,16800.0,16500.0,17100.0,16400.0,300386.0,-48702,48698,4,0.0619,-306438,350.0,RISE
2020-05-20,16450.0,16400.0,16550.0,16350.0,69119.0,-9023,9019,4,0.0568,-306442,100.0,RISE
2020-05-19,16350.0,16550.0,16700.0,16250.0,128226.0,18398,-18403,5,0.0559,-306446,50.0,FALL
2020-05-18,16400.0,16350.0,16600.0,16200.0,137712.0,-3581,3581,0,0.0578,-306451,0.0,EVEN
2020-05-15,16400.0,16600.0,16850.0,16300.0,352223.0,50597,-50594,-3,0.0574,-306451,250.0,RISE
2020-05-14,16150.0,16400.0,16400.0,16000.0,116979.0,-816,816,0,0.0625,-306448,350.0,FALL
2020-05-13,16500.0,16000.0,16500.0,15900.0,140285.0,-16503,16505,-2,0.0624,-306448,350.0,RISE
2020-05-12,16150.0,16150.0,16300.0,15850.0,87401.0,-19773,19775,-2,0.0608,-306446,100.0,FALL
2020-05-11,16250.0,16500.0,16550.0,16150.0,103151.0,4999,-4998,-1,0.0588,-306444,200.0,FALL
2020-05-08,16450.0,16500.0,16550.0,16350.0,99177.0,-6514,6515,-1,0.0593,-306443,100.0,RISE
2020-05-07,16350.0,16600.0,16600.0,16200.0,97513.0,16687,-16686,-1,0.0586,-306442,150.0,FALL
2020-05-06,16500.0,15950.0,16600.0,15850.0,225987.0,-44030,44028,2,0.0603,-306441,600.0,RISE
2020-05-04,15900.0,15800.0,15900.0,15600.0,66548.0,-6962,6959,3,0.0559,-306443,50.0,RISE
2020-04-29,15850.0,15800.0,15900.0,15600.0,80700.0,-7141,7137,4,0.0552,-306446,150.0,RISE
2020-04-28,15700.0,15950.0,15950.0,15550.0,98235.0,27929,-27928,-1,0.0545,-306450,200.0,FALL
2020-04-27,15900.0,15700.0,15900.0,15650.0,74535.0,-6330,6331,-1,0.0573,-306449,200.0,RISE
2020-04-24,15700.0,16000.0,16000.0,15400.0,112435.0,20027,-20025,-2,0.0566,-306448,300.0,FALL
2020-04-23,16000.0,15800.0,16100.0,15800.0,140402.0,-26022,26027,-5,0.0584,-306446,250.0,RISE
2020-04-22,15750.0,15450.0,15950.0,15150.0,129226.0,-25892,25897,-5,0.0558,-306441,150.0,RISE
2020-04-21,15600.0,16000.0,16100.0,14900.0,230497.0,15638,-15633,-5,0.0532,-306436,400.0,FALL
2020-04-20,16000.0,15900.0,16100.0,15750.0,130535.0,-35359,35747,-388,0.0547,-306431,200.0,RISE
2020-04-17,15800.0,15800.0,16000.0,15700.0,137085.0,712,-704,-8,0.0512,-306043,150.0,RISE
2020-04-16,15650.0,15500.0,15650.0,15250.0,78665.0,-6816,6816,0,0.0513,-306035,100.0,RISE
2020-04-14,15550.0,15350.0,15700.0,15350.0,103813.0,-21870,21680,190,0.0506,-306035,250.0,RISE
2020-04-13,15300.0,15600.0,15700.0,15300.0,121575.0,-15641,15639,2,0.0484,-306225,400.0,FALL
2020-04-10,15700.0,16250.0,16250.0,15150.0,229312.0,7020,-7025,5,0.0468,-306227,150.0,FALL
2020-04-09,15850.0,15700.0,16400.0,15550.0,329772.0,-29268,29253,15,0.0475,-306232,250.0,RISE
2020-04-08,15600.0,15700.0,15850.0,15350.0,158188.0,-11153,11134,19,0.0446,-306247,100.0,FALL
2020-04-07,15700.0,15950.0,16650.0,15250.0,948840.0,5289,-5291,2,0.0435,-306266,0.0,EVEN
2020-04-06,15700.0,16100.0,17150.0,15550.0,1450742.0,55737,-55738,1,0.0453,-306268,1100.0,RISE
2020-04-03,14600.0,14750.0,14800.0,14250.0,85762.0,-2077,1973,104,0.0509,-306269,200.0,RISE
2020-04-02,14400.0,14250.0,14600.0,13550.0,152745.0,-16629,16629,0,0.0507,-306373,200.0,RISE
2020-04-01,14200.0,14400.0,15000.0,14200.0,193909.0,9876,-9878,2,0.0493,-306373,200.0,FALL
2020-03-31,14400.0,14150.0,14700.0,14000.0,271151.0,-9424,11423,-1999,0.0503,-306375,550.0,RISE
2020-03-30,13850.0,13400.0,14050.0,13100.0,221257.0,13165,-13165,0,0.0488,-304376,250.0,RISE
2020-03-27,13600.0,13900.0,14000.0,12850.0,375842.0,-16647,16646,1,0.0504,-304376,400.0,RISE
2020-03-26,13200.0,13100.0,13850.0,12750.0,298188.0,6436,-6436,0,0.0491,-304377,500.0,RISE
2020-03-25,12700.0,12150.0,12850.0,12150.0,274388.0,-3278,3278,0,0.05,-304377,950.0,RISE
2020-03-24,11750.0,11400.0,11850.0,11300.0,200061.0,-54383,54382,1,0.0501,-304377,650.0,RISE
2020-03-23,11100.0,11200.0,11550.0,11000.0,247757.0,-25895,25894,1,0.0447,-304378,750.0,FALL
2020-03-20,11850.0,11300.0,12000.0,11300.0,237090.0,-50723,50923,-200,0.0425,-304379,600.0,RISE
2020-03-19,11250.0,13550.0,14000.0,11000.0,431593.0,35557,-33402,-2155,0.0374,-304179,2200.0,FALL
2020-03-18,13450.0,14000.0,14550.0,13150.0,220023.0,15118,-15118,0,0.0413,-302024,350.0,FALL
2020-03-17,13800.0,12600.0,14000.0,12600.0,220964.0,-16005,16005,0,0.0436,-302024,100.0,RISE
2020-03-16,13700.0,13800.0,14450.0,13700.0,322229.0,-7122,7123,-1,0.0434,-302024,50.0,FALL
2020-03-13,13750.0,13900.0,14150.0,12450.0,566224.0,-56373,56053,320,0.043,-302023,1250.0,FALL
2020-03-12,15000.0,16150.0,16500.0,14900.0,363902.0,-5875,5877,-2,0.0375,-302343,1400.0,FALL
