날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-22,2345.0,2400.0,2405.0,2345.0,79941.0,-3067,3123,-56,0.0338,-1142790,50.0,FALL
2020-05-21,2395.0,2370.0,2405.0,2365.0,52170.0,7032,-7044,12,0.0337,-1142734,30.0,RISE
2020-05-20,2365.0,2330.0,2425.0,2330.0,257145.0,11396,-12501,1105,0.0338,-1142746,35.0,RISE
2020-05-19,2330.0,2305.0,2340.0,2305.0,53710.0,-5004,6294,-1290,0.0341,-1143851,35.0,RISE
2020-05-18,2295.0,2275.0,2320.0,2275.0,37424.0,2641,-2651,10,0.034,-1142561,20.0,RISE
2020-05-15,2275.0,2285.0,2310.0,2270.0,36859.0,6251,1161,-7412,0.034,-1142571,10.0,FALL
2020-05-14,2285.0,2325.0,2325.0,2280.0,105651.0,21698,1197,-22895,0.034,-1135159,45.0,FALL
2020-05-13,2330.0,2310.0,2330.0,2295.0,12622.0,1497,-1520,23,0.034,-1112264,5.0,FALL
2020-05-12,2335.0,2355.0,2355.0,2295.0,30635.0,2564,-2733,169,0.034,-1112287,20.0,FALL
2020-05-11,2355.0,2330.0,2360.0,2325.0,22607.0,778,-807,29,0.034,-1112456,25.0,RISE
2020-05-08,2330.0,2335.0,2355.0,2300.0,28243.0,1846,-1233,-613,0.034,-1112485,10.0,RISE
2020-05-07,2320.0,2300.0,2370.0,2300.0,78360.0,-2351,3858,-1507,0.0341,-1111872,5.0,RISE
2020-05-06,2315.0,2320.0,2320.0,2300.0,110353.0,-11072,11657,-585,0.034,-1110365,5.0,RISE
2020-05-04,2310.0,2310.0,2320.0,2290.0,52374.0,-15863,-2153,18016,0.0338,-1109780,0.0,EVEN
2020-04-29,2310.0,2305.0,2330.0,2295.0,75106.0,5793,5725,-11518,0.0338,-1127796,5.0,RISE
2020-04-28,2305.0,2285.0,2345.0,2270.0,43801.0,4411,6153,-10564,0.0337,-1116278,25.0,RISE
2020-04-27,2280.0,2270.0,2290.0,2265.0,36044.0,-4606,4608,-2,0.0336,-1105714,10.0,RISE
2020-04-24,2270.0,2315.0,2320.0,2260.0,34058.0,1893,-1902,9,0.0335,-1105712,35.0,FALL
2020-04-23,2305.0,2290.0,2315.0,2280.0,21615.0,-1851,4428,-2577,0.0336,-1105721,15.0,RISE
2020-04-22,2290.0,2275.0,2290.0,2245.0,36431.0,5706,-1868,-3838,0.0335,-1103144,10.0,RISE
2020-04-21,2280.0,2290.0,2305.0,2265.0,69541.0,179,-160,-19,0.0335,-1099306,25.0,FALL
2020-04-20,2305.0,2300.0,2305.0,2280.0,86458.0,5720,-5400,-320,0.0335,-1099287,0.0,EVEN
2020-04-17,2305.0,2275.0,2315.0,2255.0,83558.0,4301,-3227,-1074,0.0336,-1098967,50.0,RISE
2020-04-16,2255.0,2225.0,2255.0,2175.0,79338.0,484,-414,-70,0.0337,-1097893,40.0,FALL
2020-04-14,2295.0,2230.0,2370.0,2230.0,189581.0,-8647,8191,456,0.0337,-1097823,60.0,RISE
2020-04-13,2235.0,2255.0,2255.0,2225.0,48300.0,-4992,4959,33,0.0335,-1098279,20.0,FALL
2020-04-10,2255.0,2235.0,2295.0,2230.0,88886.0,2251,-2195,-56,0.0335,-1098312,20.0,RISE
2020-04-09,2235.0,2220.0,2250.0,2220.0,49652.0,966,-870,-96,0.0335,-1098256,25.0,RISE
2020-04-08,2210.0,2225.0,2235.0,2200.0,101247.0,360,-303,-57,0.0335,-1098160,35.0,FALL
2020-04-07,2245.0,2190.0,2270.0,2155.0,154527.0,-3360,3223,137,0.0335,-1098103,80.0,RISE
2020-04-06,2165.0,2180.0,2180.0,2130.0,136571.0,-20299,20426,-127,0.0338,-1098240,15.0,RISE
2020-04-03,2150.0,2185.0,2210.0,2145.0,112067.0,-4191,4540,-349,0.0334,-1098113,25.0,FALL
2020-04-02,2175.0,2160.0,2295.0,2140.0,22261.0,1513,-1544,31,0.0333,-1097764,15.0,RISE
2020-04-01,2160.0,2175.0,2195.0,2160.0,34864.0,8196,-8257,61,0.0335,-1097795,20.0,FALL
2020-03-31,2180.0,2150.0,2190.0,2150.0,84615.0,1965,-2595,630,0.0336,-1097856,50.0,RISE
2020-03-30,2130.0,1995.0,2140.0,1985.0,122299.0,10248,-10307,59,0.0337,-1098486,95.0,RISE
2020-03-27,2035.0,2050.0,2140.0,1985.0,163757.0,10842,-8390,-2452,0.0338,-1098545,30.0,RISE
2020-03-26,2005.0,1940.0,2025.0,1905.0,96052.0,17095,-16768,-327,0.034,-1096093,80.0,RISE
2020-03-25,1925.0,1870.0,1950.0,1870.0,126070.0,-6375,15187,-8812,0.0346,-1095766,75.0,RISE
2020-03-24,1850.0,1800.0,1855.0,1790.0,82036.0,-197,13999,-13802,0.0343,-1086954,65.0,RISE
2020-03-23,1785.0,1845.0,1845.0,1775.0,127719.0,-7464,9232,-1768,0.0343,-1073152,135.0,FALL
2020-03-20,1920.0,1760.0,1930.0,1760.0,128392.0,-6779,7327,-548,0.0341,-1071384,40.0,RISE
2020-03-19,1880.0,1950.0,1985.0,1695.0,266171.0,6088,-3572,-2516,0.034,-1070836,70.0,FALL
2020-03-18,1950.0,2070.0,2075.0,1950.0,107182.0,-2257,966,1291,0.034,-1068320,85.0,FALL
2020-03-17,2035.0,2005.0,2085.0,2000.0,67926.0,-3672,3984,-312,0.0344,-1069611,70.0,FALL
2020-03-16,2105.0,2215.0,2220.0,2105.0,53405.0,-6307,6256,51,0.0344,-1069299,45.0,FALL
2020-03-13,2150.0,2055.0,2235.0,1950.0,267431.0,9186,-10735,1549,0.0343,-1069350,40.0,FALL
2020-03-12,2190.0,2295.0,2325.0,2190.0,141976.0,10511,-8781,-1730,0.0344,-1070899,105.0,FALL
2020-03-11,2295.0,2330.0,2355.0,2290.0,60337.0,2442,-2516,74,0.0346,-1069169,40.0,FALL
2020-03-10,2335.0,2290.0,2335.0,2285.0,30424.0,3070,-3285,215,0.0339,-1069243,15.0,RISE
2020-03-09,2320.0,2375.0,2375.0,2320.0,68577.0,4194,-4394,200,0.034,-1069458,60.0,FALL
2020-03-06,2380.0,2425.0,2430.0,2365.0,36016.0,18467,-7024,-11443,0.034,-1069658,50.0,FALL
2020-03-05,2430.0,2410.0,2430.0,2400.0,32350.0,540,-748,208,0.0342,-1058215,20.0,RISE
2020-03-04,2410.0,2370.0,2410.0,2360.0,14845.0,2578,-2979,401,0.0342,-1058423,20.0,RISE
2020-03-03,2390.0,2355.0,2400.0,2355.0,24876.0,-1862,1537,325,0.0342,-1058824,40.0,RISE
2020-03-02,2350.0,2360.0,2390.0,2330.0,66589.0,-3284,3054,230,0.0342,-1059149,10.0,FALL
2020-02-28,2360.0,2420.0,2420.0,2360.0,122122.0,9398,-9567,169,0.0341,-1059379,60.0,FALL
2020-02-27,2420.0,2450.0,2450.0,2420.0,41194.0,5434,-4966,-468,0.0343,-1059548,30.0,FALL
2020-02-26,2450.0,2450.0,2460.0,2430.0,24922.0,3879,-3959,80,0.0341,-1059080,15.0,FALL
2020-02-25,2465.0,2425.0,2470.0,2420.0,29142.0,-3592,3314,278,0.0342,-1059160,15.0,RISE
2020-02-24,2450.0,2460.0,2460.0,2425.0,44111.0,-6647,6356,291,0.0341,-1059438,30.0,FALL
2020-02-21,2480.0,2470.0,2500.0,2430.0,69524.0,-3255,3145,110,0.034,-1059729,20.0,FALL
2020-02-20,2500.0,2515.0,2545.0,2480.0,43096.0,1252,-1466,214,0.0339,-1059839,20.0,FALL
2020-02-19,2520.0,2520.0,2545.0,2485.0,53750.0,7321,-2184,-5137,0.034,-1060053,0.0,EVEN
2020-02-18,2520.0,2520.0,2520.0,2500.0,26261.0,2355,-2459,104,0.034,-1054916,10.0,RISE
2020-02-17,2510.0,2525.0,2530.0,2510.0,15298.0,3981,-4014,33,0.0341,-1055020,15.0,FALL
2020-02-14,2525.0,2520.0,2540.0,2505.0,37244.0,14322,-987,-13335,0.0341,-1055053,5.0,RISE
2020-02-13,2520.0,2545.0,2555.0,2515.0,43270.0,14194,-819,-13375,0.0341,-1041718,25.0,FALL
