,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,2055.0,2060.0,2085.0,2050.0,94581.0,-2467,5520,-3053,0.001,14852,0.0,EVEN
2020-06-01,2055.0,2075.0,2075.0,2045.0,43033.0,290,1650,-1940,0.001,17905,15.0,FALL
2020-05-29,2070.0,2075.0,2075.0,2030.0,72649.0,13125,-11908,-1217,0.001,19845,5.0,FALL
2020-05-28,2075.0,2075.0,2115.0,2030.0,121741.0,6379,-6138,-241,0.0011,21062,5.0,RISE
2020-05-27,2070.0,2065.0,2075.0,2045.0,36476.0,3383,-3258,-125,0.0011,21303,5.0,RISE
2020-05-26,2065.0,2060.0,2075.0,2045.0,58800.0,-7454,8023,-569,0.0015,21428,15.0,RISE
2020-05-25,2050.0,2055.0,2075.0,2035.0,46302.0,7885,-7759,-126,0.0014,21997,20.0,FALL
2020-05-22,2070.0,2075.0,2085.0,2030.0,78640.0,10531.0,-10038.0,-493.0,0.0015,23416.0,5.0,FALL
2020-05-21,2075.0,2100.0,2100.0,2065.0,106491.0,5514.0,-5481.0,-33.0,0.0016,23909.0,25.0,FALL
2020-05-20,2100.0,2090.0,2100.0,2060.0,65653.0,5938.0,-5764.0,-174.0,0.0016,23942.0,25.0,RISE
2020-05-19,2075.0,2095.0,2115.0,2065.0,104213.0,33801.0,-3201.0,-30600.0,0.0016,24116.0,20.0,FALL
2020-05-18,2095.0,2115.0,2130.0,2045.0,47687.0,-961.0,859.0,102.0,0.0017,54716.0,20.0,FALL
2020-05-15,2115.0,2110.0,2115.0,2045.0,74194.0,-1243.0,-12931.0,14174.0,0.0016,54614.0,35.0,RISE
2020-05-14,2080.0,2045.0,2085.0,2045.0,51710.0,-1265.0,551.0,714.0,0.0017,40440.0,5.0,RISE
2020-05-13,2075.0,2060.0,2090.0,2050.0,33613.0,4223.0,-3242.0,-981.0,0.0017,39726.0,20.0,FALL
2020-05-12,2095.0,2155.0,2155.0,2045.0,117828.0,-13712.0,12657.0,1055.0,0.0018,40707.0,35.0,FALL
2020-05-11,2130.0,2195.0,2195.0,2115.0,84293.0,1128.0,-2890.0,1762.0,0.0017,39652.0,45.0,FALL
2020-05-08,2175.0,2230.0,2230.0,2175.0,120274.0,15353.0,-13648.0,-1705.0,0.0017,37890.0,20.0,FALL
