날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-22,76600.0,78100.0,79500.0,76200.0,147887.0,4656,10914,-15570,0.0405,-336095,900.0,FALL
2020-05-21,77500.0,79100.0,80000.0,77500.0,194087.0,-47359,579,46780,0.0395,-320525,200.0,RISE
2020-05-20,77300.0,75300.0,78200.0,73700.0,190590.0,-44493,-11750,56243,0.0394,-367305,1900.0,RISE
2020-05-19,75400.0,73300.0,77000.0,71400.0,268169.0,-41075,-4108,45183,0.0406,-423548,4100.0,RISE
2020-05-18,71300.0,69900.0,72300.0,68500.0,181398.0,-21197,-3299,24496,0.041,-468731,1400.0,RISE
2020-05-15,69900.0,70500.0,71200.0,68500.0,89017.0,3559,7332,-10891,0.0413,-493227,300.0,RISE
2020-05-14,69600.0,70100.0,71800.0,68800.0,167466.0,11282,-14844,3562,0.0406,-482336,300.0,FALL
2020-05-13,69900.0,65200.0,71700.0,64900.0,388572.0,-20370,19804,566,0.0421,-485898,3800.0,RISE
2020-05-12,66100.0,66100.0,66900.0,64300.0,73860.0,-21008,8346,12662,0.0401,-486464,0.0,EVEN
2020-05-11,66100.0,67000.0,67600.0,66000.0,73346.0,20152,-4720,-15432,0.0393,-499126,800.0,FALL
2020-05-08,66900.0,67300.0,67400.0,66900.0,70656.0,8716,-14427,5711,0.0397,-483694,100.0,FALL
2020-05-07,67000.0,66400.0,67500.0,65700.0,68935.0,5945,-7679,1734,0.0412,-489405,600.0,RISE
2020-05-06,66400.0,66500.0,67200.0,65000.0,73194.0,1168,-1286,118,0.0419,-491139,400.0,RISE
2020-05-04,66000.0,65000.0,67500.0,64600.0,72372.0,2822,-4582,1760,0.0421,-491257,1000.0,FALL
2020-04-29,67000.0,65400.0,67500.0,64400.0,139940.0,-25520,1299,24221,0.0425,-493017,1800.0,RISE
2020-04-28,65200.0,63000.0,65200.0,62200.0,154159.0,-42761,9401,33360,0.0424,-517238,3300.0,RISE
2020-04-27,61900.0,60800.0,62500.0,60400.0,45724.0,-6862,1180,5682,0.0414,-550598,1100.0,RISE
2020-04-24,60800.0,62600.0,62600.0,60800.0,70757.0,20133,-4861,-15272,0.0413,-556280,1900.0,FALL
2020-04-23,62700.0,63000.0,63200.0,61700.0,95188.0,-31830,2600,29230,0.0418,-541008,800.0,RISE
2020-04-22,61900.0,59800.0,61900.0,59600.0,61362.0,5191,-982,-4209,0.0416,-570238,200.0,RISE
