,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,20400.0,20250.0,20450.0,19900.0,41153.0,-3664,-335,3999,0.0524,469963,50.0,RISE
2020-06-01,20350.0,19900.0,20450.0,19700.0,48756.0,-14815,5014,9801,0.0525,465964,350.0,RISE
2020-05-29,20000.0,19900.0,20050.0,19600.0,24559.0,-2698,521,2177,0.0518,456163,100.0,RISE
2020-05-28,19900.0,20450.0,20550.0,19550.0,45332.0,14021,-7766,-6255,0.0518,453986,450.0,FALL
2020-05-27,20350.0,20250.0,20500.0,19800.0,56299.0,-28628,2226,26402,0.0528,460241,150.0,RISE
2020-05-26,20200.0,20200.0,20350.0,19900.0,94228.0,-13687,-5882,19569,0.0525,433839,450.0,RISE
2020-05-25,19750.0,19550.0,20050.0,19150.0,42600.0,-16606,8477,8129,0.0533,414270,200.0,RISE
2020-05-22,19550.0,20500.0,20500.0,19450.0,58022.0,13255.0,-2525.0,-10730.0,0.0522,368715.0,700.0,FALL
2020-05-21,20250.0,20400.0,20400.0,20050.0,44071.0,-359.0,-3325.0,3684.0,0.0525,379445.0,0.0,EVEN
2020-05-20,20250.0,20000.0,20450.0,19900.0,52856.0,-13665.0,492.0,13173.0,0.0529,375761.0,50.0,FALL
2020-05-19,20300.0,20000.0,20300.0,19450.0,123916.0,-30195.0,-7482.0,37677.0,0.0528,362588.0,300.0,RISE
2020-05-18,20000.0,19250.0,20350.0,19150.0,320295.0,-91561.0,-261.0,91822.0,0.0538,324911.0,950.0,RISE
2020-05-15,19050.0,19300.0,19450.0,18800.0,71514.0,-9754.0,7444.0,2310.0,0.0539,233089.0,250.0,FALL
2020-05-14,19300.0,18900.0,19950.0,18900.0,106459.0,-20396.0,6604.0,13792.0,0.0529,230779.0,0.0,EVEN
2020-05-13,19300.0,19550.0,20200.0,19300.0,197378.0,-4631.0,2187.0,2444.0,0.052000000000000005,216987.0,50.0,FALL
2020-05-12,19350.0,20000.0,20100.0,18950.0,155876.0,-13610.0,9247.0,4363.0,0.0517,214543.0,650.0,FALL
2020-05-11,20000.0,21000.0,22750.0,19750.0,1247613.0,69710.0,-39990.0,-29720.0,0.0505,210180.0,700.0,RISE
2020-05-08,19300.0,19050.0,19550.0,18750.0,68063.0,6261.0,-8757.0,2496.0,0.0557,239900.0,200.0,RISE
2020-05-07,19100.0,19100.0,19200.0,18500.0,59367.0,8086.0,-10167.0,2081.0,0.0569,237404.0,0.0,EVEN
2020-05-06,19100.0,17850.0,19200.0,17600.0,142748.0,-21969.0,9784.0,12185.0,0.0582,235323.0,1450.0,RISE
2020-05-04,17650.0,17800.0,18000.0,17350.0,28440.0,-6969.0,-4970.0,11939.0,0.057,223138.0,50.0,FALL
2020-04-29,17700.0,17450.0,17950.0,17250.0,55634.0,-18564.0,-2931.0,21495.0,0.0576,211199.0,400.0,RISE
2020-04-28,17300.0,17500.0,17500.0,16850.0,43401.0,-8886.0,290.0,8596.0,0.057999999999999996,189704.0,150.0,RISE
2020-04-27,17150.0,17050.0,17400.0,16750.0,55380.0,4359.0,673.0,-5032.0,0.057999999999999996,181108.0,100.0,RISE
2020-04-24,17050.0,17500.0,17500.0,16850.0,38659.0,-243.0,-4550.0,4793.0,0.0579,186140.0,250.0,FALL
2020-04-23,17300.0,17400.0,17700.0,17150.0,65482.0,-16278.0,6763.0,9515.0,0.0585,181347.0,250.0,RISE
2020-04-22,17050.0,17000.0,17200.0,16500.0,33195.0,-793.0,721.0,72.0,0.0576,171832.0,150.0,FALL
2020-04-21,17200.0,17100.0,17400.0,16000.0,94602.0,-14516.0,3118.0,11398.0,0.0575,171760.0,0.0,EVEN
2020-04-20,17200.0,17500.0,17650.0,16950.0,54629.0,-11436.0,1017.0,10419.0,0.0571,160362.0,400.0,FALL
2020-04-17,17600.0,16950.0,17600.0,16850.0,150798.0,-12434.0,-10934.0,23368.0,0.057,149943.0,450.0,RISE
2020-04-16,17150.0,16450.0,17200.0,16100.0,160673.0,-58394.0,32134.0,26260.0,0.0584,126575.0,1050.0,RISE
2020-04-14,16100.0,15900.0,16400.0,15800.0,104204.0,-22070.0,16734.0,5336.0,0.0542,100315.0,550.0,RISE
2020-04-13,15550.0,16200.0,16200.0,15350.0,64397.0,6369.0,7702.0,-14071.0,0.052000000000000005,94979.0,450.0,FALL
2020-04-10,16000.0,16600.0,16600.0,15600.0,98777.0,14100.0,-14100.0,0.0,0.051,109050.0,300.0,FALL
2020-04-09,16300.0,16200.0,16300.0,15800.0,112754.0,-10164.0,11886.0,-1722.0,0.0529,109050.0,500.0,RISE
2020-04-08,15800.0,16300.0,16400.0,15800.0,175795.0,9260.0,-15894.0,6634.0,0.0513,110772.0,150.0,FALL
2020-04-07,15950.0,15350.0,16000.0,15050.0,213192.0,2142.0,-4152.0,2010.0,0.0534,104138.0,700.0,RISE
2020-04-06,15250.0,15400.0,15750.0,15150.0,66818.0,6144.0,-309.0,-5835.0,0.0539,102128.0,150.0,FALL
2020-04-03,15400.0,15400.0,15650.0,14850.0,69726.0,-3938.0,3940.0,-2.0,0.054000000000000006,107963.0,50.0,RISE
2020-04-02,15350.0,14700.0,17200.0,14500.0,544770.0,14705.0,3024.0,-17729.0,0.0534,107965.0,1500.0,RISE
2020-04-01,13850.0,14900.0,14950.0,13800.0,72956.0,-2209.0,4618.0,-2409.0,0.0533,125694.0,950.0,FALL
2020-03-31,14800.0,16600.0,16700.0,14500.0,264953.0,-9732.0,-7828.0,17560.0,0.0531,128103.0,500.0,FALL
2020-03-30,15300.0,13450.0,15300.0,13100.0,423814.0,-4348.0,-12138.0,16486.0,0.0542,110543.0,2500.0,RISE
2020-03-27,12800.0,12800.0,13250.0,12400.0,49990.0,-5599.0,1958.0,3641.0,0.0557,94057.0,250.0,RISE
2020-03-26,12550.0,12600.0,12850.0,12150.0,50894.0,5656.0,-3122.0,-2534.0,0.0555,90416.0,50.0,RISE
2020-03-25,12500.0,12400.0,12750.0,11550.0,81959.0,1078.0,1550.0,-2628.0,0.0559,92950.0,500.0,RISE
2020-03-24,12000.0,11050.0,12100.0,10950.0,47541.0,-9143.0,10718.0,-1575.0,0.0557,95578.0,1200.0,RISE
2020-03-23,10800.0,10400.0,10900.0,10350.0,65440.0,4323.0,-684.0,-3639.0,0.0543,97153.0,450.0,FALL
2020-03-20,11250.0,10900.0,11650.0,10800.0,98785.0,9393.0,6847.0,-16240.0,0.0544,100792.0,800.0,RISE
2020-03-19,10450.0,12700.0,12900.0,10100.0,125739.0,33628.0,-2103.0,-31525.0,0.0536,117032.0,2150.0,FALL
2020-03-18,12600.0,13150.0,13500.0,12500.0,36885.0,6248.0,-6489.0,241.0,0.0538,148557.0,300.0,FALL
2020-03-17,12900.0,13000.0,14400.0,12850.0,119759.0,25134.0,-1067.0,-24067.0,0.0547,148316.0,900.0,FALL
2020-03-16,13800.0,13900.0,14550.0,13500.0,47834.0,9058.0,-3605.0,-5453.0,0.0548,172383.0,350.0,FALL
2020-03-13,14150.0,13600.0,14500.0,12650.0,81001.0,16254.0,-17217.0,963.0,0.0553,177836.0,450.0,FALL
2020-03-12,14600.0,15100.0,15100.0,14000.0,62844.0,28349.0,-10913.0,-17436.0,0.0575,176873.0,650.0,FALL
2020-03-11,15250.0,15400.0,15700.0,15100.0,32652.0,7316.0,-10002.0,2686.0,0.059000000000000004,194309.0,150.0,FALL
2020-03-10,15400.0,15000.0,15600.0,15000.0,31744.0,5116.0,-1105.0,-4011.0,0.0599,191623.0,50.0,RISE
2020-03-09,15350.0,15450.0,15750.0,15050.0,40457.0,10487.0,-10475.0,-12.0,0.0601,195634.0,400.0,FALL
2020-03-06,15750.0,15450.0,15750.0,15300.0,36799.0,7443.0,-3856.0,-3587.0,0.0614,195646.0,50.0,RISE
2020-03-05,15700.0,15400.0,15800.0,15250.0,94668.0,19042.0,9200.0,-28242.0,0.0619,199233.0,500.0,RISE
2020-03-04,15200.0,14800.0,15300.0,14250.0,65046.0,12246.0,5451.0,-17697.0,0.0608,227475.0,550.0,RISE
2020-03-03,14650.0,15300.0,15400.0,14300.0,106297.0,56997.0,-36.0,-56961.0,0.0601,245172.0,350.0,FALL
2020-03-02,15000.0,14600.0,15150.0,14350.0,85042.0,5366.0,16598.0,-21964.0,0.0601,302133.0,0.0,EVEN
2020-02-28,15000.0,15500.0,15700.0,14700.0,81405.0,21971.0,11180.0,-33151.0,0.057999999999999996,324097.0,800.0,FALL
2020-02-27,15800.0,16200.0,16300.0,15650.0,34875.0,13502.0,-1889.0,-11613.0,0.0565,357248.0,400.0,FALL
2020-02-26,16200.0,15850.0,16850.0,15800.0,48669.0,6708.0,-4052.0,-2656.0,0.0562,368861.0,150.0,RISE
2020-02-25,16050.0,15700.0,16150.0,15650.0,34271.0,-2572.0,2611.0,-39.0,0.0567,371517.0,100.0,RISE
2020-02-24,15950.0,17400.0,17800.0,15850.0,148874.0,1520.0,2192.0,-3712.0,0.055999999999999994,371556.0,1350.0,FALL
2020-02-21,17300.0,16250.0,18350.0,16250.0,508682.0,80066.0,-15268.0,-64798.0,0.0554,375268.0,650.0,RISE
2020-02-20,16650.0,17300.0,17300.0,16500.0,55215.0,11140.0,1803.0,-12943.0,0.0574,440066.0,550.0,FALL
2020-02-19,17200.0,17400.0,17500.0,17000.0,25026.0,6216.0,-4565.0,-1651.0,0.0572,453009.0,150.0,FALL
2020-02-18,17350.0,17500.0,17500.0,17200.0,16975.0,1532.0,-645.0,-887.0,0.0578,454660.0,150.0,FALL
2020-02-17,17500.0,17600.0,17700.0,17400.0,12584.0,2699.0,-2947.0,248.0,0.0579,455547.0,100.0,FALL
2020-02-14,17600.0,17500.0,17650.0,17250.0,12796.0,-936.0,-3087.0,4023.0,0.0583,455299.0,250.0,RISE
2020-02-13,17350.0,17650.0,17700.0,17250.0,35525.0,19006.0,-153.0,-18853.0,0.0587,451276.0,300.0,FALL
2020-02-12,17650.0,18100.0,18100.0,17550.0,43932.0,18822.0,-2679.0,-16143.0,0.0587,470129.0,350.0,FALL
2020-02-11,18000.0,17850.0,18150.0,17800.0,36625.0,-5209.0,4226.0,983.0,0.059000000000000004,486272.0,150.0,RISE
2020-02-10,17850.0,18000.0,18000.0,17700.0,8997.0,4781.0,-566.0,-4215.0,0.0585,485289.0,150.0,FALL
2020-02-07,18000.0,18050.0,18200.0,17700.0,24649.0,1123.0,-104.0,-1019.0,0.0585,489504.0,150.0,FALL
2020-02-06,18150.0,18150.0,18150.0,17800.0,20266.0,10488.0,-23.0,-10465.0,0.0586,490523.0,200.0,RISE
2020-02-05,17950.0,17600.0,18850.0,17600.0,45541.0,16746.0,-8527.0,-8219.0,0.0586,500988.0,450.0,RISE
2020-02-04,17500.0,17600.0,17600.0,17300.0,19439.0,1219.0,-946.0,-273.0,0.0597,509207.0,150.0,RISE
2020-02-03,17350.0,17200.0,17450.0,16800.0,37683.0,-6650.0,4159.0,2491.0,0.0598,509480.0,100.0,FALL
2020-01-31,17450.0,17950.0,18200.0,17450.0,25793.0,3923.0,-4260.0,337.0,0.0593,506989.0,550.0,FALL
2020-01-30,18000.0,18150.0,18300.0,17700.0,25531.0,5371.0,-5025.0,-346.0,0.0598,506652.0,250.0,FALL
2020-01-29,18250.0,18250.0,18650.0,18000.0,23940.0,1345.0,2463.0,-3808.0,0.0605,506998.0,0.0,EVEN
2020-01-28,18250.0,17550.0,18500.0,17500.0,31996.0,-14657.0,11531.0,3126.0,0.0601,510806.0,300.0,FALL
2020-01-23,18550.0,18850.0,18850.0,18400.0,23641.0,829.0,1709.0,-2538.0,0.0586,507680.0,300.0,FALL
2020-01-22,18850.0,18550.0,18950.0,18400.0,41725.0,-7044.0,10005.0,-2961.0,0.0584,510218.0,450.0,RISE
2020-01-21,18400.0,18600.0,18700.0,18150.0,19551.0,5780.0,1970.0,-7750.0,0.0571,513179.0,200.0,FALL
2020-01-20,18600.0,18700.0,18800.0,18300.0,22860.0,668.0,3990.0,-4658.0,0.0569,520929.0,50.0,FALL
2020-01-17,18650.0,18350.0,18650.0,18350.0,24899.0,-11996.0,5942.0,6054.0,0.0563,525587.0,250.0,RISE
2020-01-16,18400.0,17800.0,18750.0,17800.0,62318.0,-24146.0,18331.0,5815.0,0.0555,519533.0,650.0,RISE
2020-01-15,17750.0,17750.0,17950.0,17700.0,19365.0,4473.0,8378.0,-12851.0,0.0531,513718.0,50.0,FALL
2020-01-14,17800.0,18050.0,18050.0,17700.0,24366.0,6960.0,-243.0,-6717.0,0.052000000000000005,526569.0,250.0,FALL
2020-01-13,18050.0,17950.0,18250.0,17700.0,25544.0,1498.0,7573.0,-9071.0,0.0517,533286.0,150.0,RISE
2020-01-10,17900.0,17850.0,18150.0,17550.0,26100.0,-4638.0,-454.0,5092.0,0.0507,542357.0,50.0,FALL
2020-01-09,17950.0,17950.0,18150.0,17550.0,34537.0,7983.0,1374.0,-9357.0,0.0508,537265.0,400.0,RISE
2020-01-08,17550.0,18300.0,18300.0,17500.0,30628.0,6645.0,-5607.0,-1038.0,0.0506,546622.0,850.0,FALL
2020-01-07,18400.0,17950.0,18450.0,17950.0,21519.0,-9096.0,-2325.0,11421.0,0.0513,547660.0,450.0,RISE
2020-01-06,17950.0,18150.0,18150.0,17900.0,20805.0,2001.0,-5981.0,3980.0,0.0516,536239.0,400.0,FALL
2020-01-03,18350.0,18650.0,18800.0,18100.0,34048.0,11434.0,-4460.0,-6974.0,0.0524,532259.0,350.0,FALL
2020-01-02,18700.0,18800.0,18850.0,18550.0,24651.0,-298.0,-4780.0,5078.0,0.053,539233.0,50.0,FALL
2019-12-30,18750.0,19150.0,19200.0,18500.0,24290.0,4996.0,-4026.0,-970.0,0.0536,534155.0,400.0,FALL
2019-12-27,19150.0,18400.0,19250.0,18100.0,56439.0,-34870.0,9506.0,25364.0,0.0541,535125.0,250.0,RISE
2019-12-26,18900.0,18950.0,19000.0,18850.0,29044.0,12344.0,3685.0,-16029.0,0.0529,509761.0,50.0,RISE
2019-12-24,18850.0,19000.0,19050.0,18800.0,33779.0,9685.0,-4710.0,-4975.0,0.0524,525790.0,150.0,FALL
2019-12-23,19000.0,18950.0,19200.0,18850.0,35206.0,-200.0,6820.0,-6620.0,0.0531,530765.0,100.0,RISE
