,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,2195.0,2150.0,2200.0,2125.0,19474.0,21,-21,0,0.0222,-25238,45.0,RISE
2020-06-01,2150.0,2150.0,2165.0,2120.0,20877.0,-626,626,0,0.0222,-25238,5.0,FALL
2020-05-29,2155.0,2080.0,2170.0,2060.0,37017.0,1263,-1263,0,0.0221,-25238,75.0,RISE
2020-05-28,2080.0,2235.0,2270.0,2080.0,68170.0,737,-737,0,0.0223,-25238,170.0,FALL
2020-05-27,2250.0,2240.0,2290.0,2230.0,9871.0,248,-248,0,0.0223,-25238,10.0,RISE
2020-05-26,2240.0,2225.0,2280.0,2215.0,14321.0,-130,130,0,0.0224,-25238,15.0,RISE
2020-05-25,2225.0,2225.0,2250.0,2185.0,17542.0,-2445,2445,0,0.0224,-25238,0.0,EVEN
2020-05-22,2225.0,2270.0,2305.0,2170.0,20785.0,941.0,-941.0,0.0,0.0221,-24349.0,45.0,FALL
2020-05-21,2270.0,2245.0,2300.0,2220.0,22210.0,402.0,-402.0,0.0,0.0222,-24349.0,5.0,FALL
2020-05-20,2275.0,2215.0,2285.0,2215.0,19518.0,1302.0,-1302.0,0.0,0.0222,-24349.0,20.0,RISE
2020-05-19,2255.0,2225.0,2280.0,2225.0,16208.0,-1476.0,1476.0,0.0,0.0224,-24349.0,30.0,RISE
2020-05-18,2225.0,2220.0,2230.0,2160.0,8349.0,2025.0,-2025.0,0.0,0.0222,-24349.0,5.0,RISE
2020-05-15,2220.0,2175.0,2225.0,2160.0,4878.0,-163.0,163.0,0.0,0.023,-24349.0,50.0,RISE
2020-05-14,2170.0,2230.0,2230.0,2170.0,21205.0,905.0,-905.0,0.0,0.023,-24349.0,65.0,FALL
2020-05-13,2235.0,2250.0,2250.0,2190.0,11983.0,-1409.0,1409.0,0.0,0.0231,-24349.0,15.0,FALL
2020-05-12,2250.0,2295.0,2310.0,2245.0,10653.0,3910.0,-3910.0,0.0,0.0229,-24349.0,45.0,FALL
2020-05-11,2295.0,2240.0,2300.0,2220.0,35762.0,5291.0,-5291.0,0.0,0.0234,-24349.0,55.0,RISE
2020-05-08,2240.0,2185.0,2280.0,2160.0,33000.0,-751.0,751.0,0.0,0.024,-24349.0,55.0,RISE
2020-05-07,2185.0,2180.0,2245.0,2165.0,11198.0,649.0,-649.0,0.0,0.0239,-24349.0,15.0,RISE
2020-05-06,2170.0,2160.0,2250.0,2150.0,47193.0,-5984.0,5984.0,0.0,0.024,-24349.0,0.0,EVEN
2020-05-04,2170.0,2160.0,2200.0,2105.0,16777.0,1078.0,-1078.0,0.0,0.0233,-24349.0,0.0,EVEN
2020-04-29,2170.0,2240.0,2240.0,2155.0,23078.0,1829.0,-1829.0,0.0,0.0234,-24349.0,5.0,FALL
2020-04-28,2175.0,2200.0,2225.0,2130.0,90920.0,10049.0,-10049.0,0.0,0.0236,-24349.0,25.0,FALL
2020-04-27,2200.0,2005.0,2210.0,2000.0,126337.0,-2705.0,2705.0,0.0,0.0249,-24349.0,195.0,RISE
2020-04-24,2005.0,1965.0,2020.0,1940.0,26299.0,2634.0,-2632.0,-2.0,0.0245,-24349.0,20.0,RISE
2020-04-23,1985.0,1955.0,2005.0,1955.0,23166.0,1279.0,-1252.0,-27.0,0.0249,-24347.0,35.0,RISE
2020-04-22,1950.0,1910.0,1950.0,1895.0,15382.0,-825.0,446.0,379.0,0.025,-24320.0,0.0,EVEN
2020-04-21,1950.0,2005.0,2035.0,1865.0,40981.0,-3221.0,680.0,2541.0,0.025,-24699.0,55.0,FALL
2020-04-20,2005.0,2000.0,2025.0,1985.0,58644.0,-3086.0,2583.0,503.0,0.0249,-27240.0,20.0,RISE
2020-04-17,1985.0,1955.0,2005.0,1955.0,72038.0,524.0,-524.0,0.0,0.0246,-27743.0,30.0,RISE
2020-04-16,1955.0,1945.0,1995.0,1865.0,8987.0,2442.0,-2442.0,0.0,0.0246,-27743.0,10.0,RISE
2020-04-14,1945.0,1880.0,1980.0,1880.0,65688.0,1901.0,-1808.0,-93.0,0.0249,-27743.0,65.0,RISE
2020-04-13,1880.0,2005.0,2005.0,1850.0,128248.0,1285.0,-1285.0,0.0,0.0251,-27650.0,125.0,FALL
2020-04-10,2005.0,2050.0,2050.0,1935.0,46624.0,1498.0,-1498.0,0.0,0.0253,-27650.0,45.0,FALL
2020-04-09,2050.0,2020.0,2070.0,1990.0,30336.0,-966.0,966.0,0.0,0.0255,-27650.0,30.0,RISE
2020-04-08,2020.0,1915.0,2020.0,1915.0,28385.0,-677.0,677.0,0.0,0.0254,-27650.0,110.0,RISE
2020-04-07,1910.0,1990.0,2030.0,1900.0,50088.0,137.0,-137.0,0.0,0.0253,-27650.0,10.0,FALL
2020-04-06,1920.0,1870.0,1960.0,1865.0,17625.0,403.0,-403.0,0.0,0.0253,-27650.0,50.0,RISE
2020-04-03,1870.0,1875.0,1910.0,1845.0,10722.0,1694.0,-1694.0,0.0,0.0253,-27650.0,35.0,FALL
2020-04-02,1905.0,1950.0,1950.0,1830.0,28884.0,3896.0,-3896.0,0.0,0.0256,-27650.0,45.0,FALL
2020-04-01,1950.0,1910.0,2020.0,1800.0,50712.0,3172.0,-3172.0,0.0,0.026000000000000002,-27650.0,40.0,RISE
