,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,2670.0,2655.0,2700.0,2610.0,519932.0,-48017,48017,0,0.014,-1764790,75.0,RISE
2020-06-01,2595.0,2650.0,2670.0,2570.0,522325.0,45422,-45422,0,0.0123,-1764790,15.0,RISE
2020-05-29,2580.0,2470.0,2580.0,2470.0,389211.0,-69216,69216,0,0.0139,-1764790,80.0,RISE
2020-05-28,2500.0,2500.0,2650.0,2400.0,768229.0,47431,-47431,0,0.0114,-1764790,0.0,EVEN
2020-05-27,2500.0,2530.0,2545.0,2480.0,150166.0,-14474,14474,0,0.0131,-1764790,30.0,FALL
2020-05-26,2530.0,2510.0,2550.0,2495.0,174180.0,-16768,16768,0,0.0126,-1764790,35.0,RISE
2020-05-25,2495.0,2450.0,2565.0,2410.0,417549.0,-54189,54189,0,0.012,-1764790,45.0,RISE
2020-05-22,2450.0,2510.0,2510.0,2415.0,109427.0,17446,-17446,0,0.0101,-1735891,30.0,FALL
2020-05-21,2480.0,2450.0,2480.0,2420.0,177714.0,-34509,34509,0,0.0107,-1735891,30.0,RISE
2020-05-20,2450.0,2470.0,2500.0,2435.0,119406.0,-24142,24142,0,0.0096,-1735891,10.0,FALL
2020-05-19,2460.0,2425.0,2465.0,2400.0,192077.0,-26296,26296,0,0.0086,-1735891,20.0,RISE
2020-05-18,2440.0,2490.0,2545.0,2430.0,229060.0,-8302,8302,0,0.0077,-1735891,50.0,FALL
2020-05-15,2490.0,2500.0,2590.0,2430.0,1043211.0,23340,-23340,0,0.0074,-1735891,45.0,RISE
2020-05-14,2445.0,2535.0,2535.0,2415.0,149223.0,-4128,4128,0,0.0082,-1735891,50.0,FALL
2020-05-13,2495.0,2495.0,2540.0,2460.0,351877.0,-2179,2179,0,0.0081,-1735891,40.0,RISE
2020-05-12,2455.0,2505.0,2510.0,2400.0,215749.0,-9720,9720,0,0.008,-1735891,50.0,FALL
2020-05-11,2505.0,2490.0,2540.0,2455.0,342440.0,-20583,20966,-383,0.0076,-1735891,40.0,RISE
2020-05-08,2465.0,2510.0,2585.0,2450.0,590788.0,2051,-2021,-30,0.0069,-1735508,40.0,FALL
2020-05-07,2505.0,2635.0,2720.0,2480.0,1536368.0,-22778,22395,383,0.006999999999999999,-1735478,100.0,FALL
2020-05-06,2605.0,2405.0,2935.0,2365.0,11263037.0,203025,-203025,0,0.0062,-1735861,280.0,RISE
2020-05-04,2325.0,2190.0,2520.0,2190.0,1588303.0,13301,-13301,0,0.0135,-1735861,90.0,RISE
2020-04-29,2235.0,2215.0,2245.0,2190.0,149998.0,-16322,16322,0,0.0139,-1735861,25.0,RISE
2020-04-28,2210.0,2240.0,2280.0,2190.0,159526.0,20842,-20842,0,0.0134,-1735861,20.0,FALL
2020-04-27,2230.0,2220.0,2255.0,2130.0,124518.0,-18070,18071,-1,0.0141,-1735861,15.0,RISE
2020-04-24,2215.0,2350.0,2370.0,2175.0,371389.0,37505,-37505,0,0.0135,-1735860,105.0,FALL
2020-04-23,2320.0,2135.0,2320.0,2135.0,481259.0,-51841,51841,0,0.0148,-1735860,185.0,RISE
2020-04-22,2135.0,2105.0,2135.0,2035.0,88629.0,-23085,23085,0,0.0129,-1735860,30.0,RISE
2020-04-21,2105.0,2145.0,2200.0,2000.0,213487.0,-4036,4036,0,0.0121,-1735860,85.0,FALL
2020-04-20,2190.0,2130.0,2225.0,2130.0,123516.0,-49591,49591,0,0.012,-1735860,60.0,RISE
