날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-22,247000.0,237500.0,248500.0,235000.0,1875824.0,70495,78120,-148615,0.3173,5725417,9500.0,RISE
2020-05-21,237500.0,237500.0,240000.0,234500.0,1408737.0,201339,-113392,-87947,0.3164,5874032,6000.0,RISE
2020-05-20,231500.0,223500.0,234500.0,222000.0,1773960.0,-118857,-11388,130245,0.3178,5961979,11500.0,RISE
2020-05-19,220000.0,221500.0,222500.0,214000.0,1308903.0,73765,105302,-179067,0.3179,5831734,1000.0,FALL
2020-05-18,221000.0,221500.0,225500.0,218500.0,744533.0,53673,-8291,-45382,0.3161,6010801,500.0,FALL
2020-05-15,221500.0,228500.0,231500.0,216000.0,1524083.0,201078,-122244,-78834,0.3161,6056183,3500.0,FALL
2020-05-14,225000.0,216000.0,228000.0,214000.0,1459813.0,-20708,120557,-99849,0.3176,6135017,8500.0,RISE
2020-05-13,216500.0,211500.0,216500.0,211500.0,1113608.0,48952,78110,-127062,0.3162,6234866,2000.0,RISE
2020-05-12,214500.0,209000.0,216500.0,206000.0,1563095.0,-53824,176503,-122679,0.3155,6361928,7000.0,RISE
2020-05-11,207500.0,207000.0,211500.0,206500.0,1048413.0,58937,58911,-117848,0.3132,6484607,1500.0,RISE
2020-05-08,206000.0,206500.0,210000.0,204000.0,1405404.0,-49098,147862,-98764,0.313,6602455,0.0,EVEN
2020-05-07,206000.0,199500.0,207500.0,198500.0,2629709.0,-246853,320991,-74138,0.3113,6701219,6500.0,RISE
2020-05-06,199500.0,189000.0,200000.0,188000.0,2035947.0,-392182,109836,282346,0.308,6775357,13000.0,RISE
2020-05-04,186500.0,181500.0,190000.0,180000.0,1019409.0,-104322,117325,-13003,0.3073,6493011,2500.0,RISE
2020-04-29,184000.0,184000.0,186500.0,182500.0,659512.0,119232,-16250,-102982,0.3063,6506014,1000.0,FALL
2020-04-28,185000.0,185500.0,186500.0,181500.0,668638.0,25350,45988,-71338,0.3063,6608996,1000.0,RISE
2020-04-27,184000.0,183000.0,187000.0,181500.0,721963.0,38138,-57779,19641,0.3051,6680334,1000.0,RISE
2020-04-24,183000.0,184500.0,188500.0,182000.0,1073684.0,115176,-123303,8127,0.3055,6660693,2500.0,FALL
2020-04-23,185500.0,181500.0,186500.0,180500.0,1509799.0,-313925,204019,109906,0.3057,6652566,8500.0,RISE
2020-04-22,177000.0,174000.0,177000.0,171500.0,686146.0,-4806,-19191,23997,0.3034,6542660,1500.0,RISE
2020-04-21,175500.0,176500.0,177500.0,168500.0,1232126.0,-124151,76588,47563,0.305,6518663,500.0,RISE
2020-04-20,175000.0,172500.0,179000.0,172000.0,859303.0,6615,41765,-48380,0.304,6471100,3000.0,RISE
2020-04-17,172000.0,169000.0,172500.0,167500.0,947794.0,-63496,45592,17904,0.3033,6519480,6500.0,RISE
2020-04-16,165500.0,159000.0,167000.0,158500.0,1005533.0,-136349,36505,99844,0.304,6501576,6000.0,RISE
2020-04-14,159500.0,159500.0,160500.0,158000.0,430759.0,-36604,-2037,38641,0.3034,6401732,2000.0,RISE
2020-04-13,157500.0,161000.0,161000.0,157000.0,470251.0,112104,-57007,-55097,0.3038,6363091,3500.0,FALL
2020-04-10,161000.0,158500.0,161500.0,157000.0,753323.0,-33486,95025,-61539,0.3041,6418188,3000.0,RISE
2020-04-09,158000.0,161000.0,161000.0,157500.0,726920.0,84695,85380,-170075,0.303,6479727,0.0,EVEN
2020-04-08,158000.0,159000.0,160500.0,158000.0,738303.0,135348,-108165,-27183,0.3023,6649802,2000.0,FALL
2020-04-07,160000.0,163500.0,164500.0,158500.0,920798.0,141557,-204385,62828,0.3034,6676985,500.0,FALL
2020-04-06,160500.0,158500.0,161000.0,157500.0,807805.0,-38672,-110736,149408,0.3057,6614157,3000.0,RISE
2020-04-03,157500.0,158500.0,159000.0,155000.0,545749.0,16688,-19342,2654,0.307,6464749,500.0,RISE
2020-04-02,157000.0,152000.0,157000.0,149000.0,1043790.0,-180681,33489,147192,0.3071,6462095,6500.0,RISE
2020-04-01,150500.0,156000.0,158500.0,150000.0,794295.0,219997,-127995,-92002,0.3067,6314903,5000.0,FALL
