,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,76300.0,72800.0,76700.0,72300.0,77010.0,-14074,8752,5322,0.0616,-125294,3100.0,RISE
2020-06-01,73200.0,73200.0,74800.0,72700.0,133966.0,-9940,-3411,13351,0.0608,-130616,1600.0,RISE
2020-05-29,71600.0,70100.0,72700.0,67400.0,207371.0,-17379,-6375,23754,0.0611,-143967,2700.0,RISE
2020-05-28,68900.0,62200.0,71900.0,61400.0,477813.0,-17467,-2330,19797,0.0617,-167721,10400.0,RISE
2020-05-27,58500.0,58000.0,62100.0,57200.0,119598.0,10685,-4880,-5805,0.0619,-187518,1000.0,RISE
2020-05-26,57500.0,57300.0,57900.0,56200.0,44575.0,-2019,213,1806,0.0624,-181713,200.0,RISE
2020-05-25,57300.0,58000.0,58600.0,56900.0,37189.0,3028,-3028,0,0.062,-183519,400.0,FALL
2020-05-22,57700.0,58000.0,58400.0,56500.0,56674.0,-9061,9169,-108,0.0623,-189971,100.0,RISE
2020-05-21,57600.0,55800.0,57800.0,55500.0,62666.0,-5159,5159,0,0.0614,-189863,1800.0,RISE
2020-05-20,55800.0,55600.0,56400.0,55200.0,38209.0,-9438,9438,0,0.0614,-189863,0.0,EVEN
2020-05-19,55800.0,55700.0,55800.0,54400.0,34948.0,-561,903,-342,0.0606,-189863,600.0,RISE
2020-05-18,55200.0,56000.0,56700.0,55100.0,27807.0,1306,-1070,-236,0.0605,-189521,1000.0,FALL
2020-05-15,56200.0,55400.0,57300.0,55300.0,57660.0,-2444,2594,-150,0.0606,-189285,300.0,RISE
2020-05-14,55900.0,55000.0,56500.0,54700.0,50082.0,1305,280,-1585,0.0604,-189135,600.0,RISE
2020-05-13,55300.0,55100.0,55900.0,54500.0,48195.0,4405,1219,-5624,0.0604,-187550,700.0,FALL
2020-05-12,56000.0,57500.0,58000.0,55200.0,58227.0,2435,-2833,398,0.0603,-181926,1500.0,FALL
2020-05-11,57500.0,57900.0,59400.0,56200.0,88307.0,-210,821,-611,0.0605,-182324,700.0,RISE
2020-05-08,56800.0,54600.0,57700.0,54300.0,121516.0,-5263,-3402,8665,0.0605,-181713,2800.0,RISE
2020-05-07,54000.0,55600.0,56600.0,53000.0,129207.0,55800,-54669,-1131,0.0608,-190378,2400.0,FALL
2020-05-06,56400.0,57200.0,58100.0,55500.0,137455.0,30730,-27345,-3385,0.0659,-189247,1100.0,FALL
2020-05-04,57500.0,57200.0,58700.0,57000.0,88603.0,21269,-8007,-13262,0.0682,-185862,500.0,FALL
2020-04-29,58000.0,58300.0,60200.0,56900.0,193866.0,36238,5130,-41368,-0.025,-172600,200.0,RISE
2020-04-28,57800.0,55200.0,61600.0,54200.0,686428.0,153292,-137188,-16104,-0.0255,-131232,1500.0,RISE
2020-04-27,56300.0,61200.0,67300.0,50700.0,941982.0,255621,-136517,-119104,-0.0127,-115128,4900.0,FALL
2020-04-24,76500.0,0.0,0.0,0.0,0.0,0,0,0,0.0,3976,0.0,EVEN
2020-04-21,,,,,,0,0,0,0.0952,3976,0.0,EVEN
2020-04-17,,,,,,0,0,0,0.0951,3976,0.0,EVEN
2020-04-13,,,,,,0,0,0,0.0949,3976,0.0,EVEN
2020-04-01,,,,,,0,0,0,0.0948,3976,0.0,EVEN
