,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,8420.0,8800.0,8800.0,8330.0,24256.0,6214,-6214,0,0.0067,-12579,400.0,FALL
2020-06-01,8820.0,9060.0,9190.0,8670.0,19858.0,2922,-2922,0,0.0078,-12579,220.0,FALL
2020-05-29,9040.0,9060.0,9170.0,8850.0,16973.0,3365,-3365,0,0.0083,-12579,20.0,FALL
2020-05-28,9060.0,8810.0,9100.0,8740.0,26695.0,-936,936,0,0.0089,-12579,150.0,RISE
2020-05-27,8910.0,9280.0,9280.0,8690.0,38174.0,8568,-8568,0,0.0088,-12579,320.0,FALL
2020-05-26,9230.0,9000.0,9300.0,8960.0,97231.0,-12668,12668,0,0.0103,-12579,350.0,RISE
2020-05-25,8880.0,8350.0,8900.0,8350.0,88570.0,-14610,14610,0,0.008,-12579,550.0,RISE
2020-05-22,8330.0,7860.0,8900.0,7800.0,121134.0,2608.0,-2608.0,0.0,0.0054,-11901.0,470.0,RISE
2020-05-21,7860.0,7690.0,7860.0,7600.0,15466.0,-599.0,599.0,0.0,0.0059,-11901.0,170.0,RISE
2020-05-20,7690.0,7400.0,7690.0,7320.0,21687.0,-347.0,347.0,0.0,0.0058,-11901.0,220.0,RISE
2020-05-19,7470.0,7100.0,7600.0,6930.0,69070.0,-10625.0,10625.0,0.0,0.0057,-11901.0,190.0,RISE
2020-05-18,7280.0,8650.0,8650.0,7030.0,156967.0,9090.0,-9090.0,0.0,0.0039,-11901.0,1410.0,FALL
2020-05-15,8690.0,8660.0,8860.0,8610.0,30690.0,679.0,-679.0,0.0,0.0055,-11901.0,60.0,FALL
2020-05-14,8750.0,8520.0,8850.0,8410.0,60940.0,-2123.0,2123.0,0.0,0.0057,-11901.0,250.0,RISE
2020-05-13,8500.0,8260.0,8550.0,8200.0,24315.0,-3497.0,3497.0,0.0,0.0053,-11901.0,150.0,RISE
2020-05-12,8350.0,8370.0,8400.0,8010.0,21296.0,-1318.0,1318.0,0.0,0.0047,-11901.0,50.0,FALL
2020-05-11,8400.0,8650.0,8650.0,8330.0,51581.0,-4564.0,4564.0,0.0,0.0044,-11901.0,130.0,RISE
2020-05-08,8270.0,8350.0,8450.0,8040.0,83640.0,-1035.0,1035.0,0.0,0.0036,-11901.0,160.0,RISE
2020-05-07,8110.0,7740.0,8250.0,7720.0,76105.0,209.0,-209.0,0.0,0.0034,-11901.0,440.0,RISE
2020-05-06,7670.0,7470.0,8100.0,7470.0,74412.0,1570.0,-1570.0,0.0,0.0035,-11901.0,230.0,RISE
2020-05-04,7440.0,6340.0,7900.0,6200.0,231171.0,-11042.0,11042.0,0.0,0.0038,-11901.0,1110.0,RISE
2020-04-29,6330.0,6410.0,6570.0,6330.0,17814.0,1505.0,-1505.0,0.0,0.0018,-11901.0,180.0,FALL
2020-04-28,6510.0,6310.0,6550.0,6310.0,6787.0,-437.0,437.0,0.0,0.0021,-11901.0,10.0,FALL
2020-04-27,6520.0,6740.0,6740.0,6300.0,14916.0,-14.0,14.0,0.0,0.002,-11901.0,40.0,RISE
2020-04-24,6480.0,6430.0,6620.0,6270.0,23990.0,-2050.0,2050.0,0.0,0.002,-11901.0,160.0,FALL
2020-04-23,6640.0,6690.0,6690.0,6320.0,26477.0,-353.0,384.0,-31.0,0.0016,-11901.0,340.0,RISE
2020-04-22,6300.0,6170.0,6480.0,6100.0,16519.0,821.0,-679.0,-142.0,0.0016,-11870.0,130.0,RISE
2020-04-21,6170.0,6270.0,6270.0,5730.0,11431.0,-833.0,833.0,0.0,0.0017,-11728.0,110.0,FALL
2020-04-20,6280.0,6330.0,6510.0,6200.0,17323.0,1517.0,-1517.0,0.0,0.0015,-11728.0,50.0,FALL
2020-04-17,6330.0,6280.0,6500.0,6260.0,13406.0,183.0,-183.0,0.0,0.0018,-11728.0,80.0,RISE
2020-04-16,6250.0,5990.0,6380.0,5910.0,30658.0,-399.0,399.0,0.0,0.0018,-11728.0,260.0,RISE
2020-04-14,5990.0,6000.0,6120.0,5920.0,17828.0,39.0,-39.0,0.0,0.0018,-11728.0,140.0,FALL
2020-04-13,6130.0,6390.0,6400.0,6000.0,26443.0,-869.0,869.0,0.0,0.0018,-11728.0,250.0,FALL
2020-04-10,6380.0,6320.0,6380.0,6100.0,33491.0,117.0,-117.0,0.0,0.0016,-11728.0,50.0,RISE
2020-04-09,6330.0,6200.0,6390.0,6110.0,37753.0,-9.0,9.0,0.0,0.0016,-11728.0,130.0,RISE
2020-04-08,6200.0,6050.0,6360.0,6050.0,119705.0,-288.0,288.0,0.0,0.0016,-11728.0,160.0,RISE
2020-04-07,6040.0,5990.0,6720.0,5930.0,280011.0,1992.0,-1992.0,0.0,0.0016,-11728.0,570.0,RISE
2020-04-06,5470.0,4415.0,5590.0,4415.0,214642.0,-625.0,625.0,0.0,0.0019,-11728.0,1110.0,RISE
2020-04-03,4360.0,4005.0,4990.0,4005.0,121213.0,2549.0,-2549.0,0.0,0.0018,-11728.0,360.0,RISE
2020-04-02,4000.0,4545.0,4545.0,3680.0,96845.0,-252.0,252.0,0.0,0.0023,-11728.0,370.0,RISE
2020-04-01,3630.0,3615.0,3700.0,3600.0,22799.0,964.0,-964.0,0.0,0.0022,-11728.0,20.0,RISE
2020-03-31,3610.0,3675.0,3760.0,3610.0,29390.0,-1484.0,1484.0,0.0,0.0024,-11728.0,35.0,FALL
2020-03-30,3645.0,3790.0,3790.0,3585.0,21643.0,454.0,-454.0,0.0,0.0021,-11728.0,140.0,FALL
2020-03-27,3785.0,3855.0,3885.0,3700.0,22452.0,-485.0,485.0,0.0,0.0022,-11728.0,70.0,FALL
2020-03-26,3855.0,3990.0,4100.0,3805.0,35385.0,728.0,-104.0,-624.0,0.0021,-11728.0,135.0,FALL
2020-03-25,3990.0,3985.0,4210.0,3980.0,9308.0,-1089.0,1089.0,0.0,0.0022,-11104.0,105.0,FALL
2020-03-24,4095.0,4245.0,4245.0,3960.0,30795.0,128.0,-128.0,0.0,0.002,-11104.0,95.0,RISE
2020-03-23,4000.0,3550.0,4290.0,3505.0,32193.0,1718.0,-1718.0,0.0,0.0039,-11104.0,0.0,EVEN
2020-03-20,4000.0,4030.0,4110.0,3930.0,13595.0,-1719.0,1719.0,0.0,0.0042,-11104.0,30.0,FALL
2020-03-19,4030.0,4110.0,4200.0,3705.0,57370.0,1798.0,-1798.0,0.0,0.0039,-11104.0,65.0,FALL
2020-03-18,4095.0,4375.0,4375.0,4000.0,39760.0,248.0,-248.0,0.0,0.0051,-11104.0,25.0,RISE
2020-03-17,4070.0,4255.0,4290.0,4045.0,40217.0,-1087.0,1087.0,0.0,0.0051,-11104.0,230.0,FALL
2020-03-16,4300.0,4395.0,4480.0,4100.0,51575.0,938.0,-127.0,-811.0,0.005,-11104.0,375.0,RISE
2020-03-13,3925.0,3710.0,4100.0,3710.0,39924.0,-355.0,355.0,0.0,0.005,-10293.0,305.0,FALL
2020-03-12,4230.0,4225.0,4295.0,3940.0,77496.0,2252.0,-957.0,-1295.0,0.0049,-10293.0,5.0,RISE
2020-03-11,4225.0,4285.0,4350.0,4005.0,11924.0,1354.0,-15.0,-1339.0,0.0051,-8998.0,60.0,FALL
2020-03-10,4285.0,4215.0,4310.0,4100.0,5861.0,329.0,416.0,-745.0,0.0051,-7659.0,25.0,FALL
2020-03-09,4310.0,4355.0,4360.0,4020.0,13291.0,1216.0,-223.0,-993.0,0.005,-6914.0,40.0,FALL
2020-03-06,4350.0,4285.0,4355.0,4215.0,48019.0,4861.0,-45.0,-4816.0,0.005,-5921.0,75.0,RISE
2020-03-05,4275.0,4275.0,4305.0,4235.0,6641.0,1128.0,-586.0,-542.0,0.0051,-1105.0,0.0,EVEN
2020-03-04,4275.0,4235.0,4315.0,4210.0,19371.0,1112.0,-200.0,-912.0,0.0052,-563.0,5.0,FALL
2020-03-03,4280.0,4260.0,4350.0,4225.0,5743.0,1257.0,-117.0,-1140.0,0.0052,349.0,75.0,RISE
2020-03-02,4205.0,4310.0,4410.0,4175.0,9587.0,-205.0,205.0,0.0,0.0052,1489.0,45.0,FALL
2020-02-28,4250.0,4070.0,4295.0,4070.0,14507.0,-232.0,232.0,0.0,0.0052,1489.0,45.0,FALL
2020-02-27,4295.0,4250.0,4295.0,4120.0,12702.0,3394.0,-3394.0,0.0,0.0051,1489.0,45.0,RISE
2020-02-26,4250.0,4250.0,4300.0,4140.0,4471.0,28.0,-28.0,0.0,0.0057,1489.0,50.0,FALL
2020-02-25,4300.0,4205.0,4335.0,4125.0,6415.0,-207.0,207.0,0.0,0.0057,1489.0,90.0,RISE
2020-02-24,4210.0,4280.0,4325.0,4105.0,2618.0,445.0,-445.0,0.0,0.0057,1489.0,115.0,FALL
2020-02-21,4325.0,4525.0,4535.0,4280.0,8525.0,-816.0,816.0,0.0,0.0058,1489.0,210.0,FALL
2020-02-20,4535.0,4515.0,4555.0,4480.0,7317.0,504.0,-504.0,0.0,0.0056,1489.0,25.0,FALL
2020-02-19,4560.0,4455.0,4600.0,4455.0,2536.0,121.0,-121.0,0.0,0.0057,1489.0,105.0,RISE
2020-02-18,4455.0,4445.0,4585.0,4440.0,4379.0,218.0,-218.0,0.0,0.0058,1489.0,10.0,RISE
2020-02-17,4445.0,4445.0,4535.0,4370.0,9138.0,-351.0,351.0,0.0,0.0058,1489.0,105.0,FALL
2020-02-14,4550.0,4560.0,4785.0,4540.0,8767.0,-202.0,202.0,0.0,0.0057,1489.0,10.0,FALL
2020-02-13,4560.0,4500.0,4600.0,4475.0,7050.0,87.0,-87.0,0.0,0.0057,1489.0,60.0,RISE
2020-02-12,4500.0,4395.0,4550.0,4395.0,10477.0,-386.0,386.0,0.0,0.0057,1489.0,65.0,RISE
2020-02-11,4435.0,4425.0,4450.0,4385.0,5299.0,-70.0,70.0,0.0,0.0056,1489.0,55.0,RISE
2020-02-10,4380.0,4330.0,4410.0,4305.0,2723.0,142.0,-142.0,0.0,0.0056,1489.0,75.0,RISE
2020-02-07,4305.0,4350.0,4395.0,4305.0,3373.0,-169.0,169.0,0.0,0.0057,1489.0,90.0,FALL
