,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,3460.0,3590.0,3620.0,3425.0,2838506.0,4383,-4383,0,0.0057,-4183551,75.0,RISE
2020-06-01,3385.0,3420.0,3435.0,3315.0,1606670.0,-1581,1581,0,0.0059,-4183551,5.0,FALL
2020-05-29,3390.0,3500.0,3575.0,3305.0,2793076.0,-18033,20534,-2501,0.0058,-4183551,85.0,FALL
2020-05-28,3475.0,3250.0,3780.0,3250.0,15467533.0,117538,-114456,-3082,0.0048,-4181050,260.0,RISE
2020-05-27,3215.0,3250.0,3250.0,3195.0,346696.0,28251,-28251,0,0.0102,-4177968,5.0,FALL
2020-05-26,3220.0,3170.0,3230.0,3165.0,414798.0,-72305,72305,0,0.0128,-4177968,50.0,RISE
2020-05-25,3170.0,3140.0,3190.0,3115.0,298072.0,-59774,59774,0,0.0094,-4177968,40.0,RISE
2020-05-22,3130.0,3205.0,3240.0,3100.0,532590.0,87360.0,-87360.0,0.0,0.0066,-4166353.0,95.0,FALL
2020-05-21,3225.0,3230.0,3255.0,3195.0,355017.0,-39882.0,39882.0,0.0,0.0107,-4166353.0,5.0,FALL
2020-05-20,3230.0,3205.0,3275.0,3200.0,339546.0,-26176.0,26176.0,0.0,0.0088,-4166353.0,30.0,RISE
2020-05-19,3200.0,3155.0,3210.0,3115.0,609230.0,-20481.0,20481.0,0.0,0.0076,-4166353.0,10.0,FALL
2020-05-18,3210.0,3335.0,3335.0,3180.0,729351.0,25235.0,-25235.0,0.0,0.0066,-4166353.0,140.0,FALL
2020-05-15,3350.0,3490.0,3505.0,3350.0,891582.0,47238.0,-43699.0,-3539.0,0.0078,-4166353.0,120.0,FALL
2020-05-14,3470.0,3405.0,3545.0,3365.0,1803820.0,-41864.0,41275.0,589.0,0.0099,-4162814.0,25.0,RISE
2020-05-13,3445.0,3420.0,3495.0,3350.0,3626555.0,144034.0,-144034.0,0.0,0.0079,-4163403.0,135.0,RISE
2020-05-12,3310.0,3240.0,3310.0,3140.0,917260.0,-85307.0,84057.0,1250.0,0.0147,-4163403.0,70.0,RISE
