,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,9590.0,9580.0,9690.0,9410.0,49965.0,-973,1147,-174,0.0229,542063,10.0,RISE
2020-06-01,9580.0,9800.0,9890.0,9460.0,133320.0,21622,-24906,3284,0.0229,542237,60.0,FALL
2020-05-29,9640.0,9290.0,10100.0,9100.0,296854.0,-46945,37539,9406,0.0239,538953,360.0,RISE
2020-05-28,9280.0,9610.0,9610.0,9120.0,140052.0,-5627,-877,6504,0.0224,529547,270.0,FALL
2020-05-27,9550.0,9590.0,9590.0,9450.0,79505.0,-9349,4095,5254,0.0224,523043,10.0,RISE
2020-05-26,9540.0,9500.0,9540.0,9320.0,89880.0,-778,-5321,6099,0.0223,517789,50.0,RISE
2020-05-25,9490.0,9590.0,9590.0,9150.0,151219.0,-9179,-10464,19643,0.0225,511690,40.0,RISE
2020-05-22,9450.0,9200.0,9850.0,9070.0,359180.0,-33397.0,15653.0,17744.0,0.0229,466292.0,450.0,RISE
2020-05-21,9000.0,8830.0,9180.0,8770.0,264211.0,-47805.0,14036.0,33769.0,0.0223,448548.0,270.0,RISE
2020-05-20,8730.0,8720.0,8830.0,8660.0,73504.0,-9833.0,9.0,9824.0,0.0217,414779.0,10.0,RISE
2020-05-19,8720.0,8590.0,8760.0,8530.0,155607.0,-32053.0,8012.0,24041.0,0.0217,404955.0,160.0,RISE
2020-05-18,8560.0,8230.0,8560.0,8010.0,134667.0,-35196.0,5588.0,29608.0,0.0214,380914.0,440.0,RISE
2020-05-15,8120.0,8090.0,8120.0,7870.0,47177.0,-11074.0,353.0,10721.0,0.0212,351306.0,110.0,RISE
2020-05-14,8010.0,8120.0,8220.0,7900.0,78887.0,-14243.0,4575.0,9668.0,0.0211,340585.0,110.0,FALL
2020-05-13,8120.0,8000.0,8170.0,8000.0,35582.0,-6804.0,4712.0,2092.0,0.021,330917.0,40.0,FALL
2020-05-12,8160.0,8250.0,8380.0,7950.0,110336.0,-22972.0,11659.0,11313.0,0.0208,328825.0,140.0,FALL
2020-05-11,8300.0,8510.0,8580.0,8300.0,109399.0,12031.0,-11989.0,-42.0,0.0203,317512.0,150.0,FALL
2020-05-08,8450.0,8270.0,8500.0,8100.0,216871.0,-50867.0,9678.0,41189.0,0.0208,317554.0,320.0,RISE
2020-05-07,8130.0,8060.0,8150.0,7960.0,99590.0,-4185.0,-494.0,4679.0,0.0204,276365.0,80.0,RISE
2020-05-06,8050.0,7870.0,8050.0,7840.0,91756.0,-20593.0,2474.0,18119.0,0.0204,271686.0,250.0,RISE
2020-05-04,7800.0,7790.0,7980.0,7590.0,124465.0,-19181.0,1578.0,17603.0,0.0203,253567.0,50.0,FALL
2020-04-29,7850.0,7650.0,7860.0,7570.0,131672.0,-21813.0,8877.0,12936.0,0.0203,235964.0,200.0,RISE
2020-04-28,7650.0,7590.0,7770.0,7450.0,125828.0,-35683.0,22479.0,13204.0,0.0199,223028.0,150.0,RISE
2020-04-27,7500.0,7410.0,7550.0,7410.0,77015.0,-13366.0,13357.0,9.0,0.019,209824.0,120.0,RISE
2020-04-24,7380.0,7540.0,7590.0,7340.0,81865.0,8088.0,-8097.0,9.0,0.0185,209815.0,120.0,FALL
2020-04-23,7500.0,7530.0,7720.0,7470.0,162210.0,-9079.0,10028.0,-949.0,0.0188,209806.0,50.0,RISE
2020-04-22,7450.0,7210.0,7450.0,7150.0,124213.0,-2809.0,4717.0,-1908.0,0.0184,210755.0,80.0,RISE
2020-04-21,7370.0,7570.0,7580.0,7240.0,206904.0,-16618.0,5945.0,10673.0,0.0182,212663.0,250.0,FALL
2020-04-20,7620.0,7650.0,7760.0,7530.0,234308.0,-1567.0,-5383.0,6950.0,0.018000000000000002,201990.0,50.0,RISE
2020-04-17,7570.0,7630.0,7680.0,7480.0,393099.0,-74473.0,13910.0,60563.0,0.0182,195040.0,60.0,FALL
2020-04-16,7630.0,8200.0,8520.0,7610.0,1085122.0,11627.0,-11626.0,-1.0,0.0177,134477.0,630.0,FALL
2020-04-14,8260.0,10850.0,11800.0,8230.0,7590739.0,227409.0,-14130.0,-213279.0,0.0193,134478.0,900.0,FALL
2020-04-13,9160.0,9130.0,9160.0,8770.0,1248210.0,297560.0,-896.0,-296664.0,0.0199,347757.0,2110.0,UPPER_LIMIT
2020-04-10,7050.0,7140.0,7200.0,7030.0,23502.0,2280.0,115.0,-2395.0,0.0199,644421.0,80.0,FALL
2020-04-09,7130.0,7310.0,7400.0,7040.0,55080.0,32279.0,-6376.0,-25903.0,0.0199,646816.0,80.0,FALL
2020-04-08,7210.0,7080.0,7240.0,7010.0,24881.0,-7401.0,7450.0,-49.0,0.0201,672719.0,150.0,RISE
2020-04-07,7060.0,7200.0,7200.0,6970.0,23688.0,1254.0,-1340.0,86.0,0.0198,672768.0,30.0,RISE
2020-04-06,7030.0,6980.0,7120.0,6770.0,29273.0,-14327.0,8546.0,5781.0,0.0199,672682.0,190.0,RISE
2020-04-03,6840.0,6930.0,7090.0,6780.0,11838.0,1509.0,-1481.0,-28.0,0.0196,666901.0,80.0,FALL
2020-04-02,6920.0,6720.0,6940.0,6490.0,14996.0,-2773.0,361.0,2412.0,0.0196,666929.0,120.0,RISE
2020-04-01,6800.0,6930.0,7050.0,6760.0,30086.0,-6364.0,3007.0,3357.0,0.0199,664517.0,130.0,FALL
2020-03-31,6930.0,6920.0,7150.0,6770.0,22616.0,510.0,-1492.0,982.0,0.0198,661160.0,20.0,RISE
2020-03-30,6910.0,6680.0,6940.0,6460.0,18654.0,-2193.0,-1043.0,3236.0,0.0198,660178.0,170.0,RISE
2020-03-27,6740.0,6630.0,6920.0,6300.0,32039.0,-7733.0,3289.0,4444.0,0.0199,656942.0,190.0,RISE
2020-03-26,6550.0,6290.0,6630.0,6220.0,37305.0,7656.0,-5440.0,-2216.0,0.0197,652498.0,270.0,RISE
2020-03-25,6280.0,6050.0,6330.0,6050.0,35831.0,13409.0,-3788.0,-9621.0,0.0199,654714.0,410.0,RISE
2020-03-24,5870.0,5400.0,5880.0,5380.0,57873.0,-1833.0,4911.0,-3078.0,0.0203,664335.0,490.0,RISE
2020-03-23,5380.0,5250.0,5440.0,5200.0,33480.0,1818.0,-1876.0,58.0,0.0201,667413.0,260.0,FALL
2020-03-20,5640.0,5410.0,5730.0,5410.0,79323.0,22104.0,-6238.0,-15866.0,0.0202,667355.0,240.0,RISE
2020-03-19,5400.0,6090.0,6220.0,5260.0,92584.0,-3244.0,-2948.0,6192.0,0.0206,683221.0,690.0,FALL
2020-03-18,6090.0,6330.0,6570.0,6090.0,32934.0,-4175.0,1280.0,2895.0,0.0207,677029.0,210.0,FALL
2020-03-17,6300.0,6300.0,6570.0,6170.0,75743.0,1256.0,-15823.0,14567.0,0.0211,674134.0,400.0,FALL
2020-03-16,6700.0,6560.0,7200.0,6560.0,28544.0,-732.0,-5937.0,6669.0,0.0217,659567.0,80.0,FALL
2020-03-13,6780.0,6760.0,6990.0,6170.0,51961.0,818.0,-5130.0,4312.0,0.0224,652898.0,320.0,FALL
2020-03-12,7100.0,7600.0,7600.0,7000.0,48420.0,-2401.0,-4335.0,6736.0,0.0226,648586.0,500.0,FALL
2020-03-11,7600.0,7910.0,7930.0,7560.0,20015.0,-3434.0,-3062.0,6496.0,0.0228,641850.0,200.0,FALL
2020-03-10,7800.0,7910.0,7910.0,7730.0,16870.0,4578.0,-4715.0,137.0,0.0226,635354.0,190.0,FALL
2020-03-09,7990.0,8040.0,8080.0,7880.0,16029.0,151.0,-3351.0,3200.0,0.0228,635217.0,210.0,FALL
2020-03-06,8200.0,8160.0,8330.0,8110.0,13993.0,5426.0,-4995.0,-431.0,0.0229,632017.0,180.0,FALL
2020-03-05,8380.0,8190.0,8380.0,8190.0,9323.0,3159.0,-416.0,-2743.0,0.0231,632448.0,190.0,RISE
2020-03-04,8190.0,8050.0,8200.0,8020.0,9710.0,-1958.0,-33.0,1991.0,0.0231,635191.0,140.0,RISE
2020-03-03,8050.0,8080.0,8270.0,8050.0,22938.0,-1478.0,-150.0,1628.0,0.0231,633200.0,10.0,FALL
2020-03-02,8060.0,8100.0,8210.0,8000.0,18218.0,1147.0,-3385.0,2238.0,0.023,631572.0,60.0,FALL
2020-02-28,8120.0,8310.0,8310.0,7910.0,39267.0,-1290.0,-3053.0,4343.0,0.0232,629334.0,230.0,FALL
2020-02-27,8350.0,8350.0,8380.0,8250.0,15213.0,869.0,-4310.0,3441.0,0.0233,624991.0,80.0,FALL
2020-02-26,8430.0,8370.0,8480.0,8230.0,38419.0,-4799.0,2438.0,2361.0,0.0234,621550.0,40.0,FALL
2020-02-25,8470.0,8410.0,8640.0,8350.0,18296.0,370.0,-2686.0,2316.0,0.0228,619189.0,60.0,RISE
2020-02-24,8410.0,8600.0,8730.0,8360.0,24286.0,-336.0,-4219.0,4555.0,0.0229,616873.0,310.0,FALL
2020-02-21,8720.0,8560.0,8940.0,8560.0,48294.0,2212.0,-7483.0,5271.0,0.0231,612318.0,20.0,RISE
2020-02-20,8700.0,8640.0,8730.0,8550.0,9014.0,3416.0,-3277.0,-139.0,0.0234,607047.0,10.0,FALL
2020-02-19,8710.0,8540.0,8740.0,8450.0,22447.0,6127.0,-6214.0,87.0,0.0235,607186.0,170.0,RISE
2020-02-18,8540.0,8690.0,8690.0,8480.0,16181.0,7740.0,-4137.0,-3603.0,0.0237,607099.0,10.0,RISE
2020-02-17,8530.0,8690.0,8690.0,8520.0,24148.0,10943.0,-9257.0,-1686.0,0.0239,610702.0,160.0,FALL
2020-02-14,8690.0,8640.0,8690.0,8510.0,44020.0,7246.0,-3812.0,-3434.0,0.0242,612388.0,50.0,RISE
2020-02-13,8640.0,8720.0,8780.0,8630.0,14030.0,2572.0,-2570.0,-2.0,0.0244,615822.0,80.0,FALL
2020-02-12,8720.0,8800.0,8800.0,8700.0,29941.0,9054.0,139.0,-9193.0,0.0245,615824.0,80.0,FALL
2020-02-11,8800.0,8960.0,8960.0,8700.0,34189.0,13640.0,-1313.0,-12327.0,0.0245,625017.0,100.0,FALL
2020-02-10,8900.0,9000.0,9000.0,8830.0,17699.0,4105.0,780.0,-4885.0,0.0245,637344.0,10.0,FALL
2020-02-07,8910.0,9070.0,9070.0,8900.0,6567.0,895.0,-892.0,-3.0,0.0245,642229.0,110.0,FALL
2020-02-06,9020.0,8900.0,9100.0,8900.0,26630.0,-1907.0,-502.0,2409.0,0.0245,642232.0,120.0,RISE
2020-02-05,8900.0,8840.0,8940.0,8840.0,8308.0,1355.0,-1336.0,-19.0,0.0245,639823.0,60.0,RISE
2020-02-04,8840.0,8710.0,8850.0,8710.0,18311.0,4239.0,1289.0,-5528.0,0.0246,639842.0,10.0,RISE
2020-02-03,8830.0,8770.0,8880.0,8560.0,49681.0,3758.0,-7620.0,3862.0,0.0245,645370.0,0.0,EVEN
2020-01-31,8830.0,9120.0,9150.0,8810.0,32427.0,13415.0,-5507.0,-7908.0,0.0248,641508.0,160.0,FALL
2020-01-30,8990.0,9140.0,9140.0,8970.0,14671.0,3735.0,-2649.0,-1086.0,0.025,649416.0,70.0,FALL
2020-01-29,9060.0,9010.0,9120.0,8970.0,16058.0,-2790.0,2884.0,-94.0,0.0251,650502.0,40.0,FALL
2020-01-28,9100.0,9000.0,9150.0,8940.0,32112.0,1748.0,-5868.0,4120.0,0.025,650596.0,130.0,FALL
2020-01-23,9230.0,9340.0,9340.0,9140.0,9922.0,3359.0,-1807.0,-1552.0,0.0253,646476.0,110.0,FALL
2020-01-22,9340.0,9110.0,9370.0,9050.0,25644.0,-3396.0,-3107.0,6503.0,0.0253,648028.0,240.0,RISE
2020-01-21,9100.0,9160.0,9200.0,9070.0,14899.0,-1671.0,-2396.0,4067.0,0.0255,641525.0,60.0,FALL
2020-01-20,9160.0,9320.0,9320.0,9150.0,32738.0,18020.0,-6997.0,-11023.0,0.0256,637458.0,160.0,FALL
2020-01-17,9320.0,9300.0,9360.0,9210.0,11353.0,1412.0,-1168.0,-244.0,0.0258,648481.0,80.0,RISE
2020-01-16,9240.0,9210.0,9360.0,9190.0,17462.0,-2355.0,3513.0,-1158.0,0.0259,648725.0,40.0,FALL
2020-01-15,9280.0,9480.0,9550.0,9240.0,41104.0,-1269.0,2684.0,-1415.0,0.0257,649883.0,240.0,FALL
2020-01-14,9520.0,9790.0,9790.0,9520.0,23651.0,1510.0,-1787.0,277.0,0.0258,651298.0,170.0,FALL
2020-01-13,9690.0,9630.0,9700.0,9390.0,27045.0,-9091.0,-977.0,10068.0,0.0258,651021.0,150.0,RISE
2020-01-10,9540.0,9370.0,9540.0,9170.0,14300.0,-3405.0,14.0,3391.0,0.0258,640953.0,130.0,RISE
2020-01-09,9410.0,9260.0,9410.0,9100.0,22084.0,-9324.0,-3197.0,12521.0,0.0258,637562.0,410.0,RISE
2020-01-08,9000.0,9410.0,9410.0,8970.0,67106.0,-1372.0,-12843.0,14215.0,0.0259,625041.0,400.0,FALL
2020-01-07,9400.0,9370.0,9510.0,8880.0,47771.0,-26186.0,5833.0,20353.0,0.0265,610826.0,0.0,EVEN
2020-01-06,9400.0,9700.0,9700.0,9380.0,26309.0,-3281.0,-4531.0,7812.0,0.0262,590473.0,250.0,FALL
2020-01-03,9650.0,9760.0,9760.0,9560.0,14728.0,-3564.0,-1849.0,5413.0,0.0264,582661.0,50.0,FALL
2020-01-02,9700.0,9820.0,9820.0,9580.0,16804.0,3849.0,-8077.0,4228.0,0.0265,577248.0,10.0,RISE
2019-12-30,9690.0,9700.0,9860.0,9670.0,7598.0,851.0,-2496.0,1645.0,0.0266,573020.0,70.0,FALL
2019-12-27,9760.0,9930.0,9970.0,9750.0,17557.0,-2671.0,-110.0,2781.0,0.0267,571375.0,170.0,FALL
2019-12-26,9930.0,9900.0,10000.0,9750.0,18131.0,5369.0,-2435.0,-2934.0,0.0267,568594.0,60.0,RISE
2019-12-24,9870.0,9800.0,10150.0,9710.0,44951.0,-15026.0,-4659.0,19685.0,0.0268,571528.0,70.0,RISE
2019-12-23,9800.0,9830.0,9900.0,9750.0,10319.0,-183.0,-600.0,783.0,0.027000000000000003,551843.0,30.0,FALL
2019-12-20,9830.0,9880.0,9920.0,9790.0,3605.0,818.0,-724.0,-94.0,0.027000000000000003,551060.0,10.0,FALL
2019-12-19,9840.0,9930.0,9930.0,9830.0,8585.0,936.0,-880.0,-56.0,0.027000000000000003,551154.0,70.0,FALL
