날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2018-01-11,201000.0,249000.0,249000.0,197500.0,109013.0,16391,9746,-26137,0.1033,-26137,48000.0,FALL
2018-01-12,189500.0,201000.0,204000.0,176500.0,79579.0,15142,-4251,-10891,0.102,-37028,11500.0,FALL
2018-01-15,183000.0,193500.0,201000.0,181000.0,47466.0,12350,7307,-19657,0.1003,-56685,6500.0,FALL
2018-01-16,177500.0,183000.0,187500.0,177000.0,29257.0,9134,4165,-13299,0.1011,-69984,5500.0,FALL
2018-01-17,169500.0,178000.0,180500.0,168500.0,55657.0,23839,-12946,-10893,0.0978,-80877,8000.0,FALL
2018-01-18,164000.0,170000.0,171000.0,163000.0,43571.0,12732,-8109,-4623,0.096,-85500,5500.0,FALL
2018-01-19,175000.0,164000.0,180000.0,162000.0,88014.0,2625,-7585,4960,0.0943,-80540,11000.0,RISE
2018-01-22,184500.0,175500.0,193000.0,175500.0,102422.0,-9931,-4155,14086,0.0934,-66454,9500.0,RISE
2018-01-23,189500.0,187500.0,196500.0,176500.0,47273.0,-5841,5363,478,0.0946,-65976,5000.0,RISE
2018-01-24,192500.0,190000.0,198000.0,187500.0,21604.0,2995,2483,-5478,0.0952,-71454,3000.0,RISE
2018-01-25,191500.0,193500.0,197500.0,188000.0,24323.0,-722,-2147,2869,0.0947,-68585,1000.0,FALL
2018-01-26,193000.0,190500.0,194000.0,185500.0,20492.0,-5250,1620,3630,0.095,-64955,1500.0,RISE
2018-01-29,199500.0,193500.0,200000.0,189000.0,27478.0,-12897,1181,11716,0.0955,-53239,6500.0,RISE
2018-01-30,195000.0,199500.0,199500.0,192500.0,29889.0,-5070,8017,-2947,0.0973,-56186,4500.0,FALL
2018-01-31,192500.0,193000.0,197000.0,189500.0,19297.0,817,7364,-8181,0.0989,-64367,2500.0,FALL
2018-02-01,193000.0,192500.0,194000.0,191000.0,9631.0,-3950,1583,2367,0.0992,-62000,500.0,RISE
