날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-22,24250.0,24200.0,24600.0,23750.0,82622.0,5334,-5269,-65,0.0068,-408748,50.0,RISE
2020-05-21,24200.0,24850.0,24900.0,24100.0,92377.0,2434,-2434,0,0.0075,-408683,500.0,FALL
2020-05-20,24700.0,24100.0,24700.0,23900.0,94919.0,2768,-1313,-1455,0.0077,-408683,650.0,RISE
2020-05-19,24050.0,25600.0,25600.0,23800.0,224969.0,-12035,12036,-1,0.0079,-407228,1100.0,FALL
2020-05-18,25150.0,26300.0,26400.0,24800.0,227807.0,-90,5791,-5701,0.0065,-407227,1150.0,FALL
2020-05-15,26300.0,28000.0,28500.0,25600.0,965798.0,54922,-38582,-16340,0.0059,-401526,50.0,FALL
2020-05-14,26350.0,25000.0,27450.0,24750.0,644222.0,22148,-329,-21819,0.0103,-385186,1150.0,RISE
2020-05-13,25200.0,25000.0,25650.0,24800.0,106818.0,-7661,7661,0,0.0104,-363367,400.0,FALL
2020-05-12,25600.0,26750.0,26900.0,25350.0,193742.0,-3436,906,2530,0.0095,-363367,1250.0,FALL
2020-05-11,26850.0,26050.0,27300.0,25800.0,213445.0,-9438,3357,6081,0.0094,-365897,1100.0,RISE
2020-05-08,25750.0,25800.0,25800.0,25050.0,94326.0,-5663,4614,1049,0.009,-371978,150.0,RISE
2020-05-07,25600.0,25100.0,26550.0,25000.0,303409.0,47673,-38690,-8983,0.0085,-373027,750.0,RISE
2020-05-06,24850.0,25150.0,25350.0,24150.0,184701.0,53001,-56762,3761,0.013,-364044,50.0,FALL
2020-05-04,24900.0,25700.0,26350.0,24500.0,179574.0,28691,-42160,13469,0.0196,-367805,1400.0,FALL
2020-04-29,26300.0,27450.0,27500.0,25550.0,300273.0,35110,-41881,6771,0.0245,-381274,1000.0,FALL
2020-04-28,27300.0,26900.0,27900.0,26050.0,364669.0,7763,-6702,-1061,0.0294,-388045,650.0,RISE
2020-04-27,26650.0,26300.0,27300.0,24650.0,816777.0,29219,-34939,5720,0.0302,-386984,1050.0,RISE
