,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,1490.0,0.0,0.0,0.0,0.0,0,0,0,0.0,428422,0.0,EVEN
2020-06-01,1490.0,0.0,0.0,0.0,0.0,0,0,0,0.0137,428422,0.0,EVEN
2020-05-22,1490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428424.0,0.0,EVEN
2020-05-21,,,,,,0.0,0.0,0.0,0.0137,428424.0,0.0,EVEN
2020-03-24,,,,,,0.0,0.0,0.0,0.0146,428424.0,0.0,EVEN
2020-03-16,,,,,,0.0,0.0,0.0,0.0182,428424.0,0.0,EVEN
2020-01-07,,,,,,0.0,0.0,0.0,0.0184,428424.0,0.0,EVEN
2020-01-06,,,,,,0.0,0.0,0.0,0.0183,428424.0,0.0,EVEN
2019-10-10,,,,,,0.0,0.0,0.0,0.0186,428424.0,0.0,EVEN
2019-05-31,,,,,,0.0,0.0,0.0,0.0239,428424.0,0.0,EVEN
2019-03-20,,,,,,0.0,0.0,0.0,0.0243,428424.0,0.0,EVEN
2019-03-18,,,,,,0.0,0.0,0.0,0.0248,428424.0,0.0,EVEN
2019-03-15,1490.0,1610.0,1645.0,1470.0,915887.0,27598.0,-27598.0,0.0,0.0248,428424.0,120.0,FALL
2019-03-14,1610.0,1500.0,1655.0,1490.0,1356003.0,-203558.0,203558.0,0.0,0.026000000000000002,428424.0,120.0,RISE
2019-03-13,1490.0,1590.0,1620.0,1485.0,807364.0,-8026.0,8026.0,0.0,0.0172,428424.0,110.0,FALL
2019-03-12,1600.0,1590.0,1625.0,1580.0,367048.0,-47683.0,47683.0,0.0,0.0175,428424.0,20.0,RISE
2019-03-11,1580.0,1660.0,1690.0,1530.0,466141.0,6863.0,-6863.0,0.0,0.0155,428424.0,80.0,FALL
2019-03-08,1660.0,1650.0,1695.0,1640.0,215185.0,-3111.0,3111.0,0.0,0.0158,428424.0,10.0,RISE
2019-03-07,1650.0,1685.0,1745.0,1650.0,769848.0,39367.0,-39367.0,0.0,0.0156,428424.0,30.0,FALL
2019-03-06,1680.0,1730.0,1745.0,1675.0,340449.0,-9626.0,9626.0,0.0,0.0173,428424.0,40.0,FALL
2019-03-05,1720.0,1680.0,1830.0,1665.0,878966.0,-19099.0,19099.0,0.0,0.0166,428424.0,40.0,RISE
2019-03-04,1680.0,1645.0,1725.0,1645.0,522401.0,-40501.0,40501.0,0.0,0.0158,428424.0,40.0,RISE
2019-02-28,1640.0,1825.0,1850.0,1620.0,1642047.0,104289.0,-104289.0,0.0,0.0141,428424.0,165.0,FALL
2019-02-27,1805.0,1900.0,2060.0,1790.0,5564141.0,128607.0,-128607.0,0.0,0.0148,428424.0,75.0,RISE
2019-02-26,1730.0,1740.0,1775.0,1710.0,477398.0,37819.0,-37819.0,0.0,0.0174,428424.0,10.0,FALL
2019-02-25,1740.0,1725.0,1770.0,1725.0,243184.0,-46922.0,46922.0,0.0,0.019,428424.0,15.0,RISE
2019-02-22,1725.0,1780.0,1815.0,1720.0,540569.0,32971.0,-32971.0,0.0,0.017,428424.0,55.0,FALL
2019-02-21,1780.0,1740.0,1840.0,1730.0,1226668.0,11434.0,-11434.0,0.0,0.0184,428424.0,55.0,RISE
2019-02-20,1725.0,1705.0,1875.0,1690.0,2177544.0,108715.0,-108715.0,0.0,0.0187,428424.0,35.0,RISE
2019-02-19,1690.0,1680.0,1705.0,1665.0,256424.0,-52648.0,52648.0,0.0,0.0249,428424.0,15.0,RISE
2019-02-18,1675.0,1680.0,1690.0,1605.0,289040.0,-103683.0,103683.0,0.0,0.0236,428424.0,5.0,RISE
2019-02-15,1670.0,1690.0,1720.0,1645.0,328431.0,-7035.0,7035.0,0.0,0.0197,428424.0,20.0,FALL
2019-02-14,1690.0,1645.0,1705.0,1635.0,394568.0,-57012.0,57012.0,0.0,0.0194,428424.0,25.0,RISE
2019-02-13,1665.0,1670.0,1685.0,1640.0,366323.0,15533.0,-15533.0,0.0,0.0178,428424.0,25.0,RISE
2019-02-12,1640.0,1620.0,1660.0,1595.0,361735.0,-50664.0,50664.0,0.0,0.0185,428424.0,15.0,RISE
2019-02-11,1625.0,1660.0,1700.0,1625.0,383895.0,13128.0,-13128.0,0.0,0.019,428424.0,20.0,FALL
2019-02-08,1645.0,1625.0,1660.0,1600.0,313764.0,-47515.0,47515.0,0.0,0.0207,428424.0,20.0,RISE
2019-02-07,1625.0,1665.0,1670.0,1575.0,698965.0,-175259.0,175259.0,0.0,0.0187,428424.0,40.0,FALL
2019-02-01,1665.0,1740.0,1770.0,1665.0,736456.0,-20532.0,20532.0,0.0,0.0112,428424.0,75.0,FALL
2019-01-31,1740.0,1715.0,1795.0,1670.0,1343241.0,-105660.0,105660.0,0.0,0.0102,428424.0,80.0,FALL
2019-01-30,1820.0,1895.0,1895.0,1805.0,501369.0,20221.0,-20221.0,0.0,0.0057,428424.0,10.0,FALL
2019-01-29,1830.0,1855.0,1920.0,1820.0,760791.0,-24492.0,24492.0,0.0,0.0065,428424.0,0.0,EVEN
2019-01-28,1830.0,1925.0,1925.0,1830.0,998658.0,118519.0,-118519.0,0.0,0.005,428424.0,95.0,FALL
2019-01-25,1925.0,1865.0,1940.0,1865.0,512986.0,-53797.0,53797.0,0.0,0.0098,428424.0,40.0,RISE
2019-01-24,1885.0,1835.0,1935.0,1805.0,995574.0,-18600.0,18600.0,0.0,0.0081,428424.0,75.0,RISE
2019-01-23,1810.0,1860.0,1910.0,1760.0,913754.0,-3612.0,3612.0,0.0,0.0073,428424.0,70.0,FALL
2019-01-22,1880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072,428424.0,0.0,EVEN
2019-01-21,1880.0,1890.0,1910.0,1855.0,504143.0,-53123.0,53123.0,0.0,0.0074,428424.0,10.0,RISE
2019-01-18,1870.0,1890.0,1930.0,1845.0,742276.0,-33719.0,33719.0,0.0,0.0056,428424.0,15.0,FALL
2019-01-17,1885.0,1965.0,1975.0,1865.0,721698.0,72087.0,-72087.0,0.0,0.0041,428424.0,65.0,FALL
2019-01-16,1950.0,1980.0,1995.0,1945.0,552193.0,3716.0,-3716.0,0.0,0.0072,428424.0,30.0,FALL
2019-01-15,1980.0,1945.0,2055.0,1935.0,738193.0,-80169.0,80169.0,0.0,0.0071,428424.0,40.0,RISE
2019-01-14,1940.0,2095.0,2095.0,1920.0,876822.0,-44470.0,44470.0,0.0,0.0037,428424.0,130.0,FALL
2019-01-11,2070.0,2120.0,2130.0,2060.0,516414.0,18259.0,-18259.0,0.0,0.0017,428424.0,10.0,FALL
2019-01-10,2080.0,2095.0,2160.0,2070.0,845008.0,13687.0,-13687.0,0.0,0.0021,428424.0,5.0,FALL
2019-01-09,2085.0,2090.0,2180.0,2050.0,761503.0,36301.0,-36301.0,0.0,0.0024,428424.0,5.0,RISE
2019-01-08,2080.0,2245.0,2290.0,2045.0,1576042.0,103620.0,-103620.0,0.0,0.0024,428424.0,150.0,FALL
2019-01-07,2230.0,2305.0,2340.0,2160.0,1519796.0,-41932.0,41932.0,0.0,0.0069,428424.0,55.0,FALL
2019-01-04,2285.0,1890.0,2415.0,1840.0,8577177.0,33802.0,-33802.0,0.0,0.0025,428424.0,420.0,RISE
2019-01-03,1865.0,1930.0,1955.0,1850.0,1074889.0,-63812.0,33712.0,30100.0,0.004,428424.0,55.0,FALL
2019-01-02,1920.0,1985.0,2020.0,1920.0,1012717.0,-116378.0,-3622.0,120000.0,0.0024,398324.0,35.0,FALL
2018-12-28,1955.0,1890.0,2000.0,1890.0,2167398.0,-198070.0,4574.0,193496.0,0.0025,278324.0,65.0,RISE
2018-12-27,1890.0,1990.0,2085.0,1855.0,5127264.0,-57367.0,-172633.0,230000.0,0.0024,84828.0,20.0,RISE
2018-12-26,1870.0,2375.0,2470.0,1735.0,9931448.0,-274636.0,124636.0,150000.0,0.0098,-145172.0,555.0,FALL
2018-12-24,2425.0,2425.0,2930.0,2425.0,12363797.0,-36358.0,36358.0,0.0,0.0044,-295172.0,1035.0,LOWER_LIMIT
2018-12-21,3460.0,3675.0,3735.0,3405.0,1145397.0,-38354.0,38354.0,0.0,0.0029,-295172.0,275.0,FALL
2018-12-20,3735.0,3700.0,3855.0,3650.0,618309.0,-31780.0,31780.0,0.0,0.0012,-295172.0,50.0,FALL
2018-12-19,3785.0,3850.0,3850.0,3760.0,427611.0,-2591.0,2591.0,0.0,0.0,-295172.0,95.0,FALL
2018-12-18,3880.0,3900.0,3940.0,3815.0,342553.0,6984.0,-6984.0,0.0,0.0,-295172.0,100.0,FALL
2018-12-17,3980.0,3975.0,4000.0,3710.0,690779.0,-15152.0,15152.0,0.0,0.0,-295172.0,5.0,RISE
2018-12-14,3975.0,4200.0,4245.0,3855.0,1711232.0,58621.0,-58621.0,0.0,0.0,-295172.0,70.0,RISE
2018-12-13,3905.0,3900.0,3950.0,3855.0,482770.0,5381.0,-5381.0,0.0,0.0008,-295172.0,40.0,RISE
2018-12-12,3865.0,3905.0,3970.0,3840.0,208865.0,20658.0,-20658.0,0.0,0.0011,-295172.0,70.0,FALL
2018-12-11,3935.0,3960.0,4030.0,3830.0,269034.0,13984.0,-13984.0,0.0,0.0019,-295172.0,5.0,RISE
2018-12-10,3930.0,3960.0,4080.0,3900.0,373000.0,1653.0,-1653.0,0.0,0.0024,-295172.0,30.0,FALL
2018-12-07,3960.0,4215.0,4330.0,3960.0,1035030.0,28340.0,-28340.0,0.0,0.0025,-295172.0,160.0,FALL
2018-12-06,4120.0,3790.0,4130.0,3790.0,1391997.0,-10194.0,10194.0,0.0,0.0037,-295172.0,320.0,RISE
2018-12-05,3800.0,3695.0,3800.0,3665.0,246465.0,-10607.0,10607.0,0.0,0.0033,-295172.0,10.0,RISE
2018-12-04,3790.0,3895.0,3940.0,3775.0,521200.0,3055.0,-3055.0,0.0,0.0029,-295172.0,80.0,FALL
2018-12-03,3870.0,4100.0,4115.0,3850.0,967821.0,61167.0,-61167.0,0.0,0.0029,-295172.0,220.0,FALL
2018-11-30,4090.0,4280.0,4355.0,4040.0,1195743.0,190983.0,-190983.0,0.0,0.0055,-295172.0,185.0,FALL
2018-11-29,4275.0,4315.0,4430.0,4150.0,2123041.0,78071.0,-78071.0,0.0,0.0137,-295172.0,35.0,RISE
2018-11-28,4240.0,4050.0,4260.0,3975.0,1859245.0,-176268.0,176268.0,0.0,0.0171,-295172.0,300.0,RISE
2018-11-27,3940.0,4045.0,4195.0,3845.0,1508214.0,4267.0,-4267.0,0.0,0.0095,-295172.0,65.0,FALL
2018-11-26,4005.0,3685.0,4005.0,3640.0,883752.0,-125368.0,125368.0,0.0,0.01,-295172.0,395.0,RISE
2018-11-23,3610.0,3740.0,3795.0,3515.0,563026.0,5395.0,-5395.0,0.0,0.0046,-295172.0,130.0,FALL
2018-11-22,3740.0,3845.0,3910.0,3740.0,354576.0,47496.0,-47496.0,0.0,0.0048,-295172.0,95.0,FALL
2018-11-21,3835.0,3850.0,3940.0,3800.0,276012.0,15264.0,-15264.0,0.0,0.0069,-295172.0,70.0,FALL
2018-11-20,3905.0,3880.0,3990.0,3800.0,250868.0,-20221.0,20221.0,0.0,0.0075,-295172.0,60.0,FALL
2018-11-19,3965.0,4025.0,4095.0,3935.0,295087.0,7822.0,-7822.0,0.0,0.0066,-295172.0,60.0,FALL
2018-11-16,4025.0,3985.0,4140.0,3975.0,497543.0,5470.0,-5470.0,0.0,0.006999999999999999,-295172.0,40.0,RISE
2018-11-15,3985.0,3790.0,4050.0,3760.0,387746.0,-60011.0,60011.0,0.0,0.0072,-295172.0,185.0,RISE
2018-11-14,3800.0,3830.0,3840.0,3765.0,101309.0,19221.0,-19221.0,0.0,0.0042,-295172.0,30.0,FALL
2018-11-13,3830.0,3620.0,3850.0,3570.0,240008.0,-18061.0,18061.0,0.0,0.005,-295172.0,45.0,RISE
2018-11-12,3785.0,3870.0,3950.0,3715.0,361909.0,-17104.0,17104.0,0.0,0.0042,-295172.0,150.0,FALL
2018-11-09,3935.0,3980.0,4015.0,3900.0,209741.0,-10943.0,10943.0,0.0,0.0035,-295172.0,60.0,FALL
2018-11-08,3995.0,3975.0,4030.0,3905.0,339772.0,-20133.0,20133.0,0.0,0.003,-295172.0,115.0,RISE
2018-11-07,3880.0,4095.0,4095.0,3770.0,594337.0,135122.0,-135122.0,0.0,0.0021,-295172.0,50.0,RISE
2018-11-06,3830.0,3845.0,3850.0,3660.0,397585.0,36501.0,-36501.0,0.0,0.0078,-295172.0,15.0,FALL
2018-11-05,3845.0,3830.0,3960.0,3750.0,482922.0,-8095.0,8095.0,0.0,0.0094,-295172.0,5.0,FALL
2018-11-02,3850.0,3515.0,3920.0,3515.0,614674.0,-4806.0,10417.0,-5611.0,0.009000000000000001,-295172.0,340.0,RISE
2018-11-01,3510.0,3480.0,3575.0,3375.0,256052.0,-311.0,24763.0,-24452.0,0.0085,-289561.0,160.0,RISE
2018-10-31,3350.0,3340.0,3440.0,3275.0,296809.0,61509.0,-32421.0,-29088.0,0.0074,-265109.0,70.0,RISE
2018-10-30,3280.0,2720.0,3340.0,2720.0,773374.0,-34188.0,34188.0,0.0,0.0089,-236021.0,75.0,RISE
2018-10-29,3205.0,3700.0,3905.0,3175.0,1058359.0,-68269.0,68269.0,0.0,0.0074,-236021.0,730.0,FALL
2018-10-26,3935.0,4070.0,4100.0,3890.0,476729.0,9155.0,-9155.0,0.0,0.0045,-236021.0,180.0,FALL
2018-10-25,4115.0,4075.0,4130.0,3950.0,404319.0,-33719.0,33719.0,0.0,0.0049,-236021.0,35.0,FALL
2018-10-24,4150.0,4110.0,4180.0,3995.0,504410.0,6338.0,-6338.0,0.0,0.0034,-236021.0,30.0,RISE
