,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,27750.0,28150.0,28300.0,27400.0,291372.0,24164,-4781,-19383,0.0182,214871,600.0,FALL
2020-06-01,28350.0,27900.0,28450.0,27400.0,419186.0,-22183,-10460,32643,0.019,234254,100.0,RISE
2020-05-29,28250.0,26300.0,28900.0,26000.0,1745912.0,6988,-18347,11359,0.0208,201611,1950.0,RISE
2020-05-28,26300.0,26500.0,27150.0,24900.0,512049.0,-11499,16269,-4770,0.0237,190252,500.0,FALL
2020-05-27,26800.0,28200.0,28750.0,26250.0,1418476.0,87109,-41495,-45614,0.0212,195022,300.0,FALL
2020-05-26,27100.0,24350.0,27150.0,24100.0,1088774.0,-61440,29705,31735,0.0275,240636,2950.0,RISE
2020-05-25,24150.0,24400.0,24800.0,24000.0,178335.0,9488,3512,-13000,0.023,208901,0.0,EVEN
2020-05-22,24150.0,25100.0,25300.0,23900.0,330356.0,18725.0,-8725.0,-10000.0,0.0224,219418.0,950.0,FALL
2020-05-21,25100.0,26400.0,26400.0,24700.0,544959.0,58117.0,-58617.0,500.0,0.0238,229418.0,900.0,FALL
2020-05-20,26000.0,23550.0,26250.0,23500.0,1120525.0,-78330.0,22913.0,55417.0,0.0326,228918.0,2700.0,RISE
2020-05-19,23300.0,22750.0,24500.0,22250.0,770560.0,-3416.0,8689.0,-5273.0,0.0291,173501.0,550.0,RISE
2020-05-18,22750.0,23300.0,23300.0,22050.0,103652.0,2792.0,-792.0,-2000.0,0.0278,178774.0,400.0,FALL
2020-05-15,23150.0,23350.0,24100.0,23100.0,263615.0,-19783.0,9335.0,10448.0,0.0279,180774.0,100.0,RISE
2020-05-14,23050.0,22850.0,23300.0,22800.0,89251.0,-7329.0,7329.0,0.0,0.0265,170326.0,150.0,FALL
2020-05-13,23200.0,23100.0,23550.0,23050.0,74946.0,8723.0,-3723.0,-5000.0,0.0254,170326.0,100.0,FALL
2020-05-12,23300.0,24000.0,24000.0,22950.0,128251.0,-8909.0,8909.0,0.0,0.0259,175326.0,500.0,FALL
2020-05-11,23800.0,23900.0,24150.0,23500.0,131499.0,-1096.0,1096.0,0.0,0.0246,175326.0,50.0,RISE
2020-05-08,23750.0,23800.0,23850.0,23350.0,154289.0,-3259.0,3259.0,0.0,0.0244,175326.0,200.0,RISE
2020-05-07,23550.0,23400.0,23700.0,23100.0,123618.0,-2292.0,2537.0,-245.0,0.0239,175326.0,250.0,RISE
2020-05-06,23300.0,23600.0,23600.0,22950.0,131221.0,7735.0,-7735.0,0.0,0.0236,175571.0,50.0,RISE
2020-05-04,23250.0,22000.0,23750.0,21950.0,418680.0,7027.0,-7027.0,0.0,0.0248,175571.0,900.0,RISE
2020-04-29,22350.0,21850.0,22750.0,21800.0,125275.0,-18206.0,18206.0,0.0,0.0278,175571.0,350.0,RISE
