,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,3130.0,3015.0,3150.0,2960.0,254617.0,-19805,19805,0,0.0364,901,195.0,RISE
2020-06-01,2935.0,2900.0,3120.0,2855.0,358060.0,6530,-6530,0,0.0304,901,45.0,RISE
2020-05-29,2890.0,2855.0,2940.0,2765.0,218883.0,-2100,2100,0,0.0324,901,45.0,RISE
2020-05-28,2845.0,2855.0,2900.0,2715.0,107529.0,4136,-4136,0,0.0317,901,15.0,FALL
2020-05-27,2860.0,2855.0,2925.0,2825.0,48303.0,1955,-1955,0,0.033,901,20.0,FALL
2020-05-26,2880.0,2810.0,2900.0,2795.0,114064.0,-2009,2009,0,0.0336,901,50.0,RISE
2020-05-25,2830.0,2785.0,2840.0,2760.0,14991.0,-946,946,0,0.033,901,45.0,RISE
2020-05-22,2785.0,2845.0,2855.0,2705.0,75359.0,7252.0,-7252.0,0.0,0.0327,901.0,60.0,FALL
2020-05-21,2845.0,2785.0,2850.0,2760.0,59459.0,-1531.0,1531.0,0.0,0.0349,901.0,60.0,RISE
2020-05-20,2785.0,2765.0,2795.0,2745.0,31463.0,-979.0,979.0,0.0,0.0344,901.0,15.0,RISE
2020-05-19,2770.0,2740.0,2770.0,2690.0,51410.0,-169.0,169.0,0.0,0.0341,901.0,60.0,RISE
2020-05-18,2710.0,2715.0,2740.0,2670.0,17240.0,137.0,-137.0,0.0,0.0341,901.0,20.0,RISE
2020-05-15,2690.0,2710.0,2745.0,2685.0,32632.0,-11.0,11.0,0.0,0.0341,901.0,20.0,FALL
2020-05-14,2710.0,2750.0,2750.0,2700.0,18930.0,2747.0,-2008.0,-739.0,0.0341,901.0,45.0,FALL
2020-05-13,2755.0,2675.0,2815.0,2650.0,79299.0,-4969.0,4230.0,739.0,0.0347,1640.0,40.0,RISE
2020-05-12,2715.0,2770.0,2795.0,2685.0,45915.0,6055.0,-6055.0,0.0,0.0334,901.0,55.0,FALL
2020-05-11,2770.0,2820.0,2820.0,2700.0,66214.0,1703.0,-1703.0,0.0,0.0353,901.0,10.0,FALL
2020-05-08,2780.0,2780.0,2815.0,2740.0,55418.0,3139.0,-3139.0,0.0,0.0358,901.0,20.0,RISE
2020-05-07,2760.0,2705.0,2775.0,2705.0,61304.0,-1454.0,1454.0,0.0,0.0367,901.0,55.0,RISE
2020-05-06,2705.0,2735.0,2820.0,2685.0,152100.0,-52.0,52.0,0.0,0.0363,901.0,25.0,FALL
2020-05-04,2730.0,2740.0,2780.0,2675.0,77342.0,4425.0,-4425.0,0.0,0.0363,901.0,60.0,FALL
2020-04-29,2790.0,2810.0,2875.0,2725.0,370926.0,-5245.0,5245.0,0.0,0.0376,901.0,90.0,FALL
2020-04-28,2880.0,2660.0,3320.0,2605.0,3271145.0,9823.0,-10193.0,370.0,0.036000000000000004,901.0,235.0,RISE
2020-04-27,2645.0,2665.0,2680.0,2560.0,40086.0,-6140.0,6140.0,0.0,0.0391,531.0,35.0,RISE
2020-04-24,2610.0,2730.0,2730.0,2530.0,44624.0,3784.0,-3784.0,0.0,0.0372,531.0,75.0,FALL
2020-04-23,2685.0,2690.0,2735.0,2610.0,51265.0,-15843.0,15843.0,0.0,0.0384,531.0,55.0,RISE
2020-04-22,2630.0,2670.0,2670.0,2530.0,36904.0,3433.0,-3433.0,0.0,0.0336,531.0,25.0,RISE
2020-04-21,2605.0,2640.0,2660.0,2515.0,81258.0,409.0,-409.0,0.0,0.0346,531.0,40.0,FALL
2020-04-20,2645.0,2655.0,2680.0,2590.0,60290.0,-9939.0,9939.0,0.0,0.0348,531.0,50.0,RISE
2020-04-17,2595.0,2525.0,2650.0,2510.0,58921.0,-14724.0,14724.0,0.0,0.0317,531.0,25.0,RISE
2020-04-16,2570.0,2555.0,2615.0,2495.0,69933.0,-11264.0,11264.0,0.0,0.0273,531.0,60.0,FALL
2020-04-14,2630.0,2645.0,2660.0,2570.0,76539.0,-9015.0,9015.0,0.0,0.0239,531.0,10.0,RISE
2020-04-13,2620.0,2640.0,2640.0,2460.0,46627.0,-1006.0,1006.0,0.0,0.0211,531.0,20.0,FALL
2020-04-10,2640.0,2685.0,2890.0,2420.0,363420.0,15229.0,-15229.0,0.0,0.0208,531.0,25.0,FALL
2020-04-09,2665.0,2585.0,2685.0,2585.0,62514.0,-12761.0,12761.0,0.0,0.0254,531.0,85.0,RISE
2020-04-08,2580.0,2555.0,2810.0,2520.0,318518.0,-11269.0,11269.0,0.0,0.0216,531.0,15.0,FALL
2020-04-07,2595.0,2620.0,2650.0,2520.0,53746.0,-1240.0,1240.0,0.0,0.0182,531.0,25.0,RISE
2020-04-06,2570.0,2545.0,2605.0,2540.0,54012.0,-6483.0,6483.0,0.0,0.0178,531.0,10.0,RISE
2020-04-03,2560.0,2615.0,2615.0,2500.0,77307.0,371.0,-371.0,0.0,0.0158,531.0,40.0,RISE
2020-04-02,2520.0,2450.0,2650.0,2360.0,135242.0,-373.0,373.0,0.0,0.0159,531.0,100.0,RISE
2020-04-01,2420.0,2520.0,2630.0,2370.0,318552.0,13594.0,-13594.0,0.0,0.0158,531.0,25.0,RISE
2020-03-31,2395.0,2315.0,2515.0,2275.0,266374.0,10823.0,-10823.0,0.0,0.0199,531.0,135.0,RISE
2020-03-30,2260.0,2080.0,2280.0,2050.0,112495.0,-19398.0,19398.0,0.0,0.0232,531.0,115.0,RISE
2020-03-27,2145.0,2280.0,2315.0,2100.0,307009.0,13552.0,-13552.0,0.0,0.0173,531.0,80.0,FALL
2020-03-26,2225.0,2240.0,2325.0,2130.0,321934.0,21058.0,-21058.0,0.0,0.0215,531.0,15.0,FALL
2020-03-25,2240.0,2160.0,2595.0,2040.0,956027.0,1321.0,-1321.0,0.0,0.0278,531.0,160.0,RISE
2020-03-24,2080.0,1625.0,2080.0,1600.0,673671.0,6927.0,-6927.0,0.0,0.0282,531.0,480.0,UPPER_LIMIT
2020-03-23,1600.0,1695.0,1705.0,1575.0,78226.0,5894.0,-5894.0,0.0,0.0303,531.0,265.0,FALL
2020-03-20,1865.0,1825.0,1960.0,1700.0,88691.0,1434.0,-1434.0,0.0,0.0321,531.0,45.0,RISE
2020-03-19,1820.0,2250.0,2325.0,1785.0,136900.0,-1865.0,1865.0,0.0,0.0326,531.0,405.0,FALL
2020-03-18,2225.0,2445.0,2510.0,2210.0,92931.0,7193.0,-7193.0,0.0,0.032,531.0,195.0,FALL
2020-03-17,2420.0,2200.0,2485.0,2200.0,56195.0,825.0,-825.0,0.0,0.0342,531.0,100.0,FALL
2020-03-16,2520.0,2650.0,2700.0,2520.0,101991.0,2991.0,-2991.0,0.0,0.0344,531.0,120.0,FALL
2020-03-13,2640.0,2460.0,2735.0,2455.0,120339.0,5283.0,-5283.0,0.0,0.0353,531.0,215.0,FALL
2020-03-12,2855.0,2905.0,2980.0,2685.0,134337.0,3359.0,-3359.0,0.0,0.0369,531.0,165.0,FALL
2020-03-11,3020.0,3135.0,3135.0,2920.0,81843.0,-224.0,224.0,0.0,0.0379,531.0,30.0,FALL
2020-03-10,3050.0,2930.0,3140.0,2920.0,64561.0,1357.0,-1357.0,0.0,0.0379,531.0,0.0,EVEN
2020-03-09,3050.0,3135.0,3195.0,3000.0,89424.0,-851.0,851.0,0.0,0.0383,531.0,180.0,FALL
2020-03-06,3230.0,3305.0,3305.0,3180.0,74350.0,2637.0,-2637.0,0.0,0.038,531.0,90.0,FALL
2020-03-05,3320.0,3290.0,3400.0,3150.0,99487.0,-349.0,349.0,0.0,0.0388,531.0,75.0,RISE
2020-03-04,3245.0,3100.0,3405.0,3085.0,109971.0,-2056.0,2056.0,0.0,0.0387,531.0,55.0,RISE
2020-03-03,3190.0,3330.0,3345.0,3165.0,90057.0,4149.0,-4149.0,0.0,0.0381,531.0,30.0,FALL
2020-03-02,3220.0,3085.0,3370.0,3015.0,143545.0,-12600.0,12600.0,0.0,0.0394,531.0,140.0,RISE
2020-02-28,3080.0,3110.0,3190.0,2995.0,160959.0,-3904.0,3904.0,0.0,0.0355,531.0,150.0,FALL
2020-02-27,3230.0,3365.0,3420.0,3160.0,184962.0,12910.0,-12320.0,-590.0,0.0344,531.0,135.0,FALL
2020-02-26,3365.0,3300.0,3485.0,3265.0,165120.0,-2739.0,2349.0,390.0,0.0381,1121.0,0.0,EVEN
2020-02-25,3365.0,3240.0,3480.0,3175.0,313209.0,-13118.0,12918.0,200.0,0.0374,731.0,125.0,RISE
2020-02-24,3240.0,3225.0,3300.0,3135.0,259702.0,-4976.0,6172.0,-1196.0,0.0283,531.0,130.0,FALL
2020-02-21,3370.0,3620.0,3690.0,3350.0,347922.0,-1147.0,-49.0,1196.0,0.0264,1727.0,345.0,FALL
2020-02-20,3715.0,3605.0,3835.0,3430.0,607378.0,14020.0,-14020.0,0.0,0.0264,531.0,25.0,RISE
2020-02-19,3690.0,3850.0,3960.0,3575.0,587128.0,-79418.0,79418.0,0.0,0.0306,531.0,100.0,FALL
2020-02-18,3790.0,3850.0,3860.0,3700.0,227327.0,646.0,-1176.0,530.0,0.0069,531.0,45.0,RISE
2020-02-17,3745.0,3950.0,4000.0,3745.0,292279.0,-450.0,450.0,0.0,0.0069,1.0,390.0,FALL
2020-02-14,4135.0,4575.0,4645.0,3890.0,442551.0,-2910.0,2910.0,0.0,0.0068,1.0,680.0,FALL
2020-02-13,4815.0,4715.0,5240.0,4400.0,3227569.0,3996.0,-3996.0,0.0,0.0059,1.0,235.0,RISE
2020-02-12,4580.0,5400.0,5660.0,4355.0,3573418.0,14680.0,-14680.0,0.0,0.0071,1.0,220.0,RISE
2020-02-11,4360.0,4040.0,4590.0,3875.0,3811053.0,20493.0,-20493.0,0.0,0.0116,1.0,485.0,RISE
2020-02-10,3875.0,4715.0,4960.0,3740.0,3490939.0,57021.0,-7931.0,-49090.0,0.0188,1.0,415.0,FALL
2020-02-07,4290.0,3435.0,4290.0,3330.0,1185778.0,-20430.0,-28100.0,48530.0,0.0212,49091.0,990.0,UPPER_LIMIT
2020-02-06,3300.0,3220.0,3300.0,3095.0,360170.0,-26114.0,26114.0,0.0,0.0298,561.0,110.0,RISE
2020-02-05,3190.0,3130.0,3595.0,3075.0,1844010.0,4096.0,-4096.0,0.0,0.0218,561.0,145.0,RISE
2020-02-04,3045.0,2900.0,3185.0,2900.0,352871.0,8421.0,-8421.0,0.0,0.0231,561.0,130.0,RISE
2020-02-03,2915.0,2820.0,2930.0,2800.0,18515.0,154.0,759.0,-913.0,0.0256,561.0,20.0,RISE
2020-01-31,2895.0,2900.0,2980.0,2870.0,47231.0,1482.0,-1410.0,-72.0,0.0254,1474.0,15.0,FALL
2020-01-30,2910.0,2940.0,2945.0,2870.0,24548.0,2585.0,-2278.0,-307.0,0.0258,1546.0,10.0,FALL
2020-01-29,2920.0,2980.0,2980.0,2900.0,19717.0,-759.0,-241.0,1000.0,0.0265,1853.0,0.0,EVEN
2020-01-28,2920.0,2955.0,2960.0,2885.0,64138.0,4806.0,-4749.0,-57.0,0.0266,853.0,55.0,FALL
2020-01-23,2975.0,3025.0,3035.0,2970.0,46933.0,-1091.0,742.0,349.0,0.027999999999999997,910.0,40.0,FALL
2020-01-22,3015.0,2955.0,3070.0,2940.0,48948.0,-16677.0,16677.0,0.0,0.0278,561.0,20.0,RISE
2020-01-21,2995.0,2950.0,3000.0,2945.0,23620.0,477.0,-477.0,0.0,0.0228,561.0,5.0,RISE
2020-01-20,2990.0,3040.0,3040.0,2970.0,23805.0,2578.0,-2578.0,0.0,0.0229,561.0,25.0,FALL
2020-01-17,3015.0,3010.0,3075.0,2970.0,52010.0,-6596.0,6596.0,0.0,0.0237,561.0,5.0,RISE
2020-01-16,3010.0,3030.0,3040.0,2960.0,25370.0,-2791.0,2791.0,0.0,0.0217,561.0,20.0,FALL
2020-01-15,3030.0,3065.0,3065.0,2990.0,43236.0,-3631.0,3631.0,0.0,0.0208,561.0,20.0,RISE
2020-01-14,3010.0,3020.0,3020.0,2975.0,35800.0,-4894.0,4894.0,0.0,0.0197,561.0,25.0,RISE
2020-01-13,2985.0,3005.0,3040.0,2955.0,49272.0,-14431.0,14431.0,0.0,0.0175,561.0,20.0,RISE
2020-01-10,2965.0,2955.0,2980.0,2935.0,53678.0,-3238.0,11714.0,-8476.0,0.0132,561.0,25.0,RISE
2020-01-09,2940.0,2920.0,3040.0,2920.0,67275.0,-5771.0,5736.0,35.0,0.0096,9037.0,65.0,RISE
2020-01-08,2875.0,2990.0,2990.0,2875.0,132609.0,7595.0,-5445.0,-2150.0,0.0079,9002.0,105.0,FALL
2020-01-07,2980.0,3060.0,3105.0,2980.0,110189.0,-2071.0,9699.0,-7628.0,0.0095,11152.0,25.0,FALL
2020-01-06,3005.0,3010.0,3030.0,2965.0,55498.0,-4776.0,3617.0,1159.0,0.0066,18780.0,45.0,FALL
2020-01-03,3050.0,2980.0,3220.0,2980.0,488747.0,18635.0,-14635.0,-4000.0,0.0055,17621.0,70.0,RISE
2020-01-02,2980.0,2980.0,3020.0,2935.0,72313.0,-5107.0,12657.0,-7550.0,0.0099,21621.0,40.0,RISE
2019-12-30,2940.0,2905.0,3010.0,2905.0,63995.0,-13858.0,13858.0,0.0,0.0061,29171.0,25.0,RISE
2019-12-27,2915.0,2920.0,3015.0,2910.0,95005.0,0.0,0.0,0.0,0.0019,29171.0,50.0,FALL
2019-12-26,2965.0,2910.0,3015.0,2905.0,119250.0,-4894.0,0.0,4894.0,0.0019,29171.0,25.0,RISE
2019-12-24,2940.0,2960.0,3255.0,2935.0,1082528.0,0.0,0.0,0.0,0.0019,24277.0,10.0,RISE
2019-12-23,2930.0,2915.0,2940.0,2880.0,155873.0,0.0,0.0,0.0,0.0019,24277.0,25.0,RISE
2019-12-20,2905.0,2935.0,3470.0,2880.0,2693985.0,2468.0,-2468.0,0.0,0.0019,24277.0,10.0,FALL
2019-12-19,2915.0,2890.0,2955.0,2880.0,42854.0,198.0,-198.0,0.0,0.0026,24277.0,10.0,RISE
2019-12-18,2905.0,2910.0,2910.0,2870.0,30192.0,-2666.0,2666.0,0.0,0.0027,24277.0,20.0,RISE
2019-12-17,2885.0,2875.0,2920.0,2865.0,6770.0,0.0,0.0,0.0,0.0019,24277.0,0.0,EVEN
2019-12-16,2885.0,2870.0,2935.0,2870.0,4147.0,0.0,0.0,0.0,0.0019,24277.0,15.0,FALL
2019-12-13,2900.0,2925.0,2925.0,2860.0,12096.0,,,,,,,
